0,1,2,3,4,5,6,7,8,9,10,11
0.095,171.093,11.726,-30.795,55.353,-51.235,16.045,3.874,-28.801,0.052,-7.771,-8.761
8.812,134.826,86.379,-43.018,-17.561,-21.555,53.739,4.525,-47.4,4.263,6.654,-8.458
14.248,118.035,95.483,-8.603,-27.013,-24.336,23.809,6.603,-33.428,1.308,-2.286,6.582
16.224,106.15,84.511,8.351,-18.897,-24.874,7.883,-11.593,-41.728,5.874,-1.771,20.688
18.709,85.833,107.339,9.502,-6.509,-18.919,22.325,-10.422,-41.163,-7.481,11.843,19.075
20.847,99.363,136.369,9.778,-23.035,-24.107,14.627,17.195,-40.819,-13.657,7.525,-0.723
22.999,156.973,144.088,22.064,-16.282,-22.615,31.171,10.969,-33.827,-7.899,-9.39,-0.972
24.564,152.907,130.926,16.69,-4.198,-10.672,18.321,-17.479,-33.191,-4.817,-4.914,10.95
27.447,102.682,125.943,-14.849,4.399,-14.581,0.141,-6.055,-32.692,-13.329,7.93,18.499
31.22,110.372,127.806,-8.692,-21.374,-19.358,9.329,2.076,-37.469,-15.295,3.692,2.576
38.298,51.076,102.695,-41.595,6.687,15.14,11.812,-30.968,-39.723,29.354,-24.345,10.301
40.376,27.72,49.948,9.314,-0.715,-30.13,-37.853,-18.356,-29.326,-8.883,0.246,7.881
40.718,56.235,35.401,17.75,17.467,-35.327,-45.403,-29.168,-14.929,-2.471,-3.126,8.081
39.146,33.177,59.539,-12.443,11.563,-12.119,-40.702,-20.292,-26.688,-27.408,4.845,20.804
39.87,-25.949,7.846,-23.656,-14.082,-14.148,-35.576,-25.342,-27.941,-21.111,-0.512,-21.339
41.125,30.125,16.395,-11.282,-4.873,-36.667,-41.727,-4.515,-11.474,-6.511,5.579,1.956
38.654,-0.729,28.847,-22.445,-1.775,-17.211,-39.932,-27.383,-33.344,8.029,-7.866,4.209
42.162,40.537,26.345,-26.944,8.941,3.772,-13.871,-4.861,-9.194,-24.174,16.09,-3.24
42.819,-2.465,50.623,-2.388,21.199,-5.811,-31.247,-24.605,-8.108,-5.317,-9.967,-8.009
41.903,-5.768,13.848,-13.87,5.909,-30.511,-20.977,-6.928,-5.475,-10.086,1.424,-12.427
41.543,22.363,22.5,6.766,-24.677,-37.548,-16.749,1.131,-24.997,1.392,0.948,4.397
39.547,-11.767,26.352,-4.821,-8.361,-36.642,-27.86,-1.179,-20.776,-10.381,-7.395,5.893
41.576,41.322,27.885,-9.799,6.946,-38.428,-10.967,-39.242,-30.548,-0.487,-9.167,-4.202
40.435,-8.991,40.261,-11.205,-4.186,-20.881,-34.298,-9.323,-22.388,0.574,-7.098,-12.061
40.767,17.984,39.531,-15.103,-7.041,-10.119,-24.771,-2.408,-25.742,-27.943,-8.87,-0.159
40.817,7.761,25.78,-21.564,-19.052,-24.714,-27.944,-17.13,-29.027,-17.986,1.102,8.597
41.774,33.824,47.271,-16.686,-8.235,-23.437,-15.504,-7.079,-40.805,-21.546,19.665,-7.882
43.26,39.932,46.825,-4.221,13.916,-22.934,-52.343,-7.761,-29.912,-6.176,1.408,33.542
41.828,-4.033,23.034,-13.944,-24.331,-20.632,-11.177,-29.149,-29.675,18.961,-3.36,8.37
42.607,-4.157,50.161,-11.43,-19.542,-26.792,-13.18,-2.719,-26.348,-14.429,8.51,-7.657
43.358,57.819,27.162,1.71,10.526,-44.899,-16.316,-28.001,-33.655,-15.091,-3.572,-4.617
42.393,27.575,41.046,-3.126,-13.521,-22.986,-27.597,-16.417,-19.393,-10.402,-2.364,-21.876
42.405,30.79,11.04,-5.211,-11.614,-3.994,-5.134,1.11,-17.726,-43.227,2.099,-1.768
41.028,-14.123,27.28,-22.583,-23.832,-27.583,-19.878,-0.689,-27.391,-12.12,4.058,-0.627
42.271,38.21,21.342,-16.041,-14.722,-30.207,-22.35,-26.01,-34.955,-1.295,-7.13,-4.659
41.884,9.324,23.611,-5.247,-7.678,-24.578,-19.996,-20.553,-21.793,5.219,-9.412,-1.76
43.909,16.981,26.616,-0.572,-6.467,0.019,-10.325,-20.198,-22.495,-8.937,-2.542,-10.935
43.751,41.553,1.788,-10.677,-4.385,-57.492,-10.805,-2.231,-36.836,-4.166,-6.823,-5.607
43.689,37.571,19.726,5.775,-24.647,-33.288,-20.352,-35.078,-21.112,9.232,-11.522,-9.741
42.974,-12.511,46.289,-3.378,-21.59,-45.628,-27.17,-4.774,-24.535,-8.757,-6.382,-21.301
43.909,46.671,6.562,-3.966,6.066,-39.578,-21.247,-40.497,-18.168,-0.554,-16.014,-7.264
42.782,-2.058,18.469,-7.035,-28.727,-43.092,-14.788,-6.345,-21.364,-0.899,-3.766,-1.497
44.136,23.745,37.246,-44.557,-22.664,-30.427,0.798,51.413,-19.559,-16.585,1.786,-1.925
43.886,57.158,30.185,9.012,-0.546,-19.52,1.849,-18.792,-10.652,3.099,-13.487,-9.832
42.615,13.659,33.331,1.36,-42.988,-16.592,-26.357,-8.388,-46.619,-0.067,-11.487,-13.935
