0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
10.233,159.93,67.956,-94.479,42.233,3.531,11.022,-2.294,-25.822,24.534,19.785,2.046
17.614,144.691,28.437,60.803,57.319,34.799,-0.036,14.442,-23.971,-5.035,-83.459,0.843
50.746,42.885,53.544,-24.014,88.428,-17.064,-3.731,-22.847,-50.403,41.168,-2.632,-1.393
51.35,56.608,142.057,13.486,119.782,-33.318,-31.813,-5.813,12.424,0.486,1.736,-24.322
52.24,57.31,133.86,20.493,118.241,-28.44,-31.985,-18.293,16.478,7.329,-14.311,-35.292
49.702,85.543,33.574,96.879,59.419,-10.064,-64.714,-35.102,21.06,-13.865,-35.029,-25.933
47.897,90.065,44.514,-69.109,54.256,15.225,22.793,-62.676,-33.524,-3.606,-29.739,-14.553
48.374,81.893,17.601,-4.53,45.436,-24.076,-19.149,80.154,-16.332,-19.93,1.396,-7.473
50.358,80.214,90.175,-48.609,84.48,27.251,-7.469,-20.753,-27.784,45.649,16.468,-22.482
53.077,74.491,123.964,36.528,75.064,-20.652,3.567,-9.279,-34.916,-13.134,-19.601,-26.435
50.21,64.294,56.092,74.102,26.75,8.175,-44.56,30.626,-23.066,-47.717,-41.68,-6.716
51.056,126.851,38.286,-22.695,45.106,20.867,-33.039,-9.984,-29.932,32.358,-0.623,0.553
51.452,89.037,8.344,33.341,37.513,-8.786,-31.759,-62.896,-7.702,2.042,-41.907,-1.247
44.324,62.748,53.571,16.18,35.466,-26.587,-10.526,-4.085,-17.817,-12.279,-2.678,-5.369
49.476,39.681,129.851,5.665,74.319,18.682,54.588,-7.573,-20.921,14.235,7.087,1.219
49.869,13.883,59.614,43.72,41.288,-25.258,-7.272,8.97,-13.225,-2.267,-21.858,17.106
49.418,59.07,50.123,0.072,46.277,10.91,11.664,-36.957,-40.182,3.335,-16.417,-4.669
49.423,99.246,51.813,-62.554,70.734,5.54,-18.589,-27.708,-15.365,-9.267,-11.536,2.668
51.705,80.923,74.005,-35.403,34.428,18.793,-40.868,3.909,-29.254,-14.558,22.695,-13.385
54.063,151.155,40.932,-14.87,24.583,-8.131,-67.176,-13.088,9.811,-3.159,-13.031,-19.791
50.46,36.739,31.26,77.213,47.878,-18.772,-20.92,7.463,-19.04,9.663,-7.951,10.501
48.393,44.29,26.297,-32.874,44.009,15.05,-3.502,-1.887,-18.462,27.194,-35.213,-8.058
43.452,10.366,-16.266,-20.242,-35.148,-23.121,-29.114,-2.777,-29.772,-7.0,-0.172,-7.938
47.258,77.343,1.101,-81.111,-2.425,9.851,-27.352,-30.844,-2.306,-8.953,9.3,-15.72
49.893,113.418,6.485,23.505,54.301,-38.348,-49.623,36.732,-7.224,-22.94,-2.242,-12.09
52.204,91.474,71.001,12.34,71.131,17.839,-22.22,-7.772,-41.854,29.541,-20.595,-14.924
48.172,48.065,80.696,3.419,62.889,4.198,6.835,11.522,-20.501,-0.426,-35.589,-1.883
50.158,76.864,58.087,-28.079,67.043,27.467,-17.956,22.245,-16.809,-2.066,-23.821,-19.348
48.076,69.454,6.646,-50.346,24.59,-1.331,-30.007,-32.163,-10.156,-6.873,-35.431,-3.089
46.306,106.473,-22.888,-48.624,73.532,-37.395,-21.95,40.327,-10.321,-33.564,8.324,-10.217
49.892,105.774,47.144,-64.179,74.372,-12.081,-38.741,-43.904,-33.035,11.315,3.949,-7.783
48.422,-16.713,26.699,75.827,46.888,-26.379,-27.672,15.934,-14.995,2.212,-29.501,19.546
48.316,63.334,34.021,-67.954,51.53,32.75,-20.439,-24.989,-25.458,-19.257,-0.898,-18.975
48.212,89.646,-3.341,-31.487,20.213,-12.226,-51.126,-10.414,-5.654,-17.997,4.045,4.338
51.529,38.718,68.603,-12.34,67.013,-14.949,-21.542,-31.775,-3.098,7.791,13.09,-11.57
50.247,38.187,65.203,67.723,71.387,-14.004,-19.763,21.337,9.942,-8.816,-61.014,-15.38
50.922,51.043,117.507,21.869,71.565,13.414,40.493,-1.246,-10.887,21.881,30.994,-13.685
50.875,34.792,86.919,52.271,60.675,-22.934,8.548,11.279,0.972,9.043,-37.498,1.84
48.852,19.775,62.905,-67.499,50.646,-4.673,11.701,-9.44,-26.303,13.883,5.785,17.475
51.064,51.25,31.628,-1.058,72.873,-31.825,-33.546,53.244,-9.148,-6.96,-15.985,-1.991
50.622,53.106,45.425,-33.188,80.762,-8.198,22.213,-52.811,-25.225,56.173,-11.542,-2.447
50.95,11.793,77.03,36.706,51.546,-36.596,15.286,14.262,3.279,14.782,-35.952,10.017
52.663,33.932,67.604,-25.378,64.735,-2.127,-16.012,2.867,-12.46,15.993,7.639,-9.123
53.019,30.718,116.849,11.837,97.143,-26.188,-9.919,-1.646,-2.026,-4.354,-13.018,-2.384
50.816,25.525,31.962,58.06,72.011,-37.866,-14.172,11.297,-3.142,-14.901,-12.443,6.071
50.595,38.204,53.626,-40.464,74.46,4.498,-10.55,-17.217,-38.285,17.038,-4.979,-8.357
52.984,33.855,103.509,5.871,78.426,-25.037,-13.409,-2.862,-17.073,-5.247,-4.495,-26.737
53.46,44.08,93.517,22.092,59.558,-15.374,-14.267,16.901,-16.873,-3.819,-16.432,-9.347
49.81,155.062,-26.665,-44.605,25.246,-25.569,-20.294,-10.187,0.286,-17.038,3.962,1.589
51.998,22.358,52.546,-16.985,49.959,-29.939,-18.07,-13.9,-14.66,27.125,-10.266,-16.306
51.156,19.947,60.849,40.978,73.375,-21.746,-2.93,16.746,5.678,-7.068,-40.478,0.987
49.187,49.986,50.925,-47.17,53.94,36.686,-6.019,7.508,-13.923,3.017,-7.281,-20.317
51.903,146.035,55.346,-47.798,22.694,28.354,-45.103,-33.346,6.696,15.807,20.019,-9.575
52.64,122.527,59.882,-19.244,19.833,-20.295,-70.344,-10.958,-6.779,5.093,1.708,-26.941
52.724,124.187,31.297,25.45,21.706,-18.301,-58.461,-38.201,-2.476,3.349,-35.897,-12.243
50.403,66.992,37.705,-47.956,54.998,-12.702,33.072,-56.716,-32.254,-21.107,-3.367,-15.75
48.345,29.096,86.854,50.322,51.562,-37.001,-2.701,42.911,-5.329,1.916,-15.621,13.176
45.745,94.664,86.178,-80.395,33.878,22.759,-26.447,-4.851,-35.551,-7.198,-28.101,1.603
46.689,21.781,-34.566,-41.13,-21.823,-12.147,-26.996,-38.511,-15.175,-15.999,3.613,7.676
49.79,87.104,-33.848,-76.228,21.155,-15.315,-29.905,-39.607,-9.016,-36.689,-1.332,-7.666
52.473,72.164,19.28,27.463,49.809,-2.09,-42.483,-14.014,-20.888,-30.298,-34.717,-7.114
52.166,133.946,102.612,-37.176,61.212,24.26,-9.47,-51.817,6.461,-2.691,6.055,-16.801
52.576,66.382,64.887,34.726,41.998,-23.499,-32.95,7.985,0.221,0.555,-40.598,-25.781
50.722,25.706,39.232,-11.906,56.917,-32.022,7.14,1.685,-26.919,-4.111,2.65,14.115
51.867,15.978,32.774,-27.581,55.974,-32.434,-20.596,-5.847,-25.95,-0.992,-1.61,9.368
53.832,63.957,103.623,27.353,56.477,-21.853,-3.346,21.243,-14.923,-23.874,-6.831,4.578
49.932,43.994,74.843,78.431,48.471,-26.636,-0.399,-12.501,-21.58,2.267,-40.952,14.968
49.368,31.754,10.494,63.059,28.957,0.953,-19.176,-1.802,-29.989,18.456,17.545,-19.138
49.172,19.734,63.474,-92.09,34.009,-18.631,1.03,-1.029,-30.79,-9.956,14.675,-7.022
51.925,101.851,74.841,51.701,63.33,-28.943,-13.6,72.214,-6.353,-20.896,-26.09,12.871
49.669,65.384,77.908,18.9,70.286,30.556,-15.773,22.13,-27.773,24.635,-32.092,-7.992
48.678,85.095,18.174,15.621,8.044,8.749,-49.079,-36.123,-21.842,16.068,-56.201,-1.781
44.306,122.379,3.928,-60.436,81.455,-20.138,-13.542,45.936,-10.34,-45.58,-0.876,-15.614
50.53,105.049,52.373,-74.324,51.913,3.006,-33.4,-38.751,-41.401,20.728,-2.782,-21.062
