0,1,2,3,4,5,6,7,8,9,10,11
0.014,170.764,9.339,-28.908,57.527,-50.084,14.511,4.8,-27.438,0.804,-10.418,-6.884
18.633,29.223,-19.036,-40.215,25.763,-35.644,3.713,-4.45,-16.04,27.404,29.346,-13.009
25.168,-22.814,-70.21,-68.775,-12.949,-37.429,-19.066,0.392,-12.762,24.75,-6.996,3.343
29.232,-58.1,-56.223,-75.443,7.317,-27.519,-3.794,-41.634,-10.013,43.134,-29.753,9.502
29.613,-97.556,-3.918,22.382,2.322,-74.164,-3.353,-2.512,-5.227,7.493,-2.345,-1.0
30.927,-111.123,-27.461,80.852,-15.595,-77.765,-6.414,-14.472,-37.038,0.627,-17.819,19.503
30.441,-111.611,-51.718,40.17,-8.085,68.639,30.787,11.268,-13.756,-27.118,-28.887,14.821
26.216,-238.141,-127.466,-46.099,7.503,-66.435,-1.819,36.516,-0.134,-6.393,15.083,-13.774
27.402,-138.934,-73.069,41.599,-20.24,-63.079,-2.441,-2.668,-28.473,-9.32,-7.028,18.629
28.653,-136.073,-72.014,45.183,-0.977,40.085,20.083,-4.624,-22.805,-14.266,7.25,8.447
29.588,-131.096,-77.101,73.776,0.571,41.443,20.863,-9.079,-21.997,-19.225,9.727,9.44
25.334,-266.906,-154.88,-47.708,26.191,-78.531,10.553,39.207,-5.989,-17.787,8.023,-16.827
25.674,-195.545,-88.683,-65.792,31.321,22.95,2.892,22.053,-12.298,-32.489,-52.014,7.067
30.683,-145.327,-67.171,78.973,-7.293,-53.495,15.981,-22.567,-23.935,5.994,-19.16,7.864
31.288,-126.8,-70.603,116.359,-9.418,-64.126,16.023,-17.372,-24.487,4.725,-36.332,11.059
24.974,-253.451,-146.531,-30.694,24.49,-96.649,10.586,50.23,3.489,-32.847,9.74,-18.489
27.678,-143.963,-67.835,56.295,-4.893,-73.505,13.041,-9.573,-21.417,3.896,-18.573,3.682
30.167,-125.275,-64.669,105.336,-5.184,-74.52,-1.784,-16.637,-33.319,9.495,-38.556,22.018
31.151,-106.535,-62.059,143.071,-1.949,-46.477,-0.186,-13.591,-33.503,0.739,-23.922,26.602
24.483,-252.28,-151.978,-38.888,27.471,-90.789,10.049,44.583,-0.07,-26.91,9.143,-15.517
28.33,-153.18,-73.602,44.78,-2.86,-50.488,-2.784,-21.317,-30.128,0.761,-15.614,16.364
29.071,-127.714,-78.579,111.664,3.314,-26.76,-18.355,10.585,-30.366,-7.563,-10.341,20.648
29.435,-113.859,-69.14,75.178,10.371,76.481,30.653,-4.745,-22.918,-5.221,13.42,14.331
23.45,-250.937,-162.0,-49.602,47.257,-28.842,11.208,52.811,-14.415,14.619,-6.11,-9.659
26.278,-134.399,-96.748,60.906,-12.586,-37.726,0.517,2.092,-27.308,-1.819,-12.617,17.872
27.847,-103.933,-73.292,103.286,-13.269,-43.309,5.636,-1.644,-32.12,0.634,-24.546,23.95
29.059,-101.592,-62.903,118.374,-5.944,-48.16,-4.137,-4.901,-36.939,2.456,-37.207,31.485
23.766,-250.267,-170.728,-23.546,37.765,-50.244,5.155,65.122,-7.401,4.675,17.495,-13.942
25.716,-142.905,-95.09,42.573,-6.452,-27.072,-1.684,1.259,-26.958,-0.194,-3.97,13.872
27.806,-128.254,-94.988,70.316,7.919,53.524,19.278,8.44,-18.621,-11.379,9.356,11.063
29.908,-91.396,-56.642,126.582,-15.385,-33.863,10.694,-3.704,-35.635,4.348,-25.923,28.722
36.496,99.935,-220.103,-54.697,83.637,88.511,-7.373,23.663,23.872,-34.903,64.063,-38.07
32.577,57.527,-107.939,-1.101,60.151,-71.322,-22.443,33.975,-44.889,-0.204,-16.284,21.148
33.91,18.682,-94.393,37.594,32.112,-65.923,20.309,30.222,-47.027,-13.671,-18.188,25.946
32.707,-1.203,-93.782,-22.98,50.487,51.673,16.91,30.098,-30.836,18.448,-61.325,16.668
33.694,-53.084,-121.431,-82.11,19.169,10.455,-2.558,34.783,0.462,22.308,18.993,-5.875
32.677,-48.364,-39.902,-13.068,9.608,-67.365,-16.772,10.54,-14.247,-17.966,-3.228,18.114
32.554,-39.593,-41.702,-0.156,6.746,5.436,18.581,2.266,-20.353,16.809,-30.547,16.145
32.696,-71.581,-31.968,71.173,-24.092,-63.421,25.056,1.699,-16.871,9.848,-1.67,21.312
28.524,-191.962,-115.965,-41.429,-1.344,-78.836,-0.848,23.169,15.357,-18.426,6.415,-5.173
27.745,-131.47,-58.693,34.129,-23.226,-67.82,-1.062,4.136,-23.65,-4.386,-8.581,10.139
26.953,-131.502,-42.095,-47.856,-1.173,38.263,27.335,15.634,-11.521,-21.151,-63.838,13.531
30.415,-113.69,-54.266,109.429,-10.094,-42.356,-2.144,-5.341,-33.844,-2.434,-2.848,21.822
24.884,-237.887,-141.701,-34.135,15.752,-68.751,0.06,59.531,0.674,-6.717,13.921,-16.037
26.831,-145.481,-77.655,37.52,-6.177,-39.542,-7.16,-10.585,-31.362,3.155,-1.917,19.106
30.663,-145.921,-50.281,78.935,6.731,-53.11,3.36,-22.068,-27.148,8.85,-16.883,9.453
31.32,-129.798,-46.173,101.288,-3.072,-72.545,9.39,-19.638,-26.604,7.167,-35.472,10.865
25.053,-252.585,-114.104,-68.069,45.665,-42.039,28.467,23.327,-13.756,11.787,2.611,-12.622
28.216,-155.627,-78.493,51.704,-0.286,-73.006,-18.614,-13.118,-28.264,-1.613,-15.087,18.259
30.617,-131.394,-60.775,99.987,-3.599,-75.701,-13.605,-18.308,-39.24,-1.065,-33.989,32.446
31.048,-125.991,-73.213,118.511,25.458,54.232,-1.155,-1.695,-23.415,-12.182,11.808,15.607
23.913,-243.382,-154.065,-28.5,32.118,-89.688,-2.789,54.446,4.619,-31.14,5.933,-13.832
26.572,-119.355,-36.442,54.173,7.989,-54.844,-22.015,-13.043,-40.359,-5.628,-15.409,26.5
26.692,-158.307,-55.448,-26.093,55.776,83.12,-8.687,36.432,-16.079,-43.722,-72.013,18.466
29.343,-91.123,-44.272,141.755,12.173,-29.647,-12.576,-1.901,-34.791,4.808,-22.303,22.483
23.212,-241.338,-173.37,-21.14,37.967,-32.094,4.168,75.853,-10.338,20.25,12.751,-14.564
25.511,-126.098,-75.556,57.095,12.672,0.078,-1.873,-2.994,-27.223,0.333,6.526,13.366
28.665,-120.772,-69.039,96.472,-1.812,-49.879,-11.116,-9.259,-33.78,-5.485,-20.686,27.498
