0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
9.05,58.841,-44.632,-78.024,-9.963,-25.661,-24.657,19.182,-20.619,-7.362,9.543,-19.986
22.299,22.319,-19.005,-83.408,-39.262,54.289,16.343,-10.097,-18.421,28.473,11.624,-6.185
44.744,43.21,-7.25,-120.52,-31.341,118.076,-0.075,-14.365,-20.356,1.04,29.347,-4.957
53.836,78.46,8.0,-51.304,-37.79,-7.694,-15.789,3.207,-5.553,-9.264,-25.685,17.988
56.424,123.868,-16.443,-14.0,11.878,-40.452,-1.4,-14.461,-1.74,6.38,-7.695,13.55
55.356,114.15,-14.374,1.937,-23.498,-41.08,-17.17,-12.739,15.78,13.033,-7.432,16.191
55.016,150.028,-21.344,-13.94,-9.336,-25.094,-1.877,-18.878,-20.037,2.546,-3.346,21.101
53.25,127.688,-34.721,-3.907,-24.671,-19.035,-36.09,-20.884,8.051,3.477,1.676,7.961
53.8,123.443,-6.422,-5.831,12.181,-53.194,-18.12,3.174,-13.582,4.053,3.943,-4.726
53.44,134.149,1.852,-47.463,-13.46,-10.325,-14.818,-43.417,-28.919,8.622,-24.939,8.779
55.353,96.034,-2.222,-10.613,-29.49,-41.767,-14.658,-25.139,7.244,8.397,-1.626,0.922
56.512,112.25,-20.966,-2.914,10.795,-32.719,29.062,-12.949,-13.434,6.418,-4.949,36.073
54.876,86.843,-7.185,-11.93,-32.433,-39.947,-9.679,-26.856,-11.024,6.298,-20.996,30.833
54.771,115.194,-29.006,-42.201,-13.418,-12.442,-6.531,0.938,-0.059,-22.234,6.896,-2.589
54.722,114.9,15.762,-4.546,-17.326,-39.578,-7.589,-17.054,2.327,9.428,-4.428,2.422
54.605,67.737,19.442,-15.184,-11.486,-20.426,-3.856,-1.912,4.078,6.354,-17.765,10.244
55.639,100.703,-33.57,-19.65,8.498,-16.53,-8.651,-13.831,-13.882,-12.239,-13.773,5.909
53.542,61.598,-15.733,-19.241,-6.483,-27.278,-14.231,-13.338,-15.617,8.48,-16.472,13.592
54.431,99.773,-31.329,-34.063,3.866,7.23,6.785,7.821,-20.096,-47.467,-1.101,11.673
54.479,102.852,-31.179,-24.461,3.185,-24.426,-11.841,-2.533,-9.276,3.375,-0.36,-1.155
53.577,58.385,-13.002,4.921,-14.964,-53.89,-18.193,-4.553,-10.569,28.592,-7.781,21.422
55.028,134.693,-30.031,-19.136,-0.421,-59.095,-16.654,-7.463,-5.54,10.108,-8.677,12.8
54.593,135.206,0.42,-44.405,-17.04,-28.178,-11.932,-1.468,-11.554,0.97,-0.968,2.131
55.694,97.801,-6.93,-13.374,-28.173,-18.157,-5.898,3.471,-0.366,3.464,-15.98,9.35
54.331,103.605,-22.985,-23.372,-15.351,-15.619,-4.475,-17.891,-1.323,-20.285,-17.952,1.947
54.596,83.847,-13.87,-8.53,-26.625,-31.024,-28.584,-2.367,-9.152,10.003,-22.228,7.031
54.1,88.852,-36.93,19.522,-11.884,-41.865,-8.809,-16.851,-3.141,4.587,-29.511,17.645
55.265,117.17,-26.772,-1.017,-12.442,-38.728,-1.382,-14.817,-2.932,7.832,-1.547,9.744
55.764,144.886,-17.327,-6.256,14.139,-55.95,-2.596,9.183,7.493,-0.799,-3.092,1.713
56.191,145.638,-15.613,-21.022,-27.59,-22.807,-24.738,-19.914,-0.4,10.925,-6.777,7.987
54.726,111.088,-4.312,4.222,-19.538,-43.733,-25.544,-18.164,8.801,13.689,-3.04,14.717
53.864,106.438,-42.284,1.369,-7.039,-37.388,-24.599,-22.314,-33.438,-16.154,-5.502,9.569
53.828,103.439,-35.076,-38.625,8.649,-47.816,-14.615,-7.441,-2.249,2.109,2.472,17.471
53.498,99.658,-2.197,-17.041,-14.42,-48.741,-15.776,0.839,11.389,14.0,-7.371,10.79
55.211,152.212,9.116,4.706,17.598,-48.551,-5.947,-3.958,-0.972,5.284,-10.316,10.064
54.324,84.903,-27.653,7.604,-59.728,-39.192,-34.306,-36.691,-29.259,12.253,-15.579,6.156
53.433,56.908,-8.19,-58.798,-32.316,-22.289,-15.704,6.307,-1.887,-8.508,-7.75,11.356
54.557,38.59,1.402,-7.794,-12.764,-52.195,1.128,-0.815,9.994,22.936,-21.398,10.073
56.199,117.703,-14.741,-16.966,-20.56,-39.424,5.727,-17.817,-8.621,12.426,-3.314,46.563
56.241,94.304,-3.267,-18.415,-13.173,-25.513,20.977,-14.435,12.591,-1.967,-1.616,51.205
54.414,68.385,-21.759,23.536,-27.182,-29.097,-1.278,-27.235,5.26,1.112,-10.432,30.116
55.194,111.887,-36.731,-39.034,7.44,-8.82,-3.125,-9.314,11.812,-17.824,29.229,0.092
54.42,62.568,-17.383,10.092,-35.912,-44.792,-29.409,-32.008,-17.26,18.636,-10.608,6.997
53.352,57.764,-11.768,-15.047,-15.152,-31.738,-4.039,-13.516,-17.767,-1.66,-5.781,9.151
54.15,74.629,-11.143,-0.521,-25.17,-30.048,-11.615,-14.179,-14.521,6.005,-1.432,17.476
53.322,80.057,-30.859,11.982,-28.534,-54.626,-30.588,-37.45,-29.252,18.251,-10.029,13.692
53.645,59.185,-8.036,2.093,-17.958,-38.609,-12.544,-18.689,-20.688,24.186,-6.541,5.437
55.992,151.613,-19.079,-12.935,-2.768,-51.6,-1.151,-16.625,-18.032,-5.97,-10.042,28.601
54.88,80.468,-5.778,-3.321,-34.809,-11.282,-15.72,-27.91,-21.327,-1.702,-6.075,-3.212
55.501,115.03,-26.607,-31.798,-6.383,-8.469,5.428,1.253,-10.638,-43.992,10.096,3.326
54.939,90.65,-29.122,-9.684,0.73,-25.961,-0.176,-12.219,-8.723,-0.662,-12.605,4.849
55.49,85.717,-14.325,-6.502,-6.875,-32.055,-11.267,-19.081,-8.098,4.836,2.945,6.006
54.567,74.608,-21.832,1.64,7.379,-35.109,17.575,-14.624,-25.125,-0.508,9.103,30.318
54.099,103.919,-22.884,-26.355,-10.454,-35.423,-23.188,0.517,-3.652,14.741,-9.382,9.167
56.089,101.35,-8.642,-3.994,5.646,4.133,-18.967,22.633,-30.517,21.192,-8.521,-29.454
57.347,129.005,10.615,1.209,3.534,-12.953,-21.615,3.141,-15.927,-9.87,-9.025,5.898
57.137,103.981,20.97,-0.295,-21.515,-30.779,-20.908,14.954,-1.919,14.817,-29.81,-6.803
57.233,119.191,-3.507,-16.51,-20.165,-29.682,-31.296,3.259,-14.976,-1.042,-1.019,-5.474
57.232,115.522,16.176,-27.178,-32.999,-12.126,-17.595,-10.368,3.224,-2.046,-14.424,2.181
57.57,119.865,15.016,-22.504,-16.955,-16.324,-10.3,9.086,2.917,-16.306,-6.456,0.545
56.863,108.382,38.907,6.061,-36.08,-31.232,-15.458,24.172,-11.212,-11.65,15.126,-9.204
56.6,111.876,24.367,2.313,-11.983,-25.223,-27.868,-13.508,-18.712,-3.421,-2.57,-7.575
57.159,113.081,82.113,-14.496,41.716,-35.221,-22.186,28.814,44.673,7.968,3.035,-4.392
57.877,142.247,18.621,-9.907,29.245,-27.48,-17.647,-17.691,32.433,25.165,-20.805,28.919
57.28,120.51,6.577,7.348,-24.111,-27.284,2.339,-14.203,-20.273,-3.389,-13.818,9.533
56.979,117.46,17.654,-10.109,-26.478,-18.391,0.704,-7.877,8.848,-13.038,-2.982,0.914
56.747,88.523,27.554,-19.823,-0.972,-1.386,18.078,33.977,-0.341,-9.49,2.452,15.971
56.989,81.225,26.303,-46.242,16.385,-5.494,20.378,6.695,-2.527,8.708,-16.267,18.864
57.763,112.097,22.748,-19.201,19.691,-28.498,17.467,14.55,12.574,10.142,-4.203,26.169
57.202,103.388,33.617,-10.544,-11.233,5.987,19.956,-0.635,-15.588,-5.388,2.234,5.316
56.599,103.726,22.756,-12.045,-41.98,-18.808,-17.479,-21.271,-26.775,-0.566,12.189,-14.649
55.989,133.765,-24.932,-9.621,4.211,-56.985,-12.814,-14.174,-23.726,-8.541,-9.838,2.46
56.241,114.017,47.039,-4.934,-11.909,-15.434,-18.545,9.266,-26.509,1.551,4.082,-22.438
55.419,64.954,0.743,15.499,-26.048,-32.964,-9.799,-13.542,1.267,16.048,-19.995,11.196
57.026,86.927,16.889,-43.817,1.306,-9.659,-1.235,-5.55,4.162,8.738,-2.317,-8.797
58.686,97.148,16.776,-7.278,25.038,-37.907,5.135,12.086,9.666,5.133,-12.11,-33.956
57.11,104.477,-1.605,-6.701,27.568,3.015,7.749,9.208,1.55,8.336,-1.039,9.236
56.445,84.784,17.158,-39.583,22.048,-12.139,-14.659,6.808,-2.981,23.257,-8.841,8.955
56.121,129.902,16.748,-35.574,-8.305,-9.514,-21.087,-13.257,-5.597,0.613,-9.601,-9.316
57.112,102.914,32.804,-15.039,11.944,-18.974,-12.416,-13.537,-14.345,2.098,-3.09,-1.839
56.415,82.484,40.77,31.891,8.984,-32.741,3.421,-23.098,9.236,11.661,-14.577,5.488
56.757,94.968,41.956,17.805,-26.377,-18.876,6.848,-12.056,-24.459,-3.005,20.388,-5.437
55.571,105.018,57.981,15.335,4.32,-23.371,19.949,12.164,-27.192,-14.816,-17.888,-7.177
56.996,116.983,84.436,1.548,34.21,-22.743,-11.286,-15.785,-9.454,19.379,-1.421,-16.845
56.955,105.072,41.114,-5.573,1.205,-30.864,-2.301,-7.917,0.318,27.556,-18.872,-2.421
57.064,81.189,22.441,-29.882,20.693,2.735,32.166,22.054,3.091,-4.198,5.668,6.278
55.285,104.943,-17.938,-34.18,24.044,-49.405,-3.285,-6.979,-10.153,0.219,-9.747,-11.686
55.967,100.691,18.791,-19.626,45.402,-27.49,-24.92,15.753,-9.199,11.398,-7.454,6.834
56.953,57.412,15.658,21.5,-7.326,-33.184,1.083,5.952,-7.509,9.825,-15.822,12.931
57.576,90.756,19.086,7.133,3.844,-33.475,19.228,-0.23,-15.479,-7.252,-15.147,16.604
56.284,138.228,-7.975,-18.162,-47.688,-36.216,-41.622,-7.113,-15.45,-16.994,9.461,-0.11
56.915,123.669,13.375,-24.951,-29.099,-5.516,-4.729,-29.322,-13.661,8.193,-25.015,14.777
56.815,114.38,-10.492,-30.876,9.67,4.494,0.091,14.913,0.474,-23.691,8.556,-3.237
57.466,95.681,31.652,-3.73,-27.503,-42.141,-9.844,6.269,-39.831,0.792,-5.013,-23.401
55.175,56.086,-2.484,-8.146,-11.79,-19.731,1.264,-14.767,-13.662,2.773,-27.38,-16.301
54.449,82.666,-17.79,-39.298,-9.413,-9.629,10.012,-7.94,14.269,-23.96,14.254,-3.456
54.462,81.375,-33.749,-1.65,-13.933,-31.747,0.617,0.379,-0.758,-12.71,0.043,21.527
56.323,93.284,-13.722,-49.611,16.495,7.534,1.381,6.786,-5.69,-1.264,2.785,-9.519
56.394,89.617,10.697,-40.111,10.27,-20.073,4.373,-24.343,1.122,-6.976,-3.901,8.709
56.23,90.387,13.718,-6.446,2.106,-39.223,0.812,17.842,2.626,-14.19,-9.082,5.927
56.959,99.93,17.035,-43.408,-5.747,-11.297,-1.644,-11.988,-4.33,9.456,-11.009,8.242
58.221,102.565,47.157,-14.931,13.457,-20.994,14.565,0.805,16.712,-11.562,-13.55,-4.341
57.186,99.629,52.647,18.026,6.211,-27.184,-8.847,10.816,1.141,19.319,-33.284,7.787
56.393,117.363,69.49,28.272,33.899,-49.878,15.609,14.817,-8.167,13.048,-5.972,6.731
57.335,81.107,30.246,3.207,3.311,-10.768,32.911,-1.428,-13.891,20.75,-8.218,15.381
56.626,82.832,2.765,7.945,18.42,-30.199,19.105,8.71,-14.225,-7.446,-15.52,7.02
56.092,94.687,-6.892,-29.733,15.221,-29.888,11.786,31.566,4.742,6.804,6.243,34.34
57.917,69.881,47.813,0.749,4.266,-46.832,29.025,8.026,-33.663,9.643,-11.707,-7.924
57.732,91.004,31.506,-19.722,3.372,-31.734,5.097,9.439,3.937,-5.086,-5.233,-23.957
57.988,102.286,26.284,-3.395,19.72,-46.275,-4.873,10.06,-10.887,8.716,-16.334,-39.365
56.65,126.671,22.383,22.932,10.817,-40.441,-17.157,-9.427,19.862,-3.615,-6.733,11.379
57.501,108.943,6.663,-19.375,-22.173,-12.813,-14.103,15.149,4.169,2.926,6.265,12.161
57.347,124.58,20.088,-54.905,-23.007,3.276,-28.179,1.722,-8.49,-4.308,-5.663,-13.684
58.6,116.687,37.005,-2.055,-14.83,-18.416,8.428,-6.681,-5.69,-0.376,-19.529,21.519
56.252,112.646,-13.47,-33.138,25.494,-33.469,1.186,-8.268,-4.68,-8.828,4.462,-3.696
57.897,112.432,47.547,-24.349,7.807,-24.507,-30.437,-15.092,7.791,-5.053,-1.011,-27.648
58.454,88.691,46.491,-6.021,-10.017,-29.172,-9.621,-7.94,2.409,13.047,-16.431,-39.952
57.102,112.037,4.202,-11.847,-10.996,-37.28,-27.788,37.143,-11.528,1.058,-15.566,-23.328
56.852,101.905,-1.526,-4.967,-4.409,-9.414,-0.975,11.812,-12.228,17.76,-21.582,2.806
58.3,118.656,8.623,-21.527,27.627,-24.555,22.99,5.526,-3.328,8.576,15.698,13.273
58.478,95.983,31.005,6.4,8.163,-34.088,0.328,31.649,5.773,4.547,-9.324,4.709
55.895,120.133,17.437,-9.278,-38.973,-27.417,-33.187,-20.029,6.259,-1.333,7.076,-3.204
56.974,110.348,44.721,-33.106,11.71,-23.698,-5.984,0.121,9.884,3.403,-19.625,1.834
57.001,77.175,62.792,1.549,7.89,-17.133,25.061,17.908,-33.094,22.271,-3.431,6.546
55.643,97.928,30.766,16.326,-1.517,-31.065,0.141,23.071,-23.174,-2.299,-9.215,1.671
55.895,110.927,68.657,-15.673,-5.217,-27.03,-32.53,-6.803,-14.535,18.304,-8.762,-33.85
57.341,104.469,62.808,-4.906,-17.406,-23.286,-8.21,-2.221,-22.156,6.366,-21.193,-5.138
57.221,116.439,-8.074,-5.382,-11.182,-28.584,-6.051,11.381,-14.484,-2.645,-16.121,4.528
57.167,83.839,-7.435,-25.494,11.755,-35.479,-10.376,10.748,19.769,6.208,-18.817,11.277
56.736,82.654,1.93,-25.686,-10.256,-22.536,-6.277,-15.518,14.297,19.076,-8.53,19.447
57.525,93.265,5.731,-5.988,1.527,-39.102,-7.045,-4.36,17.549,7.961,-9.49,18.663
57.613,131.775,23.163,-22.708,-34.247,-29.595,-37.736,-3.913,-6.86,3.152,3.565,4.334
56.419,115.637,-1.888,-4.91,-23.176,-21.196,-28.218,-9.861,14.067,6.264,-11.133,3.556
57.815,85.956,26.713,-36.523,15.35,-35.539,-14.023,26.214,5.877,2.074,-3.246,2.874
57.455,105.809,25.461,14.786,-10.954,-43.223,-7.445,-0.402,-2.514,26.573,-13.481,14.334
57.728,86.667,32.856,-23.492,31.388,-19.632,2.736,-24.703,13.419,17.998,0.775,4.527
58.108,51.478,45.449,21.96,-1.317,-29.243,9.871,-0.969,-3.264,10.279,-14.527,-4.52
57.425,63.565,26.859,2.629,29.007,-42.941,19.471,39.64,-32.045,14.651,-12.88,-1.718
57.18,85.963,23.07,-12.298,4.522,-9.613,6.895,-4.896,-19.377,4.404,-12.077,4.246
56.908,103.737,13.08,-45.555,11.004,-35.641,11.099,8.001,-10.009,-9.075,10.388,10.454
57.987,103.141,12.022,13.518,-2.191,-42.73,0.175,-4.276,-10.058,6.828,-16.321,9.665
56.268,102.068,-17.126,-26.448,-13.04,-25.386,1.337,-9.96,-4.258,-1.672,6.652,0.529
58.301,96.648,19.437,-26.004,11.566,-33.362,24.857,2.627,-14.281,3.663,-3.908,12.501
58.68,76.253,37.923,2.767,18.298,-48.941,16.621,4.688,6.922,12.53,0.331,-1.166
58.003,81.684,43.057,-23.888,28.852,-35.876,26.758,12.78,2.426,-15.674,12.735,10.09
58.003,105.038,6.176,6.054,22.082,-30.338,1.578,17.14,-20.789,14.22,-12.794,3.675
55.76,76.341,30.224,-13.947,3.644,-23.153,-15.735,-20.961,8.89,13.927,-22.929,14.407
54.938,69.04,1.987,13.016,-33.082,-35.264,-23.297,-35.806,-9.997,8.748,-0.913,5.206
55.751,123.485,-26.184,-15.75,8.544,-55.12,-25.721,-15.689,-9.422,-4.775,-0.549,4.906
54.917,81.408,0.097,-24.149,-31.098,-22.899,4.597,-2.625,-1.512,15.886,-4.636,13.106
55.826,58.864,26.562,-48.537,-2.204,-30.3,-3.54,11.467,-5.496,17.162,-8.238,17.765
57.106,77.14,12.045,-29.807,-5.289,-40.469,-36.597,5.588,-0.678,-8.13,-4.631,11.339
56.67,125.504,-2.275,-25.151,-48.333,-40.567,-45.32,-9.05,4.103,-4.068,-5.304,-9.387
56.952,116.017,1.243,-0.732,-22.653,-27.378,-7.998,-13.04,-20.853,0.219,-9.359,-8.654
58.152,80.455,46.171,-1.202,2.33,-25.4,-10.763,9.441,-7.463,-1.688,-2.191,3.537
58.181,89.388,43.227,-4.316,12.838,-41.036,18.445,-5.751,1.853,7.482,-9.086,-14.79
57.764,96.081,21.073,-7.658,2.017,-25.517,6.019,-1.997,-7.638,1.692,-13.061,6.305
54.908,59.683,-2.805,7.63,-40.813,-45.421,-10.396,-24.807,-37.149,12.106,-12.572,-4.009
56.819,112.759,-34.124,-19.217,17.519,-52.392,2.242,-4.525,-5.535,1.433,-1.507,5.89
56.19,95.444,12.802,-29.248,-7.999,-17.94,-6.12,3.185,18.816,-5.969,-8.365,1.019
55.212,62.82,-8.851,-12.967,-26.094,-29.917,-10.008,-3.275,-8.137,-12.237,-2.429,-0.823
54.751,107.331,-28.098,-25.272,-30.737,-41.394,-4.988,-18.887,-32.444,-4.964,-4.498,-11.266
54.802,52.497,-4.223,-14.927,-26.289,-15.318,3.993,-17.187,-7.394,12.761,-21.142,-4.439
54.823,88.279,-25.144,-28.15,-22.695,-23.724,-9.401,-0.87,8.752,-14.687,12.403,-3.691
54.979,45.447,6.002,-20.333,-9.197,-48.774,15.831,-5.116,13.211,12.677,-6.849,22.749
54.027,46.477,-17.486,9.733,-30.573,-58.654,-15.212,-27.522,0.015,11.135,-20.447,19.289
55.133,87.823,-37.014,-36.927,21.31,-2.404,-1.913,10.336,11.03,-25.407,9.393,4.757
54.612,98.564,-29.69,-45.408,-5.449,-34.721,-5.839,-1.072,-7.866,-4.401,-0.46,-5.84
53.972,96.22,-29.036,-2.094,-43.394,-52.059,-23.083,-14.049,-1.542,5.623,-1.5,14.492
55.542,124.471,-22.265,-19.632,-1.428,-41.599,9.591,-11.912,-2.027,4.404,-11.518,13.988
55.007,101.172,-21.145,-8.984,-35.641,-37.117,-12.35,-15.491,5.471,12.541,-7.077,14.874
55.794,133.841,-25.977,-17.406,-18.94,-30.96,1.925,-18.223,-14.609,-0.758,2.203,11.403
55.444,74.595,-1.428,-30.832,20.886,-35.887,-5.316,4.679,-0.131,20.227,-15.179,-5.724
54.528,75.405,-4.043,-4.944,-36.804,-44.635,-27.102,-31.736,-2.629,11.271,-10.877,-1.558
54.828,67.193,0.89,-26.307,-19.557,-20.388,-21.008,-9.974,5.542,-8.929,8.17,-5.878
55.036,75.762,0.492,-32.034,-31.386,-45.208,-39.311,-16.045,-4.489,7.33,-0.004,-6.986
57.334,116.306,1.239,-10.858,10.076,-42.362,4.044,-30.057,-14.237,7.094,-9.622,27.223
56.228,56.789,20.268,-10.63,10.021,-20.021,-6.592,-3.288,25.123,-13.682,-16.916,-5.488
55.64,67.677,10.352,-30.782,15.844,-19.009,11.41,-10.415,22.458,-30.556,-0.406,-10.927
56.462,74.244,-8.336,-0.859,11.694,-43.25,8.105,-19.848,-2.901,6.09,-4.892,-1.299
56.171,83.154,-6.673,-27.249,14.402,-7.347,15.391,8.568,2.259,-28.815,0.481,5.047
56.299,86.314,16.539,-14.914,0.052,-40.055,17.087,-11.09,-9.772,12.555,-9.958,2.612
56.505,108.013,12.88,-24.607,13.841,-55.397,-9.704,-5.138,0.774,12.979,-19.261,-14.793
56.376,105.736,12.826,-15.645,-15.303,-22.71,-12.349,-12.16,-10.09,-4.795,-9.423,-8.414
55.693,82.953,6.812,-7.092,4.411,-29.426,-8.469,-1.276,-3.122,-7.826,-10.187,-10.039
55.241,93.379,7.969,-2.456,-9.311,-24.785,-26.324,-20.785,-17.367,4.999,3.168,5.668
55.615,77.829,0.642,4.729,6.4,-25.858,-18.535,-15.547,-21.797,-9.607,-8.531,28.216
56.281,100.582,-1.351,0.195,2.355,-12.409,-17.871,-5.351,-16.206,-3.405,14.06,14.598
56.51,123.951,-10.531,-20.897,-4.03,-4.099,-0.947,10.342,-0.767,-5.195,9.838,-6.503
54.988,109.81,-3.031,-20.258,-12.971,-50.793,17.479,-10.048,-4.231,10.834,-14.636,-9.227
55.358,106.978,-1.229,5.127,-24.434,-36.916,-1.243,-10.85,19.412,8.696,-0.96,8.195
54.141,108.973,-29.051,3.049,-5.577,-43.537,0.712,-10.744,-15.253,-4.191,-9.017,-5.858
55.207,83.147,1.072,-38.259,18.048,-29.816,-2.775,-18.979,12.043,15.266,0.112,-12.296
56.03,84.69,3.507,-17.293,20.417,-28.339,6.207,14.797,13.373,-20.117,-14.254,-14.288
55.148,70.718,-9.027,-19.869,-34.084,-34.99,-25.571,-19.828,-14.123,11.835,-13.631,12.953
55.233,84.011,-10.665,-23.925,-30.281,-22.783,-32.361,-1.206,3.522,-9.677,2.008,-3.116
54.824,68.611,6.602,-11.639,-31.564,-46.916,-19.583,-9.282,9.933,24.866,-6.162,-7.288
56.978,100.688,5.974,-15.532,1.209,-44.196,4.3,-30.414,-5.197,14.661,-8.387,25.624
55.401,67.177,18.038,-33.954,25.448,-12.455,13.552,3.191,25.487,-39.637,5.483,-8.867
55.514,41.789,27.08,-13.776,7.445,-36.32,-10.045,-1.987,3.064,13.157,-6.604,-14.406
55.844,51.912,23.823,9.124,14.664,-19.327,2.974,-40.535,-16.041,1.139,9.047,-9.768
54.612,34.586,22.4,-8.222,7.994,-13.238,-3.396,-31.115,-13.394,-19.315,-5.701,-12.259
57.167,106.159,-3.38,-8.31,34.131,-43.064,-7.788,-28.977,3.552,0.181,-10.76,-5.989
56.565,86.903,-17.045,-15.403,9.622,-33.183,2.162,-7.272,-4.5,-6.44,-11.102,-6.877
55.395,90.357,-11.223,0.646,-4.167,-34.563,-12.059,-18.581,-18.462,-3.622,-19.006,-6.018
54.983,67.933,-5.187,-4.216,12.078,-39.681,8.761,-18.864,-28.065,8.261,0.663,18.928
55.528,58.889,-11.488,-11.273,2.509,-34.695,-41.265,-6.277,-0.0,2.373,4.473,-13.627
56.412,75.252,-2.96,-14.019,12.831,-26.212,-36.12,23.874,-14.922,15.396,-15.431,-6.455
55.859,120.845,-29.28,-12.994,30.726,-51.171,6.151,9.778,-4.902,10.641,-14.203,-0.561
56.842,97.233,13.958,-20.327,-14.713,-23.273,1.179,10.529,-28.286,30.736,9.992,3.367
57.818,153.249,13.172,-26.65,-2.007,-37.995,-12.847,-16.116,8.813,11.125,-6.742,-12.891
57.881,127.451,32.553,11.622,16.05,-32.693,-1.282,-3.386,15.415,22.866,-22.268,4.607
56.69,136.176,7.018,-0.608,0.107,-18.041,-51.194,9.713,7.096,-13.515,-12.435,-13.246
55.516,123.3,29.394,-41.328,20.436,-10.965,-21.085,-13.034,-18.006,12.569,-16.092,-3.755
56.659,102.749,2.491,-8.543,-35.015,-18.476,-8.774,-9.259,-30.375,-8.648,4.614,-0.786
56.883,57.361,16.52,-10.623,9.536,-35.946,23.727,2.365,-32.162,-14.731,14.724,-0.896
57.493,100.778,26.698,-6.416,-30.091,-18.926,-1.467,6.061,3.217,-13.21,-14.415,10.935
55.933,109.376,-13.427,-25.672,9.122,-38.049,15.775,-8.51,-11.126,-8.297,3.415,12.744
57.625,78.294,25.148,-32.173,3.04,-4.377,5.934,-5.441,-28.186,2.8,5.828,-0.422
58.169,109.421,31.722,-0.816,-9.44,-43.772,-0.107,-0.616,-20.995,-1.794,-5.498,-16.965
58.186,91.905,51.867,-9.209,-7.815,-30.301,17.864,11.027,-13.839,14.402,-6.845,12.207
57.093,82.702,39.452,2.683,-7.213,-23.305,23.438,9.344,-14.088,8.927,-14.36,4.751
56.599,102.97,-12.214,-20.244,9.633,-44.559,17.676,-11.13,2.789,1.232,-2.127,1.887
56.151,79.468,0.104,-21.601,-5.36,-27.188,8.238,5.272,-16.783,9.239,-14.416,22.859
55.313,121.65,-19.002,-61.417,-1.32,-17.682,-22.184,-12.101,4.675,0.357,-16.285,-1.331
56.51,85.241,-1.585,-16.768,18.831,-18.709,-44.758,36.835,6.537,4.105,-5.515,0.707
56.048,118.705,0.164,-37.188,-14.419,-12.895,-31.269,-16.646,-14.592,12.462,-10.262,-7.101
56.367,81.024,44.113,-21.362,3.489,-25.396,-17.138,-2.78,17.409,16.821,-24.365,0.05
54.237,96.413,7.063,-17.027,14.438,-21.863,1.328,4.217,-12.32,2.443,10.623,-0.586
56.596,58.125,49.236,-28.617,58.215,-14.89,-44.521,-7.808,18.453,18.453,-2.916,-7.506
56.878,73.758,41.609,-7.426,35.564,-37.456,-11.393,32.337,14.591,27.454,-22.145,-6.679
55.831,98.766,-8.939,-40.954,-2.153,-24.559,6.464,-27.11,-19.356,29.059,-13.275,6.16
57.355,68.966,15.435,-12.271,2.542,-30.051,9.971,-5.916,-5.207,16.936,-13.77,-5.691
56.05,85.705,-4.027,-24.561,11.996,-46.754,8.249,-3.141,-5.53,12.353,-10.563,1.169
56.857,97.722,7.608,-17.191,-10.305,-17.336,-43.204,10.903,1.324,2.417,-0.063,-8.692
56.804,102.013,25.246,-40.035,-16.309,-16.838,-7.568,-3.593,-2.723,2.535,-0.629,-4.751
57.565,77.771,41.109,4.001,-12.794,-26.431,5.764,0.477,0.155,3.037,-16.419,11.304
56.682,115.556,18.973,-9.026,-43.199,-33.581,-34.191,-12.143,-6.082,0.388,-12.359,-14.032
55.275,57.868,12.709,14.913,-32.376,-46.116,-20.783,-18.83,-32.695,14.792,-11.275,2.787
55.671,83.557,18.68,-74.08,11.42,-10.495,-8.368,9.808,-5.748,-15.361,-11.915,0.266
57.252,98.434,34.244,-19.847,-9.324,-31.865,-9.012,-14.36,6.416,5.132,-4.183,0.882
56.664,74.901,41.644,-4.062,-17.467,-27.623,11.234,2.703,-14.945,0.329,-20.26,10.155
54.988,95.658,-8.442,-27.046,-18.16,3.569,-9.501,7.71,14.39,-21.874,12.878,-4.005
55.316,69.074,20.186,-17.333,-10.901,-46.801,12.321,-7.498,0.304,8.294,0.499,28.174
