0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
53.669,65.258,-18.449,-27.016,3.321,-34.002,17.703,35.261,-2.468,8.039,10.036,9.159
53.502,62.017,-4.983,-14.173,12.947,-58.349,25.612,21.49,-5.92,17.471,-7.842,11.956
52.535,50.993,-20.436,-3.161,8.249,-63.209,5.61,11.601,-11.539,1.188,-12.495,17.475
52.664,47.656,-17.975,-25.007,-13.249,-61.332,23.359,10.683,-14.671,1.259,-8.856,32.216
53.458,63.652,16.544,-3.999,11.258,-40.734,36.989,12.219,-11.452,-0.048,-0.94,18.054
51.942,75.985,8.881,-15.349,-0.084,-35.924,29.125,18.747,-10.196,-5.56,-8.479,17.495
53.962,52.71,-11.908,15.973,5.273,-54.444,-0.46,5.918,-14.018,-2.891,-14.077,13.242
50.582,41.269,-19.627,15.996,-7.046,-40.383,25.901,-2.941,-17.718,-7.45,-11.353,18.837
52.929,48.772,-0.809,-11.088,-1.294,-63.752,31.484,9.766,-11.627,9.481,-8.621,18.791
52.968,42.004,-10.666,-11.575,-8.097,-59.863,19.397,-2.786,-5.043,5.172,-22.077,10.424
51.339,45.43,-34.85,-0.921,-0.799,-64.334,0.455,-2.021,-5.575,-0.78,-22.681,9.963
52.847,57.544,-6.174,-9.543,-6.016,-60.469,25.382,15.63,-15.58,9.63,-11.673,23.09
53.655,62.978,32.967,-0.822,24.269,-34.62,25.095,12.25,-12.266,3.886,1.408,15.127
52.834,62.582,7.998,-19.711,9.782,-36.38,23.58,32.003,-5.293,-4.512,-12.416,15.529
53.59,60.802,-4.607,7.699,-4.088,-60.501,17.912,-0.404,-10.975,-2.733,-16.073,16.864
50.717,53.728,-5.532,28.301,-10.473,-45.082,40.175,-8.538,-14.768,-0.927,-17.43,6.193
53.019,54.551,-5.427,-9.095,-1.333,-55.72,36.122,7.974,-11.558,17.157,-4.188,21.571
51.913,56.842,10.34,-11.24,-1.704,-27.716,41.718,3.147,-3.133,-2.464,-15.096,15.269
51.552,43.381,-27.346,11.509,3.122,-67.001,-6.746,-1.166,-3.345,0.654,-14.291,21.026
53.432,60.758,-4.797,-3.33,-4.691,-56.296,32.053,15.389,-14.205,16.536,-6.744,9.198
53.032,60.69,18.605,3.775,10.919,-44.527,33.056,11.469,-8.288,5.384,-3.205,16.745
52.768,80.965,-18.575,-5.459,3.071,-50.905,30.785,30.268,-4.524,6.622,10.437,17.335
53.619,66.886,-7.222,17.412,3.464,-34.806,24.89,11.022,-11.728,15.311,3.458,18.544
49.886,46.49,9.695,9.188,0.748,-34.549,40.424,6.961,0.235,-14.072,-12.701,12.448
53.132,59.958,0.111,-10.017,4.56,-49.498,27.649,5.932,-6.13,14.662,-3.784,18.059
52.194,41.688,18.728,-18.218,11.951,-32.651,34.182,6.566,1.905,0.65,-15.44,9.406
51.968,38.594,-32.599,14.646,0.311,-36.13,13.41,-1.185,2.906,-4.341,0.84,5.656
53.009,55.953,-7.782,-15.302,-8.231,-58.999,32.213,15.347,-6.517,4.613,-18.27,11.16
53.242,57.086,-5.147,-17.636,-1.204,-55.839,25.217,8.008,-5.059,4.754,-15.792,16.376
51.962,53.984,-1.414,-3.003,5.522,-11.805,17.517,6.234,-11.43,-17.996,-28.764,19.954
53.799,58.55,-1.198,7.744,0.944,-49.449,1.197,-6.74,-22.038,3.994,-16.003,13.314
52.577,57.626,-28.844,25.09,-5.096,-56.283,3.505,-1.787,-14.583,-0.549,-12.868,19.337
53.165,65.108,-4.81,-4.92,-12.237,-57.192,28.763,6.232,-14.407,13.28,-11.746,19.187
52.907,50.511,-9.445,-5.762,-11.925,-65.842,9.414,3.083,-6.225,22.167,-8.812,11.318
51.86,44.139,-16.435,7.676,6.869,-19.24,12.494,4.287,-11.606,-3.311,-3.319,7.606
52.744,62.103,-8.434,-9.846,-7.758,-53.882,26.21,-4.016,-13.281,10.13,-2.934,16.766
53.454,83.052,41.885,8.998,16.768,-50.774,18.273,2.599,-13.113,6.511,-9.843,15.537
52.293,74.244,-29.819,-34.266,-0.154,-69.632,15.767,26.216,-13.696,20.346,-15.376,29.727
53.767,58.366,-8.178,10.046,15.969,-25.495,15.891,-1.574,-8.694,16.754,7.53,9.524
50.314,42.831,0.695,8.473,7.184,-31.014,26.502,4.362,-0.206,-18.024,-9.95,11.369
52.7,61.4,-7.608,-9.421,3.399,-44.459,24.23,2.201,-12.485,1.496,2.733,25.684
52.863,44.344,-8.786,-10.724,-9.504,-57.672,15.575,6.079,-0.811,4.393,-12.876,2.139
51.285,31.915,-12.272,-9.033,6.771,-17.079,22.743,12.011,-5.861,-8.527,-25.011,11.917
53.1,47.78,-14.413,-21.432,2.846,-62.225,19.15,2.121,-4.796,12.083,-17.184,14.78
52.101,65.545,18.232,-27.37,9.022,-25.886,20.465,19.748,-9.617,2.443,-7.64,16.187
52.136,99.953,3.323,-30.069,6.378,-22.086,19.532,19.84,-16.223,-2.04,-18.686,15.348
54.105,57.291,2.021,12.361,9.574,-50.299,12.779,-1.245,-10.85,2.199,-18.677,15.424
51.022,41.347,0.939,16.282,6.983,-50.543,20.223,-7.909,-3.807,13.752,-13.864,9.84
52.675,59.417,-14.659,1.176,6.045,-30.644,25.879,5.829,-4.984,13.17,22.621,9.106
52.643,48.671,1.709,-2.891,4.578,-58.845,16.548,9.498,-1.723,8.106,-14.889,7.948
51.326,49.144,-29.605,6.384,4.979,-32.007,2.73,0.464,-10.231,6.812,-3.493,7.371
52.917,64.784,-6.443,-9.728,0.637,-57.684,25.845,15.569,-8.919,23.075,-5.792,9.055
52.692,69.915,16.057,4.153,9.487,-27.169,26.533,10.985,-7.788,-0.271,2.359,4.921
52.518,87.55,-21.843,-12.651,8.457,-73.332,12.974,32.017,-6.094,10.097,-5.646,18.064
54.044,57.352,8.609,11.184,16.322,-62.386,1.504,1.523,-5.368,0.432,-15.989,15.055
49.944,34.219,13.107,8.592,19.514,-28.083,18.782,3.732,-2.222,-8.87,-17.813,9.509
52.863,58.854,1.244,1.434,-1.197,-59.16,25.635,19.609,-6.888,9.277,-14.19,23.084
51.74,54.084,25.219,-23.163,11.722,-27.714,15.765,1.164,-9.813,-1.491,-13.955,11.941
51.279,45.348,-11.322,8.939,15.553,-26.138,9.929,2.427,-6.511,-0.281,-0.459,14.366
53.034,57.622,3.076,-13.158,-0.287,-65.468,32.791,11.459,-16.188,1.98,-15.918,6.46
52.659,59.766,-4.307,-14.551,1.495,-59.201,20.99,7.557,-5.856,6.374,-18.645,5.644
52.546,59.853,-20.278,21.266,-7.53,-64.445,5.484,-7.091,-13.213,-1.054,-30.215,13.036
53.638,56.99,-2.462,14.168,5.076,-55.381,9.442,2.454,-10.171,10.286,-8.459,11.534
52.381,56.352,-29.726,25.377,-8.493,-52.888,12.843,0.912,-15.881,7.64,-18.658,25.411
54.792,65.646,2.066,-23.288,-22.818,-42.191,2.346,1.154,2.149,9.494,-4.474,3.492
54.641,47.968,10.106,-9.699,-10.028,-43.704,9.555,3.058,-10.806,12.892,-11.488,0.652
54.779,73.213,27.436,-2.249,4.462,-37.296,6.018,4.699,-2.559,12.243,-9.027,-16.572
53.687,64.233,4.275,-16.044,-31.6,-58.89,5.361,7.291,-13.754,9.154,-16.502,-3.27
54.937,70.092,11.88,-2.36,2.466,-19.284,-4.065,-3.253,0.657,10.609,4.025,-12.28
53.744,64.591,16.352,-12.469,9.094,-39.573,-19.941,3.191,6.076,9.405,-8.754,-14.525
54.407,66.086,10.88,-12.889,-15.821,-38.458,6.308,-1.186,-5.91,21.037,-0.326,-4.238
53.973,64.217,-9.172,-11.551,-15.748,-54.167,-21.131,-7.34,-2.009,11.317,-18.11,-0.707
54.42,65.305,15.872,-20.46,-20.329,-43.106,13.2,-3.743,-11.955,13.9,-9.241,8.845
54.698,86.628,19.424,-1.728,19.015,-38.502,-3.149,-2.609,-15.137,7.793,-8.233,6.806
54.388,69.751,12.578,-12.049,-24.572,-58.529,4.486,-4.373,-11.733,6.744,-13.314,-18.861
55.12,62.575,4.18,-3.743,-3.984,-49.693,-8.173,6.039,-3.267,6.396,-6.752,0.709
54.575,63.855,1.085,-25.675,-13.327,-41.635,14.39,-2.132,0.06,15.808,-12.598,3.149
54.143,49.104,3.663,-18.144,-20.349,-50.082,-2.992,2.185,-2.279,13.301,-11.639,-1.318
53.861,52.876,-9.276,-0.632,0.106,-48.524,-18.71,-10.973,-3.141,7.434,-16.429,4.471
54.248,73.757,6.606,-14.508,-6.82,-40.568,5.744,1.207,-10.057,10.691,-2.284,-1.661
54.171,77.085,19.822,-10.026,13.404,-44.139,8.173,0.235,-12.75,1.297,-8.972,4.143
53.276,65.719,18.136,-15.207,-1.563,-31.422,7.498,-7.538,-9.549,-0.801,-15.092,-5.608
54.7,62.672,6.163,-1.648,-1.907,-57.8,-6.915,1.893,-0.106,4.633,-11.696,-11.446
53.465,77.155,18.914,-13.261,-6.165,-41.469,-7.747,7.936,-1.659,20.784,-15.368,-23.533
54.709,73.906,14.144,-17.975,-16.994,-34.284,10.243,-1.157,-5.67,1.943,-14.815,1.0
55.046,58.19,13.569,-3.917,-9.072,-42.371,2.466,2.991,-3.321,20.745,-15.462,-5.722
53.769,53.567,-9.572,-12.877,-10.654,-52.42,-5.72,-4.578,-4.892,-3.785,-8.021,-3.053
54.981,85.926,9.445,-22.189,-7.884,-10.963,33.839,0.409,2.816,7.297,2.313,-1.867
55.201,79.32,12.872,-6.574,-23.734,-35.701,5.018,-4.146,-5.023,7.453,-14.224,-5.229
54.759,72.878,12.567,0.428,-7.059,-46.157,-0.482,2.689,-2.262,1.138,-10.064,6.098
54.556,68.189,1.843,3.186,-13.554,-47.968,-19.618,-3.574,-17.225,10.652,-15.769,-0.269
55.181,66.618,5.309,-19.321,-4.448,-49.494,8.551,0.523,-0.773,13.823,-14.394,-0.879
54.385,54.662,4.045,-9.917,-12.561,-33.675,-9.591,-2.607,-8.418,8.018,2.731,-3.296
54.875,64.7,0.962,-12.493,-18.346,-34.955,5.656,-9.719,-10.472,12.963,-1.784,7.296
54.368,73.09,17.955,-4.007,9.319,-41.144,4.153,-3.679,-5.607,-1.127,-5.017,-0.464
54.782,71.289,3.713,-2.341,-11.937,-50.161,-8.661,-1.522,-4.733,2.653,-16.942,-4.49
54.729,68.075,12.385,-19.904,-17.251,-32.204,3.107,-0.403,-3.685,4.687,-9.949,14.594
54.385,72.4,16.519,-8.75,-11.615,-33.065,16.004,4.194,-6.135,7.577,6.327,15.501
53.538,65.161,2.807,-32.863,-6.044,-23.099,-1.014,-3.657,3.437,0.276,-14.113,2.378
53.982,61.043,-10.998,-25.751,-17.553,-48.822,3.142,3.094,-0.309,16.767,-8.116,14.41
54.862,69.742,25.878,-11.505,8.188,-25.031,25.678,7.192,-8.908,-0.743,-8.071,3.786
54.066,65.596,0.521,-10.233,-14.6,-61.641,3.935,-1.059,-7.588,-1.149,-14.161,-6.052
54.199,69.263,15.448,-19.192,9.891,-9.275,-3.346,1.252,-8.272,8.177,-4.21,-6.945
53.595,72.818,25.92,1.004,-2.362,-36.714,3.633,-0.323,-1.338,19.187,-13.222,-8.477
54.384,56.125,0.347,-18.643,-13.872,-36.835,15.071,-1.916,-2.984,8.529,-12.129,4.446
54.123,62.161,1.402,-13.595,-18.845,-45.425,-17.248,-6.546,-10.594,3.113,-13.002,-4.914
54.693,58.716,16.978,-10.431,-7.794,-41.143,9.101,6.118,-11.215,5.496,-17.729,0.679
54.484,70.631,26.672,-16.467,7.797,-45.874,14.007,2.593,-13.049,3.352,-6.478,5.998
53.828,66.82,10.648,-16.324,-20.399,-52.822,3.517,8.024,-14.816,14.065,-13.398,-6.066
54.804,68.079,25.261,9.341,13.269,-55.456,0.234,-4.519,-7.013,2.909,-13.104,0.225
53.325,58.904,20.989,-9.587,9.959,-43.297,-9.364,7.755,4.792,12.957,-9.35,-17.226
54.137,66.06,15.806,-17.712,-21.264,-50.957,19.392,9.492,-9.773,4.19,-5.065,4.091
54.019,69.828,2.483,-27.162,-2.44,-53.106,4.804,-6.528,3.594,2.514,-11.471,2.84
53.553,60.936,15.692,-11.478,6.583,-26.523,-6.318,11.95,-8.264,-2.853,-13.466,-2.597
55.059,70.862,12.121,-14.21,-12.264,-40.07,6.956,8.607,-6.444,9.352,-11.748,-5.399
