0,1,2,3,4,5,6,7,8,9,10,11
7.985,67.151,142.974,-128.026,126.012,-9.699,72.468,-91.399,-39.626,47.911,7.501,-20.331
28.591,84.173,294.055,-39.196,92.482,-2.98,23.395,63.681,-11.593,-15.283,26.279,-17.778
33.083,175.895,261.277,137.972,69.055,2.361,34.685,-7.153,-37.102,11.306,-8.475,9.345
33.467,136.349,248.676,127.745,91.462,-4.689,13.696,-10.748,-37.092,-1.296,-17.79,20.087
32.654,134.326,210.343,136.017,70.89,-23.282,3.84,9.322,-26.539,8.096,8.794,3.204
31.474,116.1,249.367,95.268,81.863,-9.489,10.124,14.409,-21.275,-14.926,-17.735,-2.697
32.299,92.523,267.973,107.115,93.368,2.894,22.755,18.801,-33.694,-0.49,2.205,-7.593
39.046,115.204,184.042,125.961,63.203,-40.581,-0.758,2.153,-21.706,-19.787,16.327,-5.35
33.495,103.174,255.102,102.765,85.125,4.798,22.688,6.78,-45.97,2.364,-13.718,13.901
31.681,91.642,242.965,114.491,95.868,-2.841,15.408,8.388,-33.525,7.245,-5.29,5.815
31.095,108.349,233.202,138.705,94.627,-53.982,14.648,-12.57,-26.529,27.064,-14.505,20.024
30.059,96.831,247.057,97.244,103.922,-20.931,33.097,16.367,-3.232,4.401,-3.772,-5.539
37.735,99.532,189.432,121.81,74.324,-48.253,-5.22,2.681,-9.684,-9.305,6.118,-15.98
32.766,107.935,220.504,72.493,78.364,-34.512,9.327,30.077,-11.547,15.207,7.463,-11.445
32.873,185.628,218.871,134.244,55.303,-38.847,1.378,2.185,-20.12,-9.424,-20.989,10.97
30.693,188.316,269.66,89.234,75.691,13.003,46.938,11.197,-25.647,7.115,-14.914,16.156
32.705,174.709,263.424,119.419,91.158,-0.534,33.464,16.107,-12.368,16.933,-4.724,10.678
33.589,158.892,241.781,105.719,85.83,-47.141,8.628,12.583,-8.784,21.625,-8.897,-12.063
31.694,147.804,243.83,91.28,107.18,-25.061,22.42,4.797,-17.69,17.323,-10.679,1.022
31.94,115.56,252.864,110.018,86.27,-36.596,18.074,31.76,-21.997,-0.882,0.842,21.0
39.279,124.055,190.088,119.721,60.48,-51.016,-14.477,5.196,-18.094,-10.361,6.953,1.462
33.174,124.839,221.951,104.586,91.06,-25.463,-8.696,1.689,-13.601,11.537,-0.208,-1.146
31.438,92.839,224.946,108.917,92.887,-34.492,4.678,20.387,-8.969,4.458,-10.321,2.511
31.55,124.878,226.971,132.26,99.851,-31.94,10.636,-2.238,-4.276,23.701,10.854,-0.402
31.031,101.375,254.831,99.851,114.443,-33.683,12.775,23.208,8.299,5.875,-8.112,-3.334
38.137,120.416,180.98,113.141,68.453,-47.319,-7.918,3.575,-6.001,-10.905,6.803,-12.805
31.501,110.694,222.575,72.629,91.808,-10.644,-7.386,0.579,-22.996,12.322,-15.111,7.282
30.893,127.313,226.474,78.89,94.209,-31.351,-11.044,26.308,-7.326,8.628,-9.597,3.027
33.685,183.13,213.618,126.912,42.799,-40.231,-5.378,3.553,-30.104,11.715,-7.808,3.25
33.356,185.604,269.745,130.766,67.922,-21.223,28.294,8.051,-37.464,11.538,-8.662,11.764
34.465,170.226,258.651,98.2,83.208,-7.166,8.644,6.877,-30.581,-1.053,-8.078,11.658
31.486,133.24,250.123,88.11,85.546,-10.471,13.291,15.313,-27.865,18.193,-16.239,0.61
33.367,112.442,267.136,106.704,92.162,-16.732,16.122,25.657,-30.734,-4.541,0.709,-4.802
38.089,110.258,195.743,111.843,60.524,-46.227,-0.129,3.979,-24.212,-18.771,13.528,-6.652
34.015,115.193,250.785,101.828,86.473,2.111,13.47,22.678,-45.171,9.24,-0.724,15.628
32.275,99.019,243.415,119.278,94.991,-27.52,5.806,15.889,-28.636,-3.377,-3.155,4.68
31.389,110.414,232.923,136.367,91.787,-58.166,17.782,-2.813,-19.34,19.474,-18.204,21.429
30.787,106.599,251.396,89.299,100.84,-27.19,30.75,25.823,-3.414,6.853,-1.44,-7.091
38.891,119.838,186.799,120.768,72.683,-13.991,5.04,3.381,-13.243,4.826,29.072,-0.557
33.557,125.697,224.958,83.256,81.161,-31.414,19.523,14.904,-12.482,19.015,-5.396,0.553
32.702,106.12,224.173,70.897,72.817,-34.011,8.66,27.966,-15.214,10.974,3.584,-11.216
33.317,177.638,202.804,114.358,40.959,-56.774,0.942,8.08,-21.043,-5.605,-25.893,-4.432
32.667,168.385,224.451,44.969,44.821,19.276,39.332,-2.309,-16.875,3.629,-12.697,-11.638
34.449,150.187,219.992,43.928,38.784,11.204,32.922,0.779,-26.4,0.451,-13.434,-8.008
36.075,148.817,199.62,67.704,26.183,-24.702,18.645,2.889,-27.096,10.526,18.087,-9.932
