0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
40.219,-101.344,53.507,69.513,70.891,10.315,16.244,-41.243,1.455,32.464,30.843,-18.878
40.641,-32.71,76.519,113.759,62.1,-27.353,-4.795,-13.461,2.215,-12.938,-28.852,-25.273
38.635,-119.932,31.604,103.564,56.104,-55.04,-21.317,-61.697,-16.0,16.56,-10.091,-1.089
29.621,-100.286,38.358,102.731,67.34,28.897,-39.763,106.941,7.079,-73.655,-65.666,1.001
39.637,-92.918,51.677,67.697,76.183,34.597,8.556,-44.46,-11.436,61.098,54.951,-26.315
40.171,-36.294,70.454,106.765,53.734,-10.323,-0.785,10.002,1.467,-15.315,2.482,-17.958
39.803,-118.606,51.693,89.999,71.361,-73.495,-20.404,-60.049,-7.568,27.608,-39.361,-8.278
36.84,-76.426,72.221,93.113,52.618,11.094,-6.73,16.468,5.625,-29.036,-2.094,-11.67
41.12,-39.68,99.408,91.06,92.681,-6.863,6.666,-11.839,4.117,9.054,-26.229,1.31
43.044,-70.523,85.44,67.651,68.499,-37.542,-6.594,-39.819,-8.175,13.006,-23.341,-17.992
40.138,-39.961,82.093,127.04,66.132,-13.682,9.976,-19.224,-0.383,-21.066,-12.054,6.834
39.808,-102.876,68.954,78.799,72.203,-21.001,-16.467,-47.445,5.882,10.76,-17.781,-17.542
33.958,-17.312,32.374,225.819,68.766,-8.356,-40.46,48.631,-7.409,-40.065,-55.673,-2.642
37.126,8.674,133.528,-83.852,125.222,207.302,58.682,-0.313,1.924,44.695,64.266,-14.863
43.377,-48.137,115.418,41.709,74.968,-30.076,9.392,-9.091,19.864,-2.955,-11.982,0.128
39.248,-76.479,106.497,77.65,72.209,-19.056,13.977,29.321,14.47,-23.378,-40.041,-2.305
41.347,-68.456,38.507,64.294,50.77,-58.911,-34.51,-25.339,-14.532,21.617,-23.392,-3.778
40.02,-30.449,62.385,-51.783,50.702,-11.809,6.655,15.282,0.4,-10.033,-8.414,2.441
39.234,59.407,88.263,33.915,21.328,-67.829,7.608,9.332,-6.528,12.886,-10.795,0.452
46.293,85.271,119.254,21.877,54.593,-8.005,50.602,4.935,1.414,11.319,11.392,0.864
46.927,131.386,66.338,16.06,35.321,-24.8,-7.016,19.856,19.446,4.745,-27.529,-30.129
46.243,-42.284,23.103,44.671,26.101,-51.688,16.053,-42.72,19.522,30.789,-14.87,-21.094
43.661,-62.954,19.649,-12.866,58.12,-40.867,28.069,7.945,31.012,-9.679,-21.145,-29.128
43.377,-77.774,45.389,-108.895,49.165,-47.265,13.84,78.138,36.753,7.224,13.945,-7.684
48.135,58.727,-6.285,-32.887,86.57,-36.072,17.995,-49.745,21.164,-9.462,-29.796,-23.158
49.123,51.341,34.008,16.053,40.676,-33.548,-6.348,-18.647,10.268,-1.648,-18.286,-29.877
47.932,70.785,25.814,11.431,28.893,-29.133,1.47,9.168,-20.138,-13.377,-28.508,-5.107
48.313,61.884,25.789,-48.763,59.359,-12.967,-18.192,60.255,10.325,22.437,-16.171,10.808
48.133,34.384,17.295,41.062,68.322,-20.634,-5.704,-17.697,-1.862,15.465,-38.977,9.458
46.269,51.071,1.725,-29.829,60.956,-34.008,-35.647,-8.727,-5.014,22.398,-4.378,-5.75
46.6,70.525,26.248,-42.177,65.609,3.509,-20.849,-27.249,13.349,6.186,-19.263,-10.726
47.058,79.809,-15.006,-54.384,49.95,-9.501,-45.332,9.061,23.975,8.517,12.379,-8.501
48.534,141.968,9.926,-17.494,121.873,-31.843,-12.99,14.731,-11.757,8.95,-9.15,8.518
46.955,118.256,41.285,52.09,64.561,-25.814,-11.947,23.37,3.123,23.818,-23.719,-3.687
42.444,139.47,-43.248,-4.096,-15.925,-4.805,-59.105,23.217,18.807,-9.507,-11.566,-10.219
43.044,-72.538,82.0,38.196,59.633,-64.186,-7.037,-28.77,-5.878,40.182,-5.887,-19.904
42.365,-73.451,65.144,-12.384,77.771,-40.177,-0.619,14.804,22.067,-12.361,-16.2,-18.929
43.563,-57.747,33.39,-86.024,75.178,-43.574,3.865,59.865,22.325,-2.685,25.974,1.984
48.193,83.784,-13.039,-7.82,86.46,-23.514,-8.124,-50.878,27.284,-12.909,-23.954,-6.649
42.227,-22.81,9.667,65.412,68.395,-15.146,1.191,-1.947,-13.062,1.337,-33.255,20.746
45.798,-24.685,18.848,29.573,78.869,-23.947,-4.414,-31.156,15.536,-3.054,-33.941,-10.873
46.024,-9.27,28.6,-1.603,100.92,3.285,-2.042,6.426,11.135,-4.132,-21.728,-1.443
45.394,45.352,29.123,-68.83,103.212,45.578,-30.153,42.518,51.67,-63.466,-11.98,-15.844
48.916,99.315,39.539,-20.157,54.703,-15.761,1.183,5.615,7.385,-1.807,8.107,0.821
48.468,26.947,48.452,5.951,79.735,-44.762,20.93,-0.156,10.588,7.162,-30.126,-19.565
49.008,115.283,29.823,41.181,66.562,-36.041,8.893,31.552,12.911,17.333,-22.717,17.828
48.415,94.22,90.787,3.176,57.812,-25.756,26.298,35.735,-8.489,28.502,16.729,19.686
49.244,37.654,59.033,65.294,58.249,-42.052,2.45,-52.867,-5.825,16.774,-17.918,-10.267
50.718,76.767,24.377,41.329,70.263,-31.65,-21.512,-50.507,39.733,-0.152,-32.766,-0.361
48.389,31.629,4.2,-1.871,81.688,2.73,-1.273,-21.897,43.627,-35.77,-36.362,-5.125
45.743,-29.784,9.53,54.431,67.328,-66.962,-16.083,-59.889,22.741,9.274,-30.87,0.567
45.214,-53.572,50.66,-40.753,81.555,27.304,7.236,22.897,24.837,-54.844,-28.345,-11.108
47.674,27.389,60.405,-3.704,57.007,-3.897,15.369,17.621,19.368,-24.686,-30.415,13.822
47.003,103.764,19.311,-8.089,40.361,-9.947,-20.568,-21.361,14.952,8.281,-5.474,8.428
48.305,1.8,49.886,-1.477,50.44,-3.471,-1.584,-9.779,18.482,-21.153,-16.634,-14.426
48.145,35.687,15.883,58.297,66.761,-16.233,-16.803,-66.689,22.671,5.057,-41.806,-12.986
42.983,-31.792,42.603,-65.532,81.368,-44.484,-0.744,25.657,21.609,-4.716,-29.299,-24.451
49.013,48.284,41.786,39.635,66.503,-54.696,-7.477,-22.907,-22.315,29.33,-17.66,4.876
47.077,49.777,45.714,-4.064,75.283,-10.568,-10.015,23.049,4.577,-5.246,-21.112,3.186
40.055,103.913,-58.224,-39.26,29.136,-28.548,-29.476,11.523,10.132,3.104,-4.767,23.424
36.691,256.385,51.776,26.331,16.83,-3.794,3.551,-19.52,-1.47,-14.881,-30.088,-1.202
49.092,55.182,100.572,-42.832,72.005,-37.11,3.268,24.824,10.267,35.676,14.952,6.638
48.148,14.412,24.66,40.757,61.925,-16.022,18.223,-40.672,35.024,-22.762,-24.553,-1.047
49.619,44.904,28.857,32.448,85.762,-40.559,8.341,-33.951,28.065,9.953,-14.306,21.712
48.682,52.212,34.667,-9.588,82.385,-10.757,10.728,12.378,33.421,-22.665,-37.145,5.895
46.846,93.224,-12.109,26.866,74.847,-54.983,-8.742,13.383,17.354,2.318,-14.549,36.157
