0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
51.793,105.648,26.863,-12.124,38.179,67.453,62.221,2.067,-23.318,113.162,60.327,-14.703
53.326,120.64,73.995,0.812,32.024,-31.298,39.451,7.578,-4.309,2.971,-16.6,-16.815
54.295,61.556,67.652,15.367,35.5,-32.15,40.942,-3.101,-0.42,12.505,-12.306,-23.776
52.939,78.896,26.531,29.112,-10.855,-62.133,10.272,6.31,-7.887,-0.163,-17.921,-9.165
53.713,86.718,68.2,3.681,21.423,-14.888,38.29,-16.725,-5.328,17.649,-7.734,-32.646
54.806,74.137,25.493,37.345,4.553,-41.973,17.813,0.741,-6.437,10.973,1.274,-19.451
52.746,108.273,62.27,7.706,-4.671,-6.028,59.233,1.701,-11.783,-2.39,-3.879,-14.85
53.487,86.499,65.778,10.495,-13.427,-65.898,43.867,33.585,0.018,4.785,-17.068,-30.859
53.409,57.395,52.087,4.556,6.258,-59.79,27.496,-3.899,-0.173,14.234,-10.239,-22.919
53.094,61.055,76.998,18.88,10.305,-70.751,27.624,18.04,-5.171,20.305,-15.988,-36.236
53.401,85.375,67.033,-1.861,38.298,-11.856,43.647,-20.878,-0.094,25.402,-20.088,-26.029
53.484,42.686,68.656,8.857,1.512,-80.567,32.61,19.257,6.154,13.978,-10.464,-28.175
53.317,56.191,79.039,13.213,25.429,-29.088,41.534,12.149,12.962,-6.962,-0.127,-41.291
54.323,61.622,56.309,13.311,3.756,-60.867,20.827,11.251,-3.045,-0.304,-15.613,-19.667
53.083,59.697,52.903,11.44,1.757,-77.619,33.598,-0.014,-6.264,4.296,-15.103,-22.604
52.696,57.78,102.397,-8.595,32.451,-24.51,44.271,11.028,-3.118,3.737,-16.491,-22.055
52.534,82.475,29.021,5.302,-33.965,-73.081,29.798,9.097,-12.734,13.125,-10.147,2.356
52.107,70.878,119.342,11.917,5.405,-39.282,57.967,9.879,-12.499,3.222,5.536,-3.7
53.64,61.203,56.941,26.43,1.765,-51.597,41.87,-0.227,-1.755,13.463,3.611,-19.149
52.754,81.837,58.774,6.157,-2.508,-16.519,35.817,9.78,-13.335,-0.187,6.765,-0.233
51.989,80.114,58.617,22.462,-19.763,-67.587,16.542,36.662,-14.916,15.76,-10.251,-28.775
52.522,90.627,9.718,32.761,-19.583,-46.107,11.228,-5.266,-24.687,10.72,17.21,7.688
52.132,60.989,-5.257,14.184,-38.879,-25.196,15.723,-18.891,-24.563,12.844,19.969,-0.15
54.012,73.014,14.676,-8.393,1.587,-38.383,34.243,12.971,-12.093,30.246,4.793,-9.341
53.474,85.857,75.229,4.298,16.031,-39.372,40.086,5.813,-10.193,16.606,-12.498,-25.122
53.881,44.159,35.06,25.02,1.489,-78.528,37.445,30.642,-6.529,9.829,-14.888,-3.694
52.71,66.156,54.964,11.654,12.84,-11.521,28.407,27.497,-15.424,6.907,-31.986,2.301
51.241,98.675,75.89,-29.432,1.386,-12.69,52.907,2.742,-7.088,-5.213,-12.33,-18.806
53.779,66.229,43.397,32.874,13.168,-14.319,17.761,14.089,9.427,-3.547,7.715,-31.316
53.684,91.46,46.759,21.626,-7.749,-55.907,50.287,-1.9,-17.362,20.27,-3.261,-15.813
52.892,82.175,105.565,14.036,22.159,-37.169,64.508,18.292,20.693,25.773,-19.271,-34.789
53.965,41.624,34.477,19.42,-2.335,-51.816,29.062,4.38,-19.816,17.072,-19.071,-9.254
52.556,59.539,93.143,21.69,14.735,-23.807,31.791,20.451,7.107,4.613,-24.851,-44.879
51.452,101.585,131.032,28.255,53.596,-42.553,48.271,23.477,8.924,7.903,-16.949,-41.812
53.884,91.126,67.321,7.054,21.629,-6.052,44.11,-13.316,-18.582,17.525,-10.361,-20.469
54.209,30.342,101.809,10.361,26.487,-30.159,35.831,-3.361,-1.303,17.451,-13.399,-29.321
54.186,51.788,64.254,23.477,16.143,-72.537,27.198,23.041,-2.09,21.953,-17.083,-41.189
53.103,66.226,90.055,24.955,22.637,-25.405,30.246,-0.008,13.574,8.604,-12.713,-50.671
54.006,79.64,79.127,23.836,-2.886,-31.739,38.89,4.84,-15.811,24.962,-5.717,-12.214
