0,1,2,3,4,5,6,7,8,9,10,11
0.002,171.098,9.524,-28.521,57.525,-50.104,14.905,5.29,-27.192,0.963,-10.579,-7.214
39.643,33.885,142.912,12.278,61.339,77.257,45.721,23.131,-21.264,23.718,81.172,-7.704
43.37,14.759,157.769,21.625,45.46,-28.087,14.224,17.492,-23.233,-3.921,-1.537,8.048
42.941,23.085,157.201,21.858,48.792,-31.2,20.199,3.944,-17.03,-0.163,6.342,4.564
43.972,38.07,146.413,30.61,35.423,-22.696,5.051,-5.01,-12.648,-10.695,-2.098,-7.911
43.093,12.792,160.276,39.271,50.525,-32.531,18.382,8.289,-20.216,-2.502,9.169,12.006
43.626,16.234,159.25,21.228,47.185,-35.871,12.594,13.324,-19.962,-1.321,15.294,14.244
43.458,29.428,159.366,40.471,48.981,-21.309,12.102,3.058,-10.184,-13.199,-5.978,8.074
44.149,12.652,163.263,39.261,54.385,-26.317,16.216,-1.016,-7.422,-10.868,-8.898,4.085
43.768,-3.018,152.361,14.245,54.399,-24.868,1.958,3.518,-9.035,-0.029,1.697,0.455
44.116,-1.156,151.844,33.754,52.433,-27.867,13.184,4.967,-9.3,-9.796,-1.271,1.196
43.896,3.066,151.321,33.258,51.961,-29.771,21.201,-5.423,-13.161,-16.431,-1.781,7.602
43.823,-3.244,145.753,30.955,54.375,-28.414,14.14,3.386,-0.982,-7.716,4.428,-5.298
43.537,9.249,163.394,34.973,53.607,-21.899,14.646,7.918,-15.09,-12.377,7.766,5.566
43.759,14.436,168.156,49.534,56.412,-41.646,10.897,5.67,-12.833,11.7,-1.949,-4.002
42.834,21.424,162.319,30.114,55.728,-26.669,27.36,2.397,-11.92,2.444,0.556,5.499
42.948,4.269,169.604,30.893,59.501,-29.373,20.474,10.348,-10.745,2.518,-8.267,-9.365
44.028,8.087,163.278,43.651,58.271,-26.606,17.099,11.629,-12.288,-6.652,-6.28,4.625
43.739,7.226,166.038,40.634,55.976,-44.445,31.3,4.922,-5.926,13.637,-13.779,3.721
42.912,19.072,169.991,28.026,54.616,-33.779,26.108,4.253,-20.057,6.391,-7.809,10.526
43.502,24.372,168.075,44.961,50.504,-33.225,25.411,3.571,-16.671,0.607,-2.481,2.197
43.35,24.603,152.074,28.912,48.992,-33.312,-3.813,-5.241,-19.958,12.918,5.009,-6.83
42.631,36.22,157.141,46.855,36.983,-25.414,18.33,1.992,-23.284,6.128,-0.977,-3.313
43.828,9.661,140.137,8.244,48.947,-16.429,1.283,5.34,-0.281,-2.895,-1.97,-18.24
43.919,37.423,156.21,45.02,47.384,-26.849,7.537,-7.905,-11.689,-1.927,-3.698,7.984
43.347,8.819,162.574,40.72,48.104,-27.694,20.169,8.205,-17.663,-12.87,4.96,5.277
43.1,13.643,159.825,28.391,39.94,-24.363,24.041,-2.273,-25.37,-1.588,-7.142,9.281
43.642,22.506,162.578,44.829,44.731,-44.979,16.715,3.132,-23.423,4.324,-8.302,7.872
43.62,14.449,158.567,26.463,44.629,-30.951,21.088,2.871,-17.188,-4.532,2.781,12.679
43.64,10.787,165.848,22.48,53.415,-28.933,11.609,3.168,-18.227,10.269,-0.317,1.366
43.186,12.369,160.816,24.295,47.544,-27.036,18.346,9.576,-12.704,-13.999,0.529,4.204
44.102,8.316,161.901,45.552,51.568,-30.565,10.153,11.509,-20.588,-4.559,6.789,-2.936
44.103,12.643,171.957,50.545,57.585,-20.178,14.97,11.798,-13.929,-6.04,-11.22,-5.07
43.467,16.308,183.956,27.838,66.489,-21.822,19.465,11.538,-16.339,-1.171,-6.11,-7.705
44.083,30.283,177.659,51.861,58.908,-28.708,17.665,2.699,-12.31,-17.052,4.619,-0.451
43.144,18.022,157.948,37.052,43.691,-29.673,34.37,8.7,-9.486,-20.338,0.376,-1.932
42.933,18.58,167.215,54.514,62.153,-26.729,19.811,-4.991,-18.737,-12.068,4.878,0.145
43.897,17.793,172.24,42.432,50.721,-39.81,28.397,2.459,-15.676,-0.863,2.967,4.161
43.539,30.241,171.823,36.567,49.048,-36.566,26.497,19.044,-10.154,-0.924,4.326,-7.033
45.749,37.965,145.764,-1.931,58.001,-30.97,35.733,20.673,-15.711,3.495,-0.232,-1.351
51.596,74.53,71.771,-68.539,47.286,-21.285,34.418,-17.479,-17.585,3.256,-15.936,1.673
55.078,68.719,8.263,3.783,-3.305,-25.755,0.934,-2.147,-1.197,-15.824,-8.133,-14.817
55.42,71.468,9.966,7.949,-4.773,-61.286,-10.568,8.104,-10.501,-3.292,-13.002,-2.896
52.923,67.868,50.97,-19.027,15.481,-16.344,-20.353,-17.834,-9.047,2.928,-10.8,-8.918
55.984,58.961,13.325,5.556,-18.982,-28.697,10.046,-10.599,-3.05,2.068,5.574,-3.944
54.746,65.373,22.864,-11.157,-3.904,-19.689,2.618,1.586,1.995,-9.864,-13.96,-6.99
55.049,61.557,13.326,-4.9,-16.349,-60.542,5.277,-23.199,-13.471,30.467,-8.121,2.295
55.095,61.937,-0.332,11.815,-17.302,-34.418,20.175,-12.697,-15.642,11.877,5.264,-4.632
54.716,60.102,-0.271,16.989,-12.262,-29.807,16.86,-22.249,-4.671,-4.268,-9.0,0.296
55.057,71.08,11.167,16.689,-20.586,-27.707,12.438,-20.219,2.961,3.198,5.413,-10.164
55.589,63.057,1.543,-2.808,-11.059,-28.136,2.267,2.876,-5.792,3.237,15.99,-6.848
54.771,73.206,14.697,-5.189,-8.104,-11.976,24.405,-10.082,-0.314,-10.364,-24.806,3.685
54.227,49.353,8.522,15.83,-13.136,-29.705,9.442,-24.372,-6.378,-4.302,-3.569,4.656
54.605,73.84,4.886,-11.22,-11.72,-20.43,13.071,0.548,4.588,-16.895,4.581,-10.697
55.627,83.627,14.681,-3.913,-13.238,-44.507,4.461,-18.74,-3.915,19.718,-21.305,-2.249
55.407,79.829,8.302,-1.355,-15.983,-44.359,9.88,-11.8,-9.107,13.57,4.252,-14.522
54.382,74.074,27.816,14.445,-6.624,-44.558,2.396,-13.985,-10.103,20.446,12.254,-6.12
55.706,67.744,26.612,11.377,27.343,-53.741,-23.197,3.489,-4.527,4.946,0.561,2.548
52.709,69.092,96.96,5.436,57.797,-30.582,-19.661,3.579,0.322,15.422,-4.76,-21.436
54.966,63.719,6.321,-1.468,-13.95,-26.047,9.637,-22.37,-0.946,8.022,10.677,-9.417
55.485,76.388,10.925,-3.493,-20.99,-58.666,8.805,5.087,-5.492,36.429,-16.078,-1.46
54.862,79.836,12.048,1.301,-20.497,-27.15,22.167,-17.785,-2.002,-2.028,-11.078,-6.004
54.658,75.429,-8.045,-9.638,-17.126,-23.308,10.252,-9.148,-7.123,0.642,8.796,-0.284
55.136,62.463,15.028,-2.717,-13.821,-46.383,15.164,-8.038,-5.285,40.282,-6.517,-7.728
55.831,72.967,-6.764,-0.214,-6.606,-42.16,1.569,1.548,-5.656,10.771,2.457,-0.146
54.732,61.428,9.046,2.777,-9.547,-51.857,25.161,-16.027,-8.361,20.268,17.604,-1.332
52.704,22.589,-10.703,5.354,-29.755,-86.947,9.196,-18.42,-30.232,35.35,-16.932,20.982
54.365,56.8,11.31,-32.511,-1.019,-8.5,13.079,14.761,-0.176,-19.646,-7.167,-9.305
55.169,79.48,5.904,-6.691,-5.808,-57.157,12.863,-11.753,-8.756,36.602,-7.618,0.833
54.236,59.912,11.029,-36.332,1.596,-6.501,13.138,1.358,-4.789,-8.173,-11.347,-7.044
54.736,65.92,17.888,1.243,-11.475,-64.359,2.576,-2.741,-10.282,29.719,-8.262,-7.793
53.742,60.45,21.045,-11.32,4.552,-31.386,-12.648,-0.693,-15.106,8.661,14.4,-4.299
54.562,78.149,24.843,-1.501,22.754,-12.772,-12.331,9.627,-7.051,-8.374,12.201,-5.436
54.514,59.351,18.451,-12.707,2.791,-48.362,-6.026,6.523,-6.286,7.087,-0.236,-4.539
55.888,69.881,-4.319,-21.897,2.764,-65.182,-10.177,8.459,-15.585,10.584,3.197,0.434
55.595,59.075,12.156,8.644,-12.696,-36.575,11.938,-14.656,-4.317,6.869,1.824,-5.817
54.506,64.011,18.597,-17.491,-6.759,-21.378,-2.649,-1.5,-2.324,-19.284,-7.57,-6.009
54.483,66.696,10.782,7.085,-28.952,-65.599,10.188,-7.765,-8.839,28.813,-19.43,-10.499
54.431,60.66,10.002,1.108,-13.606,-8.737,24.01,-10.725,-4.768,-13.941,-11.634,-3.653
54.673,60.273,9.15,7.709,-7.003,-24.0,5.933,-21.428,2.576,3.295,-8.655,-5.097
54.914,52.99,25.01,6.726,-12.88,-54.09,11.011,-5.523,-4.071,32.921,-13.538,-7.344
55.73,69.932,3.83,-3.043,-11.084,-40.023,-4.805,1.915,-14.65,3.331,0.075,4.772
54.474,65.827,-3.213,-3.16,-8.245,-19.099,23.253,-9.007,5.184,-9.395,-10.835,-0.23
53.873,62.04,-5.304,11.733,-7.305,-25.637,15.535,-21.403,0.41,9.89,6.799,-0.126
54.443,67.441,13.349,4.924,-10.984,-27.117,11.533,-14.277,-0.832,7.529,9.628,-10.142
55.792,82.86,12.732,-26.839,-15.012,-46.796,-4.864,-0.017,3.478,24.69,-27.307,6.276
54.953,65.167,34.44,-15.785,-3.193,-16.601,3.216,-0.247,14.983,-16.37,-12.65,-19.896
53.942,80.278,36.774,0.81,9.241,-18.526,-1.295,-11.588,-10.626,-15.187,-6.178,-2.326
53.367,69.305,80.334,4.679,55.559,-21.791,-23.815,-1.414,7.851,6.263,2.289,-3.499
54.006,69.494,40.331,-14.561,15.83,-19.836,5.282,-16.4,-9.036,1.861,-13.782,-11.519
55.0,71.175,8.91,-4.504,-21.791,-57.401,5.682,-9.205,-10.48,26.459,1.214,-4.92
54.916,60.854,24.179,-14.141,-9.776,-16.489,10.037,-14.903,2.762,-12.461,-14.252,2.758
54.79,64.626,-5.024,5.219,-13.493,-13.481,20.319,-19.529,-6.465,-11.153,-2.177,-8.066
54.515,67.293,2.168,2.482,-6.498,-24.399,17.645,-10.255,-15.054,4.896,-16.842,2.732
54.975,68.474,13.915,-0.097,-20.838,-39.335,11.967,-16.393,-11.117,18.596,-1.813,-10.247
56.055,64.329,9.077,-2.484,-9.847,-53.381,3.086,1.631,-5.32,9.292,-5.898,8.506
54.651,66.415,7.092,-2.281,-12.645,-22.262,25.818,-16.292,7.921,-12.161,-19.382,-0.306
53.455,43.641,-12.317,19.37,-5.543,-30.167,18.9,-30.122,1.35,10.95,-2.852,-4.928
54.197,55.954,16.545,-34.314,-11.027,-7.394,20.317,11.464,9.647,-18.525,-10.748,-1.583
55.31,63.879,6.304,-22.434,-2.787,-8.878,15.697,-2.91,7.908,-12.449,-18.586,-11.509
55.736,93.409,-15.704,-18.362,32.48,-27.065,24.764,-5.043,-15.357,-19.804,-30.937,4.69
54.693,105.571,-21.706,-28.805,8.178,-33.721,20.558,2.891,-20.83,-9.063,4.522,-5.412
56.81,124.103,18.776,-38.11,-39.112,-18.729,-4.233,-0.721,-15.191,-2.674,3.953,-0.428
57.43,83.513,-4.611,-10.761,-13.266,-33.234,-25.669,-1.727,-1.143,-11.393,-15.794,-2.849
57.542,59.558,2.777,-19.422,21.724,-40.89,-16.903,-11.152,2.095,3.216,-15.72,-1.812
55.762,53.839,-3.587,-22.915,11.226,-68.929,-30.252,-9.293,-4.619,20.009,-16.149,-17.764
56.947,108.251,-2.63,-33.243,1.43,-17.047,-23.039,-1.257,-20.431,-3.289,1.272,-10.53
56.741,75.487,5.234,-44.019,-5.169,-28.509,-14.565,-18.774,-16.961,10.7,7.533,1.342
56.951,66.091,-6.139,0.963,-3.792,-39.827,-16.551,-1.661,-13.029,5.359,-27.656,1.633
55.107,77.816,21.803,-56.277,-2.391,-22.384,-7.75,13.853,-5.93,3.968,-7.685,5.707
55.171,82.229,-5.713,-18.056,-27.509,-36.97,-15.474,-6.371,-9.538,20.922,-23.861,9.733
55.336,84.502,-1.413,-36.771,-7.438,2.57,-1.672,-5.031,-10.015,13.829,14.468,1.216
55.71,100.699,36.135,-15.965,-0.791,-21.886,-27.606,-4.835,12.153,-8.442,-9.49,-18.723
55.384,71.594,22.302,-3.112,-17.087,-48.642,-18.468,-27.959,-6.445,33.075,-18.752,-21.314
56.302,67.959,-3.278,-4.002,-1.451,-45.149,-13.644,0.488,-21.048,4.184,-11.332,11.578
55.734,106.121,-11.005,-20.103,7.046,-22.781,-1.179,-0.877,-14.012,1.79,-1.764,4.346
