0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
15.153,139.779,39.319,-48.293,106.137,0.613,-48.26,3.45,-13.401,13.81,28.182,2.72
22.133,139.828,78.991,-114.08,80.095,-23.51,-56.372,-5.947,-1.129,23.912,23.544,-1.916
30.212,176.868,64.735,-25.398,63.16,-27.929,-68.206,-4.438,7.96,12.799,8.548,5.98
32.491,174.705,59.804,-25.416,65.896,-27.074,-55.455,-15.087,-10.927,7.207,7.789,3.035
34.385,185.788,64.747,-18.217,67.617,-33.197,-54.417,-0.885,-7.582,3.675,2.151,-5.351
38.839,154.453,19.341,-35.004,28.81,-29.917,-33.144,9.534,-15.27,7.168,5.402,5.168
43.226,132.237,13.195,2.547,40.917,-25.07,-34.518,26.413,-17.48,-5.372,9.913,21.12
40.803,108.392,-1.078,-2.328,33.373,-61.042,-27.42,18.627,-37.458,-22.651,1.723,28.579
41.867,61.215,11.759,38.452,79.622,-44.47,-12.66,29.653,-35.231,7.272,-0.466,14.581
36.977,60.65,25.595,-24.309,66.319,-22.214,-8.122,-2.758,-69.942,-4.729,-22.304,24.506
34.942,33.386,-13.705,4.146,50.304,-58.427,-15.894,1.227,-38.102,-29.423,1.575,7.37
38.055,31.131,48.874,-14.789,38.713,24.114,-4.088,19.195,-46.588,-20.156,28.094,-0.397
41.271,15.94,21.278,74.905,47.55,-49.658,-2.647,-0.741,-58.195,-0.843,-31.308,5.609
33.171,34.539,20.946,12.477,73.922,-32.198,-9.102,-49.389,-57.896,-23.668,12.83,-0.623
39.411,17.021,22.578,-35.344,40.123,-22.896,-8.826,11.012,-27.563,22.122,31.849,5.699
40.573,58.989,19.662,40.558,26.221,-30.937,-15.592,-24.88,-8.621,-31.776,-12.194,19.591
37.503,9.953,14.819,31.726,18.366,-54.693,-8.72,-4.714,-30.524,-28.545,17.142,11.991
40.504,9.986,-4.906,56.778,60.749,-64.308,-18.798,1.395,-59.732,-18.388,-30.844,2.414
33.944,23.481,47.48,2.879,74.136,-44.111,0.641,-43.54,-46.661,-3.765,6.209,18.928
38.586,15.085,27.95,20.99,30.497,-32.399,-11.703,17.007,-34.408,-41.707,-6.5,11.259
34.448,25.39,18.116,12.818,48.806,-52.042,9.316,-6.47,-20.23,-26.879,7.835,11.362
40.154,33.937,44.967,-2.324,37.287,-34.153,-26.801,-2.343,-56.708,-22.929,2.56,5.077
41.16,-1.208,6.252,55.147,55.344,-55.973,-12.168,-17.657,-49.759,-7.332,-26.392,-1.692
34.124,54.299,58.827,14.617,55.516,-26.84,47.989,-35.65,-54.158,-18.375,7.141,10.58
39.587,66.96,44.433,-66.438,41.842,-29.16,-1.15,37.137,-27.101,26.907,25.597,15.401
40.886,88.675,8.839,12.745,13.404,-57.613,-48.321,3.311,0.199,-12.708,9.377,13.956
38.252,75.313,49.671,-17.547,37.042,-24.826,-21.393,-11.857,-23.028,-12.106,-3.861,35.237
39.072,34.507,17.409,8.073,14.397,-59.053,-13.817,-1.532,-13.571,-43.74,4.361,25.218
41.585,10.699,-3.523,55.9,56.905,-46.924,-18.074,-1.359,-42.924,-7.14,-33.255,1.785
33.878,18.71,23.687,-6.16,54.785,-42.148,16.392,-41.152,-58.436,2.069,2.13,18.347
38.397,12.874,37.625,14.475,30.342,-21.562,-2.304,12.694,-41.566,-40.403,-8.332,28.617
34.743,4.847,15.791,18.681,53.311,-44.991,27.728,-11.229,-40.104,-40.371,1.147,9.803
39.64,47.391,43.408,13.935,37.535,-32.801,-2.851,12.07,-37.89,-32.959,-2.375,10.772
41.059,5.911,8.248,64.941,50.971,-57.179,-13.938,-18.377,-42.437,-11.428,-25.163,0.499
34.711,25.255,50.906,29.438,75.689,-28.237,15.81,-36.771,-67.436,-21.794,-5.469,27.264
39.971,11.98,31.672,-21.265,38.866,-40.383,-11.062,18.242,-27.16,28.935,35.075,13.688
40.893,62.447,8.823,13.73,25.061,-41.948,-21.418,-23.958,-13.969,-7.924,-17.481,21.338
35.957,9.309,40.014,4.421,42.896,-12.781,4.809,-30.919,-16.4,-31.093,-11.425,5.043
36.639,-11.449,-1.212,35.697,22.22,-37.47,5.526,-8.727,-31.011,-34.882,3.335,16.507
40.4,12.26,6.924,67.166,87.434,-37.225,3.859,-2.855,-45.586,-0.513,-14.643,-2.13
34.372,11.364,33.165,26.662,58.549,-35.046,7.959,-40.608,-67.648,-6.136,2.83,8.454
38.312,21.876,31.63,31.13,28.133,-34.732,-2.089,14.479,-38.099,-35.043,-16.508,16.757
33.846,4.13,-3.006,20.166,44.806,-37.161,24.764,-23.704,-45.668,-41.958,-2.433,9.049
39.945,30.006,37.069,13.396,36.71,-34.574,-8.458,6.02,-46.539,-15.501,7.901,19.685
40.712,1.558,5.131,74.211,57.026,-52.106,-14.769,-11.29,-44.78,-3.845,-41.346,2.772
32.954,39.638,18.375,35.704,75.113,-14.56,13.225,-24.141,-45.664,-13.775,-12.535,-16.683
36.966,-16.114,6.871,-2.012,33.996,-14.195,11.976,-38.716,-42.21,28.433,14.671,-5.408
43.395,98.509,39.94,7.06,-12.516,-16.608,-15.087,8.066,-20.103,-8.01,13.274,10.95
42.168,100.237,74.076,4.127,-1.944,-29.896,-13.973,-1.462,-21.113,-2.728,-4.748,-8.285
42.075,72.661,33.119,9.33,-20.213,-39.974,-19.987,-0.515,-19.192,-26.278,2.119,6.919
41.623,85.456,67.38,-19.31,-3.094,-7.573,-6.42,-0.231,-21.412,1.799,-18.79,5.413
43.423,114.305,54.049,2.788,7.521,-7.945,-27.127,30.627,-24.82,4.321,6.497,14.039
43.699,163.118,45.787,5.384,-7.738,7.191,-6.398,-22.341,-21.524,8.551,-7.354,29.89
46.437,89.646,69.075,-13.635,15.365,37.767,14.693,-0.823,-15.495,10.901,-34.02,26.682
45.677,92.892,88.448,-46.371,13.642,-0.237,5.166,-6.435,-10.207,14.23,-27.325,18.763
48.09,103.981,88.08,-38.341,61.087,3.514,8.861,-23.802,-8.067,26.126,-11.025,13.672
