0,1,2,3,4,5,6,7,8,9,10,11
12.332,113.019,118.875,-122.498,41.323,81.971,41.03,-12.683,-26.472,49.164,-22.484,-11.369
19.772,82.539,122.278,-2.893,11.085,-17.859,-10.719,12.976,-18.024,-4.379,-0.387,-6.76
22.869,73.322,127.398,-20.065,22.089,-4.988,-12.009,15.527,-14.815,7.947,2.413,-7.264
25.541,75.163,120.085,10.42,19.471,-27.551,-2.16,20.967,-3.223,-6.258,1.568,-2.655
26.579,61.087,128.681,-2.052,20.348,-18.749,-5.943,13.382,-10.807,0.209,5.255,-10.874
28.052,77.524,105.605,20.602,13.511,-46.489,0.209,-14.309,-1.105,13.471,-5.337,-1.381
28.724,79.879,114.687,35.168,15.199,-31.665,-3.433,-11.235,-6.36,1.648,-5.413,-11.883
28.718,98.786,109.472,21.149,11.518,-27.311,-10.71,-7.371,-6.541,-0.335,-15.425,-13.275
29.704,79.522,112.618,-8.154,23.972,-10.033,-20.288,-1.56,-19.415,5.296,-2.512,-1.332
31.951,91.189,115.059,24.081,18.158,-18.877,-5.746,-11.032,-0.524,-0.771,-0.672,-12.937
31.72,86.714,120.925,24.151,17.338,-28.501,-12.331,-10.831,-18.036,-6.294,5.171,0.328
33.108,76.269,113.396,13.441,21.645,-32.902,-25.682,20.877,-2.512,-10.88,0.571,-5.885
32.391,82.767,128.704,17.5,23.958,-25.833,-12.001,4.405,-18.12,20.018,0.24,-4.058
32.444,64.698,126.76,7.62,18.649,-20.364,-8.488,16.585,-14.156,-1.809,0.104,-7.855
32.457,88.071,111.374,20.696,13.953,-44.122,-8.571,5.674,-4.123,10.486,-10.653,-3.491
31.178,84.299,103.413,7.03,13.271,-16.05,-15.967,2.067,-12.876,-0.309,-10.903,-4.423
45.217,101.741,118.112,-197.381,8.618,85.153,33.3,33.896,-28.969,23.061,-23.079,-0.759
56.552,138.892,26.953,-27.451,-32.806,-23.448,10.898,-12.572,-38.801,-12.175,-12.656,-10.023
57.213,99.416,17.698,-20.05,-40.697,-46.945,-5.563,-1.605,-43.997,-6.625,-17.937,-0.06
56.909,114.734,39.087,-7.797,-51.484,-24.158,11.106,-17.331,-47.215,-0.914,-12.14,0.451
57.168,69.398,37.475,-10.764,-23.929,-15.152,13.346,2.861,-19.324,4.587,-32.973,-5.022
56.221,58.206,37.564,-24.049,-22.783,-29.469,8.309,15.211,-13.853,4.326,-9.353,-14.57
56.538,56.702,42.301,-4.372,-6.86,-23.907,9.719,-3.203,4.492,1.187,-28.441,6.861
55.359,36.462,13.241,-16.344,-13.647,-10.561,1.635,12.621,11.987,-19.145,-14.177,-28.403
55.454,38.785,43.2,-12.292,-32.85,-34.247,12.799,3.18,-7.784,3.307,-9.519,-11.622
56.464,48.666,11.462,-2.984,-12.62,-17.534,14.533,-10.313,-6.762,-31.896,-9.079,4.847
55.307,45.341,30.467,4.623,-11.878,-30.401,41.076,-12.456,-20.423,-14.658,8.184,0.14
55.581,34.27,46.862,4.62,-9.567,-40.546,34.329,-15.257,-36.958,8.743,1.271,2.695
56.013,30.549,54.634,-9.63,-12.16,-25.145,28.213,23.339,-18.482,-13.933,-12.349,7.227
55.77,28.141,37.276,-9.944,-2.297,-30.72,18.187,8.11,-11.085,-0.63,0.58,-7.316
55.957,23.784,54.209,-14.245,-16.202,-41.173,12.704,9.819,-1.38,2.821,-13.351,-10.592
56.24,38.997,48.132,-21.936,-19.172,-20.855,15.285,-1.681,-6.618,-20.182,-8.629,-4.989
55.88,32.475,43.076,6.817,-23.594,-41.133,12.834,12.665,2.636,-5.317,-13.237,-11.277
55.421,54.012,32.377,-11.304,-23.838,-35.336,9.122,-12.727,-8.855,-2.522,4.911,-9.609
56.982,72.786,7.72,-5.943,-12.908,-52.173,6.27,-17.442,-21.878,-1.322,-14.965,-0.224
56.434,87.946,62.842,-3.345,-46.321,-34.818,-0.643,-2.649,-17.54,-5.938,-14.638,-20.141
56.469,85.249,50.966,-10.301,-44.511,-29.025,6.028,-11.755,-10.778,10.395,-13.649,-23.443
57.493,121.057,56.331,-18.275,-45.746,-23.905,-11.509,10.378,1.536,1.517,-7.953,-35.71
57.183,92.815,19.649,0.267,-52.975,-39.129,-10.651,-22.943,-22.074,-18.382,-20.397,-14.171
56.841,57.409,14.325,-5.378,-11.16,-46.484,-1.989,-17.787,-17.964,8.57,-22.382,-1.356
56.418,84.685,24.469,-27.145,-16.122,-38.992,6.234,13.705,-15.77,-9.974,-2.817,-13.42
57.348,93.727,17.811,-22.865,-39.044,-54.514,-2.987,-11.233,-41.046,2.358,-4.988,-2.094
56.513,76.739,51.667,-9.802,-50.559,-25.112,3.859,8.802,-29.284,-1.332,0.932,-18.19
57.083,81.192,5.603,-4.002,-28.196,-44.434,-2.619,-20.068,-43.492,5.571,-11.807,-0.079
54.9,51.627,29.255,-4.051,-41.002,-16.3,5.977,-6.837,-21.263,-7.231,-9.248,-5.875
55.526,48.786,30.802,-10.694,-35.172,-19.406,19.07,1.49,-18.541,-8.217,-4.052,-7.611
56.289,73.08,48.573,-5.262,-49.074,-20.137,12.805,3.025,-36.955,-18.868,-4.249,-10.26
57.002,79.619,17.913,-3.2,-33.643,-11.696,3.754,8.393,-26.819,-19.144,-18.015,3.007
55.847,77.0,42.774,-6.31,-51.002,-15.591,25.559,-14.479,-20.199,2.091,-13.335,-0.243
56.181,52.38,59.434,-12.565,-23.322,-24.164,26.196,-0.052,-11.533,-11.889,0.576,-20.765
57.387,62.839,38.796,4.591,-16.728,-11.986,27.647,5.871,-19.078,-24.277,-8.356,-11.246
55.45,31.368,40.955,-13.161,-21.008,-21.4,8.233,7.006,-20.607,-8.052,-14.077,-15.735
55.562,35.251,44.672,-31.466,-12.653,-35.61,8.323,7.503,4.157,1.13,-11.149,-9.882
56.977,65.104,8.075,-4.581,-3.878,-59.122,4.318,-5.507,-4.896,13.026,-20.712,1.991
55.869,28.48,54.142,-8.962,-14.947,-34.414,30.082,16.654,1.54,11.005,-11.965,-0.122
56.147,38.281,38.931,-9.441,-15.713,-27.35,17.419,-25.376,-1.892,-0.792,-3.758,-8.334
57.467,45.73,18.682,3.644,1.241,-58.869,8.515,-9.692,-4.911,12.395,-4.192,-1.825
55.449,44.148,39.536,-1.621,-13.055,-47.617,17.555,-9.5,-6.367,15.519,6.617,-13.99
55.809,57.417,47.382,-0.072,-22.218,-37.303,34.174,-20.281,-9.215,10.911,-3.696,-5.62
57.203,70.805,18.743,-6.584,-17.588,-51.473,5.225,-23.38,-26.243,13.341,0.365,-0.719
57.307,76.815,-5.669,-16.471,-12.969,-53.648,2.333,3.719,-22.463,2.213,0.963,1.692
57.547,68.688,5.557,-21.486,-12.581,-49.457,-1.163,10.356,-20.511,16.587,-0.773,6.471
56.8,62.233,10.016,-13.072,-9.592,-55.566,15.224,-1.423,-26.865,5.134,-7.516,3.149
58.016,42.947,25.12,-7.014,24.351,-53.525,30.418,1.874,-17.106,4.494,-8.507,-9.08
58.582,64.009,38.107,-2.865,9.424,-33.506,19.496,9.029,-23.808,-5.926,0.235,-13.913
57.299,83.097,22.39,-18.911,8.677,-33.511,3.148,16.22,0.291,8.316,-14.997,-12.025
56.841,71.143,15.351,-26.493,18.883,-31.082,25.901,-12.326,1.976,10.623,-17.916,-14.437
56.973,39.962,33.046,-26.571,16.459,-28.412,0.203,15.384,13.049,-9.769,-14.628,-8.908
56.525,51.156,-19.545,-5.12,37.776,-55.209,1.31,-19.708,0.515,-5.919,-19.276,-11.29
54.662,-21.682,12.534,-12.669,17.665,-32.976,-17.725,1.276,-17.264,8.373,-12.084,-7.84
55.993,33.886,11.095,0.376,-12.041,-16.634,-15.742,-27.268,-5.208,-5.671,-22.985,-35.288
55.38,51.223,-16.193,-55.145,21.08,-31.852,-33.136,8.801,25.546,-8.927,-10.504,-16.143
55.663,47.261,-9.319,-35.486,15.32,-26.956,-36.043,-12.098,4.985,3.158,-15.541,-12.619
55.445,55.369,-46.204,3.536,14.32,-51.751,-23.631,-21.438,-5.52,-3.238,0.576,-0.843
54.929,36.271,-13.596,-25.643,-0.638,-16.09,-25.199,-45.961,-16.477,6.757,-3.964,-20.418
55.77,65.463,-36.723,11.399,12.383,-59.334,-28.241,-9.515,-10.973,-13.319,5.58,-7.59
54.132,12.301,-3.024,-28.573,2.425,-2.625,-22.446,-21.448,-8.023,-1.768,-28.303,-9.491
54.603,1.677,-6.981,-15.844,5.319,-11.002,-9.592,-21.248,-8.746,-16.666,-0.524,-36.29
53.417,25.282,-30.16,-45.366,59.594,-35.26,13.576,24.116,28.461,-22.011,-5.688,-35.561
55.224,56.665,-47.152,-18.824,29.316,-81.314,-26.432,-14.084,-12.122,-4.078,-23.803,-2.414
51.895,-12.812,-23.992,-54.734,23.787,-37.006,-37.371,60.612,2.657,-6.305,-7.419,-20.123
51.774,63.143,-65.077,-31.992,37.645,-31.247,-18.966,-31.555,-19.932,-10.608,-25.437,-21.19
50.671,65.602,-49.455,-73.472,31.118,-44.371,-24.044,7.67,-9.272,-20.347,4.5,-20.505
53.204,53.315,-58.861,19.761,-2.179,-68.478,-35.947,-36.874,-17.551,-9.783,-30.062,2.575
50.125,2.22,-72.542,3.148,13.198,-4.557,-17.426,-36.308,5.282,-9.836,12.612,-17.923
47.334,-27.419,-48.512,-33.383,6.612,-1.932,-10.019,-15.789,15.407,-37.435,-25.882,-11.683
53.007,52.623,-68.705,-3.197,22.536,26.732,-10.164,-6.586,12.785,-24.43,17.941,-16.96
47.844,-10.399,-75.947,-12.638,-24.41,-35.872,-22.744,-32.97,-10.649,3.671,-23.113,-1.727
48.448,15.919,-67.492,-7.158,-8.371,22.359,5.533,-14.623,12.87,-41.096,-4.274,-11.188
46.597,-13.826,-59.102,-51.207,-18.992,12.301,-12.163,-2.761,8.771,-39.114,-28.967,-3.151
53.126,72.215,-64.265,-6.476,2.057,20.641,-10.514,4.219,5.224,-18.634,40.583,-6.181
52.542,72.049,-46.547,-3.249,3.622,-22.246,-35.588,22.903,-45.015,16.612,-42.267,5.517
52.831,24.036,-19.526,-5.044,1.38,-3.881,16.428,-6.756,-19.368,26.743,-9.019,-8.654
54.296,0.905,33.71,-17.25,3.621,-11.874,9.989,-39.135,-43.455,54.713,-9.015,-21.661
55.435,36.335,0.842,15.619,6.948,-6.493,17.734,41.439,-11.752,-48.681,-27.785,8.845
52.125,35.59,-29.608,42.142,-48.115,-12.764,-16.875,-17.447,-50.144,15.26,-59.509,-3.222
52.573,57.391,-45.004,-24.692,-5.741,27.25,10.743,-51.644,-27.387,6.598,1.365,-10.056
50.81,-2.529,-31.959,-2.55,-7.417,-35.328,-24.238,-15.937,-29.33,11.746,-23.057,5.69
53.734,105.687,-80.559,-11.62,-1.24,-42.061,-21.44,19.29,-20.024,-15.532,31.336,6.437
52.392,72.932,-58.525,-35.152,8.215,-29.957,-37.532,32.509,-35.967,26.12,-25.878,-10.614
54.459,23.578,-4.196,-10.912,42.551,-4.458,37.701,-28.096,-28.475,30.369,-9.766,-15.14
53.95,1.499,4.782,17.873,-1.77,-20.174,5.989,25.609,-33.348,-8.549,-46.602,-21.147
53.32,-33.972,38.767,-31.639,18.323,-14.705,23.396,25.516,-1.61,8.692,-2.903,-5.596
55.752,26.696,-7.112,-5.426,45.84,-20.96,10.088,-6.162,12.085,-15.705,0.627,6.145
53.225,9.411,-2.88,-10.359,19.626,-34.971,-4.858,56.699,-33.902,-2.199,-15.725,-21.013
53.551,48.735,-22.287,-42.166,24.92,17.714,18.08,-36.681,-48.319,27.703,-22.743,-16.995
53.906,100.062,-63.611,-7.568,-4.257,-78.937,-35.044,-4.774,-23.909,-9.261,-15.9,5.995
51.985,4.406,-29.954,4.147,9.18,-13.051,-1.908,-28.461,-28.187,48.683,-33.747,8.886
53.398,13.89,-1.384,-27.844,18.789,0.081,46.749,-28.337,5.801,8.27,25.618,-3.305
