0,1,2,3,4,5,6,7,8,9,10,11
0.003,171.063,9.365,-28.572,57.399,-50.078,14.896,5.293,-27.224,0.997,-10.67,-7.205
1.541,138.426,-41.791,-48.024,26.624,-47.845,21.81,6.203,-30.406,7.865,-6.377,2.304
11.637,80.247,18.73,-14.731,11.481,20.116,48.019,11.938,-37.511,24.325,29.62,31.197
30.104,72.463,105.721,-139.717,12.658,71.005,74.463,-31.25,-29.312,33.359,-7.652,33.022
40.138,61.919,13.192,4.963,28.802,-11.58,3.093,-14.028,-1.243,-0.26,3.198,15.761
39.676,35.66,-0.12,-25.922,21.122,-27.268,-18.449,-15.342,-16.609,12.505,4.486,21.738
43.64,8.49,-9.463,-2.679,36.893,-8.473,4.849,-14.343,-10.589,-4.952,-10.391,18.565
45.015,22.217,-4.886,13.725,48.152,-26.535,1.539,-9.768,-3.721,2.34,-1.819,11.445
41.434,29.066,-5.512,-15.968,30.035,-35.922,-3.894,1.646,7.966,-8.537,5.286,14.186
44.333,24.475,-2.211,-3.173,18.028,-23.28,-1.654,-12.515,-17.19,8.497,2.393,4.043
42.394,2.019,-34.259,5.459,68.928,-39.998,-9.205,-51.591,-21.264,10.492,-13.31,-19.192
42.398,-33.838,-17.459,16.224,27.418,-12.401,-1.664,-21.85,-8.981,12.937,2.171,11.38
38.042,-21.632,-16.832,-14.367,36.839,-40.956,-6.335,1.62,27.612,-7.083,-5.16,20.095
44.223,22.75,11.865,1.996,47.176,-27.695,-10.961,-21.658,-14.76,18.594,-4.982,17.017
44.103,7.932,-22.917,16.755,31.372,-10.488,-1.396,-15.984,-17.319,14.785,-12.362,19.369
44.1,28.981,-5.167,17.086,30.272,-39.476,-14.465,-15.223,-11.984,16.065,-6.243,14.17
44.743,0.118,-16.386,14.376,23.177,-2.442,11.866,-37.034,-38.863,13.998,0.048,21.829
37.931,-42.708,-44.802,43.155,18.765,-52.855,-3.815,-15.43,-12.892,-16.931,-5.359,10.518
38.72,18.697,-7.057,-43.054,50.099,42.551,31.354,6.978,1.049,-15.911,-8.102,11.798
42.829,13.051,11.985,8.215,34.013,20.075,-1.969,-8.892,-24.193,16.727,-16.252,18.943
44.54,19.226,33.735,14.378,41.878,-33.916,-12.289,-10.619,-21.016,-5.026,-1.741,24.636
43.441,16.417,40.764,1.949,38.053,-31.857,-9.859,-10.495,-20.575,-0.283,7.734,14.899
44.441,8.982,21.003,13.253,49.705,-10.194,4.42,-19.231,-21.989,0.744,-13.183,9.68
45.214,14.025,27.248,6.901,51.416,-28.214,-19.032,-18.849,-7.295,-7.826,-3.627,5.109
44.512,30.032,13.507,-9.9,49.54,-29.409,-21.809,-15.882,-32.66,-6.497,-1.157,14.918
44.94,12.776,20.009,-3.619,39.558,-12.268,3.533,-15.269,-25.227,2.786,-11.947,26.426
42.9,-19.174,23.284,-20.934,46.242,-29.727,-3.257,1.064,-15.364,-10.182,-4.19,10.123
43.773,10.029,-2.077,-7.048,42.543,-30.15,6.159,1.954,-3.291,-3.746,-0.823,18.536
43.669,5.435,-7.519,10.667,24.593,-5.606,-6.668,-17.079,-13.541,-5.067,-19.053,30.126
45.31,37.93,27.701,0.913,42.672,-12.59,-14.199,-10.473,7.73,6.159,0.572,26.593
44.327,12.163,15.15,-3.901,22.159,-24.14,-15.395,-11.89,-4.349,7.257,-3.858,26.751
43.243,9.505,0.915,10.591,47.642,-26.507,3.453,-1.003,-5.585,-1.277,-14.136,-5.594
44.812,39.234,11.334,7.126,66.555,-14.131,-11.914,-26.385,4.73,14.733,1.616,-5.589
43.086,15.967,4.845,-20.887,53.707,-28.866,-2.329,-10.505,-1.072,-0.959,-1.066,3.727
43.59,3.325,7.142,-27.545,46.203,-3.353,-18.612,-5.235,-6.751,-13.016,-16.911,6.66
43.432,5.124,7.052,-2.834,53.116,-30.621,-1.107,-13.98,-8.853,7.06,-8.065,11.888
44.261,23.756,-9.701,-13.38,20.311,-15.627,-7.837,-6.521,-11.356,12.689,6.626,20.101
45.871,25.691,-21.932,66.599,26.224,-37.89,15.056,-18.671,-46.466,-21.545,-20.332,28.433
47.371,26.892,-54.33,-24.281,27.416,-26.626,-15.773,-20.578,-10.515,-5.946,-3.256,14.598
46.691,-26.555,-23.079,-24.632,35.855,-47.586,-38.813,-27.896,-15.035,23.226,-12.34,10.645
46.994,23.874,-17.702,-45.488,32.814,-36.438,-17.4,44.205,0.713,-5.479,15.319,19.303
47.249,30.409,-9.49,16.761,57.206,-48.815,35.057,-53.693,-11.885,-8.3,-16.75,26.774
46.314,-18.24,-23.953,-8.563,46.604,-28.162,-3.767,-5.405,20.078,-8.334,-8.482,6.553
45.777,6.855,-26.933,-22.408,20.084,-18.174,17.481,-29.197,8.055,5.048,-11.67,10.233
46.051,-28.768,-36.326,-8.762,17.507,-33.358,-17.272,-24.172,-13.833,7.729,-18.369,13.722
42.55,-29.345,-94.798,-23.753,38.924,-62.167,-17.731,-35.035,-34.064,20.752,-26.39,20.718
40.254,-47.689,-91.336,-16.816,12.618,-32.222,-20.612,-22.293,2.551,2.279,-5.821,23.945
42.511,-25.326,-31.106,2.108,16.498,-2.541,2.949,-26.273,-25.133,22.88,-0.616,23.398
39.72,-10.414,-3.321,-8.193,35.095,-33.662,-6.165,5.77,10.605,-10.707,-7.709,13.914
46.507,70.658,1.309,-33.687,50.098,-46.391,-23.995,8.501,-26.258,38.867,10.153,18.934
47.201,90.576,-9.274,-8.343,80.172,-17.926,-12.823,-75.823,1.273,4.995,-30.335,24.215
46.102,-4.545,-55.632,-56.558,38.478,-8.243,-3.986,-34.071,-18.901,-0.217,-14.781,21.124
46.792,-3.909,-59.28,-23.696,18.733,-47.111,-38.148,-14.657,-7.634,-1.069,-12.823,22.051
47.399,50.608,-41.456,-57.268,31.455,-50.268,-34.515,37.829,8.067,-8.701,4.892,14.613
46.477,33.838,-25.309,-23.083,15.993,-24.128,-62.932,-4.016,-12.797,-5.548,-9.322,-4.4
47.08,9.695,-31.018,-17.976,17.411,-26.383,-56.163,-17.981,-13.334,21.687,-6.235,1.662
46.705,35.874,-63.02,-17.042,37.399,-11.315,-2.81,-17.962,-23.309,-34.843,-26.951,20.445
41.312,-30.092,-51.973,-34.709,30.582,1.9,-14.983,7.946,1.576,-27.072,-1.303,13.765
47.842,34.07,13.618,-17.067,43.744,-36.765,-6.427,-41.12,-62.102,17.921,-13.704,9.746
47.341,-11.079,34.944,6.752,37.948,-19.917,-10.408,-4.324,-5.753,-2.598,-1.352,1.305
47.573,-5.45,38.923,-12.943,41.439,-40.653,-4.49,11.892,-11.197,4.416,-9.677,0.182
46.762,-36.389,-7.604,2.784,18.981,-49.053,-4.908,-15.292,-30.105,4.531,-13.104,-4.009
47.464,28.664,-10.51,-36.646,47.092,-27.433,-4.528,38.478,-22.673,-26.168,10.698,16.334
47.531,-5.626,45.326,-37.568,35.067,-34.46,-37.607,30.663,-13.975,-5.092,4.134,-14.285
47.486,63.72,-2.467,-13.875,39.859,-64.665,-33.668,25.229,-28.638,-3.408,7.093,15.94
45.776,164.062,-26.282,-35.623,101.959,-43.903,3.163,-12.5,-18.253,-2.599,-10.491,23.905
47.19,-9.242,15.965,-15.965,53.927,-49.081,-36.71,-6.332,-13.447,1.859,-1.944,-21.337
48.121,9.558,-4.537,-11.403,47.709,-29.013,-20.953,6.286,-12.691,5.372,-12.758,-1.733
42.08,35.89,-7.189,-26.47,38.868,-29.451,8.923,-3.584,-7.305,-6.013,-0.655,17.271
43.976,36.479,43.008,-53.283,31.31,-17.219,2.616,-18.888,-14.509,-1.018,-5.462,32.209
45.715,146.26,-44.266,-44.875,81.847,-61.496,-12.376,-4.411,-15.359,-19.86,-1.459,38.59
47.025,8.455,-57.098,-41.94,37.227,-39.051,-59.943,-21.342,0.988,5.226,-13.936,7.285
49.869,17.114,1.649,-11.779,24.711,-36.566,-52.363,7.278,-11.218,11.02,-7.629,-12.767
47.08,69.069,-43.681,-42.037,52.812,-34.505,-26.797,44.606,-24.411,-8.011,-6.839,20.771
46.431,23.65,-5.35,-12.203,29.128,-3.659,-22.151,-7.383,-31.35,9.474,-14.558,6.43
47.876,52.736,-2.034,-20.919,28.128,-23.959,-52.439,-33.726,-22.136,24.976,-21.075,2.137
47.436,37.53,-37.287,-25.474,25.481,-27.992,-40.124,-11.27,-16.778,0.315,-0.5,4.248
46.075,5.182,-38.561,-33.176,21.012,-32.472,-41.652,-15.684,-8.347,5.405,-7.686,11.032
47.088,37.124,-15.753,-19.215,38.731,-20.384,-4.886,-12.273,-11.333,10.731,1.248,-7.839
44.935,-2.897,-48.474,1.03,27.1,-8.787,-29.245,-7.269,-30.174,-2.436,-23.202,7.51
43.348,-28.497,-47.342,-39.828,25.107,-37.331,-5.139,3.803,0.042,9.596,4.357,27.576
45.66,169.437,-24.814,-30.956,53.668,-42.803,-12.191,-6.027,10.016,-19.478,3.785,1.686
46.874,0.567,-12.415,5.725,26.012,-5.767,-28.974,-11.855,-32.672,18.317,-26.66,7.422
