0,1,2,3,4,5,6,7,8,9,10,11
0.045,170.179,7.962,-29.742,56.188,-50.13,15.71,4.525,-27.199,1.398,-11.134,-6.894
37.768,25.375,34.849,-41.636,-3.659,68.005,-28.68,4.261,-3.435,-14.287,56.729,-25.119
42.79,41.936,75.507,-32.195,45.102,25.287,-2.909,3.696,-0.742,-10.672,-30.143,14.488
45.509,61.646,94.348,-11.473,65.454,11.911,37.617,-5.229,-4.462,-11.105,4.904,2.832
46.92,48.081,121.116,33.506,58.313,-32.237,17.318,23.729,-23.147,-17.047,-9.811,7.112
44.415,34.54,54.05,19.134,19.074,-7.065,-11.233,0.017,-23.732,-22.637,-29.628,2.349
45.525,68.13,50.938,-26.173,0.958,1.866,-36.158,20.351,-19.43,-24.161,4.454,-31.519
46.803,46.585,72.639,-31.143,37.866,-30.965,-0.227,-0.748,-15.848,5.501,-1.843,-17.642
45.21,28.426,68.062,51.413,52.821,-20.688,13.859,16.757,-3.75,-6.774,-33.378,-3.611
40.691,8.568,53.889,-3.05,5.617,-12.354,-6.334,-12.832,-18.967,5.9,-9.494,-3.526
44.428,10.018,49.806,4.281,65.758,11.47,30.108,6.234,1.368,-15.199,-17.304,16.216
45.772,37.605,81.53,-35.527,61.949,2.594,36.923,-8.469,-16.59,-9.443,11.805,-5.37
46.126,9.483,66.173,29.429,77.062,-51.969,12.299,-9.961,-5.422,-2.837,-5.066,5.524
46.193,20.783,81.708,-5.204,51.855,-30.362,-6.019,10.613,-11.682,-5.16,-9.132,-2.804
47.677,67.915,90.499,4.593,42.912,-29.896,15.213,6.443,-32.738,-10.906,-1.997,10.288
47.705,50.268,84.697,25.036,51.292,-23.323,25.425,6.875,-27.59,-9.816,-23.679,26.517
45.679,57.392,37.532,2.935,20.809,-0.935,-23.684,-10.297,-20.213,-14.649,-24.993,-8.318
45.418,79.293,60.827,-10.838,51.997,8.365,20.813,-9.024,-27.655,2.58,-12.666,7.055
44.919,43.526,8.89,5.678,-30.054,-45.999,-0.357,-4.191,-11.067,8.86,1.08,-6.914
42.478,49.601,23.969,3.905,-32.77,-11.808,3.923,-21.446,-11.949,-26.634,-14.617,-8.59
