0,1,2,3,4,5,6,7,8,9,10,11
33.049,-55.513,-17.495,-42.869,26.867,94.044,50.961,-4.368,-12.725,103.337,106.6,-4.553
40.782,-10.577,0.865,-80.75,-15.41,-38.568,5.216,11.153,12.371,2.6,7.136,-2.685
46.036,21.713,0.833,-17.762,-1.598,-36.372,-8.123,-3.202,4.747,15.769,0.022,1.34
45.896,25.324,8.712,-35.477,-7.822,-38.865,-15.764,0.736,-3.087,3.207,1.306,13.373
48.06,1.127,10.944,-42.594,18.542,-31.184,0.173,18.624,5.552,26.852,-8.403,17.759
48.802,29.245,-10.9,-41.505,18.188,-10.501,9.891,-36.855,5.418,1.354,-11.535,-18.117
49.051,-17.099,26.261,-21.162,17.263,-41.742,-17.112,5.555,-4.965,2.76,-9.471,-44.672
48.591,3.342,-18.01,-39.016,47.183,-40.775,-25.447,-7.332,26.496,17.844,-8.876,21.818
48.29,-0.2,-27.607,7.457,47.269,-36.916,-3.418,0.07,32.112,6.734,-14.087,18.581
48.975,12.798,6.33,1.623,49.175,-29.883,41.366,-31.281,2.088,18.748,-18.013,17.873
47.242,-36.575,31.636,-23.129,56.697,-44.665,10.745,4.17,20.041,-0.038,-8.835,-3.946
47.055,29.417,1.824,10.283,18.551,-42.744,-13.225,-7.836,12.419,-16.053,-10.351,-11.214
49.174,69.707,2.404,-35.06,24.072,-12.71,-0.835,-49.817,-20.92,21.174,-5.759,-24.434
49.64,48.776,13.661,12.211,23.364,-32.443,-24.917,-12.612,-3.76,-10.955,-6.626,-14.536
48.467,-15.791,36.407,-10.268,39.728,-34.822,-8.387,5.455,16.303,-3.553,-4.806,11.806
48.019,-11.259,50.115,-15.033,35.01,-35.618,27.108,4.564,7.203,18.125,-13.434,15.43
48.987,26.691,-3.789,-37.149,35.952,-42.349,-22.52,38.281,6.053,4.268,-10.211,2.18
48.22,99.116,-23.958,-37.255,54.843,-24.745,8.462,-58.647,3.194,-0.201,-30.931,3.81
48.355,69.75,-9.428,-28.331,54.256,-56.619,-7.787,55.075,15.395,-16.251,-0.683,-19.385
48.257,40.987,-20.674,-0.228,53.982,-26.64,13.332,-72.539,-1.336,34.437,-42.926,-1.303
47.441,-38.825,7.097,-20.335,52.274,-44.795,-2.41,5.583,37.751,4.311,-6.486,-2.356
47.653,-39.964,15.924,-34.451,28.925,-43.095,-4.151,-1.134,15.565,6.278,4.283,6.946
48.943,11.821,-9.136,-44.317,41.262,-57.764,1.491,93.052,21.595,8.707,-3.548,11.956
48.482,-24.536,-8.928,-0.456,33.894,-42.488,10.072,-34.041,8.566,45.627,-19.153,8.898
45.066,-51.681,-35.746,-8.34,31.039,-54.477,-10.394,4.045,42.19,0.049,-8.571,14.44
47.872,39.762,-17.651,-15.84,43.183,-13.231,8.926,5.626,17.544,-11.442,-8.499,17.543
46.239,-16.989,42.47,-36.944,54.619,-32.658,25.139,-3.191,17.911,14.986,-1.556,9.075
48.321,-3.991,42.543,-16.817,32.595,-48.965,-1.882,-5.772,12.038,-5.383,-4.527,4.076
49.564,-15.325,25.717,-26.988,45.764,-52.72,16.708,16.18,27.265,11.388,-6.596,1.243
50.656,27.765,16.037,-14.159,27.445,-41.89,-3.873,-4.116,11.326,5.433,0.574,-13.496
49.387,17.016,40.548,-21.435,-0.517,-23.009,-25.557,-3.149,-11.547,-0.728,-4.461,-37.977
50.091,31.125,36.163,-28.064,8.443,-28.501,-14.594,-0.099,-2.342,-2.565,-9.729,-21.272
48.95,-0.22,-5.147,1.041,18.62,-23.151,-19.432,-16.238,-8.353,-11.949,-6.256,5.79
48.367,4.83,3.99,-17.137,36.264,-42.196,13.692,-40.257,0.577,23.47,-15.35,10.306
48.584,-41.404,27.854,-45.141,40.519,-41.949,31.116,12.786,40.793,7.839,1.591,-8.536
49.973,-10.078,18.696,-3.959,29.701,-40.648,6.014,11.29,21.987,-7.087,-30.277,-2.461
48.187,51.966,13.994,-27.356,32.751,-20.504,12.018,-49.445,12.015,0.636,-16.11,-16.451
49.403,-4.193,31.483,-9.197,27.545,-39.067,-12.53,-2.295,-10.272,2.603,-5.352,-35.187
47.202,22.298,-17.342,-18.255,46.583,-34.18,6.031,-71.929,12.29,6.532,-19.493,1.708
45.815,-53.011,11.81,-21.842,46.594,-34.077,-2.663,6.429,39.401,-3.094,-10.961,-1.065
46.698,36.333,-20.219,-30.129,41.814,-26.956,7.389,4.583,24.838,-11.45,-6.496,5.356
46.379,-47.719,34.914,-35.436,48.639,-35.999,29.651,12.762,7.119,7.282,5.815,2.878
47.704,-30.358,32.843,-12.077,50.446,-38.394,14.895,-5.778,17.85,5.206,-13.575,-8.029
46.826,-52.362,35.339,-32.061,54.514,-44.313,19.498,9.669,24.329,9.274,-5.045,0.443
48.279,-10.457,22.189,-31.248,45.806,-39.377,-12.674,2.498,19.149,0.591,-4.499,-11.112
46.886,-63.856,30.82,-31.559,47.071,-41.075,3.841,4.456,17.323,13.542,-3.282,2.804
46.91,12.347,24.173,-0.792,22.659,-71.457,18.602,5.769,-0.047,25.986,-11.877,11.018
48.294,95.27,-19.185,-33.671,33.62,-41.844,26.649,10.415,6.844,-5.846,-7.837,-0.193
49.841,90.943,-32.651,-35.865,35.717,-20.724,-7.642,-46.863,29.968,3.178,-5.351,6.584
49.452,14.969,6.317,-15.725,43.132,-31.193,16.59,24.464,44.083,-4.233,-25.914,9.87
48.589,28.571,17.802,-9.257,49.48,-34.775,32.831,-29.765,-0.835,14.48,-18.273,-12.088
48.359,-5.888,59.788,10.419,50.845,-59.625,40.358,5.096,9.231,11.204,-2.77,-0.531
48.729,19.561,54.556,-2.125,15.837,-36.501,2.133,9.144,-0.002,4.494,-4.385,-32.049
48.633,22.242,9.239,-12.212,27.934,-38.075,-19.517,-8.95,4.327,-4.42,-15.305,-26.374
48.763,-16.188,29.937,-2.982,35.038,-57.544,21.575,-0.39,24.334,13.329,-11.854,2.539
47.192,-38.746,38.663,-9.164,35.287,-42.792,34.518,18.288,14.608,16.916,-3.618,4.404
48.097,-7.184,28.046,-9.127,44.158,-42.34,17.269,6.899,29.269,15.611,3.201,13.916
