0,1,2,3,4,5,6,7,8,9,10,11
0.093,169.423,5.694,-30.697,54.222,-50.379,18.135,4.401,-26.516,2.554,-12.14,-7.977
21.541,-109.881,-42.699,-19.053,-8.5,17.865,38.392,31.138,-59.771,45.885,39.53,15.044
34.578,37.094,36.265,-4.204,-15.091,-12.067,33.518,7.812,0.592,15.187,-1.849,8.912
30.69,45.883,-2.826,-7.559,-32.878,-31.138,16.988,29.131,-5.092,14.3,-12.548,24.01
28.855,5.425,14.551,-47.36,-15.838,-14.103,24.384,-21.79,-15.374,30.235,-17.027,25.109
30.646,-13.19,-39.136,-44.141,-6.957,-36.756,17.964,-0.024,-22.686,5.346,3.328,16.521
30.037,-54.752,-52.507,71.212,21.188,-2.222,-0.551,47.082,-1.03,-7.955,-82.839,17.283
33.488,15.51,14.559,74.202,-6.78,76.773,16.286,46.925,-12.287,12.709,-20.245,8.105
38.042,-78.627,-19.035,-149.046,40.782,37.382,-9.583,39.642,11.971,18.846,-36.77,10.066
27.316,-116.391,-76.485,55.623,-33.199,-87.305,9.173,27.362,-17.942,-10.94,-17.843,28.75
23.605,-115.247,-67.815,45.882,-23.983,-89.827,19.236,25.338,-29.8,-15.144,-10.671,30.55
30.124,-142.749,-66.886,87.197,-39.42,-84.969,12.043,36.677,-20.762,-14.32,-24.101,33.547
21.944,-141.643,-107.845,24.234,-5.977,-29.034,14.777,48.848,-22.072,-7.279,10.419,9.485
48.31,44.716,110.533,-11.105,50.052,112.208,83.634,-2.823,3.918,54.308,102.115,-45.836
50.04,4.7,53.557,38.913,52.478,-21.942,-16.965,9.525,-17.212,-13.706,-51.902,-23.496
44.674,127.648,-60.943,-32.972,52.739,-48.375,30.694,-33.956,-13.904,-0.285,-15.683,-24.095
49.738,-34.874,48.635,24.659,29.817,-5.029,13.866,-2.363,-23.766,-0.096,-27.852,-19.531
44.327,6.908,-49.775,33.835,9.301,-0.499,-54.121,24.171,13.128,-23.328,-45.104,9.196
29.491,-118.357,-50.797,83.524,-25.428,-58.439,18.292,42.974,-21.207,-6.454,-9.865,35.704
27.097,-133.657,-25.958,-111.612,-12.338,34.698,51.559,30.63,-27.481,4.285,-43.646,27.353
42.372,61.675,-77.673,85.063,-15.2,-3.381,-80.579,-1.988,4.773,-5.371,-50.787,-1.864
50.201,32.071,71.712,-28.24,39.775,27.467,22.641,8.651,-23.831,44.843,24.996,-12.732
51.065,8.07,69.338,27.885,51.855,-28.515,15.375,13.565,-1.476,-3.082,-25.196,-2.04
48.623,-26.381,16.839,5.411,36.343,29.346,18.071,41.553,3.182,4.887,-20.009,19.809
34.553,-19.558,-111.166,103.655,11.966,-6.534,29.353,-23.787,-49.136,24.109,-27.918,30.304
33.159,-135.594,-54.953,92.142,-39.219,-53.438,23.087,14.895,-54.243,-1.628,-9.369,28.382
36.662,-67.475,87.099,-292.896,12.676,-8.751,79.256,30.437,-25.387,-11.104,45.57,-9.897
51.618,0.223,93.23,42.722,50.001,-32.348,25.051,9.146,-6.637,13.976,-28.477,-22.79
48.753,45.32,-5.231,17.667,45.08,-35.516,-23.177,82.765,-21.32,10.122,-25.072,11.765
50.509,52.475,1.916,-7.204,34.687,16.712,-36.714,42.338,-37.343,17.902,-31.821,-0.631
48.712,17.524,3.827,-36.407,21.139,15.478,-19.287,-57.667,-31.728,48.519,-17.551,13.541
47.152,-76.23,32.238,50.864,28.468,11.466,30.52,12.248,-11.444,-15.229,-57.723,23.272
32.914,-37.71,-73.085,41.978,-7.469,-83.26,29.102,-49.619,-15.23,-11.291,-13.14,29.585
34.154,-131.419,-53.854,94.601,-42.224,-65.254,21.38,20.402,-46.208,-6.25,-7.639,28.428
33.591,-138.906,-61.529,114.059,-32.985,-11.657,29.033,13.292,-47.741,10.907,22.377,18.92
38.046,-97.475,-54.638,129.797,-34.59,-55.278,11.015,4.906,-43.398,14.15,-8.599,37.312
29.323,-149.38,-57.756,46.767,-43.873,-78.872,21.2,17.903,-38.72,-14.675,0.428,18.808
37.367,-128.41,-23.215,90.389,-37.733,-75.419,14.607,-7.389,-52.809,12.608,0.334,37.321
43.096,-48.15,25.581,-78.491,23.928,82.554,26.748,31.273,-12.433,-35.994,20.442,-6.714
48.985,23.823,34.107,19.09,22.809,2.447,5.085,66.983,-33.033,6.322,-17.172,-3.103
46.551,-44.188,37.841,-55.229,35.032,-6.613,30.32,20.537,-5.037,-2.863,-31.103,32.889
39.898,24.148,-71.974,38.898,-10.62,-54.367,11.479,43.948,16.099,-43.325,-22.691,44.861
31.473,-68.066,-81.029,20.97,-11.28,2.573,26.287,8.567,-19.425,20.215,-41.087,42.362
28.684,-119.6,-61.904,-0.538,-18.597,57.145,39.393,35.212,-16.376,-5.348,-49.337,31.352
25.554,-127.675,-57.286,-35.481,-21.259,15.097,36.532,36.563,-20.653,0.561,-16.61,22.914
36.693,94.892,-104.372,16.06,-8.472,-71.918,-28.095,-0.904,-21.46,-28.952,-11.422,7.713
48.568,45.582,25.066,2.392,39.847,15.162,40.991,-46.287,-39.065,29.094,-5.314,27.215
51.841,-8.524,50.132,18.517,43.437,-13.02,3.115,25.864,-30.79,-8.405,-21.318,0.929
48.699,73.827,-0.628,-66.049,49.515,4.924,5.984,-45.279,-43.984,20.65,6.848,2.686
51.444,4.944,23.065,25.052,41.382,-8.773,13.877,11.343,15.616,-15.844,-39.981,-11.376
46.492,21.086,-7.703,-95.817,13.871,13.701,-43.482,40.603,13.866,-30.957,-7.086,-8.596
43.477,9.31,-99.965,105.999,-0.821,-9.966,-41.434,-20.97,10.341,-7.686,-60.672,25.928
31.895,-116.498,-62.658,98.741,-31.543,-26.226,26.501,22.04,-21.781,-0.014,16.044,32.197
30.946,-122.288,-66.593,72.009,-32.925,-83.677,19.097,23.169,-25.836,-30.573,-21.23,27.787
43.606,-9.787,-43.763,-87.201,42.796,72.143,-6.229,61.574,16.228,-24.582,5.396,14.159
46.927,66.421,-42.413,-65.102,40.667,51.804,-19.735,23.43,-16.234,38.987,-44.044,15.438
50.04,58.248,-17.586,-57.203,61.252,-2.734,-22.447,13.112,21.897,18.648,5.975,23.057
53.869,51.989,36.315,-11.094,40.666,-39.585,15.302,23.21,11.265,5.07,4.969,21.75
49.894,6.809,-29.309,98.514,39.633,-21.555,9.802,6.487,10.349,-10.355,-77.316,41.453
32.666,-124.1,-59.642,93.471,-38.531,-34.038,24.222,21.034,-46.905,12.818,7.476,27.817
28.982,-130.345,-56.877,47.947,-17.573,64.503,44.527,32.308,-40.989,-24.107,-25.554,19.716
34.689,-118.314,-43.897,123.889,-43.181,-82.336,13.143,11.194,-54.186,6.002,-12.965,33.81
