0,1,2,3,4,5,6,7,8,9,10,11
6.236,150.69,73.765,-8.142,47.571,-20.746,10.083,1.152,-16.287,13.399,5.709,-0.37
50.51,83.954,-10.424,-4.469,-28.552,2.142,26.284,14.371,-61.192,17.094,52.164,1.81
50.668,114.649,2.391,3.578,-12.371,-25.417,55.678,-23.588,-32.24,-31.034,-9.987,1.515
49.69,103.51,-23.528,4.393,-0.282,-40.205,40.236,-35.274,-36.752,-19.091,-0.755,-8.85
52.36,128.201,-11.638,-4.594,-8.256,-63.33,-14.78,15.537,-38.936,-5.782,-1.553,-1.911
49.94,59.535,-27.321,-3.216,-21.747,-32.719,29.268,0.791,-32.862,3.951,11.131,21.592
50.783,92.271,-19.968,-33.571,-41.165,-42.756,12.146,6.231,-28.833,-8.298,1.839,-7.294
51.229,92.244,-14.22,-30.659,-40.72,-49.527,9.989,8.124,-35.457,-4.313,3.264,-10.067
52.439,102.654,-13.849,12.21,8.273,-62.714,-17.258,-3.908,-38.352,-2.722,-6.828,-8.472
49.644,123.333,-5.35,-3.67,-13.248,-25.658,47.337,-14.725,-43.293,-49.069,5.035,-22.691
50.212,132.23,10.893,-6.575,-17.217,-25.465,57.994,-22.312,-47.132,-29.308,-7.274,-11.03
50.195,124.521,13.515,15.938,-20.544,-59.039,46.549,-18.022,-55.125,5.393,-13.122,-10.252
50.197,121.649,15.788,13.347,-16.242,-43.453,54.946,-38.484,-60.295,4.586,-20.554,-8.219
50.001,117.176,1.454,10.625,-5.422,-49.809,36.753,-41.184,-51.66,2.462,-18.895,-17.185
49.424,108.499,-17.949,2.711,7.874,-46.575,27.671,-47.792,-42.985,-6.212,-8.558,-29.36
52.055,119.622,-6.887,23.393,-13.791,-43.843,-20.602,-5.879,-38.899,-17.751,16.073,-8.487
51.439,136.184,26.427,-4.416,-23.318,-17.585,17.203,-4.654,-48.97,-33.855,2.243,-0.369
51.189,70.016,-17.024,2.761,-31.969,-69.705,4.457,16.662,-29.094,-0.006,-4.777,-2.434
49.756,141.422,-16.828,-15.542,-19.311,-27.623,27.805,-25.935,-21.328,-25.199,2.861,-15.399
50.666,180.868,-0.003,-36.798,5.039,-23.97,15.695,-1.291,-38.766,-40.022,4.448,-5.555
52.49,104.581,2.05,16.292,19.896,-68.273,-22.992,-8.147,-41.289,-5.969,-9.667,10.135
50.557,53.934,-27.025,-8.417,-44.317,-65.313,3.378,-3.312,-35.838,-6.182,-6.481,-4.812
49.569,87.734,-2.137,-12.594,-53.145,-27.427,41.611,-14.153,-30.338,-14.949,-1.722,-1.377
50.626,88.816,-20.379,-6.538,-29.378,-27.614,15.958,20.919,-36.074,-13.076,9.988,-2.695
