0,1,2,3,4,5,6,7,8,9,10,11
0.07,172.606,10.941,-30.739,56.37,-51.291,14.183,6.09,-25.77,1.955,-8.025,-7.113
23.358,23.3,55.425,-49.422,87.038,100.37,31.186,-65.957,19.406,83.882,-35.459,6.509
28.338,-97.419,17.514,-39.262,52.745,-3.505,16.579,-25.412,16.997,0.28,-54.089,13.193
28.736,-127.018,-46.085,-36.042,58.076,-16.28,12.42,-16.088,9.297,-27.595,-17.571,4.442
30.572,-154.602,-33.681,0.978,55.576,26.813,12.947,-13.087,-1.672,3.091,-57.916,-3.787
22.016,-205.122,-53.423,-42.459,85.132,-51.701,14.772,16.674,-22.899,-7.311,-3.76,-9.22
21.699,-209.813,-67.133,-41.062,91.81,-49.682,4.508,18.554,-25.102,-6.115,-3.042,-6.613
20.802,-189.376,-38.994,-64.623,94.106,-52.306,18.311,3.709,-28.332,-8.069,11.847,-7.096
22.731,-166.876,37.714,-28.134,80.983,-46.412,33.651,9.454,-33.746,-14.018,3.99,4.782
34.151,-80.287,162.211,-231.51,57.34,-21.651,48.173,50.0,-25.821,-1.837,58.253,-1.774
52.789,-19.871,66.026,7.528,4.108,-18.312,57.347,17.864,-11.892,-7.627,-7.598,4.455
50.09,-63.573,72.918,-6.117,1.408,-41.571,71.47,25.61,5.045,-5.287,-5.159,9.813
51.055,-9.699,13.214,38.918,21.824,-32.59,50.515,-27.848,-7.737,-5.685,-21.109,2.554
47.679,-55.334,29.423,-23.825,19.474,-16.907,59.106,30.937,4.097,-37.351,-19.978,-5.176
43.872,-91.068,12.445,-12.9,-14.551,-37.002,52.472,17.848,-9.902,-4.759,-13.933,11.083
47.303,-3.064,-9.728,18.309,3.569,-38.781,50.394,-16.264,-6.484,-3.752,-14.431,12.73
48.206,21.997,-45.637,2.122,44.644,-37.968,32.193,0.6,-6.765,2.477,-11.074,-13.732
48.79,-33.433,-14.926,47.255,20.259,-47.187,25.212,-28.698,5.562,4.927,-39.223,-15.256
46.447,-6.056,-0.569,-14.238,27.677,-11.543,35.427,4.369,18.133,0.438,9.495,-6.009
47.882,-32.309,9.481,-12.881,-18.694,-40.234,28.455,-11.779,7.196,18.793,-11.05,-7.28
48.571,-51.785,23.461,-18.138,-15.443,-41.165,22.018,9.454,-16.137,0.287,-2.224,-20.728
47.12,-55.464,12.993,6.885,6.788,-13.479,38.575,2.023,-4.679,-30.272,-34.776,-17.368
42.347,-100.176,-2.746,-15.551,-8.545,-16.332,29.002,-12.118,-0.714,-3.887,-30.049,-10.282
42.844,-98.799,-24.097,-2.055,13.758,-6.316,26.975,-4.502,11.523,2.366,-11.402,-15.874
38.875,-115.003,-39.951,-26.121,12.645,-52.071,30.177,15.513,1.822,-15.342,-4.755,-8.815
47.188,0.744,-41.08,-12.703,73.375,-12.463,59.869,-19.405,7.834,-1.305,5.891,-22.035
46.354,-30.352,-0.692,-13.527,28.16,-22.853,31.211,-6.212,35.263,-8.362,-11.273,-0.442
45.215,-75.423,-14.183,41.196,42.567,-46.993,10.694,-9.12,1.465,19.157,-36.443,-10.235
42.757,-78.34,18.417,-88.369,13.301,-5.752,33.621,7.743,19.386,-9.229,-7.441,-2.966
46.973,-50.503,13.909,1.831,-6.488,-20.096,39.104,-7.996,-4.925,6.24,-7.319,-16.001
48.015,-7.374,-19.345,30.682,25.203,-37.288,48.484,-49.174,-21.791,-13.19,-24.467,2.813
42.478,-99.575,-16.628,-1.166,3.583,-21.599,30.84,-12.52,-1.233,-6.071,-38.434,0.52
40.454,-91.02,-22.897,-47.698,12.034,-19.044,38.824,-6.614,8.563,-8.665,-13.148,-4.4
44.875,14.259,-70.397,-19.091,75.298,-26.022,37.834,-17.883,18.335,-12.513,-0.742,-18.561
46.285,-39.272,25.266,7.945,9.572,-25.998,34.147,0.888,0.428,1.305,-10.562,-27.958
44.222,-39.981,-18.857,1.199,39.634,-69.837,19.57,-4.083,10.753,3.83,-11.968,-7.113
42.593,-55.742,0.749,-31.34,39.265,-38.196,2.753,5.766,22.141,-18.403,-12.41,-20.36
45.13,-69.669,41.341,-58.994,14.94,18.225,20.478,-1.74,14.488,-2.634,-18.948,-18.627
44.716,-91.667,-1.349,-12.04,-28.229,-55.294,-4.96,-11.973,8.561,13.263,-8.83,-31.685
44.679,-103.354,7.458,-18.608,-10.345,-46.01,26.727,-6.572,16.202,13.83,-11.164,-21.909
46.817,-33.244,-57.637,36.737,56.192,-39.798,52.461,-45.037,-2.319,-9.469,-25.496,-10.081
41.181,-132.138,-27.4,4.82,14.34,-18.302,44.828,-13.547,21.291,10.344,-29.96,1.96
38.729,-137.171,-33.65,-49.75,18.545,-17.961,46.378,-8.403,21.026,-10.645,-19.211,-20.426
43.034,-87.721,19.895,-128.09,13.198,-7.8,62.623,13.172,2.057,-35.557,-1.103,-22.579
47.115,-85.206,15.879,10.802,-4.817,-60.555,46.82,-8.738,-12.361,9.059,-15.383,-3.895
