0,1,2,3,4,5,6,7,8,9,10,11
0.023,170.783,9.619,-29.156,57.381,-50.203,14.435,4.626,-27.48,0.76,-10.096,-7.167
35.008,83.771,10.388,-37.072,-5.156,172.249,-2.296,-22.144,-18.596,35.794,81.7,-25.076
41.771,81.465,58.11,-49.282,-5.908,7.849,23.713,-8.331,-10.057,-11.728,-4.304,47.439
44.013,108.066,87.296,16.694,1.758,-3.464,22.996,4.381,-11.01,-26.196,-0.312,46.338
44.012,127.27,93.631,25.729,-17.45,-41.423,6.027,11.6,-27.373,11.448,8.79,51.089
42.47,118.337,101.492,17.02,-8.869,-9.942,-7.992,3.528,-22.585,-6.135,-4.56,39.756
42.206,149.445,143.348,33.217,19.107,2.346,2.642,-6.073,-32.442,-20.375,-4.234,48.219
41.487,115.531,110.892,30.786,-2.538,-27.826,-16.043,-18.189,-21.085,-4.936,4.253,16.301
42.823,145.74,72.025,39.029,-29.177,-12.475,-21.857,-21.547,-27.876,-8.369,-22.56,25.558
41.686,134.007,74.778,-3.045,-35.369,17.625,-9.473,-2.674,-15.811,-8.739,-4.865,10.286
43.772,130.837,76.723,0.269,4.499,-39.982,26.182,33.206,-26.894,1.044,4.253,46.04
52.575,133.386,93.561,7.569,74.786,22.178,16.478,20.847,2.653,27.183,25.082,26.366
52.354,126.185,136.325,13.062,67.759,-32.159,-1.527,1.0,4.106,2.524,-1.922,22.212
51.892,138.836,65.156,46.936,32.326,-29.431,-40.27,22.826,-43.156,-24.045,-12.576,15.045
52.6,150.79,61.279,8.33,65.604,22.361,-14.027,-8.932,-7.213,5.69,-5.334,32.6
52.137,99.507,37.954,-15.0,29.332,-1.149,-21.385,2.322,-15.743,-42.336,12.746,13.084
50.294,57.834,18.255,38.204,-14.907,-31.961,-44.14,-46.881,-48.307,1.681,-1.354,17.436
47.973,36.381,25.028,26.41,-15.511,-12.587,-9.079,2.174,-54.09,-23.177,-3.79,24.11
46.42,209.819,44.075,10.165,57.387,-41.857,18.352,-12.131,-51.574,-23.298,1.229,43.004
46.797,-12.946,4.725,-42.484,-10.065,-39.794,-16.06,3.669,-34.378,7.244,-1.975,23.658
49.095,27.468,-3.04,-27.291,-17.808,-22.39,-35.61,-23.172,-10.211,0.471,-4.648,17.921
50.83,45.762,69.615,4.409,49.509,-41.487,1.505,-3.636,6.527,-1.133,-4.254,-2.349
49.056,57.878,13.186,-9.479,60.661,-26.984,-12.357,40.587,-31.023,5.02,-12.791,2.818
49.534,101.643,9.112,-3.1,12.438,17.377,-44.714,-16.137,-28.528,-0.346,-41.081,7.774
42.593,139.923,93.095,-77.382,-1.475,-5.982,2.456,10.439,-42.98,-29.61,12.386,19.034
47.17,86.067,86.397,-58.472,53.114,-6.383,-3.713,39.783,-41.847,-11.229,16.135,42.257
49.051,144.742,-9.355,-1.235,67.809,-27.726,-16.836,20.429,-39.933,-28.28,-9.912,30.449
51.614,142.007,45.781,-33.6,25.965,22.857,-59.852,-4.31,-48.755,8.142,8.42,-1.218
52.123,120.666,47.329,15.892,43.124,1.376,-22.448,-14.002,-26.899,-19.887,-23.824,-12.774
49.607,116.287,38.902,15.278,27.391,28.92,-4.009,13.326,-43.465,-18.188,-9.514,35.814
