0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
21.812,79.095,19.973,-153.257,11.033,117.164,22.477,-0.954,-7.924,43.458,25.448,-13.142
27.862,21.72,-5.906,0.804,-19.788,-27.636,-6.028,-7.587,0.622,-4.573,-6.709,10.527
33.036,86.46,-41.126,-18.435,-11.681,-13.429,-28.152,-25.34,-6.464,6.009,10.144,19.722
35.076,67.546,-61.209,-36.556,-1.945,3.755,-33.772,-27.044,-6.669,-6.486,-11.873,0.548
32.51,0.433,-54.179,10.023,-5.965,-30.282,-32.674,-61.271,-14.239,5.955,-22.082,17.167
30.482,-36.873,-75.326,14.398,-13.725,-17.751,-25.086,-63.208,-26.81,-6.46,-16.679,-8.239
30.158,-20.087,-33.618,-138.579,0.961,9.373,-16.211,43.865,11.847,-60.271,-1.75,-5.03
31.835,25.145,-54.856,-15.366,-15.997,-24.683,-19.562,-57.296,3.313,2.202,-24.353,5.947
33.781,54.982,-21.38,-24.352,-26.822,-34.124,-26.907,-10.984,2.756,5.328,-5.004,15.059
34.504,61.857,-37.065,-15.751,14.842,-21.662,-42.241,-12.619,-14.807,-1.51,-13.407,7.009
30.79,3.598,-48.261,-1.059,-25.504,-30.302,-16.151,-30.562,-11.056,7.526,-10.233,-0.612
30.119,-50.676,-67.782,43.943,-7.283,-16.204,-22.92,-38.128,-21.299,4.956,-22.339,13.993
31.694,1.557,-31.522,-107.464,-0.352,47.466,-10.537,47.897,6.042,-44.661,5.297,13.272
32.1,18.423,-59.137,-9.241,-31.001,-27.218,-22.477,-42.085,-5.521,-7.209,-15.736,11.318
33.666,-3.73,-43.72,-21.686,-29.946,-25.702,-22.429,-11.445,-20.443,-1.426,-8.335,8.187
36.685,48.816,-65.886,-9.75,-23.835,-32.026,-49.841,-24.887,-11.589,4.189,-18.923,-10.719
32.6,10.268,-70.755,11.779,-14.527,-31.636,-30.946,-30.22,-1.487,-5.207,-21.87,13.543
