0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
34.926,72.332,49.996,38.537,-23.101,5.947,-42.282,1.85,-48.77,8.113,4.268,6.533
33.905,86.694,84.872,2.512,-24.111,-23.169,-27.408,20.9,-35.286,-3.106,4.545,0.565
37.568,145.283,26.85,37.88,-11.245,-8.793,-52.838,-24.407,-51.669,9.441,1.467,5.328
39.024,212.194,52.383,-34.307,12.024,5.02,-67.751,2.007,-24.327,3.587,5.091,17.948
41.432,77.058,89.572,12.566,57.601,-42.853,-20.852,-6.413,23.466,24.321,-2.94,-9.423
41.859,100.715,91.298,29.987,48.53,-11.059,-10.557,49.052,-1.93,0.742,-31.012,19.95
36.381,139.14,58.212,-84.283,-2.34,76.219,-17.763,-17.912,-17.686,-59.006,-23.064,15.575
32.061,86.252,66.212,-37.913,6.144,-11.901,-60.118,11.577,-26.314,-27.383,7.521,14.697
34.343,102.328,71.642,-16.637,0.301,-0.344,-51.161,-36.209,-56.062,8.013,-8.57,21.203
38.53,132.049,86.116,-86.644,14.15,-13.691,-26.925,-46.955,-37.147,27.949,9.608,26.962
42.101,120.081,61.43,79.62,-11.603,-12.684,-39.273,2.169,-46.874,-33.531,-24.593,21.315
42.387,197.6,85.568,-10.245,-52.946,1.183,-51.046,6.858,-46.231,-2.283,7.039,0.74
42.536,179.424,48.754,15.771,-16.33,-7.403,-67.616,-15.72,-50.075,-1.037,-18.256,-0.193
39.884,165.328,25.109,19.013,1.726,-7.154,-52.794,-0.411,-35.979,-25.675,-12.827,11.024
42.496,161.887,80.217,1.077,7.555,28.777,-39.382,-28.38,-51.92,28.087,-28.052,4.358
39.35,89.384,31.574,1.332,-7.752,0.577,-47.278,4.203,-38.657,-12.111,-1.944,3.825
37.802,60.549,32.834,-6.825,-2.233,9.696,-56.604,6.376,-29.572,-2.069,-2.282,24.385
42.564,115.549,64.71,6.566,31.13,-14.941,-26.669,7.412,-38.327,7.876,-5.031,20.205
42.21,114.935,66.06,-21.598,5.771,7.024,1.646,-24.482,-36.206,14.648,-18.788,16.468
42.79,114.012,49.652,19.435,18.976,-20.821,-22.248,18.836,-34.389,-35.026,5.959,52.595
42.658,201.845,15.297,-4.163,15.991,-3.097,-50.861,-78.741,-15.77,-33.809,-8.993,38.062
42.743,69.626,110.738,23.658,45.205,-24.327,-3.126,0.237,-16.59,-1.08,2.57,30.091
41.108,62.644,46.232,34.755,32.575,-35.162,-23.024,11.69,-20.009,2.168,-10.721,19.948
41.168,174.636,27.409,-10.927,-13.034,-37.967,-65.676,25.134,-39.4,1.969,6.391,7.29
44.607,151.602,70.9,18.174,-12.676,-16.31,-35.708,-24.711,-50.523,-7.61,4.566,4.051
42.141,216.572,43.143,-10.995,-8.336,-27.977,-54.892,39.587,6.389,-39.202,-4.941,30.23
42.289,121.006,95.41,24.61,10.308,4.825,-23.364,-44.861,-54.993,40.224,-5.924,18.358
43.124,113.058,73.967,-8.653,34.785,-2.984,-10.492,11.198,-47.185,1.084,12.871,38.907
43.575,117.715,87.319,33.958,5.105,5.469,-30.854,2.826,-39.147,-7.481,-22.851,10.783
41.429,262.116,74.875,-30.522,18.997,6.076,-65.623,7.981,3.836,-32.507,31.075,30.891
42.058,170.168,56.825,33.194,22.774,-19.191,-54.995,35.018,-34.026,14.152,-27.798,21.751
36.95,130.42,64.022,17.7,0.708,28.741,-30.211,-17.595,-46.643,-0.689,-2.579,31.163
38.889,264.223,47.371,-62.079,42.843,8.844,-54.711,-8.017,-20.497,-19.379,23.754,21.963
42.02,106.596,47.46,-0.539,24.33,-32.833,-36.193,1.197,-38.483,4.776,-8.026,6.88
39.686,75.981,34.99,-0.992,-5.565,-42.927,-57.471,-9.53,-45.193,-1.013,5.927,7.165
38.937,75.536,58.362,3.216,-25.436,-33.913,-37.989,-13.163,-42.875,-6.814,-0.934,21.171
38.4,120.012,35.224,54.071,2.988,-13.902,-37.692,-59.019,-17.065,-16.628,-0.366,11.039
36.239,137.745,63.407,-14.888,-2.452,-24.535,-65.702,2.993,-25.824,-18.935,15.72,4.909
35.902,123.44,72.075,22.055,-14.149,-22.62,-28.291,-6.687,-31.869,-0.542,-1.786,8.146
38.959,201.358,40.151,-59.09,3.113,14.709,-68.235,52.734,-29.126,-20.439,20.751,4.816
40.86,134.743,18.697,40.714,-8.952,-2.386,-65.488,-35.178,-47.378,4.537,-35.775,6.108
38.288,244.544,45.009,-64.748,27.782,3.454,-53.951,40.639,-7.515,-67.433,25.3,10.296
42.086,215.808,53.897,2.955,-24.798,-21.834,-67.394,12.496,-42.713,18.09,2.729,-3.924
40.213,127.281,22.839,14.298,-25.144,-21.731,-47.485,-28.642,-39.88,1.302,-16.165,5.826
41.236,47.581,64.532,9.494,12.93,-2.1,-6.976,-17.211,-31.045,19.254,4.748,16.232
40.557,75.272,77.444,33.195,29.609,19.695,-12.374,27.559,-40.288,-7.445,-17.123,24.018
36.385,111.399,59.057,-24.564,-2.491,8.599,-54.705,13.074,-42.014,-2.888,7.365,16.094
42.377,75.222,91.853,-50.049,42.531,30.848,-16.316,20.519,-8.014,-0.132,14.47,28.73
42.292,106.986,61.765,86.247,-3.655,-18.64,-43.13,-5.104,-38.552,-25.156,-18.946,22.2
43.38,141.511,112.251,17.597,-18.89,-0.132,-42.579,-6.237,-55.966,6.15,4.684,-5.603
42.505,106.605,102.579,38.676,-9.973,-17.937,-34.412,-3.42,-66.016,-1.536,-8.442,-5.694
39.033,114.493,26.887,-41.092,-27.573,-26.025,-17.348,-11.975,-47.364,-2.586,3.218,-7.216
43.332,134.691,55.827,-14.202,-7.577,1.611,-62.531,6.2,-29.845,7.895,-8.174,-0.241
40.958,96.807,38.565,22.22,-15.652,-12.663,-60.558,-7.047,-28.292,-4.349,8.773,6.171
