0,1,2,3,4,5,6,7,8,9,10,11
38.549,156.208,203.868,-139.856,171.377,293.565,139.254,39.494,-19.362,62.82,71.509,-24.724
51.051,133.997,150.639,83.713,125.098,3.905,24.01,-29.09,-28.2,-8.601,-57.585,23.506
49.737,126.247,46.608,0.135,12.559,56.913,-15.095,23.51,-23.98,-44.579,-23.929,-12.047
53.313,152.051,83.048,-7.339,59.128,22.253,10.55,-28.871,-48.36,46.386,13.605,-3.583
54.049,148.218,64.299,12.437,51.529,-29.806,-20.973,-8.887,-38.251,-1.79,-10.083,-3.489
53.605,165.858,78.71,-31.817,60.856,-23.458,-15.038,-6.09,-52.155,-13.854,0.975,-10.61
55.28,166.34,110.68,-1.593,39.131,-10.008,-11.779,-26.215,-37.602,-2.463,-5.981,-11.956
55.06,123.634,110.7,29.057,64.402,-17.456,10.543,2.95,-34.85,4.06,-8.012,5.3
53.518,125.358,98.4,20.886,34.038,18.92,-10.821,-13.538,-34.568,-34.726,-8.615,2.697
53.719,117.302,96.499,0.138,55.835,3.757,5.462,-26.123,-39.825,-15.091,12.657,-15.163
54.028,128.229,69.891,35.604,35.994,-13.803,-25.744,-53.213,-22.356,-12.498,-20.425,2.088
53.943,109.649,78.403,-28.047,71.338,-6.441,6.763,-19.594,-58.631,-20.542,4.942,-15.485
54.706,112.038,119.615,18.049,59.733,-25.764,20.669,10.842,-23.151,-6.657,-12.234,21.917
54.095,151.662,64.798,27.809,78.883,-43.918,-5.411,0.163,-56.035,-10.774,2.472,-4.459
54.068,111.228,124.25,33.965,47.964,-20.655,4.482,8.398,-50.297,-3.533,-8.327,-13.847
51.695,106.601,94.872,-14.853,32.264,0.866,-15.88,22.943,-33.686,-38.486,-8.915,-10.097
51.04,107.015,62.465,-37.577,70.7,-28.093,-12.811,55.527,-35.803,-43.935,1.688,-1.865
54.011,152.03,66.734,18.764,46.906,-1.647,-10.985,-4.12,-56.102,-5.342,-19.735,-2.533
54.393,158.467,62.788,-2.926,37.453,-12.207,-19.031,-23.714,-48.477,-16.06,-14.596,3.188
55.359,105.056,88.529,17.301,67.827,-24.279,0.068,14.709,-25.47,-13.516,1.362,0.311
53.256,100.583,94.765,-26.361,70.554,-26.284,21.3,-4.34,-35.524,-15.866,-4.754,-17.257
53.486,93.356,114.433,-8.888,47.492,-2.52,8.473,16.358,-9.773,-23.821,-11.22,-5.317
53.107,89.919,114.808,-51.33,45.303,-7.399,6.244,22.352,-20.296,-25.713,3.487,0.56
53.991,111.872,87.388,43.003,49.454,-23.871,22.184,-19.918,-35.067,-4.539,-22.571,5.47
53.742,119.98,77.941,-13.359,66.437,-26.051,7.114,-10.526,-48.432,-4.7,-16.576,-15.97
53.692,126.981,81.122,-7.76,96.408,-28.152,21.624,-29.813,-37.431,-3.546,-17.9,-14.472
