0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
31.954,-118.031,-55.235,-2.127,-8.332,-28.545,-0.145,5.426,1.257,10.055,-13.329,-2.004
31.037,-110.567,-23.476,-78.92,-16.435,-24.002,1.956,-2.97,9.795,-3.899,3.925,-10.384
34.683,-128.634,-34.485,38.665,4.305,-50.003,-5.75,-10.976,-3.273,4.94,-26.423,-1.428
31.472,-138.193,12.457,-122.507,2.269,1.422,12.518,9.858,3.02,-8.89,-27.791,-9.403
32.762,-133.473,-26.61,-8.673,10.292,1.029,-9.477,-10.083,1.817,-10.619,-43.478,7.242
28.335,-139.006,-18.527,-62.54,-28.012,-37.051,17.673,9.868,-0.168,3.818,1.115,-8.959
26.905,-86.961,7.868,65.4,7.477,-15.103,6.778,73.093,4.993,-17.249,-40.055,-3.854
32.296,-111.31,-103.223,38.654,18.147,-55.924,9.233,-13.001,-1.528,31.068,-9.839,13.357
27.627,-151.477,-64.966,-73.791,13.457,-42.974,23.254,10.936,3.803,-0.211,7.831,5.756
34.212,-133.702,-16.635,45.213,14.564,-46.01,-2.385,-1.237,-5.631,9.913,-36.641,8.187
32.815,-126.735,40.599,-142.211,14.534,2.094,8.421,10.258,5.319,-9.047,-7.454,-3.481
36.797,-72.315,-11.053,25.555,-5.37,-40.351,-27.324,-16.716,-7.139,-13.942,-15.179,-1.911
35.461,-150.252,-17.151,-14.986,21.734,-35.579,25.535,6.224,-8.925,8.39,-3.036,3.951
36.925,-85.125,-1.082,-7.463,15.399,-6.486,-4.948,-11.125,18.835,-4.895,1.735,-13.797
39.029,-32.156,43.595,2.773,22.514,0.431,-8.089,0.609,-2.498,-7.407,2.535,6.771
38.636,-51.273,34.336,2.945,40.279,-22.521,-21.616,-14.392,1.71,12.114,0.462,6.124
38.283,-58.965,19.04,-40.208,17.964,-15.663,-22.016,-6.071,15.4,7.216,-19.796,-3.404
49.403,58.243,-43.412,-0.977,16.706,28.271,-19.564,6.635,-9.915,-7.073,19.003,-3.14
46.413,45.077,-90.398,10.468,5.349,10.13,-12.267,-15.179,-2.379,-5.265,-13.857,4.78
49.446,39.999,-84.343,16.632,5.582,-76.469,-23.194,-18.065,-13.003,3.195,-17.01,13.001
44.641,36.051,-103.517,18.54,-15.91,-9.062,-1.779,-33.507,-10.719,2.833,5.085,-1.424
48.862,36.833,-93.922,38.349,-13.18,-68.239,-33.539,-13.312,-23.144,1.659,-23.085,9.606
43.082,-21.52,-50.269,8.816,17.496,-35.503,6.04,-5.27,-5.467,-9.017,-18.473,0.456
