0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
32.908,67.685,141.998,-23.557,65.377,46.403,14.686,-78.925,-34.44,-0.847,6.506,18.332
31.892,-63.665,62.203,131.162,65.423,-4.787,-36.347,28.117,-12.995,-38.638,-46.369,6.163
22.174,23.301,114.068,30.439,33.711,-18.553,-20.249,-18.038,-43.004,14.932,29.737,-10.571
38.688,5.969,89.699,61.691,22.402,-15.249,-25.051,-4.017,-32.808,-18.065,-6.115,14.287
35.214,-42.076,48.834,61.513,38.215,-19.008,-57.752,-36.509,-24.874,0.917,-32.272,0.222
33.9,-85.387,91.598,-30.049,69.29,30.447,-22.53,8.349,6.335,-9.258,-11.785,-18.32
32.631,-98.997,111.172,-41.2,79.391,-5.973,-18.544,10.608,17.33,-1.091,7.975,-29.552
34.66,-68.971,84.703,57.098,59.213,-19.289,-23.423,-13.418,-0.685,1.626,-42.715,-17.529
32.144,-107.267,93.549,-34.943,74.513,12.542,-26.106,3.269,3.961,-7.497,-8.728,-11.529
32.51,-149.852,46.783,-43.635,43.297,-3.446,-16.625,27.102,6.717,-20.907,-0.592,-4.536
30.786,-144.642,62.648,-52.718,54.64,-2.981,-23.12,19.565,4.07,-11.312,-4.828,-8.474
29.622,-174.174,26.447,-45.683,52.142,-5.436,-29.009,24.442,-4.994,-17.297,-9.999,0.645
29.419,-114.939,72.042,-21.316,61.267,-12.768,-16.606,-5.695,9.149,-8.028,-11.279,-12.917
27.5,-227.949,-29.577,-54.563,52.737,-46.406,-36.577,13.158,-14.72,-10.878,15.307,-1.667
28.721,-153.957,2.153,-14.047,34.746,-11.913,-28.459,15.405,5.038,-15.1,-26.97,-2.884
27.535,-127.101,54.974,-35.252,51.861,-12.057,-17.371,-2.432,2.998,0.163,-17.894,-10.771
27.16,-226.712,-4.972,-67.954,75.359,-48.148,-21.29,13.265,-13.992,6.751,25.241,-6.414
28.006,-154.755,9.205,39.406,46.627,-45.195,-31.336,10.923,-7.125,-11.021,-20.665,-1.449
23.817,-156.183,8.24,-32.766,64.0,-41.804,-23.744,12.821,6.732,-8.937,15.286,-18.823
27.271,-146.286,25.87,-10.478,43.132,-7.61,-34.417,0.288,-15.247,9.98,-5.945,1.13
25.534,-226.523,-12.687,-49.269,84.223,-57.282,-10.953,8.874,-21.521,1.275,11.846,-8.66
26.05,-154.682,14.765,18.481,49.265,-24.799,-30.564,29.21,-11.648,-9.408,-11.316,-10.615
22.057,-192.979,-25.531,-60.919,95.567,-45.901,-23.218,6.184,-27.142,5.91,16.902,-6.284
24.884,-161.921,6.708,-12.13,54.498,-23.735,-37.859,10.39,-24.914,-2.969,-5.022,4.683
24.4,-215.657,-8.596,-28.26,94.485,-42.685,-9.775,16.594,-23.857,-3.372,4.136,-15.121
23.528,-181.487,-36.684,-16.38,59.541,-39.34,-25.633,-3.373,-22.861,-9.09,-6.958,-1.169
22.385,-160.232,-25.023,-23.062,55.96,-30.153,-10.525,13.047,-15.367,-0.524,-12.657,-12.72
30.265,-139.98,26.562,-138.535,83.599,-5.517,-28.966,81.118,-13.329,5.513,55.739,3.157
39.13,31.785,-29.642,30.758,12.49,39.885,-26.387,-62.536,-2.718,-5.852,-74.219,26.367
30.071,-135.343,-49.61,-93.659,3.552,10.422,6.167,28.346,17.894,5.065,-18.622,-1.639
33.27,-37.732,-79.576,0.467,-0.74,42.052,7.267,-61.236,10.168,-1.663,-50.959,-0.275
30.996,-131.417,-54.603,-80.275,28.068,35.524,-1.565,-0.902,13.53,18.568,-31.74,4.727
33.658,-44.114,-53.183,-90.275,19.846,42.962,11.544,-5.296,29.676,-21.666,-26.927,8.303
35.199,-5.424,-87.367,0.876,-16.34,-74.03,-25.234,6.653,0.838,19.416,-1.166,7.295
34.731,29.902,-67.023,-28.848,1.61,-66.327,-27.519,-16.905,4.821,36.718,-2.728,12.952
