0,1,2,3,4,5,6,7,8,9,10,11
0.216,166.164,7.332,-34.602,56.855,-51.32,14.751,-1.931,-27.488,0.23,-8.628,-6.024
18.751,-105.159,-77.929,-19.661,53.139,47.981,-1.9,58.404,-10.685,37.985,-36.577,12.39
12.845,-29.39,-93.447,-53.123,-5.151,-57.182,-28.795,9.889,-35.39,-7.609,-7.233,-21.745
25.207,172.729,-63.828,-22.081,2.73,-26.139,-16.538,-59.702,-0.845,-1.411,11.707,24.477
22.348,-37.44,-79.935,76.903,16.515,-40.527,-64.42,34.889,-12.995,-19.708,-55.759,-9.261
11.882,4.952,-101.355,-20.787,6.694,-38.27,-24.024,8.415,-23.577,0.577,-6.371,9.938
8.776,32.61,-81.941,12.559,22.645,-65.926,-23.633,54.002,-15.567,-15.523,-5.861,-3.088
4.179,122.183,-15.513,8.374,29.915,-60.286,4.985,29.252,-20.362,-3.307,-19.306,-13.471
3.135,114.691,-44.837,-57.8,22.105,-54.202,10.723,5.548,-30.618,-6.141,0.304,3.428
4.544,118.043,-15.334,9.33,33.25,-62.08,1.728,25.322,-16.01,-1.942,-21.293,-12.006
4.111,109.501,-23.047,-68.306,31.161,-23.156,30.522,-1.359,-34.669,10.847,-29.822,9.43
37.167,60.59,69.582,-212.896,45.056,198.103,59.492,-24.732,-23.354,35.049,-0.725,23.17
47.198,-3.552,12.221,-15.167,-6.816,-25.982,-27.812,-14.914,-30.712,-11.417,-0.468,11.918
51.89,72.295,-11.08,-0.565,3.733,-34.258,-31.61,-30.775,-2.86,1.797,-15.019,12.589
50.844,61.444,54.647,-1.199,-20.906,-27.141,-48.839,-23.61,-41.843,-1.53,-17.785,-29.433
51.456,42.354,-1.393,6.965,50.273,-45.795,-11.489,-18.573,-16.196,-1.777,-11.554,-1.605
51.421,67.003,11.117,9.315,31.383,-28.341,-20.774,-35.456,4.579,-0.371,-19.815,12.781
50.529,61.679,14.105,5.015,12.847,-35.715,-16.015,-11.795,-16.814,8.044,1.822,15.562
51.904,83.597,8.825,17.122,-1.008,-37.62,-24.667,-17.31,-3.327,13.405,-14.066,10.733
53.57,107.559,22.974,21.034,5.674,-26.068,19.305,-11.842,-16.512,-5.378,-18.858,39.059
49.505,42.236,-20.892,4.037,65.386,3.92,-5.409,-21.211,1.425,-9.971,3.333,-3.658
48.847,39.111,-16.068,12.467,2.829,14.563,-19.069,-18.268,-14.131,-18.962,4.918,2.669
46.327,40.973,-1.242,-2.286,-11.905,-41.225,-51.761,-25.623,-25.083,0.605,-9.881,1.573
49.517,49.306,-1.462,-7.32,4.84,1.889,-9.706,-12.849,-15.722,10.812,-8.468,2.789
51.273,63.514,-14.821,-7.132,73.9,-39.288,-4.076,-9.082,-2.666,-0.312,-5.02,3.523
50.71,40.462,-27.218,1.693,43.807,-42.793,-5.574,-32.2,-4.119,-4.687,-15.75,2.576
49.464,30.99,5.23,-29.553,-3.088,16.016,-0.405,2.422,14.122,-25.174,-13.765,-8.042
50.336,85.954,-6.981,-22.83,3.283,-34.301,4.254,-36.878,-34.212,16.803,-33.283,6.971
52.615,86.208,16.502,-34.492,7.603,6.058,25.693,-0.814,0.718,-17.278,3.36,23.67
50.104,47.133,-27.63,-2.677,55.523,-25.42,-15.533,-23.017,1.666,0.82,-1.462,2.282
50.407,42.217,-12.121,-1.83,18.702,-0.609,-9.91,-19.048,-34.149,5.849,-7.814,18.341
47.658,13.832,10.832,-14.793,4.61,-16.901,-29.734,3.105,-25.915,-27.874,5.611,19.368
50.666,68.556,-4.0,-1.033,16.132,7.567,-17.316,-13.924,-3.011,-11.235,-1.197,5.292
49.629,41.383,-6.672,-21.673,65.417,1.674,2.751,-5.166,-2.862,-4.542,3.148,2.024
50.222,37.767,-0.246,2.214,24.713,-49.372,-16.669,-25.951,-7.175,20.389,-14.985,17.463
49.354,37.434,20.349,-31.9,11.301,-6.85,-12.321,-10.548,-7.889,-19.197,-12.462,15.438
50.868,89.995,6.842,-15.309,5.651,-48.821,0.354,-28.615,-32.804,17.927,-28.39,5.252
53.345,115.13,33.72,19.97,7.612,-40.443,14.525,-6.942,-19.332,-10.198,-17.037,42.583
50.505,52.652,-13.751,5.703,51.476,-44.769,0.124,-26.197,-0.168,2.992,-11.724,12.907
49.355,33.54,-3.809,4.942,-10.376,-15.415,-15.763,-14.733,-26.384,7.478,6.882,20.353
45.746,43.359,-1.629,-10.64,-18.741,-29.507,-37.641,-22.46,-28.567,7.982,-7.0,3.725
48.68,58.375,-8.282,-13.858,7.428,6.498,-10.465,-24.886,-15.985,8.921,-13.653,0.911
50.394,54.507,-19.095,-34.423,64.952,-3.222,6.602,2.218,-1.755,-11.263,5.473,-2.588
50.454,51.774,-25.104,4.67,47.076,-20.226,-14.573,-44.365,6.631,-11.845,-10.99,0.496
