0,1,2,3,4,5,6,7,8,9,10,11
0.027,170.655,8.348,-29.135,56.497,-50.23,15.908,5.059,-26.957,1.43,-11.087,-7.557
38.503,46.256,7.249,-129.867,28.945,112.284,7.298,-21.312,3.415,38.105,5.383,-2.015
41.534,-87.189,-20.413,9.283,28.537,-51.779,-3.004,-40.417,25.478,27.715,-22.692,-1.794
46.029,-10.595,-30.714,40.013,60.35,-16.74,6.405,-65.88,26.529,-1.644,-24.257,-14.622
40.966,-81.054,-21.635,32.306,5.068,-79.435,-5.681,-28.708,6.66,36.037,-29.894,11.93
43.81,57.568,-29.378,33.667,5.566,-18.228,-40.981,-51.14,-14.587,0.326,-8.966,4.692
38.397,-63.045,-3.041,-1.042,19.821,-41.912,-18.93,-23.674,-5.011,23.97,-6.844,26.664
43.589,26.733,-27.566,42.3,14.835,-2.284,-21.108,-54.567,-13.936,6.845,3.599,2.078
38.621,-57.467,19.354,-45.945,22.15,-23.411,-40.077,-33.214,6.893,14.711,-19.568,-10.824
44.608,53.319,-14.393,56.468,29.838,-45.664,-40.884,-51.14,-4.493,-5.705,-7.23,-8.061
38.569,-64.219,-20.893,0.979,22.949,-52.252,-19.038,-22.631,20.972,19.632,-3.033,-18.52
39.807,-52.985,1.036,2.997,26.671,-8.608,-1.796,-27.694,20.359,7.956,-9.073,3.144
41.287,2.008,-6.062,10.714,15.619,-7.749,-43.59,-28.898,25.671,-9.071,-3.449,-21.444
42.383,-10.599,13.913,-63.591,32.801,32.018,-24.242,-3.881,16.172,-42.389,-31.749,-4.284
41.876,-1.931,-3.249,-38.553,-0.785,-22.721,-59.118,-17.013,6.559,-8.105,13.483,-18.154
44.388,35.894,-7.796,39.66,41.557,-53.16,-20.415,-49.945,1.817,44.951,-36.753,-9.038
41.425,-79.766,0.735,-9.876,39.619,-38.077,3.907,-29.387,28.266,21.87,-11.395,-12.026
45.736,-31.232,-20.221,33.798,51.384,20.713,17.539,-60.509,37.124,-30.033,9.272,-20.428
41.577,-83.117,4.272,36.727,31.162,-41.279,24.979,-20.217,15.194,18.073,0.964,2.201
44.211,39.091,-40.786,31.028,22.051,9.144,-9.984,-68.569,3.238,-17.843,1.532,22.774
43.477,21.503,-45.645,55.59,27.615,3.272,-11.599,-56.704,2.844,-20.201,5.546,4.937
39.109,-78.315,-36.565,0.907,3.163,-39.049,-18.894,-50.476,11.238,25.183,9.392,-11.958
39.973,-70.979,-4.907,-60.208,12.676,6.233,-15.485,28.739,34.408,-39.881,-26.799,-13.5
40.55,-63.512,2.756,-3.992,31.291,-11.177,14.087,-29.609,25.866,12.489,-10.518,0.851
42.848,6.003,-14.321,-29.341,36.841,19.622,-7.739,-2.545,40.294,-50.382,-16.027,-13.678
44.159,36.948,-17.522,-9.083,37.761,4.211,-18.084,-31.179,23.046,-21.333,16.308,-5.469
42.817,48.584,-31.785,25.499,32.936,12.968,-52.666,-54.559,14.524,-27.392,-9.22,-1.376
45.602,28.005,-21.348,1.426,32.401,24.649,4.762,-70.326,-4.247,3.272,14.278,-18.295
43.453,-65.036,-2.263,-0.463,13.736,-41.051,-2.355,-31.161,22.403,12.245,-16.244,-15.495
46.583,-9.216,-12.452,38.171,52.809,-10.868,6.154,-65.366,23.204,-2.102,0.469,-25.512
44.847,-21.936,2.051,0.828,19.746,-8.867,-0.268,-23.474,26.072,-6.574,3.124,-9.532
45.231,28.941,-3.094,37.776,24.89,-25.681,-38.241,-45.688,-17.954,-7.458,-4.219,-3.664
41.557,5.647,18.24,-12.333,9.349,-24.692,-34.402,-31.73,-12.373,7.94,-10.248,13.297
45.611,44.855,-5.542,49.651,11.64,-29.238,-40.215,-56.739,-37.32,26.83,-9.781,-8.059
41.612,-36.134,10.41,-3.873,6.762,-23.9,-30.968,-34.469,-6.134,3.791,-4.408,-26.052
43.804,23.779,18.472,-3.18,42.735,32.41,-31.053,-8.745,12.956,-65.662,-8.004,-25.743
40.817,-49.283,1.699,-0.623,31.007,-40.857,-28.933,-13.517,10.957,5.412,5.788,-26.235
42.494,-33.076,25.587,-20.558,31.68,14.868,-9.614,-23.825,16.999,-4.137,-19.965,-8.053
42.318,-25.293,7.509,17.477,27.08,-18.512,-52.727,-33.733,8.493,-12.345,0.719,-11.764
44.406,28.863,2.898,-7.575,33.41,47.155,-3.939,-36.152,7.984,-46.064,-5.268,-0.462
42.595,-5.454,20.229,-27.266,11.032,-18.369,-46.581,-11.719,5.37,-5.052,11.339,-12.999
46.706,58.261,10.542,28.437,37.146,-17.226,-21.978,-57.123,-3.078,10.867,-9.282,-34.87
43.824,-44.238,1.392,7.285,16.066,-36.673,-18.217,-35.156,20.365,21.092,-16.058,-24.932
