0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
19.155,-91.733,45.749,-229.427,66.856,99.434,84.462,-98.661,-55.131,120.076,-40.927,10.353
32.212,-230.632,18.797,-16.818,35.248,-27.956,10.053,3.062,-10.039,-12.947,-11.191,1.312
35.348,-193.196,44.42,7.642,39.935,-12.139,18.084,1.403,-1.392,-13.914,-11.429,3.537
38.648,-162.215,64.921,17.565,34.748,-7.558,27.567,12.758,-10.14,-15.863,22.618,10.637
36.949,-153.693,54.63,-2.86,23.637,-32.317,0.979,13.183,-9.634,-21.58,-6.905,0.474
39.939,-99.076,66.27,-5.914,21.345,24.432,11.869,4.772,-4.168,-19.252,-8.163,-11.949
40.421,-100.386,94.8,-48.737,34.236,9.638,-2.929,5.418,-16.826,-9.457,-5.736,-4.881
42.743,-91.51,77.125,0.381,32.973,-11.961,-34.18,-6.644,-30.394,-17.185,-8.763,4.011
41.761,-95.716,50.429,-2.052,14.427,-21.578,-14.996,-0.223,-9.467,-10.053,7.935,-18.629
43.305,-84.222,71.211,-2.986,39.775,2.012,-10.488,7.24,3.497,4.999,-17.971,-12.96
43.642,-70.54,77.164,-19.407,27.715,-21.386,-31.152,-14.204,-6.471,5.769,3.55,-29.322
47.009,-31.64,75.657,4.693,34.551,4.033,-29.076,6.439,6.8,-22.865,6.253,-15.026
45.64,-49.217,82.802,-1.358,41.026,-29.483,-20.144,0.161,7.565,10.865,2.424,-5.904
47.067,-24.466,71.056,13.392,47.076,-19.503,-29.771,0.364,-0.725,0.789,4.519,-3.583
48.389,-18.913,90.243,13.05,43.813,-20.775,-28.302,-5.371,0.099,-6.039,0.898,-1.164
46.561,-43.179,85.008,6.989,36.574,-38.04,-9.044,10.404,10.123,9.489,-2.414,-11.008
46.182,-15.847,76.453,17.082,26.361,-24.256,-10.348,-4.87,11.076,2.596,-13.596,-16.592
47.727,-17.886,80.214,66.646,36.754,-13.862,-6.628,-7.292,-13.345,-13.116,-2.404,0.732
50.982,28.695,97.525,52.823,41.671,-37.693,-30.235,6.241,-11.052,-22.19,6.935,12.222
48.123,-22.663,81.083,14.222,27.699,-44.439,-21.795,5.418,-9.26,-7.673,-0.326,0.659
46.98,-29.86,84.994,20.386,34.134,-18.335,-12.58,1.608,-12.418,-0.218,-17.564,10.135
48.582,-7.379,89.425,61.982,24.847,-24.537,-10.696,-7.027,-21.076,-22.755,-6.791,-0.898
49.604,45.806,108.38,61.039,25.42,-3.525,-3.201,-6.478,-19.884,-4.979,17.528,-5.047
48.022,-24.937,99.313,21.643,27.076,-23.023,2.094,-10.196,-17.672,0.676,-8.179,-13.06
47.782,-5.7,76.88,50.207,18.829,-33.499,5.29,-9.131,-31.025,3.883,-10.983,-3.486
51.204,56.58,78.286,31.083,53.378,-34.993,-2.976,-8.838,-12.508,-6.007,0.844,0.647
51.628,37.919,77.425,45.006,43.361,-34.778,-9.254,-31.283,-31.522,0.8,1.235,8.466
48.914,21.729,58.156,34.268,56.553,-32.455,-27.715,-29.972,-15.773,-0.114,-8.732,4.838
48.347,15.286,91.632,-26.808,51.739,-2.407,-5.055,0.282,5.201,-18.024,-15.829,-8.516
48.983,11.881,83.269,37.105,52.119,-23.338,13.566,-5.98,-18.522,-27.606,-11.261,8.821
51.136,66.787,71.12,29.353,79.559,-17.969,-30.211,-8.044,-7.713,-2.315,3.294,1.55
49.816,23.096,77.332,17.493,60.344,-37.539,-16.388,-13.699,-14.792,5.823,-17.287,4.166
52.115,51.543,82.289,48.86,47.813,-41.452,-14.008,-40.162,-27.948,-1.131,-4.641,7.605
48.41,28.917,44.535,65.155,42.291,-45.081,-38.301,-21.086,-24.866,5.347,-20.523,8.813
45.253,-9.325,17.473,-8.988,-16.325,-30.156,-22.295,-23.297,-14.842,9.38,-9.842,2.637
49.286,1.21,33.183,-31.262,56.02,24.613,-23.217,43.529,-4.642,-4.227,-15.881,-18.518
53.236,16.26,60.722,15.184,69.466,-8.062,-16.288,-0.066,-8.322,22.754,-4.545,1.572
50.585,37.184,51.373,-5.807,16.843,-10.765,-54.617,-4.482,-7.534,-26.228,-5.949,-7.295
50.78,-2.86,44.187,4.675,27.535,-19.019,-47.868,-5.809,-6.092,-10.5,-18.097,-27.122
50.788,-6.423,45.703,18.84,35.981,-0.163,-33.157,-4.511,-8.011,3.655,-9.106,-24.712
47.575,69.379,9.739,-46.208,-8.164,-3.687,-28.45,19.306,-4.885,-18.651,-2.232,-28.823
49.858,21.614,26.744,12.134,10.314,-19.027,-28.169,3.213,-8.326,6.498,-8.116,5.053
45.209,3.93,4.313,-3.156,-20.163,-24.506,-19.467,-24.175,-28.684,21.791,-13.241,-7.402
52.14,13.519,56.133,-0.887,68.768,8.256,-7.498,7.241,8.359,-14.678,-1.625,-17.701
51.408,58.673,30.152,-30.454,18.815,-9.338,-31.495,-23.155,-20.871,10.25,-16.028,-9.146
51.181,144.023,11.868,-1.364,53.021,-22.516,-13.506,-55.8,4.648,-3.737,-4.938,-2.39
49.532,129.152,-11.775,-23.507,73.3,-62.617,-11.939,-0.084,-17.609,-20.368,4.619,-9.687
50.663,88.133,31.828,-20.303,77.121,-11.345,1.496,-71.538,-14.285,34.8,-32.311,8.945
52.559,90.27,52.847,9.202,51.267,-28.076,10.644,-27.656,-36.466,3.818,-8.072,36.237
52.851,46.028,51.07,31.366,26.75,-13.378,-43.399,-47.822,-12.034,2.117,-19.068,-14.119
46.989,44.782,43.775,14.564,13.18,-13.597,15.578,-19.668,-3.791,-13.936,-25.114,-27.808
49.132,63.098,79.077,-11.553,25.203,16.264,15.549,4.362,3.32,-8.389,-25.444,-2.189
50.13,93.519,0.88,13.937,31.753,-52.982,-54.459,20.115,-18.151,35.603,-6.173,-10.632
52.16,100.901,31.148,1.754,41.713,-7.275,-14.052,-4.905,-26.371,28.891,-6.829,14.736
50.431,79.176,17.648,22.15,61.722,-7.135,14.891,-67.386,-21.064,36.826,-40.766,11.313
48.961,-0.248,27.126,-26.502,52.765,-15.387,-17.351,-10.599,-18.468,22.619,-12.093,2.158
50.021,0.288,39.735,-2.571,21.03,-13.21,-13.806,-22.6,-17.148,13.157,16.393,16.459
49.079,-29.714,36.369,3.715,56.638,-31.778,-27.723,13.662,6.189,2.666,-14.311,-10.345
48.203,73.266,38.983,-5.273,39.566,4.057,17.698,-8.687,16.467,-7.449,22.97,-9.867
50.471,48.602,25.353,-12.049,53.745,-18.994,22.041,-62.958,-27.121,4.49,-16.026,-16.564
48.458,12.6,7.645,-28.713,15.922,-23.266,-8.518,-0.394,14.402,-16.793,-0.475,-12.065
49.308,18.492,7.07,-33.285,20.051,-38.4,-43.174,-0.182,-7.177,1.331,-3.245,-15.791
50.205,35.276,24.87,-5.36,40.649,-23.945,-31.285,-13.329,6.49,7.239,-8.692,-19.322
47.806,22.271,75.843,10.899,13.505,-28.82,-22.178,-5.585,-5.882,3.105,-15.536,-7.917
49.611,85.06,89.438,-36.502,-11.124,-16.651,22.633,27.856,-11.994,-27.538,11.616,1.239
54.746,128.003,62.575,13.787,47.479,-31.049,12.496,-71.382,-22.234,12.559,-10.954,6.032
52.99,20.013,82.583,30.208,46.947,-24.327,-10.638,7.42,-11.872,-14.542,2.914,4.811
51.49,-6.18,65.943,2.937,23.893,-26.56,-25.827,6.445,-6.416,-17.678,-11.429,4.425
50.891,33.91,34.574,17.364,41.3,-8.107,-0.308,-48.421,-1.403,-35.349,-5.339,-4.696
49.261,30.85,51.166,-21.824,-2.486,-15.238,5.994,5.118,-28.927,3.74,-4.915,12.354
48.012,34.293,44.578,10.465,19.587,-19.62,16.624,6.76,-24.858,-18.522,-11.045,8.824
49.153,-15.493,83.522,-87.34,34.818,-33.811,-19.802,44.988,-13.359,15.543,13.164,-3.837
53.11,56.985,32.214,28.908,7.844,-6.599,-49.3,-37.14,0.246,-16.547,-10.328,-3.181
51.071,97.692,13.598,-22.814,66.837,-44.169,10.771,-59.1,-1.28,-26.446,-14.22,5.098
49.757,2.767,14.907,17.504,6.682,-36.48,-51.043,-33.146,-6.503,0.416,-5.95,-4.927
51.289,24.057,55.69,-28.258,33.03,15.182,1.441,1.259,-7.171,-12.777,-2.056,3.389
51.907,20.72,60.623,1.972,23.675,-6.56,-39.836,-4.244,-3.369,1.961,-1.623,-21.126
51.628,126.004,86.405,6.363,0.017,-31.892,23.604,-7.942,-0.566,1.736,-5.353,-9.537
52.498,94.99,100.169,-1.724,16.044,-28.424,20.933,-10.129,6.93,2.822,-8.688,-1.149
53.738,46.974,113.99,-0.17,47.979,-33.425,10.666,14.156,15.872,7.952,-8.713,-10.135
53.949,43.543,91.45,41.661,69.01,-25.096,-3.192,-21.437,-8.452,-5.29,-3.435,4.341
51.214,60.981,48.93,10.288,41.172,-37.881,-21.203,55.017,-16.817,-24.751,-1.515,8.097
50.356,-16.061,59.981,-20.792,28.114,-2.276,-3.121,-10.685,-21.893,-1.189,1.102,-5.943
50.82,72.069,27.811,-3.354,52.649,-21.019,6.428,-27.483,-14.373,-61.614,3.952,27.968
51.283,75.038,29.738,19.796,16.481,-10.834,1.348,-60.377,-9.025,-12.641,0.092,11.854
51.905,46.605,58.602,-36.48,-7.521,-30.757,10.935,36.422,-10.098,-21.27,7.252,19.004
53.073,99.602,59.893,10.155,6.767,-23.296,21.804,-3.726,-3.007,-2.978,-7.006,12.632
53.28,37.312,59.552,20.704,39.75,-34.593,27.466,-32.516,-25.41,22.102,-0.678,7.945
52.013,24.72,53.928,-15.782,9.055,-51.816,5.321,4.179,1.118,-1.013,-3.239,5.038
51.966,26.996,62.716,-10.026,18.551,-23.773,-0.266,-4.428,-22.442,-8.13,-2.565,12.848
52.306,24.009,67.037,15.075,33.886,-37.021,0.217,-9.27,-1.854,-2.074,-11.708,0.01
50.207,12.863,81.007,-10.182,8.557,-30.582,10.787,13.62,3.558,-10.479,1.883,-2.202
51.013,5.306,80.885,9.5,17.013,-34.206,-9.463,-4.414,-4.369,-2.022,-0.336,-8.318
50.78,-7.244,52.146,7.0,38.643,-30.153,-10.489,-7.036,-4.383,4.017,-9.142,-28.166
49.793,24.34,61.689,-29.275,38.699,-18.556,2.826,6.393,4.904,-8.806,-11.519,-17.944
50.277,-8.921,23.763,-15.616,-1.495,-30.932,-5.645,-19.316,-7.873,-4.835,4.191,7.155
53.586,-9.84,82.115,-8.578,34.136,-7.148,0.12,1.504,-10.498,-11.495,-0.834,-26.972
52.398,-10.202,79.188,39.903,61.577,-32.794,0.33,24.666,-5.337,-3.97,-19.717,-4.146
51.36,9.633,33.601,-5.871,41.968,-13.786,-15.477,-6.575,-24.265,7.071,-13.132,-10.708
50.855,2.397,62.114,-34.451,30.066,-20.95,-6.728,-9.824,-13.686,0.219,-6.217,-18.771
51.957,62.653,17.242,-3.473,53.057,-22.075,9.517,-39.352,7.243,-23.356,-12.139,-13.391
51.315,-44.326,70.865,4.281,53.155,-51.342,2.442,0.31,-4.053,22.414,-8.557,7.115
51.0,-16.88,35.208,12.971,4.847,-19.777,-47.446,-17.849,-26.207,-2.414,-11.92,-24.965
51.995,53.691,-18.054,-45.873,80.476,-19.258,-5.04,18.137,10.268,-41.725,7.849,-32.853
52.852,55.557,40.433,-22.919,47.049,-26.16,-9.958,-46.582,-7.836,23.776,-6.537,-25.223
53.05,28.087,77.614,23.293,21.447,-18.109,-21.257,-30.375,-2.304,-14.41,-25.563,-19.02
50.996,11.95,90.96,-33.142,59.922,-23.346,30.099,-28.819,-20.423,-7.9,-5.349,-27.13
52.272,-17.07,138.134,29.294,47.663,-25.3,19.414,13.484,-27.684,-1.636,-6.35,-14.828
53.202,24.251,135.177,12.938,45.691,-20.316,34.613,17.524,-20.034,-1.267,3.277,-12.603
