0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
40.763,78.276,-163.069,135.155,-6.274,-11.695,-45.022,64.003,5.262,-7.915,11.587,7.83
19.382,175.04,-121.032,75.602,7.646,-65.752,-18.368,-13.232,2.818,-5.863,-54.356,6.237
42.479,101.043,-91.641,155.144,38.485,131.672,-24.243,73.44,-1.175,46.617,106.838,-7.68
45.527,81.688,-72.189,148.48,0.498,-82.35,-54.855,63.748,-10.009,-30.295,-48.423,28.85
37.92,2.108,-158.246,181.855,-46.409,-89.311,-66.728,29.847,-13.417,5.244,-42.762,6.505
43.5,78.897,-89.155,230.749,15.051,-85.82,-70.971,61.325,9.31,-36.788,-70.293,23.051
41.547,60.749,-154.454,145.922,-20.875,-97.113,-64.939,62.583,-1.093,-15.81,-38.139,17.963
19.841,169.427,-118.685,64.9,9.255,-64.422,-20.031,-7.683,2.093,-4.164,-50.634,5.395
34.634,102.275,-43.108,-67.851,55.04,258.116,19.819,80.501,1.832,18.535,-14.549,-3.975
46.154,105.663,-64.997,121.884,14.257,-23.112,-46.371,74.566,-7.19,13.06,20.172,23.318
39.216,38.138,-11.094,-110.692,-14.339,83.335,12.764,-14.252,-37.828,36.171,-30.455,5.031
50.461,37.277,-44.159,62.472,-17.395,-21.322,-26.229,-7.232,-6.644,0.998,28.612,0.416
47.655,45.422,7.177,-27.735,-41.167,21.894,-20.888,-9.109,-20.354,-16.988,8.017,-2.3
49.962,76.326,-69.143,-15.012,-7.005,-13.608,-36.514,37.611,6.418,-12.175,18.221,1.545
49.606,46.637,-89.741,55.264,1.823,-92.066,-56.631,5.001,-2.089,-11.165,-33.244,14.521
47.685,51.153,-74.792,66.408,-2.72,-94.692,-52.216,12.661,-7.693,-12.72,-35.471,16.965
48.145,24.095,-66.607,12.188,-33.396,8.587,-19.944,-12.677,-8.455,15.645,20.217,-3.091
50.716,43.758,-26.615,-9.498,0.36,59.012,-11.001,41.093,0.978,-22.674,-8.272,3.328
47.117,25.135,-22.625,-18.064,-46.028,-23.287,-15.331,-5.217,-21.847,3.494,-12.424,-10.665
45.335,4.93,-39.133,-41.561,-49.238,-12.544,-12.754,0.766,-26.066,-18.023,-15.654,-3.336
46.434,-7.745,-120.84,45.467,-23.092,-60.728,-21.381,-21.074,-9.627,-3.631,1.453,2.761
39.601,-57.814,-113.604,-37.857,-18.258,-52.952,-15.012,-40.894,-13.041,10.166,-8.635,-3.756
44.226,11.891,-86.058,-3.3,7.96,78.904,-10.597,50.745,17.996,-67.495,-35.544,7.618
48.312,43.18,-88.279,82.348,-1.858,-75.996,-52.457,14.753,-1.859,-8.898,-39.775,27.617
47.206,-7.943,-65.606,41.132,-65.161,-68.771,-28.328,-23.116,-32.476,9.754,-17.317,1.866
51.377,42.672,-40.871,49.289,-20.806,-83.032,-34.766,-14.996,-20.296,-18.336,-23.557,14.242
48.626,41.353,20.632,-24.239,-22.463,-3.395,5.192,0.207,2.776,-9.31,10.082,6.267
49.407,15.777,-53.269,-2.635,-23.754,-74.489,-18.062,-2.245,-11.36,-7.387,-15.526,21.15
44.909,-8.618,-25.003,-7.584,-13.689,-17.679,-17.999,-16.882,-4.303,-10.369,-5.988,23.798
50.392,37.534,-54.461,76.814,21.194,11.161,-21.097,8.616,0.517,-5.421,45.265,6.011
42.79,9.767,-37.111,-35.047,13.594,-33.101,-13.715,-4.666,-47.717,-9.142,-8.137,-11.724
49.039,39.143,-38.889,34.313,-0.055,-80.986,-29.133,1.136,-23.661,-5.69,-19.07,15.625
46.403,66.248,-55.341,-20.356,45.857,-32.181,14.535,-18.43,10.073,-13.836,-8.711,12.173
47.726,6.257,-43.346,-33.401,-21.902,23.467,8.967,13.459,-17.034,-8.992,4.422,4.416
51.264,57.18,-18.453,16.858,-23.905,-80.01,-27.951,7.174,-17.717,-0.874,-23.265,26.89
51.383,51.592,-38.422,28.242,-35.505,-83.324,-11.596,3.568,-18.808,4.879,-4.038,19.082
50.089,52.076,-3.354,27.584,-8.494,-73.096,-26.178,-2.924,-17.071,-0.662,-9.995,2.482
48.858,32.942,-72.168,59.763,-31.413,-75.25,-19.49,-13.738,-13.805,-0.26,-19.272,5.517
55.006,80.423,-7.666,-29.138,8.93,16.37,12.903,31.54,7.278,3.222,22.389,-14.8
53.722,55.017,12.236,-39.664,-11.181,10.641,-9.688,-6.789,-12.792,8.262,-29.991,-13.829
