0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
6.257,110.24,129.179,-114.39,83.19,-33.58,81.866,-77.373,-34.386,24.612,25.387,-23.372
23.287,9.005,231.998,29.984,89.881,-18.382,46.217,-2.779,-10.612,-4.13,2.81,-34.417
39.945,46.133,189.254,-200.074,49.893,28.38,56.954,58.621,-5.837,30.852,-12.671,-3.789
52.948,54.209,-8.309,-14.704,-27.766,-63.012,19.5,8.362,-5.114,15.088,-15.818,11.365
55.133,93.918,-9.937,-8.812,8.281,-66.601,-18.427,29.621,-1.341,-1.143,1.126,8.541
54.199,97.377,-17.17,-33.879,-6.761,-61.481,16.812,7.674,9.944,10.34,-8.559,6.249
54.613,98.155,-20.2,-24.038,-0.168,-66.357,-23.111,17.774,-3.075,-10.443,-11.034,12.736
53.242,90.29,-9.507,-15.103,-17.387,-51.278,7.566,18.448,4.554,16.582,-11.604,12.297
53.396,75.764,24.377,-25.919,-20.601,-7.125,15.324,-16.302,-3.372,18.304,-23.752,3.603
51.737,48.014,16.195,-27.87,-11.765,-20.985,23.511,-2.151,8.047,3.867,-15.548,-4.507
55.316,89.379,-16.705,-11.504,1.568,-69.307,-16.746,31.185,-4.763,2.425,-3.326,12.378
54.631,97.187,-15.025,-23.015,-8.347,-62.9,26.202,8.922,7.88,2.643,-13.837,9.697
54.699,96.94,-24.341,-15.217,2.102,-53.908,-20.549,23.323,-6.832,14.705,2.455,2.941
53.95,90.532,-11.015,8.789,-18.996,-53.132,8.731,12.804,11.223,22.9,-8.714,4.948
52.486,58.077,-4.265,-8.521,-31.442,-54.373,7.771,15.843,9.237,8.927,-16.128,8.2
52.064,48.767,6.984,-28.307,-12.75,0.424,21.708,-2.051,6.031,15.256,-3.746,-2.723
55.195,72.397,-0.55,-18.894,12.058,-66.218,-0.238,19.033,-0.756,5.718,-5.052,11.34
55.526,76.967,20.943,-10.142,0.03,-56.651,36.913,12.315,12.55,16.434,-0.312,7.546
56.595,70.598,23.369,-3.245,11.218,-44.865,24.809,22.536,-0.259,14.254,16.685,33.375
55.686,81.174,-2.477,-4.862,3.728,-66.282,20.218,13.447,6.149,1.377,-12.965,17.835
54.209,58.819,2.373,-31.286,17.274,-38.853,24.058,5.276,8.241,4.296,-13.903,8.856
53.565,58.53,-19.645,-18.58,-7.254,-42.531,9.708,0.929,0.042,9.17,6.625,11.16
56.106,53.07,-6.791,-22.739,4.925,-55.693,0.656,9.315,-13.312,12.791,-2.238,2.391
55.412,45.174,-18.101,-28.64,2.504,-30.529,11.448,4.051,-7.617,2.703,4.706,-1.798
55.606,78.19,25.004,-45.401,11.933,-24.019,17.598,17.678,15.8,-11.34,-13.732,8.139
54.374,58.323,1.745,5.075,34.109,-4.476,28.328,-26.199,-6.367,-9.171,-23.018,5.467
53.129,69.853,38.824,29.52,-3.11,18.917,-45.282,-23.033,-1.174,-37.712,-3.568,-12.437
50.293,6.582,72.691,-64.271,17.653,-22.77,-2.667,28.808,-9.961,-6.761,-0.473,9.543
