0,1,2,3,4,5,6,7,8,9,10,11
0.045,170.319,7.616,-29.56,55.869,-50.272,16.53,4.882,-26.832,1.742,-11.373,-7.682
42.598,143.042,0.295,-95.313,43.703,240.069,83.099,-41.229,-23.887,91.279,114.758,8.923
50.141,96.657,-13.434,-16.276,-6.238,-22.525,7.831,0.814,4.28,-9.278,6.639,22.403
49.272,122.557,-1.024,-7.493,-14.71,-44.835,-0.633,-1.711,15.764,9.216,-9.595,40.186
47.806,82.025,-16.466,-22.887,-25.279,-44.68,-3.278,3.108,-5.145,23.64,-2.018,38.978
48.852,107.219,7.954,14.993,4.564,-35.6,9.642,-4.863,-4.102,8.344,-11.575,27.394
46.464,123.347,36.536,-2.25,7.126,-38.347,14.211,-0.476,18.111,5.174,3.054,37.9
48.921,89.475,-3.597,-23.462,-11.801,-46.817,5.225,14.151,-2.623,8.974,-0.43,40.902
50.892,119.604,-14.934,5.988,-17.139,-20.83,0.534,-21.611,-13.906,13.747,-7.704,30.493
48.838,71.736,-19.843,-20.867,-14.341,-37.174,5.972,-5.395,-11.462,17.672,-4.79,28.63
47.669,66.297,-23.593,-9.624,-15.218,-38.696,11.278,-13.904,-11.866,16.154,-2.693,26.213
49.581,100.816,-15.17,-30.788,-3.579,-10.382,18.802,-4.38,0.378,3.184,12.405,30.849
49.775,119.187,30.549,-9.03,12.439,-47.652,3.537,10.838,9.864,6.323,-6.006,45.758
50.504,100.839,-21.287,4.11,-13.129,-35.861,6.097,-30.198,-22.077,20.421,-3.753,34.162
48.672,54.501,-1.62,-31.417,-7.709,-44.778,-2.227,5.42,-0.71,9.982,-3.085,23.733
50.552,105.41,-19.798,17.264,-17.485,-29.352,-1.079,-25.978,-16.429,7.276,-24.846,24.373
48.887,75.476,-30.904,-8.899,-3.041,-16.181,14.54,-11.589,-9.269,13.046,-4.948,19.176
50.022,94.816,-7.694,-7.803,3.951,-20.815,14.84,-12.153,-21.868,17.531,-8.655,16.798
50.788,112.408,-24.059,-52.115,15.957,-6.657,7.181,29.391,10.202,-18.236,19.565,14.367
53.441,62.124,-12.659,-5.342,23.683,-6.403,-6.483,-19.672,3.841,13.415,-16.666,0.206
52.751,44.654,30.21,-4.793,57.284,-17.451,38.117,-18.388,-0.665,38.236,2.918,3.973
53.749,38.806,19.313,-6.886,48.862,-21.557,16.424,15.644,23.083,-4.095,-19.426,13.046
54.133,56.91,1.703,-50.397,32.167,-29.013,-28.563,37.525,15.435,-7.343,-17.866,-10.059
