0,1,2,3,4,5,6,7,8,9,10,11
0.038,170.331,8.185,-29.509,56.398,-50.077,15.563,4.722,-27.216,1.374,-11.087,-6.943
2.402,128.873,-32.097,-36.737,30.64,-49.632,-2.022,8.17,-40.098,-5.444,-4.797,12.081
8.682,2.454,-27.665,-85.632,87.453,-29.341,0.413,-34.113,-32.44,21.027,-19.106,7.257
12.418,-70.864,-64.9,-61.542,89.971,-49.91,-26.368,3.156,-37.146,-10.865,3.525,15.007
14.141,-41.137,-14.958,-38.095,42.919,-40.694,-24.124,0.487,-42.996,-15.321,9.811,-7.521
16.073,-90.105,7.192,-32.872,96.981,-36.14,-1.358,3.334,-34.391,6.365,-0.064,-4.909
18.263,-111.641,31.232,-18.439,100.549,-45.427,0.683,10.686,-32.625,-9.498,3.85,-4.041
20.889,-107.245,62.545,-61.52,71.428,-24.183,-3.667,-7.003,-32.656,-2.42,0.745,-8.561
23.705,-72.927,73.76,-2.847,23.258,-38.937,3.475,2.668,-21.855,-15.948,4.357,2.891
24.548,-90.818,82.802,27.332,40.565,-47.4,29.052,1.019,-14.749,1.787,3.613,-0.7
25.431,-76.644,87.93,5.663,27.135,-21.826,26.734,-14.54,-14.016,-11.981,1.001,6.07
26.185,-99.58,71.038,-7.279,23.534,-22.643,-1.877,9.696,-23.259,-14.19,-9.236,11.466
26.651,-73.373,101.01,-11.376,25.94,-14.801,15.638,3.576,-14.405,-1.213,-3.486,-4.033
30.103,-94.135,64.091,-7.244,24.241,-14.882,48.462,7.305,0.858,-3.689,-30.026,6.323
27.678,-122.253,48.841,12.852,5.516,-61.825,48.641,3.812,-8.956,-0.64,-5.21,3.684
27.414,-131.96,51.597,9.327,22.207,-45.542,46.342,26.563,8.403,-12.085,-3.948,4.875
27.602,-90.935,71.434,-1.759,11.929,-34.321,20.093,13.306,-6.974,-5.499,-4.029,-4.651
30.043,-115.102,46.614,-30.723,23.301,-13.316,53.225,28.132,3.306,-4.4,-28.678,13.834
32.968,-93.877,-23.505,-23.362,10.076,23.424,47.819,19.189,18.246,-38.424,-26.435,0.538
35.322,-85.491,-38.208,41.161,10.049,-47.142,52.784,-45.555,7.903,11.702,12.724,8.483
30.962,-109.721,66.673,23.31,26.589,-37.493,23.438,5.781,1.637,8.244,-10.674,-7.019
29.604,-120.808,62.295,12.045,30.264,-35.382,21.508,3.218,1.437,1.952,-11.207,2.242
29.49,-130.436,83.812,-12.2,42.208,-53.09,39.015,9.912,1.27,5.1,16.653,5.43
37.529,-60.598,-32.272,41.44,-2.395,-87.123,33.548,-19.571,0.049,22.364,-11.265,16.818
35.96,-75.279,-46.015,4.981,-8.578,-87.362,30.958,-10.963,8.77,22.713,-18.253,18.742
36.449,-78.84,-33.82,-3.724,13.799,-4.498,38.406,-9.425,19.213,-24.761,-3.462,1.741
37.186,-71.98,-15.498,-11.289,13.515,-85.512,25.373,-9.622,5.191,24.927,-10.89,14.362
37.072,-69.385,-14.761,11.28,2.299,-81.675,4.143,-3.337,-7.157,10.544,-16.914,12.15
36.614,-50.738,-33.903,20.383,6.063,-67.058,29.129,-9.17,3.588,15.781,19.704,7.046
37.231,-52.812,-39.469,2.902,-6.337,-78.747,14.044,-5.167,4.104,6.148,-10.365,17.132
35.568,-85.026,10.771,-24.593,-1.88,-13.551,38.219,5.313,12.788,-21.288,-14.059,5.682
35.238,-42.853,69.162,17.788,-4.859,-35.695,9.768,-1.276,-17.016,1.717,-10.027,-2.537
34.447,-72.517,64.169,5.988,20.762,-53.69,18.961,-3.397,1.615,6.557,-4.58,11.649
34.469,-62.76,64.681,11.028,8.381,-24.92,11.887,4.958,-13.314,-2.393,1.54,-1.238
34.107,-71.124,75.822,18.228,8.957,-46.229,33.513,-0.297,-11.397,-0.295,6.193,8.841
37.66,-49.585,11.451,-12.067,-3.616,2.53,38.436,-8.107,3.792,-13.955,-11.771,8.327
37.484,-57.018,-15.278,-9.694,-19.901,-14.803,26.803,2.037,1.053,-23.007,-8.642,4.765
37.007,-81.306,41.923,-4.31,10.997,-32.746,41.919,5.427,-4.138,11.348,10.752,14.232
36.081,-68.641,67.321,-1.354,41.278,-40.492,21.642,13.939,1.988,6.057,5.76,26.004
36.878,-56.308,60.317,-7.572,34.973,-46.922,12.294,16.525,-17.17,-16.037,12.848,45.364
38.534,-63.936,-23.151,6.207,1.112,-76.069,24.847,-12.966,-6.714,11.194,-17.269,26.237
38.204,-61.356,-20.499,11.724,-5.169,-45.178,38.845,-24.615,-2.651,9.355,25.062,10.467
37.609,-66.994,-21.991,3.075,-8.269,-78.429,10.422,-22.89,-10.313,22.618,-11.203,19.06
34.781,-65.712,67.59,6.835,28.616,-35.6,12.107,10.225,0.05,-9.046,-1.089,10.176
35.043,-47.762,70.19,9.791,41.767,-45.34,-3.775,7.768,-12.868,7.646,6.513,25.156
36.2,-52.272,48.775,-20.316,28.994,-29.299,22.296,0.913,6.782,10.32,-15.921,8.559
39.073,-61.992,-0.785,6.262,-19.873,-34.606,32.371,-8.93,-12.79,7.196,10.825,-7.206
38.76,-54.433,-20.355,5.046,-17.024,-78.87,8.773,-22.046,-12.491,21.941,-6.536,8.732
37.833,-50.124,-18.146,-3.71,3.449,-37.055,21.828,-7.156,7.537,-11.655,5.449,3.052
37.792,-54.1,5.014,-5.331,-2.067,-15.959,24.058,9.425,1.588,-8.679,-11.123,6.685
38.42,-56.292,-20.227,-5.713,-4.821,-66.623,10.401,-12.468,-14.531,11.067,-3.185,8.699
38.203,-56.102,-11.285,-0.239,-12.805,-72.448,16.009,-6.804,-7.95,13.167,-22.272,8.016
38.345,-50.218,-11.389,9.125,11.523,-30.564,30.772,-22.683,10.892,0.588,32.5,4.522
37.071,-53.609,53.13,-17.459,27.724,-33.571,7.927,-7.674,-0.85,7.011,-0.384,17.739
40.071,-48.729,-14.311,-15.217,19.941,17.39,40.237,-5.939,11.278,-21.241,-15.048,16.121
39.758,-30.654,41.47,1.142,-24.136,-39.189,32.196,14.895,-13.491,-9.293,-5.707,0.365
40.461,-37.91,-14.431,11.849,-27.787,-54.414,25.2,-21.58,-22.693,11.35,14.115,-1.534
39.661,-22.099,-8.675,0.417,0.082,-49.512,36.727,-24.26,-20.761,7.064,0.005,1.398
40.055,-45.227,5.876,-8.415,-16.94,-16.014,20.09,6.2,-11.383,-9.008,-19.748,1.718
42.471,7.289,-0.863,-2.133,13.109,3.651,13.072,11.36,-1.127,-1.939,-49.083,-3.286
38.714,-14.076,-6.156,-18.833,22.004,-13.379,32.207,10.539,15.566,-11.86,-17.242,2.557
38.331,-16.018,30.33,-36.786,35.979,-49.238,27.414,34.864,27.772,-1.017,-4.328,7.28
39.677,-0.281,-43.217,-23.212,-14.307,-81.253,9.991,17.795,15.588,1.459,-5.196,9.278
40.668,-0.618,-27.775,-24.168,10.414,-8.745,30.227,-21.609,8.497,1.479,-26.96,8.78
41.196,-31.066,-62.57,0.659,-0.636,-34.06,24.664,-42.668,-9.934,18.822,8.386,15.481
39.231,-38.139,-39.728,3.43,9.413,-42.472,29.661,-33.283,7.543,-9.323,15.191,3.285
38.374,-40.089,-37.927,9.351,-17.774,-38.613,27.912,-15.06,8.171,-5.248,17.962,0.633
44.827,5.593,-54.582,58.838,11.334,-31.846,-1.047,5.58,1.857,-9.046,15.983,-1.877
37.194,-41.941,34.117,-10.024,4.349,-38.111,3.518,8.755,-22.173,-11.907,-7.769,0.056
