0,1,2,3,4,5,6,7,8,9,10,11
18.517,143.472,145.739,-345.708,57.589,59.438,68.527,-43.784,-32.276,64.235,-10.3,4.135
41.013,270.553,85.894,-41.297,16.078,34.041,-12.037,30.513,35.833,-25.656,29.979,-13.17
42.864,195.231,16.053,36.037,2.467,6.428,-39.903,-78.573,-13.474,54.005,-69.656,20.681
45.642,124.748,25.021,-53.734,18.092,-13.814,-7.787,-50.209,-29.114,36.959,-6.248,26.771
47.77,85.753,25.147,-14.984,10.054,-29.732,-19.752,4.901,-23.331,4.349,-1.651,21.624
46.753,95.306,3.333,-10.304,16.327,-52.174,-21.28,-2.823,-7.746,13.652,1.358,13.875
45.111,70.701,-22.653,39.428,21.979,-24.11,-29.011,-1.927,-8.345,11.496,-24.356,21.416
44.375,134.844,34.597,37.214,23.911,1.799,-2.387,0.52,-7.448,4.457,-29.859,12.189
45.346,114.69,46.646,-34.842,19.261,-8.397,-38.442,59.112,-3.358,-8.975,27.253,5.345
46.643,120.797,37.081,11.071,-0.557,-41.453,-28.016,-2.529,-7.057,28.108,-1.495,-2.511
44.965,67.632,25.077,10.963,20.481,-7.07,-24.333,-13.53,-13.502,3.867,-31.439,21.576
45.341,167.593,13.598,-50.452,58.883,26.966,-1.63,-2.596,25.917,-60.633,8.778,17.442
46.346,71.626,63.85,-8.263,36.331,-9.011,-18.583,-9.427,-7.246,1.363,-13.468,24.846
46.85,67.308,54.787,-31.664,22.316,-24.714,-17.501,12.966,-11.229,-13.679,-8.035,26.488
47.286,102.181,51.819,4.979,7.225,-14.795,-22.452,-2.315,-14.239,-14.322,-14.277,0.544
47.226,119.721,64.504,-12.141,44.084,-22.144,-43.201,-35.926,-26.325,4.635,-0.223,0.886
47.643,111.45,64.485,-10.729,42.444,-20.439,-24.978,0.546,2.854,-19.366,-16.717,6.446
46.75,61.822,39.255,-29.343,15.126,-30.178,-17.173,10.09,-9.007,7.194,2.666,15.317
46.609,98.211,26.293,22.262,56.422,-27.665,-40.896,24.076,10.397,11.58,-23.365,3.941
44.234,169.63,67.464,3.274,18.892,-4.27,-25.241,-6.31,-8.714,10.605,-40.413,-1.37
40.969,68.106,-41.147,39.631,23.424,14.343,-19.164,-17.207,-27.676,38.475,-35.979,25.567
44.944,102.675,23.793,-14.712,29.474,-7.17,6.425,-28.978,-29.203,10.565,10.296,43.019
44.328,74.132,15.046,35.365,36.015,-44.015,-50.354,-2.623,-15.993,-0.595,19.732,18.975
46.995,159.759,37.309,11.341,25.607,-2.918,-26.808,-3.106,-5.409,-8.632,-3.72,14.486
46.197,83.346,64.841,-20.067,38.426,-13.1,-35.128,-8.554,-11.033,-8.89,-1.126,17.783
