0,1,2,3,4,5,6,7,8,9,10,11
21.389,94.183,169.477,-417.847,45.228,76.538,72.381,-111.766,-55.068,73.152,-23.419,16.587
45.452,-18.187,11.286,-19.068,-9.154,-21.107,-33.904,-13.354,-21.071,-14.286,5.045,13.514
44.831,-31.449,1.326,-0.147,-19.92,-9.877,-19.429,-17.455,-25.32,-4.689,0.247,23.056
42.776,-74.289,-7.326,-23.115,-27.911,-31.309,-10.197,5.564,-8.562,-22.401,-3.673,25.846
44.086,-44.372,-25.614,22.123,-38.986,0.189,-10.097,-41.117,-9.525,-12.792,7.722,4.311
40.592,-125.106,-18.207,-35.868,-24.275,-25.893,-0.889,10.047,-0.511,-22.392,0.408,13.857
41.418,-96.198,-14.098,-6.633,-31.333,-35.578,-2.387,-9.161,-10.578,4.737,-0.958,18.408
39.845,-112.165,-23.863,-19.891,-35.691,-24.733,1.329,-21.097,-11.923,-7.769,-3.058,16.27
41.373,-102.151,-18.586,-7.727,-29.307,-20.297,5.533,-7.327,-5.537,-12.955,13.693,17.705
41.334,-75.349,-12.566,-16.171,-33.565,10.704,7.886,-9.491,-2.32,-35.988,-18.565,11.401
47.315,-7.924,8.914,-9.399,-11.99,11.422,-22.582,-5.935,-17.688,-10.654,12.259,4.966
46.736,-21.697,14.895,-20.73,-10.725,-13.858,-28.939,-16.301,-24.729,-8.665,3.914,16.576
45.235,-53.136,12.55,-24.271,-6.869,-30.172,-27.829,-0.448,-21.923,-10.159,4.985,9.236
44.333,-43.578,4.849,-4.287,-24.827,-26.108,-17.419,-15.274,-26.497,-10.778,-3.063,25.518
43.751,-44.691,-8.023,-21.819,-38.006,-23.192,-18.842,-13.46,-13.428,-11.628,4.195,17.652
45.556,-46.963,-8.568,3.961,-25.925,-13.171,-13.093,-15.132,-13.829,1.518,4.081,13.015
42.746,-68.444,10.359,-27.04,-20.535,-36.955,-0.218,1.438,-15.077,-0.315,10.156,14.687
44.05,-34.249,17.497,-5.215,-22.937,-44.875,-7.466,-12.279,-19.839,15.437,-3.549,18.657
46.845,-3.946,-4.354,-17.559,-10.844,11.259,-24.5,-18.996,-4.64,-19.844,8.674,10.815
