0,1,2,3,4,5,6,7,8,9,10,11
0.001,171.145,9.497,-28.509,57.465,-50.082,14.828,5.357,-27.221,0.977,-10.602,-7.241
41.61,205.915,106.305,-102.236,62.617,288.347,50.208,-8.329,-19.92,75.613,104.83,-16.526
47.43,154.196,85.249,-18.541,18.988,11.177,-13.354,-79.582,-42.31,62.746,-26.894,7.758
47.668,63.096,30.519,-3.969,2.792,-12.642,-42.998,6.475,-11.867,-23.039,5.253,-11.291
46.822,137.847,68.386,-2.729,24.143,-27.817,-3.654,25.856,-13.491,-23.357,16.773,17.491
46.624,194.988,91.137,8.037,17.143,-12.661,9.268,-2.959,-34.722,-16.472,-7.114,44.424
45.264,88.032,48.475,49.003,-6.188,-1.741,-4.09,-10.675,-32.255,-8.414,-36.694,17.365
43.997,77.613,81.184,-7.766,6.773,26.134,25.298,-9.257,-37.919,25.351,33.071,-1.441
46.059,102.406,2.573,-18.578,-9.618,-17.425,-16.127,-15.1,-16.078,-35.274,-17.208,8.986
42.755,49.98,6.149,0.074,20.084,-55.833,-20.83,10.19,-13.844,-13.559,4.718,4.201
48.163,105.296,82.254,-61.887,47.106,51.629,11.559,11.107,-18.573,-4.675,-10.465,-8.542
50.359,114.931,34.954,-22.256,5.397,9.153,-32.952,4.873,-45.302,3.009,-16.166,4.947
50.833,148.289,36.815,80.41,22.024,31.408,-13.404,-15.053,-33.231,-1.847,-44.883,33.644
45.858,182.066,10.105,-82.563,28.201,64.287,-16.697,-2.543,-32.092,8.583,-32.588,15.813
50.412,187.307,-16.697,10.309,-11.918,-12.491,-54.525,9.468,-29.796,2.253,24.247,-7.628
50.288,127.64,16.996,23.448,-6.139,-25.067,-22.095,-43.775,-24.276,19.245,-16.509,26.582
50.784,126.166,52.701,-15.816,46.602,-7.242,-6.227,-35.707,-34.807,3.334,-7.401,12.314
47.327,168.622,47.739,55.436,-20.176,13.937,-14.793,-54.027,-43.78,1.58,-50.507,17.795
49.505,46.84,38.688,48.96,32.419,-1.674,39.939,6.924,-35.365,19.993,-8.278,27.507
42.965,41.985,-43.691,26.39,-15.078,-70.287,-26.621,-25.372,-50.895,35.188,21.502,1.032
