0,1,2,3,4,5,6,7,8,9,10,11
0.002,171.096,9.389,-28.528,57.419,-50.082,14.912,5.336,-27.207,1.003,-10.671,-7.254
30.671,136.143,134.727,-134.143,26.332,115.922,39.936,2.738,-21.909,26.659,-39.875,5.99
44.591,137.361,119.379,5.739,12.042,3.097,3.407,0.636,-28.18,7.017,17.996,11.729
47.396,84.347,54.839,-7.263,-33.05,-8.798,6.148,9.482,-24.545,23.949,-20.657,8.463
48.161,102.021,53.709,-19.371,-32.364,-6.65,18.256,-3.302,-22.812,-2.38,-1.565,5.565
49.543,84.748,55.518,29.693,-25.098,-16.535,1.333,-7.436,-32.417,10.75,-11.269,10.762
44.662,63.337,86.79,14.707,-1.625,-17.795,-6.317,-13.321,-24.877,7.035,-0.863,-4.121
44.71,44.172,88.532,-15.206,1.528,-18.975,-17.027,17.029,-35.782,-16.092,5.102,5.717
49.731,108.491,60.501,-3.031,-16.607,-16.58,-2.416,8.36,-30.281,8.098,9.126,4.655
47.61,79.281,76.664,42.838,2.659,-25.833,-3.078,-16.011,-23.509,13.977,-14.98,19.93
47.563,79.759,37.821,16.963,-26.973,5.119,11.284,5.966,-19.269,7.878,-32.919,11.123
47.001,66.802,1.152,2.752,-30.238,25.894,7.135,18.233,-8.756,-7.508,-22.559,12.625
45.949,78.245,16.072,-23.176,-13.146,46.018,2.526,8.763,-11.424,-0.895,-30.534,3.008
43.543,34.604,-53.216,5.268,-12.107,18.733,-16.899,42.748,-9.168,-14.352,-23.647,7.682
45.123,78.395,18.385,-53.952,-37.812,32.507,17.203,-6.179,-13.482,8.76,3.415,5.325
49.761,55.23,7.639,-0.773,-19.402,-37.308,-1.66,2.448,-10.189,-12.86,-14.136,19.629
49.081,111.124,43.745,-42.219,-31.79,-22.892,27.977,7.844,-5.901,9.687,13.568,0.517
51.315,92.138,0.839,31.722,-32.05,-29.339,-17.687,-3.059,-15.006,-17.425,-4.859,1.538
47.709,56.669,-6.676,45.297,-10.944,-25.305,-36.861,3.686,-15.936,-13.694,5.533,-6.655
44.977,77.448,37.814,-61.576,-27.28,-8.852,2.387,-1.859,-10.28,14.882,3.173,6.258
48.813,75.648,44.2,-1.017,-3.267,-42.072,-23.942,6.342,-17.533,-29.072,-1.576,11.532
48.131,79.621,-6.104,17.674,-18.528,-8.517,-11.432,-32.497,-14.599,17.698,0.091,10.189
48.503,61.567,4.973,3.64,-11.768,-18.242,-18.41,30.135,-13.107,3.196,8.685,7.669
46.553,38.269,-24.632,34.766,-1.287,3.633,-14.089,13.843,-11.985,8.78,1.8,6.468
48.658,67.397,-9.324,21.734,-6.319,-27.868,-22.296,10.31,1.164,-21.083,-26.232,5.529
45.654,75.239,-47.904,57.02,6.383,-10.262,-32.019,51.39,-15.391,-30.083,19.07,9.79
48.97,118.939,6.802,25.193,-14.799,8.779,6.411,-17.838,-18.745,15.389,11.732,6.108
50.372,80.534,2.417,19.225,-7.741,-63.193,-5.302,-6.388,-21.909,9.1,-12.72,5.688
47.779,83.293,33.85,-37.296,-27.544,-18.127,15.356,4.799,-9.32,-4.667,8.835,-8.329
48.187,80.062,15.179,11.094,-26.849,-16.174,5.682,-16.701,-15.241,-1.4,-35.427,-1.171
45.169,60.475,11.721,-26.619,1.667,22.607,-18.913,19.566,-4.687,-28.067,-30.913,6.183
46.052,33.42,2.592,-37.158,-36.009,-17.767,-12.197,-0.617,-20.499,-4.26,-12.489,3.385
48.217,80.745,22.947,-32.148,4.399,-5.359,2.103,5.299,-1.664,-28.683,8.401,2.622
48.504,109.144,-13.763,25.281,4.083,-70.404,-15.848,-27.244,-26.675,16.634,-17.728,10.101
49.889,83.085,-16.584,16.896,-17.644,-52.387,-6.857,-9.628,-15.028,12.428,10.943,6.155
45.867,100.5,-9.533,24.882,-12.751,-18.904,-12.473,-12.609,1.373,-7.741,-24.281,13.524
47.443,64.778,-27.607,12.784,-3.987,6.261,-15.096,26.794,-12.398,1.692,8.607,8.621
48.665,53.503,5.464,-5.237,-8.078,-24.933,-6.674,8.275,-1.95,-20.656,7.62,12.263
48.056,73.221,-0.154,-6.22,-6.163,11.695,-11.279,33.612,-2.532,-21.668,-11.238,6.251
47.916,107.659,-6.597,17.34,-5.052,1.264,3.886,-28.61,-11.934,-4.926,10.892,-5.256
48.779,71.319,-12.788,-1.01,-2.196,17.625,4.132,6.301,-10.2,0.758,-9.228,-3.155
47.183,64.965,35.058,-42.193,-36.122,-8.859,0.451,8.505,-16.47,-4.795,12.753,-8.306
48.956,70.201,17.107,31.101,-9.482,-4.691,-22.965,-13.145,-22.283,11.826,-19.242,6.402
47.721,46.811,-10.374,1.825,3.529,22.76,-16.69,15.408,2.787,-11.026,15.572,0.876
48.796,49.486,19.614,-34.309,-27.821,-9.738,1.963,5.387,-16.616,-6.623,1.873,8.729
51.349,88.64,8.603,10.601,-4.416,-70.607,-15.87,-7.939,-12.1,-2.434,-1.729,12.13
