0,1,2,3,4,5,6,7,8,9,10,11
0.504,167.702,3.607,-40.462,51.021,-47.91,14.971,3.081,-25.589,4.55,-10.783,-2.074
2.789,155.29,2.031,-39.447,30.276,-33.674,10.885,3.146,-23.033,4.759,-6.578,-3.217
23.871,147.178,201.045,-372.001,36.295,59.79,62.748,-28.798,-58.507,45.409,7.527,5.156
50.716,57.42,-20.518,-24.223,-32.681,-3.588,0.273,2.955,-10.426,10.347,-11.899,-3.429
53.255,62.908,-29.832,11.321,-0.701,21.451,-1.887,-1.096,-1.205,-16.497,-1.298,-17.626
47.535,-16.834,-53.319,-3.226,-41.991,-36.242,-4.179,0.568,-3.21,6.481,9.447,-16.648
51.148,49.017,-15.034,-38.503,-35.928,12.682,8.86,16.535,-5.13,-26.142,25.127,-39.122
48.069,5.483,-61.123,25.881,-42.717,-83.525,-12.504,-26.328,-24.17,5.732,-33.395,-13.962
55.067,84.287,-14.931,34.147,-5.726,-25.619,-15.529,8.048,-3.145,-11.22,-8.752,-20.215
51.741,76.365,9.293,-26.391,-29.578,-10.592,-13.413,3.198,-14.284,8.822,-8.145,-17.448
53.619,73.152,-50.125,3.574,-23.864,-39.723,-18.295,2.123,-10.784,-1.772,2.629,-6.375
51.772,48.652,-41.753,-10.855,-31.156,-56.847,-14.381,7.061,1.0,10.148,-4.703,-7.31
54.352,70.896,-41.068,33.139,-11.541,-17.689,-11.899,-6.026,-8.022,-10.397,-12.683,-6.165
52.496,49.373,-20.203,-17.326,-48.266,-42.288,-9.925,6.525,-12.4,5.642,-2.343,-26.915
49.029,14.255,-30.343,34.15,-38.061,-23.132,-6.921,-18.859,-9.531,3.339,-38.066,-20.513
51.672,45.517,-12.753,-57.879,-1.031,66.325,18.076,30.327,9.183,-36.945,6.005,-23.546
52.181,71.889,-11.951,-19.345,-27.261,-23.053,-5.818,0.985,-16.506,5.95,-6.434,-5.865
53.895,64.6,-51.399,-3.27,-22.826,-53.296,-12.199,5.924,-11.483,-3.146,-7.44,6.733
51.718,25.831,-34.063,-19.257,-34.287,-65.985,-17.05,-0.045,4.264,-3.347,-7.994,-2.994
50.098,50.424,-28.392,-18.642,-30.091,-50.515,-12.901,-18.083,-1.764,18.243,-20.096,-8.958
54.895,80.092,-12.599,28.105,-4.699,-32.468,-7.765,3.211,-4.6,-15.58,-5.853,-6.766
49.634,17.569,-14.607,-8.988,-15.523,-53.282,-17.42,-10.761,-16.404,17.165,-17.126,-2.091
51.681,31.571,-39.973,29.665,-39.39,-33.538,-3.82,-1.855,-19.473,2.679,-38.741,-0.619
55.042,82.345,-6.782,28.32,8.486,-32.735,-14.274,13.585,1.585,-8.764,-6.658,-16.771
51.687,75.277,2.24,-10.898,-12.801,-10.663,0.399,-8.339,-24.433,26.638,-9.096,3.798
53.734,65.813,-52.962,-4.418,-17.121,-46.626,-12.883,-0.987,-12.443,-7.008,-0.703,-6.066
51.508,37.047,-41.481,-25.949,-41.597,-57.682,-17.865,2.957,-4.172,0.211,-13.384,1.555
51.869,72.039,13.304,-58.05,-7.727,18.754,2.417,34.308,2.436,-23.567,-17.962,-11.238
50.919,56.637,-6.448,14.775,-18.562,-52.086,-6.2,-13.403,-10.48,18.743,-9.731,-5.737
49.037,8.691,-33.768,-35.036,-43.354,-48.355,-10.683,12.273,7.58,-5.649,-9.776,-15.309
51.953,75.394,-16.166,-54.211,-26.532,-2.916,4.004,29.48,8.614,-6.247,7.124,-22.625
53.153,83.89,-29.731,-22.995,-49.613,-54.583,-7.039,7.031,2.986,-5.703,-8.535,-8.654
53.082,95.984,-7.346,-40.956,-36.713,-31.527,-16.261,-2.531,-5.521,-2.303,3.669,-16.116
55.44,76.938,-24.713,24.579,-22.723,-38.716,-14.862,5.065,-6.953,-15.438,-4.586,-13.323
53.976,74.014,-32.85,1.54,-29.289,-49.959,-17.599,6.425,-12.392,-11.17,-6.183,-10.043
52.236,61.245,-19.511,-22.525,-56.751,-44.57,-5.035,10.518,-17.088,3.821,-1.406,-11.141
53.65,163.109,-22.374,-46.092,-17.307,-8.322,5.411,18.121,-12.902,-29.77,-4.692,-22.96
56.221,53.62,-16.278,26.838,-0.735,-21.545,-20.132,-6.562,-12.29,-3.007,-22.51,-6.797
53.824,28.872,-4.266,-28.716,-19.824,13.809,14.147,-9.864,-4.151,2.944,0.742,-13.552
53.3,36.086,-12.313,20.829,-4.936,-39.743,11.444,8.492,3.111,16.385,-28.202,8.871
