0,1,2,3,4,5,6,7,8,9,10,11
10.393,150.811,144.285,-237.69,38.996,-35.16,79.267,-55.23,-44.838,42.328,57.577,-5.05
50.852,21.073,39.091,82.364,63.548,-28.538,18.945,3.824,-45.408,6.961,-13.0,30.514
50.814,134.104,2.726,-46.827,50.921,15.585,-3.924,-36.353,-6.971,-6.143,-7.111,7.011
49.762,38.229,-9.812,83.06,37.455,12.607,-40.056,19.312,-68.34,34.977,-50.064,-0.508
53.145,55.178,-38.678,-19.661,-24.492,-9.462,-11.66,-53.199,-23.385,45.804,34.051,-13.569
55.298,63.417,41.003,-5.8,-4.128,-22.849,-34.27,43.491,-11.516,-0.053,-24.933,-30.009
55.912,54.226,12.897,11.099,10.311,-8.671,26.416,-0.688,-42.666,41.761,-31.888,20.493
52.037,82.158,-12.374,-92.249,-23.464,9.09,-11.347,24.774,20.62,-17.888,-30.569,18.128
55.275,67.504,29.84,-44.038,-27.669,-0.638,-35.992,-7.609,9.712,-8.314,2.0,-39.834
55.691,82.077,13.824,49.082,0.465,-17.874,-29.383,-23.392,-3.662,10.209,-40.213,-7.782
55.886,46.964,20.635,-1.511,8.704,-4.2,49.825,-12.457,-40.766,37.584,-13.289,20.516
55.41,70.385,38.181,85.685,-2.228,-34.328,2.49,2.387,-26.868,-23.744,-37.204,6.337
53.707,123.549,-85.216,-48.757,8.157,-40.9,-2.104,-11.643,-28.181,19.535,-4.481,6.162
55.404,-10.4,65.385,-21.516,20.047,-23.627,24.548,10.806,-17.394,34.993,-20.99,-33.304
55.568,37.289,51.877,61.496,28.984,-22.967,33.23,1.402,-21.112,-11.421,-30.591,-2.539
57.326,65.108,8.52,10.392,8.77,-8.286,17.263,12.665,-13.487,32.585,-32.502,-20.35
54.894,43.479,38.808,12.523,46.908,42.638,18.279,14.733,-15.195,-14.812,-21.585,-4.582
55.171,42.361,33.477,-34.75,30.269,16.142,63.558,-3.756,1.381,5.411,27.041,3.572
54.197,76.741,37.327,24.858,-31.377,-14.414,-30.286,3.862,-9.696,-21.654,-30.87,-18.262
55.495,49.659,9.567,-23.56,-3.136,-31.577,3.848,-3.912,-24.539,30.228,-31.91,-7.576
53.077,65.779,22.903,37.161,3.68,-5.776,-34.944,14.662,-4.946,-17.64,-23.941,-24.468
52.862,76.874,-32.449,-41.92,-10.209,28.109,-6.121,-32.878,14.224,-9.882,-5.958,-5.327
55.069,42.779,16.245,31.557,36.693,-30.875,-3.662,29.658,9.232,-1.16,-27.356,-26.74
50.799,21.561,61.685,-55.614,13.711,-16.218,51.618,-32.267,-2.821,16.18,-29.015,-3.203
52.296,-25.325,52.335,36.383,64.292,-29.567,35.272,2.881,0.56,1.509,-30.588,-11.733
51.468,52.244,-54.961,-15.072,-38.681,-67.876,4.171,-29.297,-20.611,36.047,5.434,4.856
51.306,90.979,9.97,-15.987,-20.903,-7.208,2.353,-4.653,0.956,-27.131,-23.525,-14.483
50.19,60.96,5.182,-38.338,-2.315,-5.148,-41.905,10.393,17.46,5.947,10.43,-16.698
50.566,95.431,4.423,-22.506,3.304,-31.11,-25.181,-10.604,-1.1,-0.309,1.238,24.243
54.128,41.042,-6.598,-14.99,25.248,-16.671,15.821,-71.257,7.675,40.477,-5.805,-8.841
53.365,33.51,36.877,80.662,39.749,-2.046,3.007,31.021,8.056,-41.892,-29.869,-14.342
52.602,72.357,31.123,-105.988,-0.828,14.853,2.352,-4.478,11.698,-18.521,-4.652,-17.544
55.19,21.591,64.573,48.836,35.788,-14.866,17.796,8.638,7.269,4.458,-29.32,-6.913
53.702,27.784,-3.094,-2.006,13.674,-19.002,14.768,-48.881,-16.469,48.69,-5.932,-18.949
54.818,110.214,50.617,15.943,36.459,4.088,-20.0,39.918,-22.05,19.881,-7.482,-23.436
54.518,21.49,19.619,6.275,14.754,-50.545,18.503,2.468,-20.599,59.841,-38.979,3.084
54.458,94.559,15.977,31.192,22.549,-25.921,-41.396,48.179,-14.354,6.063,-4.415,-19.756
53.291,-25.264,49.84,-32.368,55.622,-12.467,-1.024,-2.185,-0.015,40.004,-20.183,-12.064
55.6,-0.012,75.713,-9.326,43.691,-35.265,11.928,7.656,30.163,8.16,3.253,-20.204
56.488,28.577,1.944,-16.936,30.892,-73.165,10.005,0.94,2.638,12.769,-31.12,-27.687
53.595,37.282,-11.595,-10.798,-26.853,-79.205,-8.252,-13.697,0.361,23.305,-10.642,3.018
52.814,43.29,7.258,-16.045,-1.687,-24.036,5.301,-24.782,-20.511,-9.257,-2.856,9.3
56.783,75.835,-21.991,-21.211,26.44,-36.765,14.768,6.821,-10.306,3.433,-19.207,1.2
56.256,59.124,-4.498,1.649,3.388,1.512,-22.689,-16.394,-4.456,-27.16,-23.443,-8.355
55.137,17.523,33.565,4.859,19.358,2.287,15.286,24.595,-1.971,-0.133,-18.989,4.897
56.559,22.309,39.567,27.243,34.565,-43.38,27.642,31.74,-9.882,-25.975,-28.137,-4.102
54.468,61.205,-22.84,-33.479,-15.41,-48.48,-15.147,-48.28,-2.516,21.262,-7.853,-5.576
54.836,54.479,29.444,-1.405,27.964,-40.421,-22.806,34.473,-13.168,14.628,-11.506,-15.664
55.145,91.458,-25.117,2.221,-34.701,-12.935,-20.642,-20.818,-11.094,-6.877,-34.215,-12.076
53.136,69.11,-7.65,32.74,-25.067,-20.36,-38.941,-31.465,-7.305,-1.133,-2.03,-3.964
56.048,80.801,8.557,-37.71,-9.56,22.778,-19.045,-8.684,1.351,-9.499,-19.179,-13.57
56.428,62.296,52.467,-2.733,-1.958,-17.285,-17.769,-1.294,-5.623,-4.152,-13.251,-24.332
56.603,28.713,74.661,-13.506,29.814,-41.493,16.051,32.318,-8.079,-0.792,-21.041,-13.827
54.936,89.752,-7.382,-21.395,22.36,-43.982,7.895,-2.489,-18.938,-2.133,13.879,7.959
56.761,47.967,22.939,2.736,15.966,-28.955,36.804,0.903,-16.351,-0.397,-33.415,-7.932
53.535,10.654,39.328,12.338,22.2,-15.433,15.889,5.648,-12.374,4.556,-6.703,-4.998
54.318,45.257,33.087,-37.296,14.164,6.195,35.173,-14.255,0.706,-24.025,-10.908,3.293
52.523,44.436,17.877,-7.368,15.764,-37.102,23.281,-13.038,-36.49,-21.862,-1.232,-3.597
53.612,18.816,24.951,-11.4,8.864,-23.947,-0.312,25.735,-12.735,-4.001,-12.343,5.576
56.159,6.081,7.525,-11.38,24.489,-52.969,40.068,-13.719,-12.283,45.398,-6.141,-1.194
55.422,45.918,4.079,0.5,1.735,-43.538,-2.122,48.11,-14.212,-6.507,-9.366,-24.687
55.755,18.39,-6.198,-19.339,12.436,-52.849,20.699,68.135,-18.637,3.532,-21.507,-7.955
55.534,66.452,-27.974,-16.775,6.242,-23.325,12.044,-21.651,-24.431,28.852,-13.089,5.784
53.327,-18.2,55.12,-4.864,39.24,-5.376,-1.916,44.61,-2.323,-23.269,-21.285,-0.351
53.908,45.739,50.048,-115.84,23.534,2.25,42.646,-0.638,-9.642,0.544,-1.61,-1.327
59.458,56.663,34.703,-2.378,25.258,-41.073,21.413,0.628,9.901,9.092,-24.549,0.599
55.481,33.657,18.447,-20.799,6.693,-31.648,15.374,-3.389,-4.217,16.859,-19.02,-2.316
56.804,70.028,1.575,-19.772,14.448,-18.952,-3.867,5.568,5.966,-12.591,8.458,12.806
56.469,106.139,21.523,-6.443,32.997,-33.879,-16.796,-16.202,21.464,-9.188,-1.425,5.374
56.34,82.5,-33.941,-34.044,0.267,-52.659,-28.222,-11.014,9.774,13.815,0.263,12.545
55.894,53.096,-30.507,-8.454,9.852,-34.335,-22.884,4.186,5.261,9.899,-25.68,12.921
54.437,66.19,-14.527,-26.124,31.197,-19.004,-9.113,-1.618,3.075,17.101,-15.317,-5.658
56.392,77.671,-5.603,-36.904,14.557,-6.21,-7.047,-4.698,-2.115,12.297,3.13,0.086
55.126,18.413,8.022,-8.49,-2.159,-46.221,-19.39,2.447,-14.498,18.329,-3.14,4.041
56.273,63.338,2.303,-29.162,12.044,-9.032,-14.089,-5.369,-3.36,-20.106,1.523,6.03
56.902,68.838,7.389,-25.326,14.687,-36.777,-15.725,0.593,-2.616,-9.478,11.101,4.925
56.811,93.29,-4.498,-28.537,19.625,-35.805,-11.12,-13.598,0.376,6.96,-10.031,7.004
55.658,72.742,9.669,-13.511,17.059,-31.112,-1.545,-4.256,-9.995,16.121,-14.203,-5.631
56.43,66.59,15.979,-10.66,11.7,-30.565,-9.495,-14.637,-0.533,-7.691,-12.444,2.518
57.171,84.261,-6.554,-32.899,4.714,-49.042,-0.499,-5.242,4.545,-2.845,-22.917,12.778
54.577,42.064,-4.614,-13.712,-10.072,-25.597,-10.416,-8.155,-7.118,13.662,-16.087,-9.159
56.924,80.84,-14.493,-24.644,8.941,-23.461,-24.524,-4.477,-5.982,-4.038,16.322,7.149
56.884,61.382,-16.361,-33.033,9.084,-41.869,0.77,2.427,3.175,5.345,-29.65,16.029
57.543,74.009,-11.455,-25.411,11.885,-45.087,-6.511,4.636,-4.497,16.695,-12.971,6.742
57.656,84.524,32.767,-14.766,38.813,-19.804,5.314,-25.586,-15.751,7.557,-14.101,4.235
57.414,61.592,14.131,-18.756,11.44,-26.729,11.353,-11.893,-0.293,0.19,-4.986,0.259
57.573,65.751,0.559,-24.702,13.936,-37.878,1.946,11.209,4.108,-6.56,7.709,9.634
57.117,41.618,27.4,-10.191,9.263,-32.551,28.775,-7.836,-6.336,8.216,-23.669,11.863
57.123,38.11,32.034,-11.172,22.381,-13.577,25.171,16.616,7.31,-26.457,-9.92,14.198
57.047,47.228,11.328,-28.91,14.433,-27.54,-5.283,-9.286,-0.863,2.163,0.245,13.476
57.957,64.456,16.204,-14.543,-1.321,-34.327,0.428,13.686,-5.331,14.624,-24.746,6.726
56.816,66.278,14.153,-35.267,17.895,-33.636,1.88,2.836,5.808,0.311,-5.392,-3.971
57.709,39.436,32.828,-2.483,27.486,-36.317,17.665,-1.786,5.243,3.731,-9.241,14.081
57.209,30.365,55.745,3.044,32.073,-42.916,21.378,-2.754,-2.359,2.652,-10.995,0.987
57.946,30.627,55.035,-0.777,40.941,-33.657,17.834,-3.605,6.556,-0.812,-3.216,9.999
57.578,57.66,11.931,-3.752,14.89,-43.345,-2.356,-5.398,8.155,-2.237,3.782,-4.529
55.174,39.817,44.139,6.995,21.44,-41.379,3.2,-9.645,1.654,11.812,-14.333,4.697
56.439,62.331,8.33,-15.339,25.465,-16.354,-5.248,3.659,2.866,-18.356,5.804,10.409
55.804,83.556,35.908,-4.391,46.944,-37.281,-36.864,-11.621,1.904,-1.353,4.339,19.683
54.893,108.917,57.34,-16.435,59.651,-27.455,-39.252,-2.445,-3.092,1.029,2.334,7.954
55.436,49.271,-23.662,-31.442,-2.772,-59.081,-18.635,-12.51,4.577,11.622,-12.02,12.61
54.995,66.508,-44.704,1.367,11.199,-38.616,-10.084,10.408,-1.604,-4.893,-7.508,-5.592
53.73,87.972,-12.632,-17.87,40.879,-25.556,-24.75,5.532,-3.238,21.015,-22.804,-17.462
56.133,76.097,-13.218,-25.484,4.015,-15.949,-8.657,-17.768,-5.906,8.701,-4.761,7.246
56.112,79.858,9.15,-18.359,15.37,-46.502,-14.079,-3.196,3.722,5.481,-3.1,5.433
53.35,27.806,8.809,-16.515,12.176,-31.875,4.726,-4.697,-10.044,8.911,-13.713,-7.421
56.297,69.107,-3.667,-24.1,8.32,-12.41,-13.589,-0.709,-4.811,-25.682,8.981,11.874
55.931,72.255,4.823,-12.659,4.99,-30.881,-1.137,-10.717,7.059,-0.467,-0.466,-0.17
56.103,71.748,12.143,-28.479,11.287,-31.384,-17.31,-11.367,-0.452,-6.07,-1.292,6.919
54.971,69.793,3.284,-17.437,21.628,-22.396,1.375,4.218,-7.012,10.057,-12.755,-7.652
55.276,60.616,-0.716,-12.599,10.717,-29.343,-14.454,-25.312,3.091,9.996,-3.409,9.96
55.721,70.849,-7.102,-36.71,5.49,-24.416,-9.438,1.68,11.984,-11.834,-5.642,-0.255
53.852,46.469,-1.867,-8.824,-8.409,-24.592,-15.901,-10.506,-6.137,4.672,-6.196,6.817
55.96,89.466,-11.757,-14.678,8.648,-37.506,-18.205,5.236,-10.407,6.282,13.117,11.282
56.012,60.468,-9.286,-30.315,14.763,-29.333,3.784,-13.69,-10.424,23.241,-7.412,6.473
56.218,67.617,-1.716,-44.097,19.706,-10.557,-7.416,13.61,5.83,-11.638,2.204,0.147
56.785,69.663,88.096,7.383,66.12,-36.76,-9.111,-18.811,-27.657,-0.123,2.299,13.76
