0,1,2,3,4,5,6,7,8,9,10,11
0.096,169.663,11.861,-29.907,59.219,-50.667,18.14,2.961,-25.93,1.412,-9.413,-5.782
1.26,153.238,32.051,-19.601,76.082,-52.085,48.943,8.487,-18.853,5.437,-7.106,18.143
3.828,123.282,77.48,-3.4,95.199,-48.058,96.349,14.876,-26.833,7.296,-7.355,28.446
6.758,78.604,87.491,-2.336,98.632,-42.323,88.425,11.206,-48.177,-0.45,-5.409,40.512
10.33,21.995,76.093,-1.426,92.176,-38.767,69.746,14.963,-61.434,-7.474,-2.747,44.409
13.104,-15.859,63.635,-6.11,73.612,-42.17,74.283,16.07,-60.612,-11.705,2.292,38.934
14.83,-29.346,72.69,5.778,64.069,-49.642,72.634,26.567,-57.552,-20.163,7.824,34.129
15.557,-45.933,82.368,-6.496,84.937,-28.764,48.083,5.469,-67.522,-11.05,3.213,40.601
18.227,-79.598,67.964,8.043,76.205,-29.122,26.504,24.206,-62.568,-20.457,-6.266,41.24
21.428,-84.213,112.794,7.5,64.195,-24.155,42.227,11.733,-52.539,-14.112,5.014,42.076
24.49,-83.714,138.242,-2.397,49.428,-27.773,47.351,15.384,-42.947,-19.36,4.094,47.291
27.165,-55.387,164.26,51.468,50.24,-20.354,61.629,22.456,-28.246,-23.35,-0.493,47.405
27.761,-39.438,181.759,48.999,53.026,-17.99,74.249,13.896,-28.105,-17.519,-2.359,46.142
29.808,-45.665,176.925,42.843,47.969,-37.391,68.936,13.637,-30.598,-16.025,5.969,46.816
42.279,-30.991,108.52,-52.873,23.25,61.714,43.37,26.382,-9.801,-22.132,-5.625,13.473
46.448,-27.925,21.111,2.364,0.815,-59.158,-8.512,-5.693,-2.945,11.336,-7.124,20.974
48.428,39.265,15.239,14.924,31.193,-20.089,-8.547,-10.991,6.991,-3.144,6.262,22.818
47.935,-38.35,-1.016,34.782,-14.851,-68.026,2.214,-7.08,-10.633,14.274,-22.763,9.337
48.133,-9.326,24.033,92.015,27.669,-12.075,3.31,-50.739,-30.463,-8.772,-3.941,-1.388
45.586,-60.34,-28.348,56.146,1.183,-75.135,-4.378,-33.733,-11.376,16.78,-22.037,10.354
46.124,-31.104,-14.031,110.294,9.597,6.248,21.732,-58.025,-38.401,-6.978,-7.041,3.205
44.023,-87.73,-49.579,78.985,0.476,-73.048,-0.287,-65.233,-11.827,25.323,-14.295,11.246
47.399,-13.996,-19.242,91.065,17.508,-12.395,1.66,-39.007,-24.829,-13.231,-4.752,0.827
43.661,-94.106,-52.942,76.533,-19.515,-79.209,16.96,-59.794,-14.305,30.54,-20.429,16.378
