0,1,2,3,4,5,6,7,8,9,10,11
0.084,170.958,11.137,-30.689,57.188,-51.221,15.156,3.966,-27.136,0.772,-8.137,-7.645
38.436,56.824,71.508,-16.104,-20.744,-10.737,-3.28,-11.244,-46.893,2.987,9.576,11.629
47.349,23.948,29.034,70.476,4.279,-27.072,23.46,-48.493,-39.821,24.482,11.871,5.258
41.456,-56.828,8.136,25.242,-7.413,-55.58,-3.038,-36.587,-30.007,17.711,-15.444,-0.356
45.966,8.438,-29.358,37.32,17.592,-46.198,7.838,-51.288,-26.798,25.707,-15.0,13.15
46.022,55.84,-10.249,-31.177,27.735,-9.962,-8.09,26.568,38.944,-15.082,10.218,12.255
44.775,51.799,33.867,17.651,21.686,-45.959,14.35,-22.791,10.418,17.294,0.278,21.06
43.535,7.568,15.897,17.35,35.978,-26.405,22.627,-20.922,-0.2,5.324,-2.458,24.416
45.126,21.269,-12.437,-2.324,6.181,26.339,17.469,-39.803,-11.883,-18.503,-5.38,4.191
42.715,-30.848,-0.662,-15.816,-2.851,-27.173,3.184,-17.264,-14.797,-13.899,5.43,14.562
44.415,11.935,-0.368,-34.936,11.836,3.626,9.067,-13.395,6.27,-35.099,-12.669,24.176
44.802,50.775,17.611,-23.653,37.073,2.034,3.512,6.584,18.992,-20.621,5.173,18.521
46.329,38.062,-13.809,33.788,10.626,-34.294,11.487,-52.728,-37.214,14.035,-10.948,6.606
44.529,55.604,13.994,-32.993,25.402,-4.704,-14.073,19.224,17.333,-14.35,9.985,6.445
44.367,62.787,13.161,0.706,20.992,-16.194,-4.622,-37.757,15.928,1.538,-31.069,33.159
43.707,42.351,7.545,51.899,31.204,-77.911,0.073,-41.29,-13.93,17.357,-10.907,30.306
40.062,-7.829,22.591,-21.981,12.491,-19.927,12.995,2.819,-0.633,-7.937,-19.164,44.505
45.143,11.185,-20.969,21.756,-2.051,-24.517,10.615,-48.9,-21.685,29.832,-20.573,17.449
41.474,-14.793,-13.437,45.066,-0.608,-32.635,8.15,-52.617,-9.523,0.645,-5.212,13.662
44.993,17.45,-25.986,25.021,15.033,-34.176,18.076,-51.066,-18.526,13.228,8.352,22.534
43.517,2.214,28.512,26.04,29.291,-50.876,15.977,-30.478,-2.305,22.398,-12.906,24.263
44.906,51.073,-7.019,-14.448,15.423,-7.85,4.519,15.102,24.582,-13.038,-0.577,23.018
43.483,34.145,-6.155,47.268,15.239,-20.069,-4.822,-37.916,-1.431,32.249,-18.763,20.385
44.499,21.517,-31.288,34.076,19.568,-40.367,13.606,-51.411,-9.644,29.79,4.283,11.98
41.679,13.577,-11.833,9.231,-2.973,-41.214,6.369,-39.605,-9.999,10.138,-0.557,32.151
40.912,4.231,10.238,10.307,-8.975,-6.077,23.982,14.985,-16.483,-30.355,-30.336,25.347
46.018,65.677,10.76,50.785,15.704,-17.17,22.656,-51.442,-15.049,5.144,-4.146,11.801
40.614,-8.844,13.8,12.141,-3.856,-19.04,6.023,-18.225,-6.701,-22.59,-30.281,23.348
