0,1,2,3,4,5,6,7,8,9,10,11
0.422,162.564,-4.144,-39.256,46.631,-50.584,22.675,-1.527,-26.79,5.187,-14.029,-5.973
26.69,36.784,69.144,-365.079,18.013,116.068,60.6,-56.917,-25.775,61.284,-33.413,15.357
47.42,4.37,9.917,6.06,17.009,-45.663,9.475,-13.828,-0.203,15.091,-9.792,8.42
45.418,-33.418,7.789,-0.714,12.599,-26.357,2.084,-18.943,16.29,6.637,-21.624,0.743
50.162,53.177,-32.35,30.601,34.1,-32.466,-7.254,-41.997,-11.712,-13.706,-13.602,-4.369
46.279,30.124,-22.77,-27.184,52.692,-2.317,3.058,-27.679,6.716,-25.815,-5.61,-26.875
47.781,-8.476,-8.722,3.956,7.439,-39.06,-19.747,-9.844,19.311,17.659,-28.57,-23.754
45.466,-7.245,-21.44,14.245,-12.378,8.612,13.482,-17.024,-6.817,-0.237,8.254,-6.19
45.339,11.398,1.879,-10.668,3.5,-40.603,3.681,-31.9,-3.578,19.05,-12.208,-6.539
45.641,3.442,11.798,9.127,-1.196,12.937,19.098,-17.766,8.527,-11.449,-4.452,1.975
49.256,33.722,-31.091,23.414,27.904,23.146,16.999,-23.78,-6.269,-8.306,19.809,-9.692
45.289,1.845,-2.072,4.589,-4.116,-32.795,14.057,-17.27,-12.454,-2.668,-12.292,1.886
45.139,13.722,23.179,11.254,-17.362,-32.629,-2.003,-7.716,8.689,8.843,-26.611,-5.233
44.981,6.439,-0.223,-25.65,0.391,-9.334,12.647,-17.223,-3.538,-13.427,-30.863,16.449
46.749,15.565,22.211,18.931,0.58,-32.78,11.643,-14.005,-0.443,10.343,-3.897,-5.805
45.986,19.26,34.422,-19.814,-5.789,-22.989,6.574,9.21,19.47,3.246,-5.67,-15.722
44.602,-9.951,43.899,-8.113,-3.971,-29.438,26.243,6.809,4.239,6.23,-16.371,12.638
48.705,66.195,-24.571,33.178,29.144,-16.057,14.004,-34.44,-16.202,-7.279,-9.742,5.472
44.384,9.986,26.026,-4.932,-7.991,-17.551,14.474,-13.096,-2.967,2.73,10.442,6.205
46.525,30.429,-3.984,8.222,10.27,-42.485,34.036,-21.404,-16.716,-7.32,-20.592,10.563
37.361,8.242,-71.405,216.232,-9.299,-18.537,-30.695,72.125,7.983,-40.332,-102.638,7.155
15.182,66.871,66.226,-299.575,42.024,-15.323,55.082,-95.893,-30.346,54.712,14.374,-11.052
44.881,-49.879,63.921,-72.855,18.013,17.77,72.388,4.707,-7.071,-2.217,36.934,0.236
47.612,-32.013,30.929,74.881,40.15,-14.551,32.137,26.591,-36.803,-34.666,-65.277,2.588
50.887,10.931,32.328,-14.498,82.283,84.364,27.242,13.425,5.199,16.604,9.269,1.955
49.065,-12.684,19.404,-83.069,30.185,-0.229,-29.236,-4.712,3.167,-18.52,-19.99,-1.632
47.225,44.402,-41.392,-18.179,-13.893,9.074,-66.96,-37.034,1.277,-17.705,-12.73,-24.544
46.586,36.082,-63.073,-10.263,-6.373,28.472,-66.365,29.275,31.071,-27.752,-24.019,-7.028
38.555,-35.704,-114.076,19.199,6.091,50.064,-15.034,5.874,-1.632,10.381,-12.041,-8.281
40.123,-65.426,-5.224,-182.226,42.311,38.342,-10.443,-5.897,17.791,11.81,-30.009,-10.381
47.063,1.008,84.544,-104.734,58.091,64.797,23.407,17.957,3.692,21.878,5.634,-24.323
46.164,38.09,-101.544,154.898,36.085,-62.172,-22.436,-5.314,8.735,-15.111,-62.745,4.597
49.503,12.794,-3.725,-39.377,70.578,97.52,-11.249,-7.373,11.073,22.533,51.457,-2.67
44.079,69.256,-102.096,48.234,7.071,-5.326,-48.251,-68.286,3.154,6.672,-82.331,2.501
30.018,-79.941,-170.321,-53.732,45.367,-49.622,-1.689,-32.329,-1.027,-2.874,-13.002,-8.499
36.507,-23.802,-27.591,-128.235,-22.71,31.037,43.109,-18.792,-52.107,-13.396,6.336,3.817
49.326,17.144,3.248,-71.915,50.191,56.672,-23.705,-16.643,22.86,37.655,3.941,-14.976
52.027,75.637,-27.369,-47.619,41.489,-37.095,-26.556,-21.134,-12.413,-7.586,-5.391,-9.434
48.502,1.725,-61.584,75.965,37.315,-5.322,-74.32,-30.715,-4.365,-10.196,-75.107,1.008
41.662,-32.199,-92.009,7.496,2.866,-16.476,-6.615,-19.579,-8.547,-0.736,12.425,13.073
35.636,60.761,-121.22,-67.761,-5.949,-28.079,-33.277,10.174,8.964,-16.701,-23.064,0.731
46.864,-35.53,-44.192,65.474,36.894,29.536,17.551,27.303,7.305,22.672,-72.858,0.774
41.742,24.207,-52.888,-33.475,3.039,14.28,12.854,-35.969,-16.991,-20.468,-31.124,22.124
44.259,100.922,-48.511,-133.309,67.932,52.015,7.588,-107.0,13.362,21.476,-45.706,-3.417
36.184,87.232,-63.983,-109.489,-18.789,-13.056,-34.954,39.124,9.742,-39.678,10.713,-40.177
40.748,78.127,-82.764,-48.792,-10.318,-7.127,-33.179,-65.614,-30.511,18.38,-45.092,-6.269
47.229,-15.691,-84.522,90.136,2.98,-19.781,-41.181,13.49,-0.467,-17.351,-66.881,-8.23
30.163,-57.715,-146.693,-26.347,12.314,-39.107,-30.363,-21.893,4.585,4.61,-12.344,-16.298
26.418,-46.922,-156.295,-72.118,10.972,-42.58,-15.854,4.299,12.588,-37.143,-22.306,-24.644
41.284,29.42,-91.749,-37.599,24.295,64.457,-28.506,-33.272,19.985,26.304,-26.021,15.278
49.683,-50.786,41.561,-39.304,65.722,7.636,28.255,9.025,4.193,25.399,16.77,1.392
54.262,0.89,33.468,0.999,84.521,-12.074,39.927,-1.969,23.291,-20.788,1.811,13.619
52.531,-14.468,46.405,14.919,74.459,-31.108,22.53,10.762,16.407,4.376,-20.845,27.671
46.522,-16.803,-63.946,117.619,54.065,2.545,-38.234,5.464,20.764,3.953,-46.577,16.157
43.389,27.435,-55.846,2.265,-4.998,71.93,16.219,-0.795,-2.202,1.013,19.914,-22.831
49.181,-14.836,63.745,-128.434,42.668,19.154,22.976,23.781,-8.772,25.364,22.002,-4.464
54.631,77.415,37.973,57.301,74.716,-23.347,15.842,-23.878,30.025,3.14,-49.387,35.194
49.074,1.482,-27.629,-27.164,56.514,37.939,-14.247,1.821,3.591,-25.284,-24.235,14.27
49.596,82.594,-2.494,-18.122,3.868,-31.826,24.262,-32.131,-4.207,-0.157,2.404,22.216
54.06,36.42,26.53,0.877,41.231,4.42,-13.607,25.978,-1.335,-14.67,-3.286,-28.572
50.738,-4.663,-15.34,-10.729,35.792,9.467,-7.862,-7.811,0.3,2.601,-74.484,6.3
45.523,-109.041,85.559,-121.869,26.379,-10.688,48.195,44.558,-1.121,-6.142,1.238,7.652
47.531,74.701,-35.203,-34.996,31.411,-20.586,11.532,50.432,-9.994,-24.366,11.42,17.804
51.09,60.223,-11.203,-44.808,54.383,-20.824,-39.976,-23.255,-16.288,-0.531,-11.723,-19.358
50.262,35.534,14.463,-1.903,31.641,-38.546,-53.791,8.823,-10.886,-1.646,-16.984,-6.143
44.81,2.695,-63.266,61.907,1.94,-29.592,-41.096,-48.367,-10.74,4.868,-24.06,6.111
45.33,-17.166,-30.762,-26.173,20.858,63.928,41.976,4.528,7.778,-34.097,-9.015,21.297
50.152,-15.165,-8.806,-63.602,27.982,27.915,-22.136,30.315,16.226,-21.12,-1.989,-11.507
50.451,20.7,-30.45,2.333,23.608,-5.059,-49.48,-12.934,-7.68,13.06,9.079,8.504
52.882,38.836,16.934,-79.833,59.201,17.431,-3.364,19.253,14.185,-7.637,-20.7,19.711
50.028,23.599,-0.958,3.023,58.647,4.242,-3.473,2.713,-4.162,13.662,-66.681,13.301
46.519,2.31,-30.246,20.152,-6.302,-10.84,12.585,-15.819,-7.203,1.681,6.3,11.869
52.233,-16.995,19.147,-54.119,32.889,-7.57,33.242,15.034,6.803,15.985,22.898,-11.098
53.276,28.046,10.083,35.38,37.468,-10.196,22.498,-10.927,31.602,-8.586,-49.571,18.329
51.368,-8.776,27.665,23.387,45.109,18.836,6.486,51.31,17.642,-41.198,-17.554,-13.138
46.866,-66.645,-19.645,-13.585,48.74,-66.576,-20.125,-5.112,1.925,7.465,-0.135,19.853
50.887,16.027,-31.664,40.236,88.651,29.951,-23.382,-6.971,19.693,-20.585,-51.643,4.146
39.359,43.455,-91.023,-62.068,65.012,3.726,-28.709,-65.471,10.936,0.542,-61.867,12.341
45.639,12.323,-88.091,-6.962,7.465,66.195,21.668,9.594,4.391,-31.263,21.638,-2.783
42.158,-11.469,-60.418,-4.153,2.176,-31.935,10.222,-29.927,9.549,-2.326,-24.258,-5.668
