0,1,2,3,4,5,6,7,8,9,10,11
0.004,171.09,9.546,-28.569,57.485,-50.106,14.834,5.255,-27.277,0.931,-10.541,-7.302
31.33,-102.115,-109.293,144.564,5.088,36.887,5.606,-26.318,-28.058,54.505,33.089,8.469
41.009,113.777,-81.916,-66.903,2.091,64.745,-24.899,83.316,26.79,-43.572,30.109,0.832
46.052,-2.81,-0.727,25.079,25.296,58.761,-1.736,15.31,-17.826,-9.198,-24.014,2.837
45.342,79.713,-32.48,-13.768,20.426,79.771,-34.152,32.206,-8.057,37.364,8.617,-31.024
42.272,188.716,-70.66,-44.434,-19.629,-23.95,-29.387,-26.382,-23.219,20.788,-4.227,7.973
42.966,-78.172,16.066,37.319,-5.747,-35.647,13.243,4.931,-39.287,25.624,-22.739,25.191
40.65,-58.101,-22.799,-1.663,10.227,-63.465,-2.324,40.092,1.005,-4.477,6.523,19.879
40.897,96.911,-78.579,9.771,8.37,-45.142,-3.631,1.287,-4.425,8.67,-7.546,31.228
45.523,-43.533,29.712,-2.969,52.417,-1.713,31.32,10.685,-12.33,48.41,0.898,1.86
42.939,7.485,-56.708,3.422,9.45,-1.284,-42.646,-37.033,-26.634,21.068,-32.922,-12.204
42.418,-10.413,-26.768,-41.41,-28.898,-4.999,-43.382,-24.498,-7.248,2.254,-3.306,-18.701
46.144,59.691,26.187,-5.943,-28.676,0.279,2.685,-51.769,-3.697,-17.13,-24.979,-29.858
37.751,-17.418,-77.886,79.811,-37.668,4.107,-33.928,2.682,-7.919,-33.433,-89.225,1.268
29.792,-115.364,-116.018,68.542,-7.821,60.99,4.107,-15.122,-7.466,-22.822,-44.486,6.151
30.81,-107.212,-101.028,47.465,-11.039,61.639,5.928,-12.747,-7.488,-20.588,-47.496,13.078
35.899,2.267,-24.073,-96.517,-52.845,77.251,-9.288,15.39,2.917,-32.691,-7.895,-26.027
40.846,48.235,-46.859,-39.775,-12.347,35.134,-51.734,87.965,-11.009,-29.527,-53.927,-31.245
46.199,34.686,-23.735,1.738,13.299,45.435,-17.646,2.236,-36.756,-9.549,-46.007,-4.528
46.75,79.479,-33.424,-46.183,11.95,19.165,-22.046,-50.142,-32.85,41.355,-7.828,4.085
48.341,-19.71,49.658,51.559,18.456,-9.645,37.52,-17.005,-9.864,-4.683,-27.805,9.138
43.113,-81.505,36.879,22.642,-3.304,-1.302,31.094,17.121,-33.801,-19.624,-38.118,6.428
40.348,-96.316,26.855,-91.89,-17.296,32.495,21.915,49.826,-13.101,-50.041,4.83,4.185
41.675,-8.833,15.248,66.909,-12.365,-2.746,52.196,13.41,-26.796,-33.58,-52.858,10.658
41.67,-30.749,-16.095,-23.854,34.05,49.98,0.412,3.174,7.242,1.794,20.9,2.547
46.368,61.154,-32.328,6.161,-49.461,36.094,-65.153,-19.318,-6.587,-38.596,-12.707,-18.098
46.4,-12.893,8.577,-17.438,5.309,11.332,-22.88,25.768,-42.206,47.088,-6.11,-29.725
48.288,68.234,24.452,-54.835,-19.913,-1.026,-35.139,17.143,-37.843,1.852,3.684,-15.475
50.103,25.527,75.439,0.549,-2.604,-25.74,-19.997,-14.484,-24.282,19.023,-6.92,-56.972
46.52,15.856,29.299,85.207,-24.516,-39.905,-12.128,26.166,-17.232,-2.307,-31.382,-27.454
31.384,-82.443,-140.67,111.058,-0.49,-5.338,-5.77,-47.108,-24.427,21.708,-43.919,20.687
29.04,-91.862,-143.209,114.753,-2.785,-30.977,-11.011,-29.041,-29.183,31.517,-37.958,11.806
40.255,43.818,-18.985,3.095,-40.422,-16.985,-14.492,34.318,-16.308,-21.694,-30.188,17.429
42.618,118.926,-65.473,-57.364,-2.868,86.737,-38.029,64.293,1.023,0.351,27.477,-2.945
48.604,69.146,-4.13,-37.106,67.008,-14.42,11.913,-9.404,4.509,62.808,7.34,32.344
46.468,62.28,-32.374,60.838,16.188,-42.123,-18.526,38.103,-21.715,-9.802,-22.794,33.266
45.586,-6.924,-5.694,-10.789,58.762,-1.914,6.839,-12.283,5.882,53.015,8.26,12.557
45.894,34.43,-30.218,42.379,43.796,-24.217,-21.76,79.479,10.626,9.56,-33.536,28.278
44.298,-95.38,53.987,-0.441,7.576,-28.826,49.684,3.531,-22.204,4.761,-3.288,14.683
42.041,-81.846,18.719,54.059,8.241,-28.433,33.548,25.624,-9.83,-16.223,-36.857,5.703
43.376,-19.904,17.909,35.895,24.912,94.703,87.259,-37.24,-4.628,-12.857,-6.336,27.062
41.396,-83.219,13.095,-76.371,12.495,-13.903,4.584,-2.307,-13.508,-16.471,-3.589,16.544
40.655,-121.614,-7.168,22.895,43.45,-17.656,16.886,18.784,-10.988,-7.053,-53.767,6.783
40.154,-47.395,-52.391,6.992,8.346,6.178,-30.293,-9.341,-20.189,14.153,-33.735,3.158
39.331,-15.96,-50.944,39.501,2.519,61.805,8.913,-19.42,-14.609,-0.213,-23.088,5.468
31.523,-105.519,-111.89,101.134,-9.224,75.791,16.843,-19.337,-22.726,-24.602,-21.43,3.996
35.461,-32.645,6.898,-105.244,-28.658,49.824,39.126,8.819,-20.725,-16.563,14.929,11.568
45.59,-5.406,49.261,20.748,36.9,15.031,74.486,2.165,-14.417,29.351,-18.708,13.111
45.635,14.301,13.779,-65.132,17.768,-27.113,11.585,-8.117,-6.002,-16.922,12.937,38.287
46.463,1.019,-12.713,59.453,45.887,-3.801,3.63,-2.142,8.536,4.232,-50.206,30.297
40.526,-58.364,-41.868,29.027,-18.767,-9.481,-45.248,6.868,-15.397,-7.758,-32.93,-13.77
40.793,-23.56,-27.364,-61.171,-3.772,60.744,7.736,-21.964,-6.477,-26.333,-7.964,-22.386
39.485,-58.387,18.542,-118.492,1.344,-13.123,15.746,-9.999,-9.118,-9.84,12.32,4.38
43.237,-76.447,55.817,32.973,27.412,-57.778,20.066,-4.247,16.237,3.764,-3.381,-16.349
39.744,-87.18,-53.649,73.599,2.881,-47.957,8.668,-3.387,-7.353,0.331,-36.32,24.255
30.167,-100.159,-127.594,98.338,-12.082,2.587,-7.402,-29.362,-13.138,20.978,-19.161,18.68
30.284,-103.525,-133.389,80.195,2.749,69.082,6.105,-33.283,-14.974,-5.65,-24.892,0.188
31.484,-79.669,-145.608,112.677,4.126,35.828,2.464,-42.424,-17.53,5.397,-29.098,16.178
28.918,-102.582,-134.131,40.505,15.425,95.394,17.718,-7.344,1.203,-32.531,-43.402,6.305
32.217,-76.133,-25.177,-122.839,-12.88,109.483,49.276,-15.712,-7.445,-39.955,-5.321,-1.933
41.986,-73.085,20.448,43.411,28.686,15.607,67.398,32.637,-5.584,-4.027,-58.541,15.242
41.286,-33.102,-25.254,-4.526,-13.351,35.642,5.107,-18.79,-28.669,1.147,-11.032,-5.357
42.868,-35.735,-37.383,64.234,-13.201,-39.893,-9.408,-15.098,-9.701,27.48,-6.002,0.064
42.646,96.776,-42.293,-9.966,-22.029,-1.805,26.363,-0.866,-19.721,-17.912,-8.623,13.726
43.926,-24.198,16.77,-5.976,-11.193,5.681,37.425,-4.225,-26.625,51.889,-2.904,1.205
43.135,-6.839,-81.844,38.306,-7.865,-26.546,-22.04,16.38,-4.817,11.677,-3.138,-5.998
37.226,-46.094,-60.288,-8.652,-28.517,19.715,-14.305,-1.922,-25.634,-19.25,-82.619,12.91
37.76,-29.864,-45.196,1.841,-22.538,46.674,2.328,20.671,-15.639,-23.22,-71.206,19.029
38.795,12.694,-43.244,-55.654,-51.021,58.715,-12.971,-4.479,-1.078,-24.556,-39.783,-9.54
39.923,12.917,-37.346,-106.825,-18.103,44.229,-28.122,17.087,9.416,-26.194,-28.811,-12.156
42.072,-11.836,-24.032,-48.61,-31.851,15.075,-1.597,21.792,-20.988,-20.262,-25.387,-6.608
39.883,-52.464,-57.645,18.489,-7.243,18.219,15.474,4.534,7.005,-29.977,-38.994,-3.823
41.643,-96.079,11.389,-8.468,39.895,28.164,37.365,-11.44,13.594,-19.215,-20.66,-4.338
42.847,-49.162,33.173,-37.123,0.206,-9.663,18.006,68.955,-4.685,-27.663,-8.922,14.109
43.731,58.005,13.077,-13.983,-32.734,-12.04,6.887,-19.03,-19.631,-6.458,-3.277,-28.218
37.84,-71.071,-88.971,101.858,-36.743,-89.253,-30.442,-17.628,-30.822,8.691,-31.451,5.123
