0,1,2,3,4,5,6,7,8,9,10,11
14.136,148.487,154.538,-352.987,48.705,-42.272,45.381,-97.917,-32.386,50.826,87.683,-25.018
41.294,127.685,62.451,-12.588,32.189,-31.685,-71.636,-42.267,10.426,16.309,-13.529,-27.448
41.055,78.848,56.625,-5.507,44.451,-28.908,-66.095,-24.726,13.962,13.857,-24.652,-31.689
39.9,63.476,57.428,-34.751,39.123,-21.759,-65.312,20.713,24.192,-14.003,-0.493,-29.162
39.464,88.055,74.777,-43.446,15.815,-18.719,-48.324,21.702,11.081,-6.385,-0.148,-19.534
40.397,102.49,49.691,5.487,30.908,-13.637,-67.186,-26.445,9.304,-3.769,-17.935,-16.646
39.325,50.713,62.203,-24.123,35.098,4.884,-67.99,-38.672,-5.923,-11.088,-0.035,-22.438
40.822,56.346,48.989,-28.679,36.054,-11.068,-86.546,-11.384,2.296,-17.791,8.288,-23.277
40.257,44.889,29.714,-13.275,19.313,-13.954,-68.234,-26.154,11.668,-10.502,-8.532,-20.408
40.992,124.682,40.105,-17.788,9.878,-22.991,-62.879,-8.359,17.18,-17.649,12.233,-13.707
40.978,117.709,54.253,-5.809,28.992,-21.523,-65.719,-35.532,8.923,0.119,-4.548,-15.399
41.117,94.417,46.21,-10.992,35.247,-9.271,-54.853,-21.291,26.289,-16.951,7.361,-32.187
40.306,59.382,55.685,-21.382,42.55,-22.019,-57.158,-20.372,29.414,-8.193,3.199,-29.651
39.715,55.738,58.968,-1.189,64.095,-30.03,-73.789,-21.117,29.846,-0.401,-1.782,-27.299
40.062,84.017,64.093,-15.848,34.571,-24.229,-78.286,-31.293,16.379,6.205,-0.491,-31.954
40.235,76.633,71.326,-23.056,32.609,-19.457,-73.104,-17.261,15.458,-1.132,-11.629,-39.042
40.896,95.938,74.79,-24.853,42.011,-20.306,-72.485,12.741,22.937,-19.543,4.176,-33.516
41.349,89.163,108.963,21.401,82.315,-28.885,-68.611,-37.644,20.838,17.408,-16.319,-24.416
41.995,123.122,80.202,-0.158,58.054,-22.196,-61.292,-12.833,34.613,-3.394,4.126,-28.566
41.514,84.72,78.446,-7.764,37.745,-20.95,-75.663,-13.442,13.814,-5.671,-0.604,-13.55
45.233,222.482,39.365,-12.363,84.742,-24.963,-62.069,-8.366,8.98,-20.57,14.592,-8.809
45.693,120.579,-3.737,-9.429,14.215,-14.347,-28.446,-62.169,-23.937,13.323,-29.177,1.334
47.796,88.975,-2.06,-47.36,-4.44,-15.082,-31.311,-33.652,-12.183,13.624,-11.013,-5.77
53.212,64.144,-14.882,-45.829,-3.062,27.732,-38.752,21.281,-3.971,-23.014,31.506,-24.132
52.863,51.443,50.901,-1.643,-32.537,-15.854,-23.079,-18.638,-35.14,-3.733,-11.088,-11.431
54.426,90.318,13.827,6.644,-22.29,-44.848,-14.977,3.919,-15.207,5.132,-17.414,-27.983
51.632,91.357,25.898,-53.523,1.1,-0.341,3.904,-25.819,-35.136,17.905,-7.284,-0.791
53.893,79.626,-25.179,24.569,-25.395,-39.755,-49.972,16.263,-24.908,-21.416,4.701,-15.664
48.557,82.885,-73.372,-15.801,-10.04,-55.295,-1.577,-47.458,-2.596,6.643,-35.92,-8.684
49.813,-1.89,25.718,15.484,27.913,-1.548,53.246,-19.679,25.953,23.232,26.725,-9.511
54.137,24.578,-37.556,10.132,24.077,-68.996,-14.764,-3.962,-3.366,-3.512,-13.737,7.158
47.552,60.525,-38.668,-37.995,-20.819,-8.449,-29.579,-13.405,-8.988,6.3,-24.361,-14.295
49.938,110.69,-25.023,-50.087,-32.81,12.008,-10.933,-45.205,-8.936,-12.758,6.825,-16.635
49.99,82.433,-33.869,-13.625,-32.623,-32.149,-38.682,12.255,-14.706,8.152,-33.023,-27.546
52.837,64.333,-63.846,9.451,-7.545,-64.89,-48.401,-10.224,-15.152,-9.134,-20.275,1.243
48.862,118.042,-59.389,-27.984,-13.658,-53.133,-15.296,-22.941,-9.713,6.382,5.983,-10.465
48.383,55.059,16.589,-8.705,33.222,-24.751,-3.222,-22.619,-10.092,3.722,-28.396,-0.196
51.608,49.995,67.001,-0.392,16.006,-45.132,15.504,16.738,2.68,13.157,-11.95,-0.458
51.785,100.171,4.971,-48.778,12.212,26.395,-25.22,-32.906,-5.345,12.991,-8.991,-15.384
52.833,85.61,26.899,-17.023,51.408,-44.907,-11.175,-15.767,57.164,16.91,-11.62,-3.078
53.208,53.312,7.459,29.486,15.35,-49.865,21.316,-11.893,-5.104,4.706,-11.341,-3.63
48.594,127.428,-48.98,-54.153,22.614,-26.548,-16.382,8.027,-15.232,-17.259,5.858,-18.833
51.49,104.815,33.432,-22.12,-20.864,0.886,-25.69,-15.443,-45.769,-17.191,-0.624,-18.932
52.107,71.965,-59.303,26.819,16.857,-35.05,-43.231,19.07,-15.781,-14.907,7.817,-10.99
49.305,49.059,5.819,-49.704,55.758,-19.929,-0.498,-31.054,-23.029,54.244,-15.995,-12.672
52.466,28.927,-5.387,4.298,36.853,-56.937,28.517,-23.359,-0.783,21.727,2.431,-4.373
50.698,94.082,6.555,-49.932,-29.704,-21.553,-17.614,-31.198,-18.871,-31.131,8.68,-19.958
52.551,69.861,-45.943,36.112,10.829,-32.567,-17.743,31.289,1.675,-5.594,12.947,-0.965
47.767,61.27,-22.513,-62.067,-3.934,-3.644,-31.604,-22.82,-14.044,21.2,-28.425,-23.419
47.643,129.563,-84.748,-60.518,17.155,-31.477,-33.427,-15.926,4.286,-24.518,-16.215,-38.03
52.038,43.931,-15.771,-19.506,22.259,-16.621,21.806,-26.097,17.307,19.183,3.61,-6.249
48.965,31.977,-59.659,20.339,9.504,-67.642,-15.98,-11.269,8.39,3.087,-11.531,-22.023
50.3,73.776,6.089,-43.462,32.163,-15.087,15.997,-49.855,-4.092,24.603,-37.572,-3.39
51.367,111.63,-37.574,-23.021,34.479,-48.711,-15.938,15.782,28.313,-13.981,2.711,-21.623
51.611,84.05,-48.964,-37.626,54.388,-34.517,-30.063,-7.453,21.68,13.923,-10.7,-1.541
49.618,51.093,-47.299,-5.44,-16.536,-36.672,-24.977,-35.125,8.918,23.642,-12.394,-21.831
48.541,63.556,30.227,-36.828,11.873,-19.056,-19.036,-4.571,18.088,-6.078,-15.152,-29.614
