0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
30.519,-11.632,-84.015,-122.508,-6.436,196.403,34.739,-18.425,-13.221,65.284,57.928,-20.977
36.939,49.816,35.482,-62.699,-54.471,-19.042,-25.62,57.193,-48.035,-22.498,28.168,-3.589
39.287,215.628,45.866,-16.009,-38.627,-22.199,-8.506,17.097,-83.267,-13.956,3.064,28.878
41.94,183.986,-16.553,1.952,-43.948,-7.076,-17.094,21.869,-67.969,12.126,9.96,7.34
39.805,164.539,-5.808,12.685,-48.056,-21.044,-21.766,30.982,-51.914,7.147,7.156,15.639
38.952,115.639,-38.224,22.065,-44.135,-62.21,-17.45,63.145,-10.219,-14.301,13.146,17.375
34.917,83.297,-33.357,42.395,-40.524,9.824,16.127,28.56,-33.338,11.004,18.563,13.097
34.539,63.617,-53.627,58.516,-45.592,-5.24,-5.692,31.62,-23.188,13.957,63.857,2.461
29.461,101.236,20.269,-8.635,-25.661,-11.87,2.839,-5.616,-32.527,24.542,-24.252,30.392
30.46,74.377,7.653,-46.409,-31.261,5.949,38.966,-18.748,-32.378,13.339,-54.724,46.26
45.338,139.223,32.005,-31.238,23.148,19.998,-44.401,-16.6,7.155,0.546,-2.712,-3.533
45.387,88.532,-40.718,64.046,-15.692,-11.858,-29.518,-11.81,-1.979,-1.042,-67.814,15.545
25.317,37.766,6.499,-30.657,-48.395,-12.984,-27.777,9.003,-18.171,-31.711,2.997,-7.147
25.03,22.071,-24.78,0.227,-47.059,30.886,-0.302,2.879,-27.289,-21.92,-55.003,8.761
27.53,34.237,-27.223,-44.084,-24.611,62.893,6.688,-13.582,-30.197,-4.406,-65.737,11.913
34.348,84.496,67.997,-250.3,-15.446,20.052,-1.403,5.71,-10.998,4.625,6.373,-0.531
45.232,65.432,-49.503,40.63,-18.945,-53.862,-28.821,-21.386,1.628,30.389,-6.866,6.817
43.078,90.503,4.127,58.774,13.483,-0.506,-35.099,-40.646,-13.789,-0.632,-36.762,-5.265
48.958,170.924,62.333,-25.291,27.495,0.588,-9.39,-2.773,8.719,6.433,9.705,6.979
48.684,139.287,61.278,33.969,43.495,-27.485,-14.559,-23.776,8.209,9.3,-30.205,17.063
45.521,50.502,7.023,-35.538,9.072,-48.392,-32.801,-10.589,2.861,13.281,17.011,-17.468
46.531,52.814,-15.167,-23.172,9.073,-50.374,-34.017,10.607,-11.032,-10.446,-5.871,-5.67
43.519,5.68,-14.396,-7.601,-10.006,-36.025,-43.796,-18.239,-14.333,1.309,13.748,-24.402
45.539,92.462,24.501,-55.935,26.995,21.384,-62.044,9.713,11.721,-29.194,4.338,-9.825
45.259,85.735,-20.402,-9.831,-9.135,-45.315,-48.972,-6.314,4.707,-7.532,2.761,-4.899
46.451,136.43,9.563,-5.005,7.456,-24.186,-45.044,-14.749,-5.856,2.527,-4.329,17.451
45.37,108.948,5.804,21.73,-29.721,-45.542,-2.403,-0.569,-14.776,13.189,-6.826,-7.445
47.013,145.23,26.261,-3.964,0.859,3.827,-19.221,-14.573,-11.39,-9.06,-16.264,21.565
48.357,168.826,39.115,-3.211,-15.374,11.375,8.413,-15.238,-19.665,-6.602,-0.695,3.604
46.616,130.176,-7.596,39.329,-16.181,3.529,-8.027,-9.398,-5.66,13.485,-47.278,7.344
47.343,119.802,-5.372,-37.818,-2.321,-8.704,-18.462,-26.709,13.731,7.257,3.346,-7.917
48.876,158.906,-32.31,-26.759,-16.36,-24.297,-35.107,13.88,21.299,1.52,-9.195,5.238
50.514,109.271,-10.207,-17.954,2.879,-40.279,-31.085,0.269,10.112,29.52,-17.726,1.823
48.801,93.809,17.098,-18.654,-2.386,-7.312,-11.436,-3.566,-0.653,1.91,-12.641,-8.015
49.36,123.943,25.924,-1.842,4.704,-23.765,-22.432,-23.724,-1.788,-4.654,-22.743,8.534
49.363,161.467,36.67,-8.903,2.9,-4.445,-7.028,-15.667,4.17,-4.605,-5.691,-6.424
45.318,102.542,-7.203,10.044,-13.481,11.888,-21.534,-1.916,4.117,-34.019,-57.608,16.776
46.137,102.565,-7.257,-51.162,-16.552,2.23,-12.813,-1.602,3.136,7.888,16.129,-1.307
49.704,100.577,-1.518,-54.225,-3.877,-14.382,-15.547,31.436,10.415,-18.299,-4.58,-4.351
50.605,125.469,27.862,-22.564,10.774,-26.15,1.729,-18.478,1.887,5.112,-15.512,20.816
50.713,129.033,64.013,-3.661,12.79,-15.893,-13.359,-8.54,-7.524,-11.555,-2.462,5.38
50.579,159.342,76.374,0.653,8.868,-16.977,-8.22,-6.415,-18.026,4.851,1.769,2.985
48.376,121.937,77.068,-35.249,-4.577,3.01,1.459,-8.716,-11.96,-3.151,-21.632,-12.892
49.536,85.97,29.747,-7.753,11.263,-31.987,-19.138,-5.997,7.084,-0.806,5.94,-3.628
49.796,86.784,27.597,-35.409,-10.746,-55.112,-12.949,43.197,-11.465,2.226,1.796,7.601
50.807,118.394,36.8,-24.919,4.828,-32.309,-4.071,-11.308,2.344,14.108,-8.474,18.835
50.23,117.471,59.242,12.499,-7.027,-24.269,12.662,22.623,-1.361,-1.792,-4.835,-2.258
50.094,151.515,86.042,-4.173,19.527,-16.094,-2.429,-28.256,-8.217,-1.045,-2.401,15.194
50.981,161.015,74.642,14.03,33.862,-17.424,-23.418,-6.627,0.363,1.455,-7.774,-3.637
48.83,131.342,56.803,13.132,18.877,-21.14,-10.347,-11.215,5.341,-22.421,9.068,11.885
49.374,139.579,69.074,5.123,0.268,-7.699,6.367,-16.46,-13.288,9.417,-18.523,11.158
50.193,86.201,76.023,-9.258,6.028,3.663,14.517,4.964,-0.984,-12.26,-2.172,-0.92
49.784,88.358,71.824,-19.278,-14.042,-33.705,19.96,46.789,-9.086,-4.26,15.553,8.704
50.332,122.043,39.789,16.41,16.203,-13.971,-15.033,-12.641,-6.016,3.552,-21.608,21.44
47.969,84.298,1.231,17.203,26.994,-17.55,-39.092,-21.794,5.388,-9.532,-18.181,9.364
47.529,90.412,10.259,-8.359,28.129,13.264,-53.75,-20.561,0.7,-5.135,-5.924,7.224
47.132,100.423,-12.377,-39.688,6.954,43.526,-33.727,-1.616,13.597,-43.855,1.35,-2.767
46.361,170.959,-17.566,-44.906,-3.533,-24.063,-55.646,1.724,2.242,-17.071,14.622,-12.195
50.384,145.905,62.957,1.979,15.177,-4.434,3.764,-2.233,-20.72,23.172,-14.923,25.031
49.737,108.862,57.831,-0.204,-18.625,-24.621,16.449,1.822,-26.255,17.826,2.319,12.946
49.511,132.448,37.979,4.256,3.877,-19.721,-19.479,21.517,-10.59,0.189,-2.847,10.304
49.122,123.63,38.966,8.14,-15.43,-2.536,13.367,-10.417,-25.113,19.995,-45.466,15.892
48.608,119.607,101.963,-6.13,-5.878,35.729,39.028,5.547,-21.109,-14.776,-2.874,-0.029
50.707,129.403,36.231,-29.523,-20.821,2.814,22.421,-0.135,-7.493,19.402,4.769,5.105
52.083,156.949,36.74,-10.959,-7.957,-27.207,4.605,-11.404,9.19,3.546,-6.292,3.678
49.732,142.523,26.008,-26.541,8.986,-27.885,-1.86,15.756,21.43,-13.221,2.198,0.881
50.827,125.9,35.061,5.737,5.445,-30.677,-18.748,-17.409,-1.494,9.684,-6.416,1.986
49.664,107.379,43.509,21.114,22.325,-3.541,-2.925,-18.993,3.202,0.438,-8.785,12.48
49.221,123.826,54.378,-13.633,14.37,1.144,-8.747,-22.164,3.912,11.723,-10.164,3.003
48.05,87.835,-12.229,38.62,-28.903,-32.208,-9.254,-48.489,-10.81,21.285,-11.058,-1.631
50.51,125.674,21.604,-21.397,-3.236,7.139,1.925,-5.333,5.242,-12.833,18.391,0.336
48.67,88.318,12.603,8.211,-3.233,-25.574,-0.235,-21.906,6.096,-6.651,-16.435,7.909
