0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
37.677,-18.005,-16.422,-24.386,16.075,193.277,43.758,4.001,12.211,22.652,33.318,-19.691
40.358,-17.771,-9.572,-21.68,13.04,43.573,9.814,-1.354,8.211,-22.038,0.332,11.798
39.971,-12.726,-43.063,91.982,10.505,4.331,-11.471,-49.89,-19.425,-29.828,-2.723,16.139
42.377,-10.75,-24.173,34.928,-15.357,35.314,10.097,-25.602,7.114,-17.358,-3.578,-7.145
38.819,-51.986,9.391,0.624,14.619,67.941,4.982,-4.025,-2.973,-40.83,-24.949,19.774
39.343,-19.382,-22.487,66.424,21.062,26.104,-12.927,-29.158,-4.354,-33.793,13.255,7.076
41.783,-10.037,-21.158,17.628,-12.773,51.735,13.148,-12.185,16.715,-18.866,19.906,-18.279
40.362,-20.926,-24.627,23.507,5.651,35.368,-6.698,10.685,18.923,-25.247,-13.641,-7.5
38.424,-38.229,-39.31,51.463,40.976,18.197,5.535,-41.921,21.195,-30.519,-6.29,-17.789
42.693,-28.038,-33.022,13.745,-10.804,71.047,25.033,11.325,3.706,-46.558,-29.032,11.528
38.56,-51.616,-27.169,98.037,-28.854,-67.252,-35.289,-44.083,-1.823,14.774,-25.611,13.552
38.519,-42.535,-47.617,36.858,0.277,14.52,4.552,-25.304,16.545,-27.139,-2.266,-10.033
36.7,-37.019,-58.385,61.172,-22.005,-14.483,-8.472,-52.794,-3.171,4.319,7.522,-0.856
41.519,-34.821,-40.471,42.214,-16.136,28.342,11.888,-5.189,23.189,-21.591,0.529,-11.684
40.406,-49.576,-33.671,52.438,-4.269,-42.388,-2.445,-38.771,-17.19,-24.26,0.728,19.702
38.911,-35.382,-27.123,98.356,-8.154,-26.032,-28.054,-56.149,3.042,21.078,-8.464,-0.364
42.493,-33.282,-74.804,91.416,-15.749,4.978,6.185,-22.878,10.188,-3.527,6.399,-9.525
37.509,-52.437,-26.697,8.938,-21.888,29.003,15.227,-16.666,2.729,-21.995,-6.957,4.409
40.16,-41.065,-12.497,62.064,4.632,-22.259,-6.767,-31.124,-17.978,-10.229,17.773,21.293
38.423,-48.216,-27.465,78.83,-14.832,-38.598,-36.056,-41.077,-13.658,42.332,-32.793,16.535
41.739,-27.476,-58.451,82.782,-15.437,-52.92,-6.09,-36.061,1.734,35.81,-9.455,-6.511
36.253,-72.82,-17.319,30.237,-20.043,-102.189,-24.189,-25.341,-6.732,30.718,-3.265,6.706
38.955,-34.881,-24.158,54.668,-8.653,-38.599,-6.645,-22.078,4.812,26.853,6.807,-5.263
38.967,-13.4,-27.829,49.065,-9.168,-48.104,-8.631,-43.942,-13.348,36.274,-38.998,2.545
43.417,-18.033,-59.958,57.179,-14.093,15.995,8.927,-38.421,2.666,-9.352,3.415,4.211
38.229,-68.498,-30.438,88.015,-5.591,-40.561,-15.158,-18.714,-4.478,4.232,-17.785,16.663
38.731,-31.104,-47.795,49.733,10.099,-20.859,-3.41,-40.578,-0.002,15.821,18.873,-5.308
37.149,-30.209,-43.802,60.169,-15.985,-62.872,-27.506,-38.754,-14.319,42.316,-17.651,-0.544
41.93,-15.826,-57.424,47.942,-28.981,29.56,-2.126,-28.416,18.905,4.597,4.82,-14.716
36.074,-35.146,-40.959,51.117,-24.93,-34.078,-13.874,-39.677,0.523,8.022,4.37,-2.582
40.25,-42.315,-26.676,53.424,11.453,6.433,-4.755,-34.929,-5.141,-3.086,19.942,8.722
38.657,-29.873,-29.697,79.416,1.152,-6.648,-6.664,-36.799,0.079,-4.886,11.37,14.059
43.576,-10.271,-41.918,57.646,-16.093,0.206,12.134,-38.725,12.792,12.693,1.124,-5.891
38.755,-42.415,-29.991,27.689,-20.715,3.104,-10.453,-22.221,15.344,-18.55,5.579,0.209
41.622,-49.235,-21.147,52.48,13.577,0.825,-12.013,-31.655,6.258,-11.082,-11.74,14.535
38.722,-37.557,-28.564,97.371,-8.051,-23.742,-24.524,-43.75,-1.696,15.908,-2.253,8.052
42.167,-23.868,-59.091,79.121,-22.208,-28.911,10.454,-44.17,-0.715,14.019,20.102,-1.081
38.419,-37.662,-15.747,47.457,-16.226,26.706,-2.445,-26.447,10.195,-25.046,-10.264,1.514
40.239,-30.015,-29.585,53.654,8.52,-1.209,-9.7,-22.181,7.93,-15.164,-13.963,-2.932
39.602,-2.17,-24.085,60.133,-13.822,-27.302,-23.571,-34.195,-8.718,6.332,-23.598,12.344
43.483,-25.946,-65.003,70.842,-14.326,29.209,6.95,-49.949,18.288,-11.437,12.528,-0.911
38.689,-44.791,-31.187,88.821,-11.505,-22.914,-23.537,-32.881,14.314,-4.658,-14.279,3.982
38.582,-35.845,-21.923,49.612,-2.67,35.89,-0.919,-39.719,15.981,-14.147,3.764,-6.61
39.998,0.677,-26.215,69.107,-0.894,-13.059,-15.536,-68.448,-8.122,28.319,-14.846,6.896
42.313,-17.638,-60.762,68.224,-14.28,-6.914,3.563,-41.558,11.32,6.519,18.628,-14.481
37.404,-50.671,-15.083,11.997,-16.606,-11.766,-9.564,-31.079,4.932,-5.183,16.074,-15.503
41.54,-37.016,-2.458,35.024,-11.515,16.425,-8.173,-34.317,9.823,-19.272,-13.024,1.758
40.153,-25.842,-32.264,47.331,10.233,10.923,-2.085,-32.935,11.188,-15.213,1.236,3.012
42.933,-19.73,-76.305,72.467,-21.45,12.461,-0.665,-40.827,8.499,5.651,14.647,-12.152
37.325,-39.177,-26.463,18.977,-20.021,19.441,-8.942,-25.343,18.815,-27.627,-7.24,3.922
41.202,-37.411,-1.003,32.462,8.143,-3.097,3.289,-19.412,-13.125,-17.059,8.687,21.478
38.897,-12.411,-37.759,63.379,-3.179,-81.757,-30.718,-46.99,-5.787,24.048,-37.401,5.81
