0,1,2,3,4,5,6,7,8,9,10,11
0.022,170.634,8.883,-29.145,57.027,-50.144,14.999,4.771,-27.306,0.978,-10.677,-6.904
34.43,88.587,-58.354,-77.747,31.43,164.106,8.488,-1.296,-13.622,29.853,92.588,-11.495
39.974,61.323,-78.821,99.119,18.375,-28.742,-33.146,3.035,-9.288,10.105,-38.964,-6.115
38.954,14.655,-72.076,25.013,-9.548,-4.918,-28.025,-22.467,-26.563,12.118,3.161,-1.712
30.057,136.595,-47.624,100.266,-58.23,14.006,-19.879,68.72,-17.316,-85.226,29.801,-28.639
20.641,186.032,60.594,-26.037,-115.051,6.367,-17.792,6.294,-71.675,-3.66,-6.389,-23.255
38.517,36.393,-53.877,24.911,-4.036,43.349,-10.052,-31.375,-6.825,37.688,31.264,-13.709
38.391,24.893,-90.575,73.925,-25.988,4.037,-22.202,4.667,-18.617,7.72,-33.079,-5.602
34.225,97.663,-7.926,-139.881,-19.449,16.057,9.705,-46.344,-12.842,4.468,-11.921,-4.563
39.99,-4.7,5.825,-52.649,-57.809,-27.42,-28.405,-2.4,-23.329,0.931,-3.047,-23.286
37.899,60.185,-30.695,80.632,-51.352,7.123,-31.298,84.029,-26.538,-18.26,-76.093,-13.397
15.144,277.372,126.982,37.606,-109.687,-20.041,15.968,-5.286,-74.613,4.128,-2.761,-29.502
29.931,118.674,131.329,-207.434,-29.995,80.109,27.604,-90.6,-75.61,83.836,-47.731,-3.918
46.224,94.521,79.478,-22.845,35.48,27.402,-70.878,6.307,14.005,-31.425,-3.568,-21.667
45.554,8.543,-97.431,12.659,-18.501,-106.113,-21.983,15.84,2.167,1.633,-1.446,-1.633
46.956,65.166,14.387,137.147,41.829,34.596,-36.081,-62.24,-18.427,-16.925,-10.824,-8.303
44.481,-21.043,-86.513,5.656,-29.777,-104.388,-26.384,4.777,-16.036,8.469,-2.298,-9.974
42.725,-9.289,12.869,1.825,5.622,-17.392,-46.785,-15.113,-27.982,14.431,1.426,-16.935
39.607,-65.305,4.95,-13.91,-2.33,-29.342,-51.261,-6.741,-22.291,-0.461,-3.061,-19.021
38.554,-16.7,-52.27,25.068,48.903,-48.943,-42.95,-73.548,-28.469,18.053,-2.941,-7.409
34.704,-59.286,-23.835,-18.798,33.984,-45.393,-45.024,-37.451,-33.239,25.834,-11.25,-8.821
45.934,92.432,40.06,2.719,64.83,129.357,15.029,40.374,16.409,-69.52,23.668,-2.163
43.649,118.684,40.99,6.586,72.177,-35.043,-52.049,-46.129,-31.528,-14.493,12.427,34.602
42.101,106.514,49.133,29.586,81.942,-27.737,-43.725,-27.825,-26.239,4.027,-0.617,31.762
39.069,146.542,79.325,-2.089,69.598,-15.799,-27.332,4.86,-26.126,-20.479,-1.505,39.47
44.821,14.482,-3.743,3.415,28.299,31.673,-7.303,-53.502,-28.857,48.118,2.21,0.675
47.713,84.332,70.737,7.122,11.811,-34.097,-50.311,-4.895,-9.043,1.516,17.241,-25.187
44.213,-34.238,-82.28,20.457,-35.902,-110.439,-17.486,-2.405,-6.26,8.146,-19.023,3.417
46.347,79.069,12.436,114.48,11.501,62.631,17.28,-26.215,-9.558,-42.788,16.57,-14.594
44.045,5.965,-10.103,-66.57,27.792,7.866,11.223,26.951,-8.091,-8.86,-3.521,22.001
44.704,-9.282,-10.799,7.729,24.839,-33.341,-0.207,-20.757,-24.529,-4.697,-17.769,46.882
40.684,-116.844,1.558,-35.073,24.162,-33.242,-7.929,-12.457,-27.334,-7.17,3.334,33.677
42.147,-87.588,-51.544,16.603,22.836,5.476,8.11,23.876,-0.887,-54.899,-7.248,26.276
38.552,-75.975,-1.061,-41.686,33.855,48.83,-7.293,22.759,-11.846,-47.126,-90.161,38.706
32.865,-178.209,-20.833,-49.978,10.79,-30.04,-59.106,-10.797,1.698,-11.677,-4.524,-4.965
35.009,-96.247,-71.167,-8.17,48.823,-48.845,-49.192,-79.4,-21.753,5.179,14.936,-8.02
32.796,-155.153,-13.119,-57.986,2.672,-31.499,-67.373,16.746,5.691,-12.09,9.014,-10.334
45.118,5.783,-27.545,21.612,-3.121,18.502,-14.557,5.126,-16.043,11.557,57.933,-17.858
45.681,89.785,76.312,-29.27,33.572,25.738,-70.251,7.277,11.687,-32.82,-7.933,-19.583
45.318,10.449,-96.692,5.734,-19.088,-112.351,-21.283,14.047,1.858,-2.52,-8.375,-2.473
46.391,63.574,17.644,127.92,45.061,50.499,-33.823,-58.65,-18.034,-22.106,-7.609,-9.294
44.6,-19.507,-88.993,14.597,-25.958,-94.776,-23.978,4.879,-15.529,15.986,7.278,-7.558
42.435,-7.668,15.051,-1.565,6.921,-11.043,-46.54,-16.448,-30.221,13.577,2.257,-16.919
39.476,-70.1,5.579,-14.059,-2.686,-29.743,-52.034,-6.824,-20.962,-1.359,-4.545,-18.291
