0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
36.924,48.819,68.878,123.256,61.202,5.548,-26.135,-63.04,-47.931,53.456,23.72,37.101
33.383,-12.238,82.013,50.37,61.536,-39.967,-11.748,-41.802,-44.491,-10.068,10.884,48.514
33.848,24.56,103.088,73.756,41.611,-3.281,-12.849,-35.998,-42.246,-15.697,30.296,36.614
31.947,22.517,93.564,88.369,67.141,-37.13,-5.629,-54.519,-33.005,-0.564,-4.334,24.503
27.672,14.31,148.221,26.407,52.687,-15.012,-3.563,8.951,-29.555,-27.269,-2.001,25.186
35.956,78.889,76.405,115.223,60.501,-10.935,-4.751,-60.023,-37.429,27.561,32.321,48.607
31.175,39.487,151.437,72.728,69.096,-4.436,19.157,-10.485,-36.628,-7.358,19.103,36.95
31.871,52.313,102.734,87.327,57.748,-36.58,-26.296,-50.265,-39.318,-2.871,-4.304,30.089
29.452,29.173,98.857,75.009,52.44,-29.285,-20.21,-42.925,-42.627,-1.402,17.194,23.536
38.811,63.996,65.9,99.266,66.283,54.711,-9.725,-64.328,-31.986,1.458,26.038,33.457
33.226,12.853,127.699,39.622,60.744,-26.688,7.447,-12.209,-45.033,-3.803,9.808,59.067
35.12,18.269,81.722,66.617,53.755,-21.022,-16.231,-31.801,-35.829,-25.347,17.201,51.107
38.891,77.097,69.735,117.481,66.353,20.217,-16.052,-55.006,-36.941,6.22,-7.024,35.331
33.433,15.754,96.305,36.788,56.458,4.895,-17.58,-32.622,-26.91,-12.27,8.157,33.889
35.697,18.938,75.139,68.061,36.347,-3.131,-44.946,-22.911,-37.452,-9.391,9.142,20.354
31.242,19.693,65.084,85.146,17.595,-26.313,-58.009,-49.282,-47.524,-10.882,5.324,9.023
28.814,-4.933,85.054,18.99,35.73,-18.073,-38.803,-12.192,-35.962,-16.388,24.679,25.394
38.91,54.336,54.221,123.218,40.349,-32.617,-41.688,-47.472,-40.337,15.643,32.607,40.981
