0,1,2,3,4,5,6,7,8,9,10,11
2.533,146.101,30.343,-93.634,51.473,-64.198,22.509,-47.586,-27.737,2.33,31.862,-4.557
41.338,-26.319,-121.137,84.047,-33.987,-25.211,-21.163,-26.085,1.868,26.881,22.655,-3.628
41.792,-45.916,-55.848,20.206,-1.875,20.982,32.557,-82.225,-0.162,-0.587,-22.158,1.103
45.512,-11.443,-80.812,17.094,-13.215,-21.185,12.002,-13.681,7.448,1.186,45.888,-4.53
44.997,-25.494,-22.248,28.663,6.385,-34.886,37.091,-30.152,11.186,31.845,-15.091,-17.044
42.924,-70.963,-33.442,41.413,23.396,-10.82,50.488,-50.34,25.825,-24.748,-7.586,-10.167
44.589,-46.68,-43.552,51.115,-3.888,4.738,42.541,-35.414,22.706,-3.548,32.215,-18.109
42.77,-64.105,-34.622,71.945,21.611,-11.719,57.455,-64.715,35.894,1.451,18.583,-18.482
44.653,-32.339,-43.113,10.327,5.036,22.412,50.24,-2.758,27.149,-34.665,2.627,-17.474
43.049,-56.23,-30.066,27.339,11.809,16.718,60.738,-27.804,26.934,-40.534,-22.659,-3.679
40.723,-86.292,-12.364,-23.469,22.395,-11.806,36.659,-5.411,23.404,-27.688,-24.626,-20.371
42.698,-59.175,-60.949,51.22,-10.621,24.728,36.192,-20.589,18.462,-38.389,15.162,-13.983
42.698,-33.21,-7.394,-6.102,12.636,25.312,49.303,-15.513,22.587,-31.928,23.219,-11.718
43.336,-41.244,-7.01,-50.84,-1.969,-22.572,10.807,38.73,15.273,-0.819,-31.644,9.161
42.954,-32.466,-31.229,8.185,1.505,-46.645,31.641,-33.621,-5.558,38.006,-13.444,-3.943
43.7,-44.712,-28.386,43.543,3.028,-46.381,44.765,-55.486,-1.46,17.512,-5.348,-2.145
46.038,-35.822,-67.5,3.613,-16.921,-96.471,7.777,-30.005,-0.331,18.585,-16.486,16.056
45.095,-22.787,-66.83,37.407,-11.659,-59.204,28.628,-39.494,9.693,9.684,-7.848,2.307
42.641,-79.345,-74.407,46.336,5.017,-79.369,34.175,-70.507,-1.047,36.725,-10.836,-5.244
43.969,-29.299,-57.089,-1.51,-7.653,-50.887,29.627,-27.417,15.474,14.169,16.185,-7.686
46.022,6.432,-49.087,24.744,-17.481,-91.863,20.401,-17.527,7.98,20.02,-24.984,0.454
41.74,-57.793,-36.316,4.484,4.959,-75.156,41.115,-36.527,-7.864,46.518,-16.428,-9.395
41.72,-42.636,-64.672,32.638,20.001,-78.448,27.442,-47.304,0.199,34.279,-25.723,3.813
43.589,-28.709,-83.704,7.986,22.877,-58.075,3.186,-38.793,3.275,27.334,-8.155,2.263
44.419,-17.037,-83.388,68.221,-12.28,-64.992,17.511,-28.369,-1.604,4.961,-14.929,-0.81
43.203,-25.077,-32.06,27.347,-22.928,-85.445,0.927,-28.888,-2.268,50.155,-17.863,16.153
45.261,13.433,-92.835,14.139,-24.825,-89.156,-11.022,-16.46,1.109,-0.631,-17.906,7.562
43.736,-25.062,-6.808,-22.157,-0.623,-55.266,36.283,-23.212,17.271,50.954,-8.933,-14.86
43.126,-45.181,-24.755,17.305,14.265,-86.467,17.148,-29.858,16.924,38.903,-18.799,-12.591
43.968,-62.221,-46.983,49.083,-14.345,-3.781,43.183,-32.24,16.009,8.372,49.033,-17.763
43.1,-51.905,-18.746,80.196,27.827,-71.091,33.431,-69.379,-4.291,40.842,-11.602,-13.191
43.914,-44.521,-48.798,10.224,18.517,55.214,56.457,-3.212,38.072,-34.097,14.019,-12.346
41.804,-69.403,-51.029,52.55,15.963,-83.409,42.399,-80.406,6.773,44.199,-18.204,2.309
40.132,-105.202,-66.529,21.996,10.614,-31.867,48.417,-44.815,28.441,-9.561,-9.88,-6.453
42.731,-64.778,-63.449,57.156,-15.205,-91.609,18.707,-37.272,4.404,17.675,-26.876,-0.456
41.429,-59.525,-3.38,-30.509,13.218,35.923,55.487,4.966,47.332,-57.343,-12.758,-13.295
45.164,-2.581,-68.658,-15.021,-6.223,22.615,18.541,15.305,23.116,-25.734,-0.191,-1.005
43.055,-24.871,-32.418,-32.409,4.405,-30.514,36.541,-29.755,25.623,22.748,-4.786,-16.187
43.84,-41.446,-20.335,1.791,9.206,-8.535,36.656,-11.447,36.772,-20.104,-28.02,-19.259
45.93,-47.912,-70.734,27.976,-11.435,-65.055,8.249,-30.058,14.7,29.759,-1.376,7.532
46.11,-6.257,-45.384,23.754,-27.136,-78.118,18.182,-25.939,2.461,9.192,-10.207,2.971
44.858,-42.798,-54.27,37.394,-24.014,-88.365,15.718,-42.895,-13.192,49.227,-16.964,1.755
45.122,-14.729,-14.01,-73.564,-4.297,2.534,31.548,42.908,38.767,-45.227,3.949,-31.528
47.209,8.431,-42.166,30.555,-25.33,-30.852,25.938,2.712,-6.373,2.944,-7.199,-6.39
42.644,-56.337,-29.307,4.553,-7.096,-73.041,43.887,-43.849,-24.905,30.83,-14.672,-5.146
43.048,-47.115,-57.583,13.087,-13.346,-57.042,18.174,-30.421,-21.235,27.559,1.688,6.89
45.724,6.265,-39.424,-3.542,-5.153,34.504,28.27,-6.641,17.521,-38.641,-18.452,-22.082
46.076,26.64,-47.185,-33.856,-1.474,11.095,35.967,3.234,-4.895,-8.315,-23.672,-0.03
49.758,49.519,-28.457,-74.185,-4.253,1.057,-41.096,31.442,-23.936,-6.527,22.415,-11.662
50.073,79.795,-53.592,40.891,-11.364,3.779,-24.551,-39.699,-14.157,-4.93,-61.383,5.545
49.668,24.689,-13.129,-3.529,17.202,-40.543,-13.279,-29.949,-9.456,44.746,-23.711,1.27
51.113,116.235,-32.652,-61.344,20.03,0.868,-2.8,-57.37,-17.875,16.763,-37.655,-11.903
49.469,29.032,-32.525,49.061,10.489,60.155,-18.388,-8.605,-12.294,-1.337,-64.023,-18.575
46.098,-23.183,-76.569,60.543,-34.74,1.715,-17.201,-7.001,-12.836,7.074,-20.087,-18.764
49.25,17.532,-22.931,-3.491,12.801,14.178,-28.965,-11.029,-15.188,11.642,-56.544,13.506
42.385,-35.295,-2.062,-178.045,22.673,1.835,14.133,32.469,9.98,2.447,-15.953,8.561
46.159,-39.719,-65.912,52.65,46.16,-11.081,-13.41,-15.683,11.303,-8.39,-65.411,14.836
46.068,-16.864,19.739,-174.749,25.458,42.706,11.799,44.109,15.635,-26.766,-6.529,-29.577
50.933,50.688,-26.425,-68.161,20.028,36.617,-13.343,35.991,-10.402,-38.066,-21.121,-8.213
51.567,63.88,-17.731,-35.159,-30.746,11.005,4.626,-40.048,-11.319,23.157,37.849,-29.381
54.072,71.072,5.49,-20.436,-14.716,-38.355,-2.383,32.727,-1.207,5.485,-38.178,-33.536
52.742,41.949,-2.981,-27.484,-1.95,-8.458,-0.476,15.156,-13.534,19.484,-40.83,-12.389
50.857,71.718,-6.148,-47.451,-8.981,21.909,9.581,-50.7,-20.029,6.119,-8.017,-12.009
51.147,21.542,-28.886,-2.599,58.153,-41.523,3.082,-1.557,27.914,2.565,-14.128,23.959
50.712,34.176,-19.047,47.862,20.639,8.979,-23.634,-5.689,-10.621,-6.221,-61.445,-10.551
52.17,64.203,-35.531,-17.847,0.313,-28.823,-14.842,15.352,-29.117,33.413,-15.685,4.781
47.138,-8.92,-41.601,-51.421,31.138,-41.896,-2.184,-28.177,-23.302,57.699,-11.201,7.511
50.124,17.964,-37.992,-30.949,-3.936,13.24,-36.374,-3.98,2.657,6.478,-21.632,-20.414
46.484,191.958,-112.177,-68.196,12.766,18.711,-27.762,8.972,8.029,25.887,-3.939,1.772
51.05,69.394,-54.726,27.521,-2.642,5.038,-43.726,-41.277,-36.687,44.156,-29.997,12.425
53.266,75.571,0.213,-32.111,-10.196,-13.417,-57.901,-0.157,-23.336,12.94,11.942,-35.769
52.684,26.916,-7.569,7.404,-17.073,-27.938,-27.67,-15.139,-19.919,-16.699,-43.574,-47.238
46.087,236.738,-118.882,-70.202,46.05,-36.816,-25.241,-27.404,-11.499,-16.094,-3.911,-32.18
52.564,89.757,3.504,1.715,24.006,6.962,-27.437,2.242,-16.82,29.83,-35.211,-25.212
51.055,65.938,-4.715,-39.437,-3.024,0.255,7.367,-28.461,-10.557,30.405,-12.871,-6.929
50.233,-0.168,-35.478,3.714,48.12,-24.051,5.902,-2.428,24.768,3.817,-36.708,29.779
51.104,-13.218,26.131,-53.227,-12.35,11.697,27.047,28.206,6.581,-17.485,-8.814,-28.733
