0,1,2,3,4,5,6,7,8,9,10,11
25.363,91.953,142.68,-322.685,77.202,191.604,84.584,-48.358,-42.514,53.504,-80.117,8.866
42.85,10.929,102.397,11.994,-8.509,-15.811,18.641,3.561,-18.867,-21.37,5.336,-15.852
43.754,17.125,75.253,32.189,8.521,-27.812,18.956,-9.391,-16.911,-4.811,-13.763,-19.481
41.946,-4.791,101.973,-5.757,5.876,-30.842,24.274,5.821,-9.139,-13.275,-8.703,-21.96
42.384,-8.191,65.139,36.282,51.082,-26.737,38.8,-31.041,-11.77,-18.182,-10.371,-8.288
44.027,37.758,66.507,-47.093,85.261,-28.554,10.084,45.062,-8.443,-4.759,-20.92,-16.493
49.612,86.026,70.62,17.239,71.539,23.545,-10.734,-65.524,-18.359,7.979,7.173,-18.884
51.182,107.478,6.607,-6.57,32.716,-30.138,-74.397,-14.002,10.641,-3.468,-1.905,-17.062
50.575,68.674,43.263,-2.354,44.442,-0.343,-41.012,-0.011,2.587,7.885,-34.326,1.355
47.002,8.795,6.294,13.171,18.424,29.418,-17.852,-37.057,-28.706,-15.383,-0.463,-20.57
50.792,50.248,55.545,9.222,41.132,25.032,2.337,-8.685,-19.093,9.522,-24.859,-9.1
46.546,112.654,37.479,-28.664,20.976,-4.508,-10.531,21.18,7.992,-5.03,-2.349,-1.807
49.838,50.12,53.941,43.008,43.491,7.022,-55.607,-13.992,-11.902,-22.93,-41.153,-19.498
44.774,142.355,-3.512,-58.274,105.276,-14.632,-4.977,-0.38,-17.389,-30.553,15.825,7.431
52.067,98.53,74.452,-8.708,61.03,9.282,-52.083,39.026,-4.428,0.153,2.115,-16.079
46.298,91.907,29.358,34.542,9.648,-17.97,-14.24,-56.534,-16.522,-11.732,-39.779,15.009
40.486,-45.261,43.873,16.235,17.885,-27.227,25.085,-2.646,-19.968,-36.548,-12.221,14.939
40.052,-42.882,10.075,27.385,19.172,-68.795,-1.794,-30.622,-39.879,36.208,3.189,11.672
38.67,-38.853,47.106,-8.957,62.434,-4.578,1.923,8.533,-4.443,-47.944,-18.932,5.177
39.038,-36.251,3.72,46.69,68.718,-30.724,23.159,-42.431,-29.549,3.7,5.957,-8.012
44.234,11.562,62.357,-98.713,87.903,37.398,24.681,-2.322,0.231,-37.025,-1.026,10.616
51.696,56.857,57.013,-34.123,81.594,-3.815,-23.226,34.033,9.449,-17.94,13.365,5.665
48.704,113.012,9.376,11.277,3.774,2.9,-52.398,-29.562,-10.112,-17.371,-45.149,10.418
46.792,115.9,50.517,-58.875,28.049,20.276,-30.673,0.824,-14.936,6.899,-21.65,-15.422
43.656,95.031,16.388,-22.519,10.427,-32.876,-28.554,-8.312,-0.104,-11.061,0.65,-13.611
47.921,30.949,34.001,31.077,32.29,2.991,-43.283,-31.479,-24.92,-24.374,-39.757,10.183
45.764,64.055,65.344,-86.244,60.779,54.325,31.624,-28.348,-1.614,-26.111,-2.109,1.133
47.16,21.674,86.835,-60.234,46.706,32.907,31.034,8.979,-16.602,-13.038,10.495,23.406
47.016,28.162,58.344,84.879,37.881,-21.356,0.959,4.232,-21.779,-17.309,-61.146,23.682
46.484,49.071,105.405,-78.01,47.38,48.305,-7.136,7.081,-28.264,-4.36,10.567,-14.735
51.791,139.383,105.03,-2.992,33.137,-15.714,-25.243,-11.208,-4.555,-3.729,-11.111,-22.976
