0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
26.986,-9.639,-36.706,109.345,19.202,7.644,-19.637,-29.95,-18.214,28.512,-25.129,14.928
23.874,-7.288,-62.299,111.243,28.41,-30.318,-23.199,-6.742,13.004,-10.149,-50.06,18.038
23.357,-22.161,-64.018,92.277,26.248,-10.078,-23.646,-7.864,-3.984,23.555,-33.18,19.024
26.395,1.185,-13.487,57.336,-0.574,26.582,-9.452,-24.402,-5.031,7.936,-51.703,17.3
16.166,13.762,-64.649,89.563,11.659,-8.004,-37.718,86.606,4.486,-21.614,-60.848,10.153
0.189,169.701,12.595,-33.456,57.572,-52.45,15.275,1.012,-26.242,0.558,-5.621,-8.14
25.989,7.703,-42.219,75.935,25.197,37.581,-25.102,-4.325,4.388,-9.795,-65.337,18.292
23.261,-9.521,-85.264,124.347,28.136,-6.188,-21.315,-10.113,7.196,17.396,-18.558,10.753
23.386,-3.888,-64.495,120.056,27.292,-21.812,-25.813,-11.751,-10.836,35.369,-45.885,18.109
18.383,31.248,-78.938,162.478,20.17,-6.1,-32.412,72.246,0.759,3.601,-22.304,3.846
3.896,144.054,79.298,-104.659,55.916,-37.004,25.032,-53.673,-28.899,12.354,15.376,-10.851
25.018,-37.781,-43.914,101.751,8.528,-60.584,-38.662,-19.299,-24.023,21.14,-33.784,10.232
24.659,-19.933,-53.03,36.961,27.356,71.005,-4.743,-18.619,9.979,-12.99,-38.971,13.618
21.019,-23.141,-24.775,-54.523,33.846,71.144,-3.315,11.866,13.746,-26.426,-75.148,6.654
24.79,1.129,-27.73,50.88,25.919,35.592,-6.503,-25.207,6.471,-3.25,-39.511,16.17
14.436,44.347,-55.907,165.415,25.499,-59.464,-34.55,103.142,12.166,-30.744,2.894,-1.532
25.282,-8.808,-25.189,92.235,29.858,50.272,1.977,-20.318,-7.744,29.547,-0.225,6.639
25.177,-7.9,-61.597,96.863,18.004,23.995,-20.755,-16.054,5.284,2.751,-42.355,6.292
22.648,-31.117,-50.058,22.764,35.799,99.617,3.7,-5.437,6.694,-4.496,-40.884,3.722
19.452,20.068,-72.82,97.791,25.123,82.094,-27.995,62.654,7.796,-14.592,-42.816,1.491
0.42,166.424,17.174,-39.083,60.101,-54.088,15.063,-6.496,-23.696,0.884,-0.945,-12.706
31.002,1.938,43.402,-0.652,31.224,36.747,-2.221,-23.529,-2.745,28.74,21.493,-1.221
32.093,17.668,25.651,16.582,12.233,-39.517,-6.415,-49.629,6.402,10.911,-4.43,8.35
31.696,12.307,44.717,7.326,21.737,-8.68,-7.779,-32.358,7.985,-15.595,-12.995,-3.521
20.86,35.848,-74.497,216.792,28.349,-24.038,-50.365,106.202,20.344,-54.685,-53.718,1.824
46.743,22.128,-65.967,9.806,9.007,-25.064,7.205,-37.185,-26.48,54.041,-18.272,9.509
45.179,8.823,-32.153,-106.609,45.754,19.921,42.636,-6.722,5.075,24.473,3.374,2.926
