0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
31.841,-18.738,-31.141,12.409,62.296,139.884,1.34,-12.785,6.198,69.698,76.585,6.01
28.345,-98.121,0.539,18.807,46.53,-42.187,-13.933,-16.351,15.062,3.222,-10.839,23.824
28.55,-106.056,-12.433,6.855,11.272,-17.934,-38.672,-20.002,-20.712,2.931,4.011,-17.941
33.759,-108.213,-102.492,37.45,18.729,6.306,-21.931,-15.439,-10.174,22.617,24.198,-2.332
32.335,-37.922,-61.905,-21.059,41.983,5.539,3.182,-13.86,30.836,0.274,10.977,7.787
29.641,-86.54,-68.387,-12.233,28.877,-61.922,-21.615,-17.22,1.088,12.444,-4.89,9.819
31.758,-79.31,-23.122,-129.609,40.779,-4.503,-1.288,-4.916,11.139,-21.06,-8.406,18.485
34.495,-113.505,-37.218,-13.418,14.775,-55.579,-6.224,3.711,-17.261,-10.58,9.326,36.445
31.106,-168.512,-45.707,-6.744,3.654,-43.533,-28.312,26.909,-10.528,-0.683,3.878,17.132
38.836,10.694,-14.709,19.57,59.927,-13.586,-1.616,-25.939,-6.449,1.848,-3.289,-8.617
32.799,-62.627,5.507,-12.539,26.226,-36.625,-0.986,-4.993,5.641,1.69,-5.954,-1.954
34.181,-68.912,-46.164,16.887,26.863,-27.73,-5.686,-38.307,-20.985,31.301,-2.647,11.597
32.03,-110.238,-40.34,-22.513,9.292,-35.816,-15.767,-19.663,-16.933,5.902,0.981,10.704
32.595,-85.77,10.137,-47.842,-21.169,-27.211,-24.374,-5.272,-12.682,-8.732,4.385,7.025
36.974,-79.044,36.482,2.393,53.706,-25.02,12.221,-11.389,2.95,5.187,21.976,-25.557
37.641,-90.157,32.287,-29.877,2.811,-30.147,-20.044,8.239,7.2,-14.383,7.257,-14.328
39.001,-48.125,60.595,-25.879,3.508,-23.198,-10.244,1.302,-8.774,-1.233,5.115,-4.365
41.529,-52.914,43.511,7.125,-9.685,-27.44,-2.076,-3.567,-17.428,-1.867,0.297,7.93
38.458,-117.763,43.008,3.918,-4.727,-48.459,0.415,30.523,-21.709,-21.821,8.373,16.328
36.363,-57.822,68.727,27.159,32.692,-38.113,38.671,-17.506,-21.914,0.882,-14.971,11.798
37.053,-95.777,-1.608,-16.869,6.907,-24.333,17.707,1.752,-18.708,3.924,-2.814,21.343
38.146,-123.389,-60.94,10.609,7.369,-48.687,-3.654,-26.535,-25.97,5.953,7.18,24.996
33.96,-125.055,-39.087,-5.57,-1.193,-61.168,11.762,-7.488,-13.096,3.265,1.261,15.618
32.425,-142.953,-30.117,-13.031,-11.975,-40.078,2.183,-10.95,-3.025,-16.036,-9.077,15.113
34.331,-109.052,16.822,-89.221,6.194,-31.462,7.801,11.728,6.807,4.536,-12.106,4.84
34.165,-104.521,-14.371,3.867,11.527,-40.631,-2.653,2.326,10.604,-0.922,-7.365,-0.769
37.413,-75.454,-68.968,3.545,31.213,-9.956,-11.254,-9.667,-15.317,10.313,-4.68,24.674
33.41,-48.835,-22.268,-16.636,23.121,-44.702,-4.44,-14.0,-9.858,3.998,-10.621,13.104
36.528,-28.141,-8.206,-23.477,27.087,3.517,21.193,-9.322,-18.044,-15.625,16.366,17.68
35.978,-83.825,-60.902,24.947,3.583,-34.713,-9.264,-42.319,-22.5,18.721,-11.798,8.79
39.198,-53.019,-36.392,22.509,50.962,-44.058,-2.865,-18.37,23.846,5.808,-18.83,5.988
37.795,-96.081,-47.085,-11.003,23.717,-34.014,-18.431,-12.328,-25.656,25.4,7.731,-0.022
34.587,-136.718,-46.428,4.458,24.526,-50.516,-2.822,-22.067,-23.341,-6.436,-3.668,16.614
36.361,-36.92,30.805,-54.143,14.257,31.78,21.187,33.59,-37.108,-22.615,-21.511,1.723
43.815,26.542,-9.44,-98.861,33.115,54.656,-32.585,71.713,-3.033,10.994,-13.759,-1.357
45.925,15.598,-17.352,-37.963,36.662,30.569,-12.216,19.383,-30.221,63.742,-15.535,8.292
46.605,-53.503,5.432,-44.464,18.732,13.375,-23.564,40.765,-3.625,-26.916,5.185,13.605
38.436,-61.202,-82.684,101.623,33.541,-16.877,-51.378,-29.072,9.088,12.515,-26.509,6.019
42.055,-19.476,-18.81,40.587,43.401,42.45,-8.514,-20.02,-15.182,12.415,-15.536,13.598
32.846,-112.105,18.474,-70.805,85.132,4.057,15.817,21.866,-4.397,-36.193,-9.038,-7.435
35.333,-100.681,-41.503,-13.016,75.627,-59.239,-17.996,-25.056,-9.541,25.674,-2.101,-0.038
35.711,-92.657,8.189,-87.784,76.627,-30.586,-24.875,35.666,9.094,-1.682,4.004,-5.92
43.396,-13.365,-5.533,-67.893,-17.056,35.825,-15.906,-27.285,-21.152,-1.149,-7.206,-15.117
42.781,18.519,-108.663,-5.336,13.321,-20.59,-21.049,-84.156,4.645,-39.758,-11.846,-0.058
46.735,-57.716,2.988,-49.872,19.867,21.549,-16.677,16.063,-8.237,-30.694,-9.049,2.48
47.208,-73.324,28.658,-19.911,20.408,-6.31,-3.788,23.678,12.713,-0.251,-22.555,-11.937
43.071,49.965,-80.144,-23.286,39.868,-37.69,-39.069,-66.61,-2.604,37.496,1.006,11.147
41.346,-20.095,12.21,-1.226,86.701,-48.944,-42.48,-26.864,0.487,10.197,-9.737,-24.061
43.119,92.784,-12.132,-9.544,105.186,-1.824,-47.275,-21.868,15.794,-29.122,-17.053,-12.426
40.24,-80.308,-15.228,-46.326,63.766,-36.981,9.089,6.337,-71.049,-1.609,-9.299,-5.929
44.175,-48.521,3.143,-57.978,32.633,-13.938,9.453,-5.459,-57.79,-23.15,-25.978,-15.836
44.601,-54.027,-29.562,-52.221,-8.676,-23.212,-16.607,23.541,-7.007,-3.725,0.638,4.71
45.171,-16.067,-49.246,-54.133,7.371,-25.458,-56.186,1.064,34.068,7.872,-16.155,-12.809
46.77,11.045,-30.868,-31.622,-1.252,26.528,-54.594,-37.138,-4.998,7.173,-13.95,-23.176
41.211,-94.899,-35.327,-46.43,16.676,-39.778,-17.159,-14.602,-1.004,8.21,1.861,7.436
44.114,-76.65,-29.472,14.742,13.948,30.131,-17.457,16.966,-12.932,-27.815,-44.027,-7.205
33.785,-69.647,-28.467,-34.802,25.18,-39.393,-24.973,34.353,4.464,-36.292,-0.343,-0.296
34.951,-59.9,-7.342,-33.473,57.233,-17.574,1.061,-8.737,-4.735,7.846,5.928,11.924
40.045,68.717,-10.073,-41.623,79.132,10.917,-22.98,-22.908,44.395,-41.491,-10.302,16.401
43.429,104.783,-56.329,-43.769,16.043,23.771,-31.683,-18.24,7.936,-51.296,-20.757,-21.298
45.851,-24.313,3.933,-63.812,-2.042,16.582,-17.539,-21.204,-19.395,2.67,-19.266,-24.225
42.461,-76.749,-20.146,-79.4,10.062,-19.681,-4.073,-4.972,-11.063,-6.424,6.199,-13.178
45.08,-81.654,19.493,-21.986,34.489,-33.551,8.02,15.106,-22.25,6.098,-17.82,-12.38
43.715,130.268,-65.64,-38.29,32.756,-36.253,-37.068,-73.947,4.991,27.501,-5.315,15.872
48.972,-14.453,34.665,-36.407,22.058,0.928,10.16,11.972,-7.555,20.463,-2.251,-21.226
47.311,-4.929,-12.221,22.214,35.354,-17.965,-32.042,3.518,24.463,4.499,-46.845,-2.563
42.966,-57.634,7.03,-78.047,33.076,37.736,-2.977,5.371,-30.385,15.777,-6.974,-0.512
42.676,-1.173,-59.85,20.573,-36.02,-29.009,-52.167,23.155,-17.157,-8.203,-26.505,-13.781
38.293,-4.701,-49.771,-82.139,2.094,-8.598,-4.406,-13.233,-21.582,32.414,-12.34,19.388
39.294,-88.66,-59.528,19.693,26.043,-31.558,4.62,-20.675,-10.037,8.803,-23.69,-1.495
32.93,-140.06,-51.13,-24.999,19.051,-51.373,-21.874,-7.731,13.373,-1.551,-3.515,-1.906
34.667,-78.936,-59.903,10.546,21.373,9.994,1.557,-22.965,-0.782,-13.584,-1.958,0.262
35.967,-38.82,11.549,6.413,52.535,13.865,-10.964,9.043,-27.114,-4.102,32.238,-0.099
32.974,-103.343,-30.669,-15.571,19.257,-33.132,-20.648,0.626,-20.476,-10.089,-0.946,18.0
36.107,-65.161,-46.017,-8.325,9.742,-32.909,11.802,-26.269,-20.865,18.317,-5.387,13.702
32.505,-106.748,-51.15,19.369,6.468,-19.498,-17.666,-8.751,-8.556,-17.921,-31.758,8.958
32.563,-77.145,-10.435,-16.717,76.242,36.307,-1.685,-24.63,3.456,-29.679,2.327,-9.415
31.598,-118.002,-43.284,-20.452,33.329,-47.777,-19.326,-24.452,-9.657,14.637,12.805,7.199
35.224,-70.674,-42.07,4.285,44.269,-37.206,-2.675,-19.126,-14.181,19.895,-8.676,18.026
37.126,-92.645,-42.303,-86.944,45.255,35.506,27.911,7.929,-15.457,-11.011,-0.6,-12.088
48.175,206.707,-8.094,-63.891,64.612,13.778,-56.218,-8.625,49.085,-27.536,27.853,-21.915
50.791,126.377,-10.448,-28.265,-2.392,-20.485,-54.303,-79.676,-11.353,55.494,-14.823,-13.341
50.388,84.498,-14.222,17.657,-45.018,4.928,-77.823,-19.936,0.282,-28.509,-46.343,-36.387
50.08,72.564,-57.644,-45.228,-4.573,10.466,-45.027,19.633,-4.279,16.011,-31.383,-14.108
48.883,-27.016,2.22,-8.151,13.494,33.948,-7.891,6.026,-15.77,9.474,-13.355,-26.24
45.258,-27.464,-16.312,-46.423,7.907,23.084,3.525,-34.096,6.889,-18.281,-0.607,-5.415
45.976,-24.65,-31.963,-19.43,-17.092,-25.183,-27.828,1.864,9.571,-5.31,-8.147,-4.835
47.347,-24.311,-21.823,12.978,-5.203,4.395,-34.048,-33.541,-22.097,3.057,-34.313,-1.318
46.069,-45.486,-12.781,-2.362,-31.335,-10.914,-16.76,11.38,-15.787,-25.34,-0.65,-13.542
43.505,-59.187,-46.216,-45.987,1.353,-2.108,-6.198,-13.265,6.465,-17.171,-21.03,22.791
42.384,31.841,-65.709,-43.145,-26.905,-11.382,-45.757,-21.472,1.975,1.378,33.912,-19.498
46.283,-29.608,-8.777,-49.374,-25.137,-6.975,-14.486,-37.871,-29.863,8.195,-6.784,-26.213
48.445,-41.758,12.689,23.77,30.57,-14.927,4.782,7.698,-10.028,-13.405,-38.998,-9.445
39.001,-34.986,-21.844,-75.279,59.586,-47.894,-31.788,24.819,27.704,-8.123,-13.234,-9.635
36.118,-92.806,-38.788,-20.313,38.824,-31.253,-18.914,-11.297,5.85,4.922,-14.519,-3.06
39.478,-32.281,25.606,-87.53,38.738,26.164,-3.402,23.502,23.068,-11.051,-0.463,-1.157
42.997,-25.976,1.799,-18.171,6.8,-1.011,-16.336,-4.903,-10.809,-17.44,-45.65,20.436
42.544,62.707,-25.584,-21.552,-25.583,-38.737,-38.172,-32.002,-17.27,7.015,-6.543,2.107
48.294,-11.886,36.533,-45.433,6.965,23.045,17.696,0.318,-24.355,18.444,-1.152,-23.485
