0,1,2,3,4,5,6,7,8,9,10,11
0.061,169.768,7.715,-29.927,56.244,-50.207,15.175,4.316,-27.407,1.005,-10.476,-6.524
48.447,55.531,-41.909,21.454,11.707,-31.503,-20.663,12.712,-17.349,30.081,18.389,17.868
41.605,34.935,-72.721,56.006,-52.492,-110.738,-10.361,-2.566,-30.723,38.8,1.084,11.509
41.328,31.024,-86.824,50.428,-41.57,-116.296,-16.546,-0.1,-27.323,39.183,-3.686,20.28
41.422,33.591,-45.408,15.905,-1.308,-86.751,7.485,-20.821,-24.019,37.433,-9.74,12.421
41.285,34.19,-46.878,5.846,-11.833,-69.569,11.245,-24.202,-13.805,37.057,-1.049,22.4
49.064,52.022,-37.296,3.57,8.459,-38.875,-15.049,9.417,-7.407,15.605,39.086,-1.757
49.814,82.423,-36.149,5.756,-6.609,-84.679,-38.736,33.169,-13.772,1.061,-11.863,16.921
46.613,88.187,-26.152,66.115,31.059,38.921,-11.144,-1.02,-29.793,18.625,-41.736,9.38
53.704,90.929,11.429,-15.04,-24.116,-66.529,14.573,4.05,-11.921,18.647,-13.858,2.698
52.611,85.793,46.734,-19.267,-13.678,-30.821,6.351,5.93,5.012,9.635,-11.868,-18.664
53.978,64.716,19.978,3.901,-9.771,-49.739,-6.818,-0.294,-17.017,10.194,2.227,6.231
52.903,84.972,12.282,-11.891,-25.05,-56.832,21.213,6.161,-8.345,12.969,6.653,21.053
52.486,78.711,19.696,-3.436,-24.653,-57.84,20.323,-2.673,-9.015,23.093,2.088,-0.01
52.325,82.262,32.269,-13.762,-9.515,-34.631,30.469,6.737,-8.358,5.821,-12.545,-2.14
54.298,79.968,33.341,-2.917,7.066,-66.021,1.914,4.363,10.86,0.721,-13.183,-7.783
53.245,72.125,29.417,-17.122,-9.835,-70.395,10.204,10.267,5.729,21.345,-1.782,-18.794
53.603,87.861,33.897,-11.4,-15.219,-61.383,14.085,5.321,-12.314,10.655,-12.628,-0.216
54.498,71.055,28.417,14.987,-0.364,-58.601,-1.222,9.225,-10.888,7.773,2.34,-1.65
52.925,87.965,27.297,-14.84,-34.755,-69.707,16.419,15.144,-21.712,-2.355,-11.576,13.248
52.649,99.071,32.518,-6.586,-31.935,-29.198,14.808,1.841,-25.776,4.392,-18.395,4.284
53.217,84.296,32.3,-16.212,-1.882,-34.322,8.433,-3.922,-15.467,4.274,-5.39,3.819
53.381,95.381,18.268,-20.444,-23.375,-69.267,16.257,5.471,-16.432,11.369,-13.135,3.415
53.396,91.152,28.203,-10.579,-3.91,-43.105,14.75,0.248,-16.013,11.216,-15.266,7.274
52.583,93.791,24.042,-6.631,-20.986,-65.26,10.256,-0.52,-16.457,15.247,-3.323,9.724
53.554,72.027,39.455,-14.926,7.424,-13.563,14.347,12.627,7.777,1.684,-18.638,-1.645
52.575,80.431,17.907,-8.767,-5.26,-28.6,23.981,6.511,17.489,0.419,-17.657,-16.17
52.128,80.481,23.498,-22.497,-7.731,-32.157,21.958,-2.006,11.19,6.215,-24.412,-0.957
53.004,81.725,41.897,-32.806,-1.036,-36.964,15.964,20.914,6.122,10.088,-5.67,11.405
53.344,86.391,10.398,4.724,-5.579,-41.158,14.247,-4.406,8.339,8.53,8.315,-6.959
52.534,86.453,24.859,5.539,-8.133,-31.976,21.358,-6.276,5.948,0.963,-5.87,-1.517
53.835,79.421,17.578,0.752,4.953,-27.783,5.214,15.514,-0.566,1.4,5.148,-1.703
52.973,84.098,27.131,-18.782,-1.663,-37.022,17.676,7.72,9.171,7.824,-7.43,-3.946
52.844,82.954,26.073,-15.576,-11.906,-65.246,19.198,1.412,-6.718,18.237,-11.808,11.413
54.431,72.852,33.745,-9.197,6.991,-66.838,-4.078,9.093,-0.579,-1.73,-10.901,6.261
53.791,94.161,6.701,0.933,-14.486,-36.595,17.007,8.776,6.121,15.434,-3.786,-0.814
52.633,105.808,21.525,-21.337,-12.605,-35.424,19.962,0.524,1.868,10.824,-17.055,-11.431
52.309,92.137,32.266,-21.508,-11.161,-34.812,23.704,1.28,3.284,9.87,-7.328,-1.348
54.213,74.277,25.789,-6.579,4.417,-53.658,-6.333,12.793,-0.372,2.066,-2.566,-1.663
53.224,93.615,30.399,-19.315,-7.593,-31.899,18.601,-2.831,8.929,12.47,-12.517,-17.513
53.662,94.869,22.669,-12.313,-5.022,-41.656,24.127,-0.279,12.842,6.111,-0.726,-12.941
52.707,72.458,9.842,-11.616,-24.592,-65.422,6.775,4.14,0.038,16.026,-3.288,-13.725
54.1,74.836,25.452,-12.189,5.718,-16.079,7.114,8.204,13.357,11.018,-4.918,-12.803
52.63,98.789,25.914,-16.837,-17.747,-25.805,6.5,2.603,3.8,-0.108,-10.504,-9.278
54.106,82.973,6.434,5.563,0.767,-33.123,0.794,8.876,0.242,14.211,8.644,3.62
52.864,92.455,14.617,-17.001,-17.688,-35.988,23.311,-2.908,-8.146,7.057,17.33,2.121
52.711,76.326,30.825,-17.425,-24.955,-63.231,20.986,-0.649,-6.996,14.457,-18.538,4.66
53.025,51.615,14.283,-17.333,2.194,-66.717,-12.567,0.555,-3.106,-5.921,-9.128,4.742
53.6,82.761,33.315,-31.889,1.098,-25.323,12.465,20.926,5.473,-4.529,-11.121,-14.084
54.512,110.712,26.594,-5.186,-9.388,-40.598,4.788,-6.58,20.459,7.031,-16.111,-32.952
54.767,100.883,23.184,-3.808,-9.327,-46.033,-9.308,10.844,-0.603,-6.982,-11.265,-7.427
53.657,122.403,9.649,-8.413,-24.464,-37.43,15.566,2.138,-3.497,12.904,9.382,-0.938
54.031,100.319,24.098,-22.538,-9.117,-59.149,13.042,6.287,-0.945,19.881,-13.256,-12.764
54.836,96.768,18.372,-1.461,-0.417,-29.138,-5.733,1.11,5.053,12.131,-0.133,-12.432
53.486,95.16,44.059,-11.161,-12.768,-29.554,16.408,3.33,-0.96,-1.081,-15.659,2.444
53.415,81.67,42.35,-17.789,-5.62,-28.657,5.341,6.351,-2.576,3.711,-11.788,-2.068
52.982,72.544,11.019,0.497,-13.318,-36.308,22.953,-5.065,4.449,17.251,0.553,-5.843
53.115,77.763,41.757,-16.166,-14.236,-38.661,17.208,7.878,1.381,14.237,-8.553,-3.236
54.593,111.795,14.543,-13.728,-15.724,-64.464,6.11,4.204,-24.894,18.759,-2.369,-16.148
55.504,103.373,24.041,-11.403,-1.608,-56.556,-11.153,6.27,-15.511,-3.498,-8.792,-12.908
54.432,98.977,39.126,-6.954,0.158,-30.155,0.376,-14.096,-12.211,6.101,-17.356,-24.617
54.551,87.367,29.44,-11.881,-3.793,-58.761,-53.856,33.448,7.157,4.356,-7.642,-44.197
49.113,43.039,1.153,23.091,27.796,-26.89,-40.2,23.899,-12.516,-14.24,-22.567,-5.135
49.874,52.802,-23.189,57.193,-3.312,-91.569,-48.306,-0.806,-5.527,6.628,-13.766,2.683
45.755,46.956,-85.665,76.267,-38.491,-76.187,-24.596,-22.051,-25.599,22.38,8.318,0.544
40.658,-9.869,-26.003,23.999,-0.85,-28.552,-13.743,-11.202,-14.184,3.066,-7.835,-2.518
52.381,60.55,47.393,-7.418,19.513,11.741,16.735,-15.12,-33.997,9.656,-27.441,-3.286
51.436,74.966,38.8,-10.125,-8.713,12.286,-25.033,10.216,10.557,-32.521,-16.277,-36.142
50.888,21.31,29.333,53.936,41.83,-24.239,-7.028,-21.59,-7.908,7.743,-45.378,-11.027
46.419,39.23,7.042,-147.606,31.496,-11.541,12.444,0.187,-21.004,6.778,-18.726,1.585
49.229,96.642,-26.996,-9.835,-8.702,13.761,-7.404,29.721,-10.977,-14.55,-19.936,-13.62
52.527,50.44,21.496,-17.313,33.575,-67.391,18.668,12.183,1.626,49.84,-16.906,-1.997
51.874,60.1,32.363,18.263,40.229,-30.511,26.489,6.177,19.961,10.922,-37.546,2.603
52.885,62.445,7.77,44.6,17.501,-32.212,-21.27,1.157,-21.457,16.862,-8.999,-6.923
49.778,-2.189,4.5,-36.88,83.669,-11.647,17.572,-31.533,-2.299,18.224,-17.727,-8.509
50.823,7.39,27.144,22.598,52.151,-21.894,21.654,39.972,25.489,-18.739,-35.254,7.493
47.172,48.506,30.635,-110.901,5.233,-2.825,5.791,48.599,-12.676,5.542,19.757,-15.945
51.365,55.121,-19.063,2.401,-8.497,-79.741,-51.851,3.425,-19.533,-9.95,-13.247,-1.566
51.368,43.237,45.108,-21.834,15.96,-7.619,38.756,-12.308,-0.984,9.838,-9.342,1.878
49.746,33.883,42.47,42.197,21.469,-15.907,17.125,6.575,-13.045,-0.727,-53.972,-9.989
49.885,48.046,-26.32,51.11,21.88,-46.591,-15.834,13.459,-3.762,10.939,21.312,-0.46
51.291,43.209,-1.948,-46.187,4.675,-5.889,4.391,5.513,-44.425,-2.84,2.665,-1.142
49.389,53.993,-10.231,25.469,44.742,-33.92,-23.859,95.539,2.804,-15.134,-41.511,-15.158
49.208,112.198,16.539,-80.594,26.598,-9.448,19.269,-34.193,-48.001,1.119,-4.125,-13.44
53.407,8.99,9.514,27.643,52.587,-58.717,22.47,-18.804,11.413,16.01,-12.798,19.694
51.766,29.442,32.813,-0.044,30.308,-98.464,36.743,15.925,22.952,33.698,-8.899,8.821
52.527,67.275,59.435,-12.864,30.767,-33.303,45.754,0.014,7.925,11.879,-12.177,13.798
50.684,79.23,-13.365,49.763,-13.022,-22.352,-11.367,8.601,-11.904,-23.455,-36.163,-26.066
49.207,129.391,-3.495,-106.403,-17.997,7.081,-32.906,-46.346,-31.034,13.625,-5.446,-31.735
51.592,44.45,30.867,21.169,2.549,-25.704,-5.936,-34.715,-37.015,2.342,-15.734,-8.306
49.78,52.698,-14.753,54.598,-1.356,-55.035,-22.817,1.536,-16.556,-7.345,-32.379,5.201
45.438,61.854,-74.881,48.503,-3.826,26.707,8.123,-5.536,4.881,-23.86,22.048,0.543
40.285,-24.505,-34.836,32.702,11.381,-6.061,17.765,11.448,-2.366,-1.214,-47.762,15.819
46.862,29.03,-24.156,-46.312,14.753,117.817,17.077,37.946,2.751,-24.463,17.67,0.783
47.33,-29.944,-50.383,42.55,-9.374,-7.29,-6.377,-1.063,-11.377,10.691,-24.669,-6.293
46.453,-29.094,-47.821,-88.903,26.321,12.143,7.621,19.279,0.44,-20.034,-18.397,-16.753
48.619,65.827,-71.437,-56.331,8.572,-24.909,-33.166,0.912,-6.977,-6.533,15.359,-8.756
51.104,85.703,13.299,-40.604,5.202,-4.64,-28.327,-33.486,-38.699,2.314,-21.55,-10.947
51.69,32.258,12.27,19.434,45.58,-35.027,25.988,-10.371,27.3,31.752,29.816,-1.796
52.219,50.284,35.745,0.691,24.201,-21.551,42.106,-4.42,29.252,12.865,-38.189,18.605
49.842,18.959,36.802,36.905,-2.271,-10.094,25.545,4.935,-13.715,-10.539,-35.231,7.271
49.18,60.999,-41.211,0.11,37.774,28.445,-17.452,47.854,-3.582,-24.296,44.388,-14.261
48.403,47.392,14.694,-39.37,15.179,-35.415,-18.142,-46.901,-44.867,34.612,-16.781,2.125
48.957,-5.28,37.404,-49.737,56.856,-17.812,-6.387,27.976,8.626,-7.142,-21.729,18.351
48.122,26.451,-41.296,11.84,-36.288,-107.706,-35.541,-15.117,-7.198,37.129,-24.207,16.144
48.553,48.728,-5.385,-32.163,-31.029,9.205,6.189,-6.027,-33.015,-21.454,0.42,3.071
47.32,35.106,-54.414,51.084,-53.489,-16.447,-3.15,-40.659,-26.411,-9.198,0.9,9.889
