0,1,2,3,4,5,6,7,8,9,10,11
45.428,73.381,67.253,-81.447,87.424,194.182,40.205,57.959,2.36,-35.457,33.475,-5.667
53.665,63.789,-15.241,-29.801,-21.038,-59.137,-0.028,2.37,-19.07,7.905,-13.205,8.457
53.183,60.527,-18.36,-14.316,-11.021,-50.517,8.922,-15.517,-8.398,17.706,-5.725,7.889
55.256,55.042,-15.799,-8.456,3.244,-30.942,4.595,4.575,-14.111,0.553,8.074,15.327
53.705,43.992,7.575,-9.474,-2.449,-32.812,13.04,-4.126,-6.784,4.58,-8.486,4.454
52.546,42.354,-20.724,-37.598,-8.367,-25.519,-0.896,4.579,10.463,-15.594,-6.986,-9.57
52.569,51.689,-17.465,-17.477,-0.965,-42.224,6.841,-2.772,-9.461,14.431,7.287,15.099
54.352,55.015,-13.94,-9.131,1.032,-12.676,-3.012,-1.648,-7.872,-0.357,8.59,7.535
52.961,50.201,8.124,-21.283,-5.686,-41.968,6.751,-5.028,-7.082,-2.129,-4.268,4.825
53.099,44.56,-23.437,-11.423,-11.519,-56.214,-3.149,0.923,-15.21,3.501,-17.995,2.541
52.255,50.91,-20.858,-16.17,-18.544,-58.883,7.631,2.119,-6.948,8.53,-12.161,5.348
51.358,49.228,-0.885,-17.607,-1.574,-32.275,7.484,1.746,-1.297,7.421,-6.124,1.371
54.805,49.14,-13.146,-0.148,13.378,-23.393,1.232,6.564,-14.45,-0.452,4.399,11.026
52.255,50.009,8.233,-14.116,-3.666,-41.682,-0.442,-3.226,-3.349,10.345,-14.837,-4.095
52.594,49.414,-24.487,-23.561,-14.853,-30.784,0.232,-12.843,-12.89,4.895,0.474,-2.374
52.151,47.917,-22.828,-23.486,-10.665,-49.761,2.738,-8.907,-16.027,16.162,-8.36,5.233
53.747,54.479,-22.973,-13.206,3.803,-9.629,-9.148,-5.604,-6.864,-4.916,7.448,9.144
52.894,48.961,-5.242,-31.32,-9.401,-28.637,5.005,4.746,-8.827,-1.943,4.609,5.337
54.14,52.621,-16.94,-17.651,25.158,-27.422,-7.076,-4.255,-14.021,1.256,-1.321,5.867
52.947,51.4,-2.113,-25.815,14.375,-39.849,4.683,9.884,-0.777,-4.346,-4.499,2.28
52.536,56.569,-10.414,-15.57,-1.608,-35.943,18.128,-6.646,5.14,2.09,0.095,5.956
54.521,55.694,2.661,-11.837,9.323,-14.91,11.488,8.432,-10.12,-1.611,10.788,9.171
53.357,57.812,13.936,-18.642,-6.003,-39.082,11.605,1.751,-8.984,7.508,-7.396,3.781
52.756,46.371,-9.184,-19.971,1.396,-28.736,12.164,-1.761,6.223,-1.939,-7.669,-6.082
54.715,55.251,-10.119,-7.267,-2.627,-36.066,4.189,-3.241,-9.097,-2.241,0.784,7.355
52.797,47.128,-16.773,-22.921,-8.63,-44.508,14.449,1.757,-1.543,9.91,7.331,7.598
52.874,46.788,-17.885,-22.761,-3.408,-32.18,10.191,-0.094,-2.207,4.645,2.196,-0.073
54.621,58.213,-6.301,-12.399,2.79,-49.198,-3.373,-2.55,-11.645,0.193,2.688,5.568
52.866,48.415,4.093,-23.465,-15.42,-28.58,18.593,1.059,1.384,2.179,-15.276,8.699
52.607,54.42,-15.559,-26.704,-14.261,-56.136,13.645,-6.126,-6.735,13.691,-9.189,4.948
52.923,55.652,-15.799,-26.234,-8.952,-57.037,9.038,-3.859,-2.921,12.982,-15.886,5.58
54.818,53.574,-14.99,-5.833,-3.492,-41.921,-3.126,3.578,-9.188,-7.452,-7.149,7.047
53.729,57.068,-14.23,-24.78,-0.797,-36.991,-1.179,-7.67,-5.749,-3.53,-7.667,0.406
52.594,54.732,-13.908,-12.432,-11.834,-56.675,8.473,-1.291,-4.022,7.79,-17.663,0.026
