0,1,2,3,4,5,6,7,8,9,10,11
0.236,165.414,11.254,-34.751,61.683,-51.148,11.856,-4.401,-26.908,0.216,-7.107,-9.521
7.13,42.451,13.368,-43.519,105.424,-15.255,-50.789,-17.2,-42.967,1.677,-0.972,-0.941
10.064,-21.615,-5.251,-42.184,124.604,-44.435,-43.553,-1.083,-30.031,-3.371,0.316,9.693
11.145,-24.967,-1.259,-39.037,107.203,-43.48,-55.596,-11.151,-35.138,-3.997,6.009,-3.46
13.786,-61.661,3.462,-12.459,113.589,-29.337,-44.175,7.989,-37.931,-4.821,12.668,-0.921
13.661,-86.787,-29.317,-40.051,125.734,-46.7,-49.117,10.84,-26.727,-10.293,6.701,2.84
15.208,-108.888,-22.246,-66.148,122.822,-30.537,-39.477,-3.5,-37.006,2.58,-0.907,-0.885
17.083,-126.893,-16.535,-39.298,119.178,-38.258,-41.07,4.867,-33.684,-4.774,9.574,0.303
20.302,-145.747,7.19,-39.298,100.732,-3.433,-31.197,10.183,-41.392,-3.294,-2.385,-0.561
20.868,-171.663,-5.691,-41.68,108.602,-43.766,-43.545,4.507,-32.209,-11.524,6.791,-5.464
21.914,-160.256,9.223,-45.707,94.637,-29.056,-41.553,-1.566,-22.671,-10.214,3.378,0.173
22.7,-173.657,21.166,-31.719,91.552,-45.886,-37.33,8.383,-41.629,-11.137,15.317,-8.157
27.879,-174.624,24.962,-7.231,68.277,0.399,-36.31,-11.07,-21.87,-21.554,23.417,3.024
29.046,-129.573,41.214,33.732,57.691,-31.707,-44.974,-20.143,-26.275,5.288,19.702,9.112
28.501,-181.799,34.715,-37.304,64.117,-25.587,-51.053,1.131,-13.416,-7.108,10.627,6.341
30.791,-157.345,24.96,20.792,60.231,-10.211,-50.62,8.246,-2.542,-7.268,16.724,5.119
29.74,-189.46,39.841,-39.584,67.078,-37.81,-49.348,7.6,-10.922,-17.518,14.86,7.535
32.466,-200.803,16.318,-1.21,80.822,-31.728,-46.778,3.922,-11.68,-7.264,17.611,0.069
33.135,-209.104,23.58,-5.447,63.167,-25.789,-50.25,-13.664,-6.984,-23.216,17.108,2.22
33.434,-179.924,53.77,46.756,78.517,-42.689,-44.406,-26.839,-18.808,-3.567,17.33,3.269
33.065,-202.666,44.246,-44.804,69.234,-23.272,-47.389,8.527,-12.262,-4.977,18.15,5.775
35.235,-192.099,45.853,-6.771,66.503,5.173,-38.091,-5.186,-16.32,-23.793,7.698,3.106
36.435,-210.676,32.457,-28.336,76.155,-28.514,-49.567,-12.803,3.357,-28.284,20.341,3.806
37.629,-154.818,99.028,2.856,66.496,-47.142,-34.083,-16.875,-28.319,-7.675,0.503,15.98
39.436,-183.976,87.497,-14.429,70.116,-17.469,-34.047,-6.82,-31.162,-9.24,1.492,17.999
40.596,-171.667,57.057,20.449,63.257,-33.942,-49.78,-17.385,-14.85,-10.401,38.871,-3.647
41.238,-174.945,58.228,-5.923,65.941,-23.086,-40.888,-28.76,-21.03,-2.03,-2.145,21.44
41.848,-161.697,49.669,13.293,54.007,4.846,-37.564,7.588,-18.338,-11.368,2.271,12.295
43.276,-141.737,73.018,-47.615,45.248,-27.454,-51.011,6.568,-26.8,-5.919,35.272,3.264
56.784,95.49,-12.653,-43.766,-33.995,-43.283,-34.328,36.866,7.917,-7.534,-19.097,-7.09
56.061,158.703,3.315,-41.119,14.764,-31.345,-32.628,-5.632,17.591,22.442,-9.321,-24.098
57.718,105.438,5.499,2.799,-38.723,-18.756,-19.203,-0.743,4.423,-15.976,-25.561,-19.893
55.859,89.684,5.448,-0.243,-26.99,-34.745,-21.561,-0.28,-23.494,-23.298,2.332,-16.143
52.653,56.572,9.315,1.715,-45.684,-52.855,-20.485,-10.996,-32.022,-6.1,8.897,3.55
53.13,6.559,-14.169,41.774,-19.48,-24.962,-11.526,-8.704,-16.146,22.316,-0.49,-17.399
55.749,89.48,-20.778,23.151,-26.711,-16.754,-22.875,-0.73,-4.032,-21.091,-19.008,-23.797
53.952,76.856,78.466,27.079,11.797,-8.916,-9.615,-13.356,10.304,21.509,3.833,-57.389
53.755,29.52,-1.192,29.414,-28.484,-12.49,-25.701,9.248,2.333,7.906,-23.101,-30.864
51.106,67.084,19.835,-3.757,-58.75,3.439,-1.088,-15.301,-8.648,-0.89,-26.693,-47.067
55.295,71.326,-0.158,3.998,-25.9,6.073,-18.165,-16.861,-24.824,-7.794,1.675,-21.649
52.954,5.443,1.254,5.497,-7.558,-27.079,-52.609,-26.89,-9.437,-15.118,25.954,-36.69
54.211,35.323,-6.35,19.217,-41.458,-50.86,-22.487,-8.152,-10.873,2.64,-9.728,-27.093
51.166,37.098,5.148,-3.904,-41.014,-26.077,-25.167,-20.148,0.183,10.412,-11.59,-28.831
56.993,113.376,18.971,4.211,-47.044,-8.839,-16.151,11.25,8.315,-9.998,0.817,-35.444
54.934,68.311,18.909,-7.666,-53.532,-25.343,-21.169,-14.719,2.88,2.814,-14.111,-33.508
52.279,26.33,16.327,-20.772,-55.318,-83.474,-9.362,8.896,14.641,11.464,4.257,-52.501
55.65,72.812,-0.036,13.36,-31.845,-31.302,-20.116,-22.573,-25.715,-31.238,-14.433,-11.354
52.617,32.304,16.009,-10.621,-23.667,4.024,-36.583,-19.395,-16.671,-7.551,5.15,-13.615
52.92,-7.624,-10.079,30.39,-22.064,-54.215,-14.823,-11.894,-18.934,16.977,-13.514,-15.83
55.805,95.51,-23.111,20.489,-30.011,-24.822,-26.616,-3.74,-6.585,-24.765,-19.696,-24.281
54.223,57.082,35.914,20.756,-13.825,3.988,-10.168,-12.485,-3.416,26.141,-19.917,-41.384
51.56,60.045,27.829,-12.178,-56.156,-15.693,-5.194,-10.537,-5.372,15.393,-43.903,-45.836
54.952,69.59,-0.358,1.879,-31.148,17.083,-13.763,-10.326,-18.712,-4.559,10.121,-24.069
52.657,-5.947,-1.328,8.406,13.943,-38.136,-50.923,-24.896,-2.075,-18.979,15.133,-24.508
54.156,41.438,-3.137,14.934,-44.915,-56.068,-20.152,-3.653,-5.824,5.274,-6.193,-25.003
51.526,24.327,-15.671,15.37,-46.06,-25.817,-36.393,-20.861,-7.893,8.129,-46.584,-17.005
49.656,-3.63,17.337,4.287,-25.48,-52.954,-5.173,-25.003,-3.838,51.436,-11.587,-51.175
56.881,94.261,11.987,-5.358,-42.729,0.236,-11.293,1.388,7.84,-18.202,-6.423,-32.453
55.071,67.851,20.465,-7.959,-44.472,-15.119,-18.345,-10.402,6.215,11.054,-6.949,-35.275
51.857,5.246,-4.072,37.106,-37.219,-36.343,-5.218,2.287,13.715,15.385,-12.248,-50.216
53.174,65.625,45.071,-43.715,-40.107,-3.155,1.692,-12.647,-10.478,-12.792,-14.247,-36.995
53.408,26.754,22.724,-16.364,-27.221,-13.186,-40.021,-12.786,-26.095,-12.127,9.587,-17.811
53.295,-2.849,-18.529,31.548,-22.659,-57.549,-17.015,-9.5,-18.354,11.932,-14.633,-22.558
55.752,78.974,-17.824,3.537,-26.592,14.396,-17.813,-1.496,-9.674,-14.523,6.099,-28.719
54.994,35.038,8.343,19.376,-28.928,-42.929,-25.263,-5.013,6.021,6.79,-36.383,-35.648
52.538,41.304,5.609,-3.723,-48.556,-24.995,-19.957,-1.565,-6.96,8.531,-37.997,-38.257
54.941,61.053,-11.279,-15.013,-31.669,17.921,-10.711,-18.563,-25.061,-3.217,7.542,-19.303
