0,1,2,3,4,5,6,7,8,9,10,11
1.373,150.297,0.805,-47.032,49.151,-46.7,7.975,0.208,-36.431,5.014,1.62,3.387
42.709,133.527,60.012,18.211,26.38,103.515,-18.189,-1.499,-30.728,26.529,58.176,19.602
43.948,62.16,26.346,-17.312,-3.86,14.133,-43.008,-27.363,-8.45,-32.761,-3.997,16.964
46.415,130.511,50.827,-3.588,13.342,-4.187,-49.6,-8.943,-11.07,-27.168,8.21,28.94
45.219,174.109,77.218,3.703,-8.059,-17.883,-39.603,6.493,-17.641,-10.005,-2.108,5.949
45.861,120.378,56.255,-1.49,0.282,-3.461,-56.773,-40.589,-33.168,14.22,-10.71,14.221
45.214,76.477,36.842,12.563,8.811,0.472,-51.491,-47.282,-18.477,-19.876,-4.457,24.977
44.42,130.275,38.78,-2.154,-3.492,-19.308,-41.113,-26.083,-3.497,-31.336,18.184,23.649
45.846,167.695,83.101,-4.11,11.397,-11.149,-50.203,-6.37,-15.276,-23.31,3.519,13.549
46.687,126.938,49.83,-15.719,2.773,-28.707,-39.332,-2.932,-11.86,-7.081,-0.229,8.767
46.507,141.133,76.048,1.252,6.623,-22.45,-25.918,-7.888,-9.878,-5.176,-9.13,11.566
45.144,110.127,62.469,9.274,-21.085,-21.756,-24.077,-3.257,-31.294,-1.816,-3.998,24.389
49.031,82.944,68.817,23.978,21.766,-9.461,-24.466,-24.852,-27.144,6.603,3.346,7.777
49.197,58.413,85.348,24.664,39.843,-12.53,-17.5,-34.895,-11.692,-8.656,-1.665,23.828
49.611,80.671,102.707,17.222,41.483,-29.339,-32.145,-29.137,-7.542,6.648,11.64,6.168
50.343,82.816,94.522,21.274,49.819,-39.183,-16.499,8.245,5.824,3.362,-1.776,8.409
50.995,69.959,69.651,7.782,28.366,-12.968,-29.176,-15.333,-19.013,4.264,-4.798,27.974
49.978,72.607,85.263,25.354,28.234,-18.022,12.574,-9.369,-16.683,2.593,-7.204,15.84
48.56,61.099,97.664,-54.132,31.814,-5.007,-11.759,19.31,-2.788,-28.221,11.863,10.538
51.26,67.589,80.871,20.251,39.195,-44.708,1.378,-28.684,-5.82,11.393,-2.996,8.976
51.112,48.184,81.218,26.453,42.75,-32.181,0.866,4.555,20.152,-14.412,5.423,-12.191
49.131,55.953,77.574,45.609,15.322,-24.706,-12.533,-8.824,0.546,2.401,-22.027,-3.912
50.573,64.776,66.708,26.983,47.332,-9.267,-18.814,-32.444,-10.856,-9.568,-15.192,23.309
49.648,50.554,79.179,30.144,28.658,-19.872,-7.487,-22.799,-15.308,6.577,7.874,25.736
49.282,52.582,96.484,-32.744,47.007,8.491,0.277,11.045,3.059,-38.016,21.178,16.866
52.162,41.625,17.566,27.688,-27.827,-61.061,26.369,-1.708,-4.245,12.804,-25.094,8.65
52.935,39.77,10.074,-2.393,-9.59,5.989,14.733,-6.197,-10.141,-5.447,10.984,5.492
51.799,35.388,26.98,-30.804,-8.095,-12.472,22.093,-0.233,-5.493,-8.6,-15.536,6.453
51.075,35.024,15.073,-34.056,-6.64,-9.509,31.73,10.005,9.003,-12.836,-4.4,8.128
52.963,42.566,15.26,-30.678,-0.826,-18.338,19.02,13.264,3.548,-16.138,-10.389,9.312
53.393,39.427,14.424,-2.097,2.004,-53.614,13.952,-4.895,0.36,1.661,-16.645,4.909
53.153,60.79,-5.784,-8.686,-13.067,-18.785,-3.028,-1.298,-4.651,-6.635,19.081,13.368
53.072,50.407,-18.184,11.764,-6.77,-37.314,-28.285,16.364,-14.039,-6.285,-10.684,7.087
53.305,30.445,14.12,-27.635,7.537,-24.519,6.261,-0.163,-13.912,17.133,-7.802,6.943
51.903,50.273,-21.541,-33.417,-23.258,-54.097,-26.975,-4.332,-11.57,-17.973,-1.801,7.557
52.373,58.447,-2.908,-24.642,-41.517,-21.624,-7.398,-12.097,-12.185,4.162,3.101,4.644
53.734,47.036,27.524,6.993,-6.372,-47.635,4.09,11.159,-18.679,12.371,-16.847,-8.849
53.217,101.871,-17.705,13.57,-1.434,-32.738,-1.95,5.036,-35.272,-18.122,7.835,8.66
55.172,118.378,12.84,-11.376,-37.883,-10.02,-24.995,14.336,-19.64,-19.926,21.364,-11.657
54.29,105.773,-8.959,19.171,-25.633,-42.721,-27.423,21.575,-36.976,14.968,-23.884,-4.585
53.543,103.094,21.07,-69.79,9.439,2.898,24.251,-4.557,-28.78,15.944,-7.773,2.104
53.306,46.652,1.788,-4.267,-21.185,-32.025,-17.668,-10.01,-25.907,-5.99,6.243,5.345
51.652,52.082,-22.931,-4.909,-29.808,-44.347,1.212,-21.563,-14.121,-1.498,-4.527,17.518
51.103,25.129,4.214,-29.1,-17.821,-15.394,8.312,12.418,-10.834,-22.549,-6.743,7.816
51.889,76.548,19.603,-0.648,-18.948,-34.099,10.011,-14.225,-8.819,-2.546,-6.861,2.187
51.583,37.151,5.673,-8.081,-18.92,-14.514,4.609,6.407,-20.686,-17.002,-0.788,15.418
51.384,58.92,27.59,-10.558,-26.321,-26.694,27.272,-12.793,-6.951,2.222,-4.363,13.601
52.523,44.356,17.663,-24.662,-14.669,-3.123,10.287,18.713,5.468,-15.924,-4.267,5.436
52.31,48.626,-2.415,-8.041,-15.403,-39.619,-11.557,-5.315,-12.17,-1.36,9.228,7.8
51.676,62.943,-21.638,-1.782,-25.223,-34.166,-6.214,-8.619,-10.804,0.93,9.635,1.687
52.561,62.848,-15.486,-4.208,-28.721,-23.091,-17.487,-15.799,-13.727,1.695,4.668,0.756
51.448,69.609,-4.387,-6.675,-17.946,-17.392,-7.401,-28.883,-26.447,-17.778,-2.278,5.132
52.555,96.352,-5.79,-37.144,-21.24,-5.521,-18.234,-2.505,-21.659,-13.268,5.853,1.618
52.894,56.739,6.646,-34.439,-1.046,-4.271,6.331,-17.42,-27.974,0.771,0.49,3.039
53.752,48.278,28.056,-17.112,8.43,-29.164,3.794,7.606,4.475,-3.634,-13.647,-3.587
53.206,25.42,51.413,-14.665,14.623,-40.748,14.961,-0.641,-4.785,9.72,-9.459,-9.601
52.733,69.465,-12.995,-8.102,-18.756,-47.684,-24.536,8.532,-29.045,-13.748,-9.432,4.251
55.122,77.336,8.271,20.649,7.292,-17.101,3.773,26.943,-11.876,11.112,-14.528,1.312
53.239,72.302,1.707,-23.448,-19.491,-33.842,-35.971,-14.411,-25.785,-4.285,6.247,-6.385
53.92,108.008,11.486,-24.299,-25.413,-24.629,-41.236,22.702,-21.778,-4.878,-12.819,7.516
55.658,96.15,28.077,-17.364,-31.842,-36.382,9.735,13.496,-16.949,-10.144,-2.226,9.131
55.275,100.075,35.361,-9.464,-26.912,-25.981,14.085,-2.453,-16.877,-4.811,-3.147,23.942
55.28,89.79,43.348,-16.559,-11.147,-34.541,10.221,6.334,-23.78,-0.169,-4.306,33.974
55.144,71.705,14.732,-8.835,-10.623,-45.378,-13.99,16.21,-0.905,-1.53,-4.895,17.285
52.341,67.735,-0.229,-1.618,-34.216,-28.23,3.334,-6.731,-16.489,5.937,-1.057,-0.289
51.091,48.469,1.994,-37.841,-22.023,-21.3,-1.293,-6.943,-12.999,-7.271,-12.206,4.867
51.507,46.937,29.963,-19.795,-18.748,-19.591,26.562,5.533,-0.264,-12.128,-12.634,3.968
51.598,43.371,-4.867,-8.962,-21.128,-65.572,7.317,-7.671,-28.842,-8.964,-8.271,22.739
51.686,69.383,0.939,-7.755,-38.97,-37.699,28.646,-0.496,-15.449,-2.406,13.212,8.434
51.926,69.793,20.155,-19.992,-9.111,-44.083,37.368,14.001,-4.658,1.453,-0.8,15.709
54.052,83.17,-3.731,-26.525,-15.663,-35.376,-1.343,8.627,-7.864,8.47,10.377,23.368
54.471,106.797,-12.921,-35.137,9.659,-10.476,-18.482,19.295,-8.232,-8.725,-20.211,20.244
54.478,92.458,11.712,-24.982,-3.595,-18.037,7.771,5.4,-31.909,20.788,-14.263,-1.183
54.007,110.003,5.357,-36.797,-17.54,-16.566,-20.184,7.426,-11.349,-4.258,-2.861,-5.15
54.159,99.172,2.204,-0.833,-10.611,-22.244,-12.07,-28.656,-16.084,2.013,-26.754,3.145
53.864,77.204,-7.516,-14.023,15.545,-35.932,-1.062,-0.954,-15.544,-2.163,-4.159,30.686
53.847,98.265,-6.049,-2.415,-15.55,-9.013,-17.516,14.851,-24.611,-22.052,-5.502,5.885
54.804,65.327,25.843,-22.73,-8.184,-34.596,-18.035,10.439,-11.355,-1.251,-1.248,-16.556
55.123,84.276,18.586,-21.117,-2.448,-46.441,-18.911,-0.922,-23.912,-11.494,-2.135,-17.117
