0,1,2,3,4,5,6,7,8,9,10,11
17.413,128.135,171.816,-369.54,47.147,21.514,75.907,-89.94,-42.75,59.508,17.794,-6.881
40.856,51.501,104.594,12.388,7.819,-38.869,0.804,0.686,-23.133,-7.801,0.526,28.962
41.183,94.084,94.898,18.582,15.158,-35.252,-1.477,-15.569,-6.944,-9.567,3.582,2.708
40.923,94.467,111.952,-0.63,3.419,-29.023,-7.428,-1.013,-18.415,-0.994,3.038,16.95
40.545,61.457,83.284,37.809,20.899,-1.942,-20.553,-29.075,-7.111,-14.424,-31.569,-0.604
27.566,-13.557,-7.957,105.852,1.128,4.098,-24.297,62.93,-7.634,-44.579,-93.328,5.416
23.672,17.236,100.746,-169.437,-1.513,42.844,42.86,-18.76,-34.126,40.826,-7.921,13.137
26.965,76.78,27.048,205.301,10.53,-3.605,-41.794,69.622,-6.959,-52.024,-114.549,5.259
18.807,48.634,96.968,-229.13,-0.741,28.596,53.39,-45.892,-45.058,49.903,-0.232,-4.188
23.029,90.637,-7.789,283.727,17.088,-111.309,-59.847,55.319,-11.821,-27.953,-44.479,-8.074
7.464,56.058,-1.172,-17.584,63.126,-31.43,16.196,21.987,-22.953,20.458,-23.862,-16.233
33.613,93.15,119.043,-117.426,43.895,200.456,42.215,24.091,-14.131,32.881,49.102,-14.525
40.914,102.569,112.273,7.022,19.695,-26.417,-8.48,7.16,-7.562,-5.673,1.388,-6.648
41.329,86.257,90.321,0.48,19.578,-26.692,-13.836,-19.126,3.32,-0.867,2.383,-11.529
41.632,73.695,90.105,10.596,10.79,-25.229,-25.969,-2.903,-15.56,-17.766,8.468,-3.483
41.49,117.271,108.806,4.546,5.409,-21.315,-0.269,-6.914,-3.387,0.532,-8.556,8.539
32.164,34.932,12.412,188.851,36.409,21.721,-35.545,36.128,1.551,-39.461,-113.966,-5.855
24.779,98.218,94.467,79.739,53.339,187.129,17.706,23.555,-24.801,-25.369,-69.982,4.483
6.112,80.375,-13.89,-27.69,41.115,-32.435,9.894,12.214,-31.203,12.059,-19.749,-8.743
6.617,62.047,-20.005,-42.472,54.75,-47.117,-11.532,0.895,-16.365,-0.629,-4.442,-19.1
8.197,32.669,2.201,-33.213,84.333,-55.294,8.952,5.171,-5.447,5.527,-4.744,-22.169
