0,1,2,3,4,5,6,7,8,9,10,11
43.112,0.588,70.427,-51.587,157.722,139.939,53.12,25.954,-21.03,79.909,149.771,-2.828
53.594,56.242,106.434,49.193,72.004,-34.014,44.211,2.332,-15.318,-5.971,12.704,16.483
51.849,61.884,99.643,31.401,50.653,-32.961,26.664,34.785,-25.509,-4.17,-13.678,15.493
48.16,88.102,32.895,16.054,34.019,-7.69,5.516,-24.27,-8.738,-9.484,8.084,18.807
50.52,45.401,44.378,19.389,58.071,-18.041,3.314,50.941,-31.438,3.205,-11.093,4.77
51.624,54.437,80.963,-5.532,81.854,13.782,24.886,21.702,-18.205,-2.184,-3.342,-8.187
50.995,73.196,114.407,-1.221,35.161,12.084,1.16,29.038,-38.482,-14.608,4.493,-10.261
52.062,105.684,112.139,45.407,60.376,-13.913,-11.448,16.817,-46.353,-7.625,-22.037,1.723
50.094,95.938,73.409,50.131,38.766,10.118,-49.33,-21.13,-56.785,0.115,6.656,-15.626
52.284,113.724,97.501,32.655,45.153,-17.739,-0.832,25.941,-36.068,10.408,-2.216,2.848
49.762,144.634,14.145,-14.914,58.745,-11.796,-59.203,14.785,-46.377,56.07,-19.834,-6.69
47.502,38.619,-12.294,42.267,77.749,-3.168,-14.344,-19.349,-48.344,15.133,-71.694,15.892
52.418,75.714,69.415,-19.236,54.185,20.937,9.158,3.957,-21.369,8.216,22.689,-29.982
53.586,107.165,125.347,15.491,34.142,-18.968,-1.091,14.6,-11.131,8.807,15.189,-21.346
51.614,107.173,94.658,65.765,43.107,-11.998,35.189,7.457,-24.348,-8.393,-46.552,26.221
46.628,104.314,68.515,-43.277,9.036,4.602,-30.425,12.928,-10.026,13.892,14.964,-29.858
43.962,82.318,-19.918,71.18,28.077,-80.201,-73.902,48.066,-29.784,20.99,-15.153,-16.423
50.058,63.822,38.002,9.97,101.357,8.013,27.614,-6.905,-13.892,36.783,31.365,1.15
51.547,83.351,96.916,11.183,71.237,-46.068,20.3,13.505,-17.05,-19.774,18.716,44.033
52.523,111.265,96.349,45.734,42.0,-6.304,-23.812,-11.66,-28.082,-23.524,-25.008,-3.15
51.07,65.934,131.815,55.543,64.255,-37.021,4.065,1.786,-41.626,-1.066,-11.254,14.128
50.294,57.378,115.739,47.733,63.867,-47.663,0.797,8.26,-45.556,-8.393,8.445,13.589
51.635,98.684,78.076,52.579,48.463,-39.816,23.197,37.423,-47.236,-9.132,-25.644,26.329
48.044,86.854,14.822,-7.912,14.729,-19.106,-46.382,-15.205,-13.932,6.73,-2.788,8.66
44.359,60.25,-46.861,105.178,-0.814,-21.131,-67.913,-5.432,-6.1,-18.91,-35.279,-0.959
45.106,244.96,18.53,-20.148,50.196,7.712,-59.139,46.557,20.202,7.043,33.91,-3.965
49.212,100.217,-27.788,-11.52,13.607,-14.885,-31.805,-24.337,-36.159,25.358,-7.42,21.124
45.778,96.025,-0.423,9.071,20.534,-46.953,-52.465,-14.458,-23.79,-3.304,-16.566,-5.282
45.77,130.278,1.875,-9.615,40.622,-50.805,-56.745,-15.799,-20.803,0.31,-11.133,-17.506
46.55,118.366,14.895,25.24,5.233,-10.671,-26.382,-29.566,-34.223,-8.234,-1.679,17.351
44.246,66.178,26.028,-15.649,4.394,-12.57,-44.112,-19.498,-17.269,-0.298,3.231,-1.791
47.035,102.878,-1.095,-29.19,14.79,-48.338,-62.014,-13.682,-2.085,13.981,-19.573,-20.251
49.167,73.965,-28.781,9.788,15.428,18.318,-44.017,-11.184,-29.077,10.918,-37.409,-6.6
47.035,174.103,-1.94,-107.96,74.705,17.478,2.697,-70.447,-40.258,21.359,-37.899,-0.491
48.377,182.114,13.928,-5.919,71.135,-19.958,-49.963,-30.076,-40.006,5.343,-1.966,-5.513
48.125,86.604,0.011,-19.529,49.617,-42.03,-52.637,66.4,-40.419,17.14,10.693,3.388
51.385,86.744,38.227,-19.672,64.607,12.793,-14.134,-25.132,-51.898,40.79,-8.811,-15.441
52.162,89.702,38.706,14.456,54.403,-19.358,-54.203,-11.85,2.212,1.012,2.31,-33.406
44.23,55.985,42.588,-22.145,28.33,-22.797,-38.104,-7.047,4.068,-3.854,-12.221,-38.196
45.482,91.126,16.534,-7.854,35.826,-51.566,-46.556,-28.488,-6.226,18.928,-22.557,-28.798
46.674,84.467,20.367,-3.373,46.096,-36.586,-37.963,-15.97,-2.374,11.921,-8.438,-29.718
46.133,124.507,-5.803,2.153,42.827,-41.164,-32.712,-17.928,-16.925,-15.191,-0.786,-18.789
44.535,86.502,22.041,-11.241,28.041,-55.111,-34.741,-17.532,-5.043,9.932,-7.34,-11.289
45.272,83.197,6.534,10.389,20.805,-55.93,-48.349,-29.564,-9.682,5.958,-16.06,-13.224
51.992,68.186,-39.332,4.675,-6.017,-72.776,-32.832,-2.049,-9.361,6.981,-9.301,2.777
50.634,86.259,-35.157,49.151,10.643,-25.095,-20.324,4.744,-7.722,0.654,14.488,3.586
49.17,34.645,-66.363,12.446,-18.221,-59.304,-7.701,-33.117,-3.446,28.954,1.749,-4.563
47.26,57.235,-62.731,-24.261,-24.407,-43.597,-6.213,-17.893,1.812,3.172,-2.603,-27.945
53.671,19.586,-9.97,-4.5,54.436,-74.666,35.862,-6.858,17.059,42.19,7.721,11.191
56.571,29.04,29.777,-7.487,-4.906,-50.868,46.248,7.772,-6.375,15.45,-12.625,4.0
54.899,52.474,30.513,15.028,-6.332,-33.277,40.687,31.654,-16.515,-4.275,-23.72,7.961
53.391,68.923,6.34,20.235,5.54,-43.443,-4.396,-5.44,-19.666,-0.31,9.479,6.505
53.55,68.973,32.918,18.924,21.837,-34.223,53.623,5.567,-21.049,4.581,-5.224,8.637
52.795,87.424,-22.257,-11.292,-9.213,-15.08,9.328,-28.001,-0.557,-10.569,-39.453,-6.377
50.648,106.061,-30.529,-27.885,0.049,-39.875,21.651,5.51,-20.274,-18.506,-8.445,-17.539
53.287,112.297,-14.412,-38.376,-23.269,-17.954,0.271,6.233,-4.699,7.062,16.734,-6.429
53.683,101.426,-13.063,-24.415,22.163,9.328,12.659,-8.387,-23.989,6.971,-19.391,-15.841
55.022,36.437,20.742,10.635,27.546,-41.255,11.454,6.873,-9.74,12.111,-20.734,-0.714
52.752,26.845,-8.423,23.512,9.526,-30.728,20.18,30.123,-7.849,20.866,-15.832,-3.788
51.106,95.311,15.258,-79.96,-18.798,4.686,26.806,4.174,-27.908,-13.961,-10.765,-15.876
54.888,52.515,19.048,8.025,-7.874,-51.68,19.262,-4.764,-39.734,2.411,-27.623,-8.937
52.645,111.029,-25.528,-5.844,-3.443,-22.747,-13.7,33.685,-33.282,-9.08,8.512,-10.811
54.887,43.382,6.47,33.311,3.566,-45.896,2.174,6.574,-23.856,28.073,-31.794,-6.068
53.732,68.182,4.582,-14.81,-17.335,6.578,23.322,6.077,-5.05,12.181,11.392,-24.759
51.23,73.515,1.055,-4.458,-25.821,-13.115,8.802,-14.852,-0.13,-1.794,7.884,-21.2
53.595,55.172,6.868,-8.949,-2.298,5.763,14.05,18.833,-9.417,1.2,-9.787,-23.55
52.375,27.998,18.35,30.207,6.763,-33.714,22.414,-0.069,-29.14,23.94,-5.968,-7.519
54.439,75.735,27.294,32.289,9.954,-39.476,-16.44,6.801,-5.512,-1.638,-22.406,-5.006
54.284,49.694,32.229,-19.667,23.633,-9.896,25.533,1.159,12.414,17.392,-0.735,-31.881
51.873,38.708,-20.934,31.783,-42.416,-60.175,-13.105,6.293,7.064,6.656,1.512,-30.594
50.482,139.766,-8.721,-41.128,-27.726,-39.845,-2.611,18.967,-0.57,-4.421,-3.096,-19.281
52.208,72.548,-40.017,-21.067,-35.779,-50.916,-12.637,-18.995,-38.702,12.725,-6.622,3.154
52.32,53.912,-33.009,15.897,-20.997,-23.263,-11.999,-9.274,-4.555,8.483,7.742,-10.034
49.881,70.079,-40.425,-25.537,-24.523,-46.376,-4.675,-7.253,-31.468,-3.977,-20.23,-10.496
51.706,56.271,-23.213,15.71,-2.272,-31.405,-18.91,-7.036,-29.552,-0.444,11.289,3.384
49.086,36.701,20.963,-21.873,-25.828,-16.707,2.801,-10.275,-26.258,-0.086,-1.383,-20.318
51.885,119.402,-3.838,-44.566,12.38,-41.252,13.23,50.892,-30.815,-20.984,-4.775,-22.792
52.061,86.994,-39.881,-6.639,-22.886,-56.514,-0.639,16.844,-34.318,23.511,-5.118,-14.75
52.091,75.353,-18.089,-41.261,6.331,-9.744,29.249,-49.397,-25.927,-1.135,-13.832,-3.338
54.253,48.497,-11.993,11.392,32.402,-24.543,17.241,11.168,-2.018,1.888,9.25,12.213
53.484,124.138,-15.896,-21.472,-0.858,-37.155,-33.737,-6.764,-11.422,-5.31,-4.988,-3.291
55.525,77.539,26.27,-16.775,23.067,-12.943,9.209,-14.437,-17.851,27.006,8.165,-11.621
53.871,66.293,48.976,32.58,34.847,-33.256,52.985,10.236,-16.017,5.249,-40.879,-0.816
51.597,60.272,-26.525,19.494,-14.761,4.614,3.116,13.744,-17.944,5.693,-24.706,-13.022
54.361,62.165,-2.263,-7.346,18.402,4.028,31.933,-18.073,-0.215,32.104,11.129,-35.063
55.138,34.545,11.404,-14.308,31.688,-77.241,10.251,2.084,9.71,13.487,-24.073,-32.944
55.253,40.812,4.525,5.009,30.705,-59.882,0.959,12.085,24.594,18.625,-9.361,-32.14
53.651,47.728,22.169,-12.949,37.534,-36.501,17.835,0.533,24.503,27.271,-17.357,-52.235
53.668,37.484,14.329,-28.869,51.534,-41.966,24.193,7.143,30.357,19.363,-17.297,-46.366
55.07,37.882,-1.678,0.584,38.994,-51.73,12.07,-3.384,9.341,17.536,-3.256,-36.016
55.232,52.52,2.098,4.269,34.423,-54.573,8.96,-1.472,12.856,20.43,-4.17,-32.841
53.257,78.624,-11.508,-26.77,-8.216,-12.993,-10.39,-0.109,-8.109,14.707,-2.439,-8.504
52.714,68.501,-14.139,12.93,-19.061,-72.176,-2.094,-3.012,-6.227,-0.866,-11.27,8.61
51.265,70.556,-23.117,-6.633,-22.202,-68.957,0.785,-14.689,-4.516,14.421,-15.421,1.883
51.029,39.792,13.633,-38.825,-10.493,-41.099,35.23,9.391,16.592,25.997,-9.59,6.866
52.62,41.528,-4.191,4.493,-22.257,-52.086,4.772,-17.305,-7.49,30.29,-16.11,-2.542
52.522,53.697,-16.563,-36.484,3.267,-19.486,-6.278,55.231,8.149,-18.248,-14.608,3.849
50.66,93.432,-30.952,-45.005,15.448,6.709,7.951,-56.307,-23.105,-12.258,-24.299,-18.103
48.066,25.956,13.35,9.125,-14.953,-46.451,-5.191,6.786,-47.654,-1.45,-4.649,-20.682
47.75,45.747,19.861,-37.37,-12.93,-35.414,10.647,23.245,-36.418,-7.641,-6.713,-34.56
53.857,37.934,-31.964,-48.801,23.976,-63.9,-7.808,7.077,-5.586,17.611,-16.383,-4.963
54.576,57.895,-9.007,-22.601,31.601,-41.215,-2.459,-4.295,4.528,8.491,-9.749,8.519
53.197,33.832,13.585,-17.035,33.512,-39.983,3.658,-9.679,5.114,11.056,-7.551,-11.481
53.519,21.141,-3.535,9.261,-7.337,-76.574,-6.643,-8.979,-2.802,37.291,-26.26,-21.578
52.108,92.765,-52.006,-46.02,66.278,-59.692,9.481,-6.015,-1.029,-3.902,-14.453,-52.663
50.979,16.613,7.648,-55.407,39.508,-16.638,28.743,-39.847,8.882,6.698,-7.197,-36.921
53.969,72.759,-11.057,-4.031,-2.29,-52.802,0.376,-3.619,-7.603,-0.155,-5.152,-26.217
52.156,79.343,18.33,-42.188,6.449,-39.258,11.744,12.235,-0.538,10.989,-15.305,-34.083
48.133,65.14,-102.288,103.859,-19.001,-30.889,-21.126,-35.667,5.961,0.662,-66.104,-8.831
52.224,84.391,-13.56,-104.105,-4.582,89.746,29.335,26.421,13.022,-1.823,50.023,-27.852
56.638,120.438,6.633,-32.429,8.578,-31.904,44.224,16.62,-12.578,-12.263,-11.597,-18.11
56.966,105.922,11.528,2.976,-1.01,-31.911,20.182,41.793,-25.583,16.0,-12.543,-20.936
57.89,81.714,13.708,-29.806,-0.603,-39.736,-3.241,28.052,-12.861,15.565,3.627,-20.066
58.001,118.725,33.46,-1.261,-6.476,-26.87,9.094,-27.485,-14.249,13.368,-26.127,-8.348
57.197,64.82,25.545,-3.104,20.651,-32.636,19.907,23.408,-2.646,19.95,-11.416,-1.929
56.366,87.006,9.64,-16.457,-12.416,-36.307,7.131,20.846,-5.808,24.77,-7.686,-16.115
57.111,86.406,6.748,-19.944,-3.33,-29.94,-14.83,-10.57,-19.384,24.883,3.13,-9.566
57.022,52.053,37.767,-12.841,15.383,-29.34,22.64,15.734,5.487,13.618,2.459,-13.805
56.771,73.197,33.7,-0.201,-20.186,-31.666,7.12,-10.511,-15.412,-3.667,-5.06,-35.507
56.786,80.453,25.819,-1.713,1.982,-40.218,31.236,11.958,-7.792,7.688,-19.524,-11.068
57.856,73.488,38.468,-1.661,0.87,-39.372,31.614,17.064,-26.012,9.58,-0.767,9.292
56.416,97.473,1.418,-25.191,-1.285,-36.284,-15.139,15.195,8.676,13.337,-11.98,-21.992
55.141,87.388,24.208,-42.797,-11.04,-21.311,1.04,7.519,-5.895,17.295,-11.162,-11.56
56.195,87.91,19.507,-25.52,-5.039,-10.662,3.595,-17.475,-5.3,19.892,-7.929,-11.473
56.655,66.117,22.082,-26.481,10.721,-10.167,22.486,9.18,-19.977,10.661,-5.148,18.169
56.868,82.939,65.333,-3.119,-5.291,-36.219,28.224,26.124,-9.199,8.181,-6.149,-11.655
56.103,87.442,27.846,-13.159,-1.857,-20.001,4.533,35.804,-23.19,-3.693,-18.018,-0.08
55.37,116.913,-3.027,-29.445,5.303,-26.723,6.561,-17.116,-14.766,27.266,-29.035,-10.146
56.449,76.977,45.794,-25.663,7.24,-15.461,47.12,-1.559,-6.605,9.598,-7.195,9.215
56.48,80.397,34.823,25.303,-5.48,-42.981,39.449,26.051,-20.373,2.774,-15.21,29.333
55.949,85.613,21.892,-41.435,-11.553,-15.848,9.851,14.465,-13.519,11.733,-5.742,-10.973
56.911,110.929,50.749,-11.349,-20.47,-27.503,23.818,-6.366,-4.865,-6.184,-8.962,-9.89
57.561,55.244,28.524,4.87,9.221,-54.376,18.503,-0.494,4.22,14.179,8.339,-18.886
56.553,53.709,45.32,-0.115,21.413,-39.694,31.576,18.191,32.849,17.685,-17.332,-19.827
56.938,101.905,28.981,-12.188,2.668,-24.115,36.153,25.973,-7.478,12.454,-3.196,-0.931
56.743,107.282,30.48,-30.747,-17.527,-29.234,-8.076,4.568,-9.724,4.847,-10.814,-30.326
56.642,112.249,17.957,-10.45,-33.817,-19.409,-0.351,0.971,-9.703,12.99,-18.381,-20.876
56.113,99.62,5.112,-28.881,8.557,-11.525,3.495,-26.423,-3.273,7.123,-9.623,-3.59
55.567,89.425,-8.092,-34.648,-22.546,-26.882,-9.438,-21.926,-1.225,13.042,-1.003,-6.714
56.356,93.165,13.958,-15.608,12.764,-36.774,-0.568,23.732,1.346,11.198,-16.53,-20.29
56.008,78.188,8.459,-23.48,3.588,-26.597,18.425,-10.965,-24.468,22.242,-16.365,-3.753
56.84,76.59,20.256,-30.149,-10.873,-41.916,-6.514,12.811,-13.917,2.82,-16.54,-1.175
56.619,80.724,20.955,-24.155,-39.457,-18.338,10.702,8.686,-11.186,12.792,-15.56,-20.455
56.685,78.245,37.563,-21.926,-4.236,-16.608,31.524,-2.631,-33.532,-6.773,-12.369,0.171
56.284,54.315,35.855,-15.016,-12.287,-61.489,31.341,14.687,7.03,5.4,-21.006,-21.327
56.221,56.11,11.537,-12.506,0.275,-56.416,6.153,-1.002,-2.468,4.436,4.555,-0.611
56.848,48.053,31.945,1.644,15.65,-33.726,29.992,-1.616,6.715,7.861,6.833,-13.003
56.601,80.465,13.272,-24.337,-3.332,-48.421,6.887,17.484,-1.486,-10.536,-16.76,-15.671
55.403,85.784,14.368,-23.839,-2.73,-21.889,17.356,7.549,-16.161,-5.192,-12.675,1.687
54.685,74.648,9.524,-5.215,-10.453,-38.801,13.62,-7.411,-7.358,6.351,-1.362,-7.863
54.723,94.699,4.252,-23.322,-7.428,-30.339,14.693,0.682,4.103,-10.462,-2.405,-0.502
55.318,86.178,26.491,-32.549,2.528,-37.032,24.134,-4.127,-4.645,5.389,-13.649,2.345
57.406,76.578,11.028,1.171,10.096,-39.66,22.04,25.062,-17.479,7.061,-4.713,-0.581
56.251,90.163,5.398,-33.045,-1.869,-29.643,8.846,2.695,-21.179,32.157,-14.71,-18.571
57.185,75.877,20.451,-12.887,14.42,-19.997,23.838,8.974,-19.828,16.774,-3.364,6.281
57.094,71.996,27.135,-11.021,0.429,-38.314,0.867,29.454,-15.351,21.708,-22.419,-18.804
56.819,98.12,-0.722,-13.973,8.349,-34.95,-10.988,0.742,-26.189,24.423,9.31,-1.955
57.44,57.564,46.109,-9.171,10.274,-51.555,29.71,18.42,-18.981,19.208,-11.216,4.821
57.109,66.885,27.656,-1.311,15.937,-59.868,50.337,9.957,-16.191,4.78,-5.785,19.448
57.619,64.664,56.39,-12.178,21.75,-29.645,28.358,13.198,-11.61,-13.829,-4.098,6.645
57.224,63.831,36.248,-20.13,21.936,-35.898,36.854,-0.431,-0.748,7.317,5.308,-11.544
57.175,67.668,10.549,7.037,9.428,-46.232,-6.791,11.624,-0.21,-1.041,-1.2,-7.046
56.444,107.881,6.686,-20.868,19.825,-21.029,4.109,2.746,-32.104,17.666,-11.972,3.296
57.549,58.312,33.487,-8.868,22.545,-39.793,48.099,2.015,-13.534,18.63,1.638,6.631
58.057,82.017,21.686,0.469,-3.237,-44.932,26.401,7.481,-29.668,-18.417,-22.716,-9.367
57.267,67.356,33.617,-28.123,16.227,-23.147,33.374,23.547,0.672,-14.607,2.856,-2.57
58.004,71.454,45.098,-3.357,-9.236,-46.819,42.807,20.038,-19.349,5.447,-15.249,9.899
56.102,86.42,-9.507,-10.372,-15.649,-62.666,-11.053,2.643,-7.229,-0.505,-14.254,-2.293
55.983,102.852,10.722,-22.268,-6.214,-23.544,-1.776,-22.889,-7.491,3.62,-13.476,-7.962
55.539,86.231,-0.178,-38.031,-3.582,-17.333,-0.818,4.149,0.53,1.401,-7.46,-8.332
56.978,42.693,11.389,-25.125,20.366,-39.234,-10.22,14.756,7.824,8.133,-2.079,-13.234
54.428,86.114,-22.452,48.483,25.778,-27.075,-33.823,28.508,-8.604,-6.809,-28.209,-10.699
45.952,84.709,20.703,-7.705,66.037,-53.616,-46.774,-27.377,-11.672,7.016,-17.864,-33.932
46.272,70.427,15.318,27.315,39.263,-15.299,-39.487,-26.48,-7.431,-9.458,-3.368,-13.814
43.423,58.13,33.839,-10.963,9.532,-33.122,-50.818,-18.697,-9.777,7.297,-8.007,-8.258
43.233,80.83,1.66,30.369,31.742,-44.282,-58.188,-22.602,-2.018,-2.442,-43.449,-16.093
36.938,38.95,55.717,47.295,41.797,-89.522,-65.404,-33.689,-4.217,29.31,-22.836,-19.702
42.763,96.888,11.794,-2.545,33.061,57.958,-2.313,-0.099,-19.182,-43.88,24.1,-14.914
40.634,72.344,29.106,-0.182,16.557,-39.916,-32.502,-6.64,-42.728,2.047,-9.203,-18.258
44.026,104.821,29.203,21.465,48.909,-44.588,-63.116,-17.96,-30.514,-6.0,-21.232,-6.021
41.406,91.032,54.692,-6.499,65.228,-46.295,-75.992,-23.989,-8.085,10.067,-7.456,-26.237
44.684,107.508,16.78,31.02,26.414,-31.931,-32.469,-20.722,-50.918,-11.375,-14.46,9.147
43.518,96.775,36.436,-2.118,30.125,-13.448,-43.409,-10.304,-33.544,-6.46,5.407,-11.697
44.973,102.807,50.321,-7.98,56.506,-47.401,-51.815,-19.269,-28.592,5.663,-1.328,-17.243
49.96,50.831,48.31,-50.992,42.899,10.054,31.763,-24.227,4.35,16.559,-19.415,4.37
54.425,94.803,-24.171,-2.162,-1.796,-41.912,-1.01,28.823,2.49,1.857,1.336,-10.677
53.789,95.677,-50.431,-6.288,-5.473,-17.909,-11.753,6.512,-12.044,19.724,-10.641,4.942
51.032,94.818,-35.751,-50.882,-22.296,-17.36,5.599,-14.663,-16.434,17.644,-37.071,3.78
53.804,81.633,-23.318,-41.363,-3.091,4.352,3.213,5.042,-9.348,-0.343,9.441,-8.876
54.484,86.243,-18.711,-21.414,-12.194,-28.251,-9.109,2.255,-12.586,4.869,21.731,2.374
53.741,101.251,-4.97,-25.89,-11.448,-29.898,-1.843,3.884,-2.197,-1.242,-8.235,-6.965
54.197,71.395,-10.736,-11.54,-23.691,-66.538,-15.823,6.146,-15.453,-4.922,-15.151,11.902
53.003,83.165,4.034,-33.985,-13.447,-23.84,1.454,2.278,-7.434,-1.28,-16.471,-4.697
53.988,84.522,-16.304,-21.79,-23.725,-16.462,-14.677,12.1,-6.364,6.282,12.929,-7.651
53.309,81.767,-15.863,-7.969,-17.237,-46.74,-1.072,-10.672,-6.479,18.277,5.271,7.517
53.835,76.958,-10.96,-38.257,-17.411,-47.766,5.054,12.531,-9.698,15.484,-8.296,-2.798
54.469,138.626,-54.532,-35.617,16.191,-53.693,13.471,4.304,-20.945,-2.885,-12.272,-15.536
55.827,78.613,-7.337,-17.894,1.8,-42.168,-14.749,27.05,-24.623,19.905,-4.855,0.473
55.35,61.837,-9.259,-43.385,26.961,-35.463,1.573,1.555,-9.9,-2.161,-5.1,-1.171
55.434,67.387,-36.119,4.412,-7.952,-48.703,-23.318,4.848,-8.907,2.003,-8.994,9.473
51.155,110.579,-63.303,-87.883,21.895,-19.608,-1.984,-11.059,-7.653,-19.637,-20.885,-10.292
49.663,98.375,-48.648,-71.141,-12.337,-9.337,17.184,2.6,-9.026,-14.688,-17.004,3.367
53.775,31.956,1.033,-5.147,14.746,-13.079,29.959,8.657,16.438,-15.279,-21.774,1.681
53.231,14.339,-22.019,17.963,29.394,-34.041,31.332,-9.137,7.191,10.78,-3.379,5.228
54.209,38.962,-16.176,21.411,-5.529,-55.831,-7.639,19.709,-1.882,6.33,-25.845,5.205
51.307,49.409,-55.947,-13.395,-13.45,-27.807,-48.364,-18.125,2.085,17.912,-34.501,-1.818
49.563,66.914,-64.682,-91.195,31.149,-3.667,14.792,-72.921,-23.397,-7.708,-20.072,2.69
53.57,24.284,-27.359,35.496,29.992,-23.423,17.865,4.117,12.355,6.885,-1.198,18.531
50.298,43.277,-20.672,-60.45,-6.915,-9.853,-17.204,51.722,-10.661,22.363,-5.244,-4.773
53.49,58.887,-42.508,-4.735,-2.56,-63.41,-27.543,35.302,-17.586,18.192,-26.199,-2.143
53.606,74.321,-16.928,-44.266,3.374,-30.861,4.651,-39.177,-20.921,36.106,-8.822,-12.432
53.686,48.477,-21.493,0.413,-5.024,-52.381,-14.916,-6.652,-24.082,7.584,-27.323,9.824
51.409,80.025,-73.469,-2.625,-4.741,-40.773,-35.717,31.207,-5.261,-2.558,-34.863,-1.518
52.802,67.201,-28.894,-42.274,-17.073,30.052,20.677,41.502,9.68,3.989,35.558,-15.825
