0,1,2,3,4,5,6,7,8,9,10,11
24.607,107.215,43.319,87.821,26.47,95.251,3.471,-32.725,-3.212,48.776,56.081,-18.063
34.626,34.132,137.764,-68.897,35.809,32.767,18.735,-5.048,-10.007,33.495,-29.351,7.479
41.78,103.22,157.091,42.707,23.987,-23.928,5.268,13.472,-12.305,-25.398,2.82,21.773
40.534,57.163,142.964,33.536,9.943,-14.74,13.613,-8.342,-33.827,-4.327,-12.571,15.539
39.856,19.784,113.944,25.975,17.092,-22.803,-21.114,9.517,-25.681,-16.013,-5.284,12.966
40.126,23.324,141.246,-4.013,30.995,-7.604,3.88,19.768,-22.149,-13.758,-0.432,21.45
41.375,74.978,150.272,48.867,37.767,-6.278,-1.79,-12.998,-7.464,-31.997,-21.15,1.251
40.908,36.682,134.46,53.067,40.133,-23.893,-6.437,-15.288,-15.025,1.241,-10.01,-3.648
41.067,65.787,141.672,17.182,20.1,-17.51,-11.17,-15.177,-29.51,6.575,0.26,-9.201
40.197,41.252,122.995,43.669,29.491,-29.618,14.343,-16.333,-16.011,-7.233,12.068,6.921
39.529,15.728,127.18,23.911,30.289,-16.762,-3.293,-12.174,-23.805,-19.104,-7.426,13.435
42.545,85.834,134.31,30.971,14.658,-17.907,-19.099,6.494,-25.508,-9.244,-9.029,12.637
41.494,107.767,168.142,42.135,35.855,-11.059,-14.413,0.107,-6.804,-27.365,-5.209,-7.473
41.174,86.954,147.516,39.864,33.415,-13.987,-12.313,-26.212,-22.164,-13.504,-1.435,9.174
41.451,65.426,147.698,41.42,31.343,-7.72,11.901,-8.767,-25.639,-10.507,11.269,21.741
41.76,44.543,115.311,34.151,12.505,-28.607,-7.262,-8.095,-34.044,-7.541,-4.608,34.733
41.379,60.647,130.536,29.73,20.873,-17.976,6.376,-1.664,-18.488,-19.84,-1.587,23.901
41.024,81.129,147.293,34.607,28.571,-4.024,7.647,7.437,-17.046,-23.996,-16.14,15.369
40.802,47.653,136.592,34.434,34.194,-12.435,-9.837,-19.065,-18.1,-13.351,2.49,-4.299
41.744,64.817,127.775,26.23,16.754,-7.132,-10.525,-10.811,-5.807,-12.309,9.696,-33.153
41.86,73.866,125.777,36.176,23.24,-24.242,-15.863,-23.671,-19.082,2.496,-0.375,-0.883
42.008,85.306,128.64,36.102,16.156,8.464,-3.513,-8.411,-21.455,-27.634,5.841,14.798
42.162,113.609,158.542,38.28,22.469,-16.317,-12.814,-3.832,-15.898,-18.64,-1.94,4.978
41.791,120.263,162.736,35.89,28.876,-17.528,-20.073,-16.999,-19.366,-28.95,-6.367,3.831
50.273,76.946,2.239,-50.145,15.091,39.138,25.927,0.983,-14.531,-3.589,26.545,10.355
54.43,81.696,-33.916,-27.68,9.52,-13.203,-1.036,4.786,-8.913,-8.403,13.655,1.947
53.851,77.702,-43.576,-27.838,-18.411,-63.263,-1.431,16.647,-22.068,-4.521,-17.393,7.579
53.195,45.526,-3.174,-35.061,-29.049,-31.338,11.694,2.842,-5.009,-11.494,-10.084,-3.689
54.319,86.761,-35.499,-31.3,20.488,-27.065,-14.371,35.897,-2.947,-25.753,16.193,7.061
54.091,67.067,-22.728,-27.354,-20.471,-45.574,7.806,4.811,-18.107,7.165,-8.5,9.079
53.393,68.085,-25.953,-29.151,-8.323,-45.581,17.11,-3.971,-20.365,-2.407,-13.286,4.361
54.828,85.085,-32.053,-21.153,2.704,-30.107,-4.839,1.623,-21.787,-24.843,-5.308,7.05
53.375,60.331,-23.59,-36.633,-23.749,-24.094,14.304,5.249,-20.058,-10.825,2.847,-1.919
56.085,83.781,-32.531,-40.562,0.661,-21.59,-5.091,21.689,-28.813,-23.556,4.878,8.013
56.041,82.96,-37.557,-22.036,-4.094,-49.236,-9.114,11.132,-24.51,-22.834,2.748,4.937
54.417,74.998,-42.436,-6.604,-8.388,-49.195,6.466,-6.966,-29.971,6.771,-7.53,11.941
55.364,96.409,-18.943,-20.735,11.233,-35.732,-12.912,21.706,-13.153,-39.502,6.731,1.239
51.896,93.062,-7.779,-7.747,10.327,-35.558,12.894,-5.608,-33.795,9.506,-20.757,6.4
53.502,72.603,-43.453,-37.641,-5.221,-45.612,1.351,4.177,-17.002,5.026,-7.544,-3.321
53.131,57.501,-15.144,-15.64,-29.381,-37.088,10.781,1.97,-14.122,-2.669,-11.848,7.216
54.669,102.322,-38.651,-20.054,12.256,-47.613,-19.114,35.477,-8.777,-39.182,7.534,7.342
53.584,62.799,-19.518,-22.039,-18.329,-37.979,19.378,8.297,-29.094,1.671,-6.227,13.541
52.93,56.958,-20.712,-36.939,1.272,-27.566,16.953,0.388,-17.673,-12.873,-4.69,-0.351
55.525,104.703,-34.271,-29.587,11.254,-34.318,-13.639,25.014,-16.884,-30.319,4.5,2.29
53.496,84.275,-22.947,-15.153,-0.615,-37.837,17.905,-9.703,-42.641,5.05,-13.762,9.47
53.895,60.63,-47.418,-32.571,-5.4,-57.698,5.171,4.42,-23.245,15.612,-12.267,3.663
53.576,51.689,-20.282,-10.772,-25.485,-41.788,11.753,-8.848,-17.303,16.343,-18.33,-0.932
55.926,86.492,-49.665,-25.849,7.605,-39.967,-7.582,21.027,-21.018,-21.362,0.592,12.373
55.232,61.659,-47.539,-16.557,2.53,-28.209,-2.851,7.937,-8.307,-20.447,-6.92,6.571
53.526,58.988,-17.113,-38.381,3.538,-10.694,5.435,31.389,-12.995,-20.442,-5.996,5.27
52.866,81.306,-52.942,-29.16,-4.57,-48.531,4.066,14.753,-20.579,0.676,-8.028,5.211
53.089,57.236,-17.818,-48.284,-14.647,-20.823,12.32,-8.261,-29.177,8.265,-8.636,6.789
54.239,80.647,-33.513,-23.011,2.883,-24.132,-16.002,46.969,-11.934,-25.488,2.153,10.064
53.164,79.417,-12.508,-20.141,-16.646,-17.65,17.621,-1.74,-29.616,30.08,-8.728,9.189
53.654,60.93,-28.002,-17.122,-10.052,-41.594,11.606,-14.201,-17.05,6.718,-9.62,2.15
55.545,105.424,-27.828,-25.839,14.326,-36.155,-16.727,29.693,-21.959,-40.777,9.701,6.768
53.28,86.334,-13.334,-13.798,13.28,-35.134,20.711,-13.009,-30.507,9.244,-15.567,11.522
53.5,68.649,-41.313,-32.474,-8.416,-25.78,17.186,6.409,-14.031,-5.075,3.849,2.051
53.415,44.261,-2.925,-34.242,-21.991,-30.114,18.557,-2.762,-13.041,9.429,-5.482,0.968
56.14,78.52,-31.921,-35.443,-1.659,-26.341,-9.882,28.105,-17.831,-22.859,6.846,3.736
55.668,81.401,-36.996,-35.066,2.517,-39.221,-6.203,22.172,-16.86,-25.781,-3.541,5.006
54.779,104.229,-25.586,-11.09,-19.185,-41.927,16.121,-13.622,-23.611,-4.256,-18.636,-1.24
54.725,70.615,-41.827,-3.308,0.51,-32.372,-11.936,5.465,-10.635,-15.605,1.989,-14.273
