0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
47.303,121.111,-20.427,-32.403,5.142,155.078,57.156,9.088,-14.25,84.783,135.761,-9.377
50.657,111.001,9.532,-20.021,-2.857,-30.475,7.911,14.764,11.833,-0.052,-13.56,-1.831
49.581,120.815,66.715,6.348,13.556,-27.127,3.611,3.518,6.903,3.178,-6.067,5.724
48.548,132.979,59.632,-19.697,7.273,-32.457,-7.611,-5.3,1.843,19.845,-9.549,1.556
49.18,130.836,72.143,-2.316,10.734,-36.685,-3.013,-6.257,-3.908,19.126,-7.991,10.136
50.554,100.824,28.989,-26.47,-3.79,-31.177,7.032,8.129,-1.117,23.014,-14.358,5.414
51.743,102.804,-19.999,-4.993,-12.571,-57.172,1.671,14.855,10.775,14.787,-10.58,-5.364
49.083,122.008,65.061,-2.502,9.393,-26.869,10.306,7.046,11.243,1.289,-4.299,-3.565
51.659,69.072,-29.704,-30.915,-26.332,-36.93,-3.877,-10.444,-5.996,17.222,-11.926,18.164
50.938,51.923,-23.925,-43.189,-23.023,-30.879,8.144,16.222,7.043,-2.798,-3.144,12.395
50.548,99.489,33.355,-15.949,-12.573,-37.21,21.471,10.047,11.141,-4.177,-2.434,-1.796
52.187,107.41,-3.984,-19.687,-3.47,-20.254,7.693,13.615,0.275,7.565,-0.452,0.424
52.163,97.788,-29.042,-32.94,-22.417,-55.619,0.876,-5.861,11.163,2.828,-25.233,-0.72
52.104,102.546,-20.353,-27.484,-21.058,-39.302,8.023,19.92,10.501,1.063,12.93,-1.1
52.13,113.923,-17.832,-33.739,-10.317,-64.429,2.683,16.177,12.856,15.266,-19.057,-5.235
49.776,121.553,51.556,-1.734,8.06,-31.026,-1.07,3.159,10.401,11.596,-10.079,12.058
48.433,140.676,73.306,-8.798,17.232,-33.247,3.177,-5.48,7.536,18.254,-7.026,4.458
49.474,109.669,61.842,-8.659,20.417,-33.245,25.809,2.515,6.062,15.681,-7.242,22.471
50.946,75.996,7.413,-25.705,-21.434,-30.783,20.881,9.767,7.097,10.191,-7.443,15.326
51.49,65.311,-19.161,-41.257,-15.68,-35.333,18.351,2.685,13.734,15.182,-16.603,6.954
51.737,93.266,-41.421,-8.287,-28.494,-72.611,-9.221,-15.868,-7.493,30.895,-17.985,16.162
50.139,71.651,-46.818,-19.425,-26.492,-43.307,4.035,-2.698,11.739,2.662,5.873,9.536
49.115,73.672,-39.891,-27.192,-35.912,-71.781,1.411,-5.51,-6.354,25.898,-8.263,19.997
52.076,111.339,-32.846,-29.425,-17.314,-46.696,1.064,16.716,3.716,11.541,8.374,2.483
52.394,96.427,-27.092,-22.571,-12.334,-60.903,4.792,-4.519,12.303,17.365,-1.738,-2.285
52.048,125.588,10.912,-5.633,11.705,-82.146,-16.554,12.028,-9.642,4.232,-11.18,17.596
49.673,131.209,65.056,-12.465,19.24,-26.867,-4.096,1.856,-3.108,20.292,-20.966,7.895
50.1,141.949,47.957,-5.002,30.639,-28.073,0.987,-1.216,1.451,1.691,-9.047,3.198
51.002,130.587,23.849,-41.621,31.244,-1.795,-16.975,6.338,-3.579,20.842,-16.986,11.467
