0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
32.852,223.293,-92.331,4.591,41.429,-11.631,-53.504,22.186,-11.278,-16.796,-8.531,-16.615
34.352,160.504,-35.811,41.982,33.906,111.482,-5.255,-26.972,-40.51,17.631,-76.4,3.368
38.281,118.105,-22.879,178.731,12.287,63.033,2.393,3.444,-30.363,-8.475,-31.058,5.212
36.699,104.41,-1.148,177.704,20.367,84.018,-6.264,23.075,-24.752,-22.061,-10.952,-7.417
41.865,145.344,76.191,74.854,5.505,27.341,3.24,-5.449,-34.243,-14.543,-2.833,1.793
32.52,200.55,-68.449,-5.589,34.739,-41.191,-26.563,8.734,-24.377,-34.585,-14.846,19.1
39.114,109.078,-7.982,189.007,3.689,28.008,-18.689,-3.706,-25.413,-28.045,-56.976,6.073
38.311,115.847,-11.804,181.318,-13.771,7.029,-14.346,-1.676,-28.147,-32.189,-53.249,8.898
37.901,114.541,10.726,177.362,13.848,50.868,-6.857,6.088,-34.734,-23.532,-45.39,-0.325
42.059,151.067,57.69,48.047,11.988,41.6,-14.667,-1.663,-35.429,18.256,-13.351,-8.325
36.109,98.863,-63.509,-49.885,84.76,-19.638,-21.643,-88.309,-31.171,-1.252,-32.043,8.007
45.041,120.01,12.822,31.487,35.227,33.393,-22.769,-25.021,-43.799,-10.596,-5.389,-0.456
35.865,-91.353,-110.637,75.586,-30.258,-99.687,-16.245,-14.135,-32.998,1.133,-28.879,-2.125
41.91,-4.301,-115.657,128.619,16.505,75.335,-23.461,22.469,-4.453,-39.196,12.443,-11.426
40.962,112.234,-18.326,148.521,17.524,23.146,-18.629,-18.137,-26.676,-21.58,-51.391,9.462
41.878,163.746,-18.812,73.058,31.79,25.108,-26.502,54.049,-32.308,17.285,-4.305,-3.384
41.481,94.995,-34.781,78.212,22.96,63.099,-12.686,-46.281,-36.511,25.785,-62.892,-3.689
43.727,9.612,8.41,-54.323,19.844,84.151,32.951,47.381,14.038,-15.977,-7.601,0.603
35.525,-15.563,-9.659,106.528,14.551,-30.582,25.487,28.898,-9.903,-14.383,-50.715,20.79
42.511,140.846,23.926,106.073,6.59,17.562,-25.866,2.351,-24.052,-21.736,-49.173,-13.454
28.724,-18.822,26.463,50.388,5.858,-17.958,-0.221,23.806,-3.052,-6.956,-31.143,-2.927
41.783,121.179,42.601,83.345,16.362,71.989,14.219,-11.703,-24.5,-22.383,-17.921,-19.728
33.899,192.682,-74.778,-16.666,45.185,-38.016,-26.843,-2.27,-3.919,-12.02,-18.824,-6.995
40.644,121.757,11.316,-15.728,34.31,122.459,31.652,-27.849,-35.651,2.314,-25.543,-11.399
35.542,-11.767,-125.451,42.937,-21.267,-91.296,-10.69,28.275,-14.392,-33.933,-9.814,-4.424
44.015,18.401,-100.048,184.065,0.994,-37.794,-50.077,11.144,-7.446,-46.492,-56.265,3.125
41.404,115.249,12.273,136.433,16.518,21.11,-6.14,1.345,-31.623,-14.203,-75.425,3.006
32.047,61.506,123.318,-210.82,-8.706,10.985,29.009,24.867,-22.955,13.088,1.483,6.541
33.383,181.623,-72.372,34.168,46.521,-42.954,-26.377,13.959,-16.596,-23.033,-17.402,0.06
41.097,131.603,27.432,48.601,23.533,97.449,28.541,-4.278,-32.86,-11.657,9.005,-11.458
34.111,-64.612,-141.946,107.739,-14.87,-43.185,-0.746,1.333,-16.85,-11.835,21.946,-18.613
40.376,4.689,-79.861,83.944,16.474,137.249,-6.408,56.215,5.014,-38.599,-1.353,-10.254
37.64,97.556,-2.592,166.183,5.24,44.174,-5.881,12.51,-28.45,-51.236,-41.645,4.017
40.691,92.569,53.149,36.822,8.635,121.987,27.379,14.939,-14.449,-16.319,33.616,-18.362
34.939,198.381,-68.733,-5.129,45.694,-24.109,-37.354,27.92,-4.894,-18.729,-4.571,-4.957
44.473,133.914,61.597,56.711,17.955,15.889,7.12,-11.865,-33.516,-22.446,-9.984,-11.81
35.039,-80.11,-124.278,68.909,-21.273,-100.809,-15.261,4.443,-6.617,-22.178,-10.779,-9.075
32.756,-40.935,-23.372,-92.151,-17.952,92.821,5.205,69.786,-14.913,-47.72,-94.965,8.185
38.12,103.81,0.793,149.249,7.7,100.875,6.693,20.703,-17.893,-40.603,-21.959,3.535
41.835,120.973,51.208,96.368,-3.936,15.386,1.977,10.346,-41.803,-14.85,-30.225,3.732
35.707,188.752,-89.852,17.465,42.024,-41.031,-45.338,47.562,-12.357,-21.774,-9.752,-5.788
44.443,145.986,52.555,51.427,23.513,13.254,22.735,-5.065,-37.287,2.896,-1.487,1.173
37.618,-83.012,-105.217,59.379,-9.537,-74.849,12.908,-27.425,-21.119,-12.384,-33.868,-10.377
44.288,24.285,-107.694,141.089,-10.105,-20.542,-32.482,7.603,-3.293,-41.927,-72.183,3.562
35.963,85.693,-22.459,2.868,39.593,152.612,31.167,12.561,-8.108,-46.143,-47.797,-1.801
44.16,39.032,-13.183,-100.563,24.754,198.276,30.237,40.553,-5.079,7.74,17.616,-3.421
43.286,46.728,-97.929,96.357,-11.416,-35.117,-30.248,20.766,10.924,-42.804,-83.513,6.575
21.367,-11.479,-103.093,-14.565,-4.266,-58.246,-30.931,-23.718,-0.041,19.798,-25.824,3.169
33.476,-115.551,87.857,-114.893,66.327,48.038,14.26,12.056,-14.568,-3.797,14.692,-17.146
43.313,10.782,166.309,-31.218,48.106,-20.382,39.854,33.677,-18.512,-10.838,10.334,-0.9
46.592,70.54,124.482,86.619,43.907,10.621,46.856,-3.788,-23.49,-26.218,-62.326,18.954
34.468,229.55,-31.086,-52.093,57.403,-48.133,25.317,18.639,-3.019,-45.989,-8.398,2.313
44.004,113.142,26.827,23.362,25.715,65.474,-3.668,-8.933,-38.485,-9.635,20.747,-12.11
40.342,-10.038,-81.129,18.976,7.424,-60.82,-7.19,8.77,4.315,20.786,-4.796,-8.405
45.074,34.508,-105.302,134.28,-9.747,-58.459,-40.378,13.93,-15.743,-39.811,-72.457,5.206
39.195,103.28,-3.558,180.233,-2.515,20.309,-16.528,-9.271,-23.297,-33.101,-65.44,9.217
45.63,71.897,-87.877,119.304,22.328,-7.2,-56.477,72.152,-13.65,-28.523,11.233,-1.948
41.977,71.139,-32.332,120.466,16.41,35.865,6.546,-66.314,-34.152,-5.195,-46.869,-1.647
46.489,22.578,-48.173,-22.489,11.361,103.083,-9.423,35.568,8.105,-39.811,85.19,-27.642
46.787,53.224,38.901,-65.231,-8.53,16.932,-57.258,-4.116,-31.619,-8.32,20.69,-19.395
51.831,136.471,85.539,-7.555,51.703,-25.818,-49.322,-14.366,-24.504,5.759,-13.817,19.136
