0,1,2,3,4,5,6,7,8,9,10,11
0.085,169.18,7.106,-30.971,55.704,-50.115,15.414,3.261,-27.636,1.235,-10.993,-5.876
3.041,105.995,-51.052,-74.442,30.424,-44.049,19.297,-19.14,-35.881,10.521,-4.559,16.113
6.862,33.977,-39.661,-60.803,73.729,-46.941,14.527,-3.528,-26.514,4.905,-4.143,23.134
8.926,-9.762,-92.994,-59.678,53.294,-54.729,8.744,8.128,-18.606,9.048,-10.498,8.06
10.268,-45.023,-129.38,-84.999,52.778,-62.944,6.738,2.64,14.121,11.218,-9.143,-18.032
12.27,-80.425,-129.347,-75.802,63.279,-68.533,15.03,10.921,15.339,9.196,-12.165,-10.389
13.089,-95.765,-137.335,-76.739,60.983,-71.859,13.978,12.234,13.958,4.213,-9.363,-6.968
17.849,-57.676,-29.932,-123.691,27.202,-11.376,27.229,18.535,5.946,-0.154,-8.762,-14.049
22.706,-51.928,-44.287,-18.992,-16.935,-33.367,17.16,-12.475,-12.475,15.145,-3.371,-11.474
24.125,-74.384,-57.66,-12.63,-37.213,-40.695,15.424,-10.186,-22.07,5.923,4.188,-1.164
24.843,-76.56,-42.64,0.25,-30.256,-76.736,9.159,-2.87,-9.241,12.23,-11.145,-2.119
25.222,-23.273,-39.674,8.648,-27.072,-47.815,-9.219,-35.07,4.275,14.163,-2.108,-27.534
23.596,-71.058,-16.979,-38.938,-10.695,-30.29,9.337,0.59,2.491,7.896,-16.471,-14.859
24.752,-99.607,-83.693,-32.053,-32.421,-65.074,-1.139,-11.581,-10.569,7.12,-5.616,-4.397
26.006,-122.034,-75.806,-28.332,-21.61,-20.257,11.531,-6.94,1.274,-8.549,-1.064,-18.256
26.133,-103.812,-57.041,-14.215,-31.279,-79.362,8.527,-14.034,-6.428,10.445,-6.949,0.623
26.709,-54.386,-52.775,2.678,-15.43,-33.561,-5.473,-34.369,20.788,-1.259,11.191,-34.956
25.714,-119.142,-37.954,-53.778,-6.844,-38.211,4.174,-1.177,16.143,6.251,-14.94,-22.296
27.071,-146.157,-104.679,-27.515,-9.539,-50.389,-4.762,-2.55,11.373,16.325,-5.173,-21.549
26.357,-133.553,-84.558,-24.365,-22.999,-24.652,7.198,-13.261,-1.949,-7.062,-5.838,-17.776
