0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
50.567,63.878,-49.777,33.611,-29.567,-67.897,-19.97,36.425,-5.019,14.439,-4.504,9.163
44.681,199.213,33.281,29.697,-3.128,-24.733,-8.132,0.456,24.813,-4.218,2.439,-10.876
51.794,56.912,-49.44,6.81,-20.658,-66.141,-9.129,9.326,-3.813,-5.811,-5.91,2.911
55.541,46.246,-0.614,-7.134,15.971,-23.249,-23.081,22.108,4.621,-29.328,-1.095,14.043
50.775,75.868,-31.698,29.936,-16.38,-30.969,-18.654,41.306,4.397,5.78,11.692,-0.128
50.807,73.621,-36.87,20.896,-26.815,-59.615,-20.018,48.505,3.851,15.467,11.82,-0.957
50.188,72.139,-40.217,16.241,-28.582,-39.297,-19.969,48.882,2.85,35.367,27.044,-1.679
49.973,68.15,-19.116,-7.418,-25.876,25.363,7.49,9.97,1.19,51.507,10.188,2.827
54.578,36.33,-22.969,26.728,-1.832,-33.267,-26.231,15.565,9.253,-23.187,-21.698,9.475
46.84,156.484,-9.14,4.32,-16.295,-53.134,1.357,2.325,16.997,-1.159,-11.716,-12.296
50.145,67.082,-21.18,-3.488,-26.044,21.144,7.595,8.851,-0.586,46.433,15.674,0.519
50.974,79.048,-39.326,29.732,-32.119,-70.304,-16.272,38.314,5.779,-1.104,-12.045,4.356
43.929,212.918,41.487,29.228,-1.24,-38.291,18.252,-6.887,37.211,10.596,-0.819,-16.751
51.804,47.861,-28.32,4.425,-35.27,-73.2,-14.03,15.212,0.684,3.077,-11.274,3.584
55.447,36.977,8.096,3.248,15.944,-33.639,-31.509,12.509,3.244,-23.877,1.906,10.767
51.265,46.318,-26.407,7.054,-33.044,-78.931,-13.429,16.675,5.781,-0.845,-14.74,3.81
46.796,152.747,-3.224,5.963,-24.938,-51.854,-0.49,-4.622,21.295,2.069,-8.438,-3.914
51.36,43.007,-36.29,19.703,-28.172,-59.488,-9.678,13.083,1.129,3.347,-3.331,3.309
46.987,143.12,-8.622,14.535,-4.854,-45.688,16.133,-8.611,23.735,1.444,-11.556,2.043
50.776,33.408,-35.031,34.867,-26.717,-38.562,2.979,8.324,-18.711,19.28,13.472,6.362
46.814,158.572,-16.407,12.185,0.061,-40.563,35.469,12.541,2.038,-14.906,2.769,37.539
50.848,35.074,-29.577,10.768,-20.251,-45.013,4.281,24.121,-1.7,21.3,15.081,20.747
55.554,52.58,-23.764,25.235,13.019,-26.148,-18.856,18.134,-1.078,-25.739,-17.073,13.28
51.075,62.45,-1.262,-58.467,11.303,8.106,11.284,-5.0,-16.577,4.386,-40.393,20.38
51.331,3.046,16.964,-93.288,13.317,-28.403,1.558,10.585,-0.094,17.93,-9.542,8.664
54.553,24.569,34.41,-38.043,48.552,-33.813,6.131,-7.683,-9.218,2.362,-3.26,3.728
53.503,-19.996,-29.206,17.034,17.67,-63.198,2.911,3.368,7.24,16.344,-0.419,2.429
54.232,11.118,-24.427,-8.855,18.584,-2.211,1.895,1.385,6.575,2.471,4.181,2.805
52.153,45.742,-4.37,-26.551,20.536,-23.489,-40.214,5.414,-30.974,5.901,-29.311,-1.541
52.333,-1.096,-10.44,-30.432,-3.576,3.539,14.773,4.866,6.09,25.593,24.748,-0.756
53.024,33.499,-1.338,-36.724,-0.93,-32.152,4.828,-22.121,14.697,4.917,-13.575,9.555
53.967,-33.823,12.005,-3.404,-8.7,-65.416,6.732,-16.442,-7.105,15.398,-13.312,-18.395
52.553,7.502,4.725,-1.2,21.496,-36.868,-7.081,31.856,-17.87,-3.178,-0.776,-4.323
51.032,48.577,-94.398,-6.588,19.235,-107.388,-9.401,34.09,-23.907,-8.502,-19.091,-11.614
54.599,24.294,-34.079,14.153,9.813,-29.997,-16.658,-9.232,-21.674,5.855,-18.559,-2.803
49.232,-11.99,-33.066,28.206,-18.121,-18.693,-1.171,-32.185,-29.777,26.56,7.025,-6.125
49.303,-7.324,-56.079,-28.61,-13.978,-105.044,-18.299,54.095,-15.227,6.749,-10.491,-4.421
51.989,-14.543,-49.508,8.32,28.423,-15.895,15.128,-45.436,-3.732,51.143,6.842,-4.638
51.281,-24.15,-19.648,-13.133,29.997,-11.883,0.631,12.241,-17.722,-20.678,-16.817,-2.346
51.371,-12.717,5.8,4.682,53.013,-41.099,2.706,-31.878,-12.613,37.595,-6.434,-1.11
51.651,-76.27,-18.206,1.578,9.673,-90.863,7.829,-16.109,18.67,34.103,-10.151,-3.672
51.566,-3.57,-15.712,-55.003,24.863,-35.612,-0.219,61.858,-0.188,-19.853,-1.397,-20.945
55.521,48.74,-25.94,3.607,-6.219,-16.639,-28.831,10.938,-17.395,11.607,-5.464,-4.415
52.158,37.809,-21.584,-28.714,33.644,-29.757,-25.235,-12.107,-17.48,-12.17,5.337,2.647
49.878,-23.044,-72.841,25.01,-13.359,-68.675,-21.613,-10.656,4.431,-10.579,-33.797,5.583
51.806,-18.466,-4.85,-27.799,23.837,6.951,19.907,-42.122,0.214,5.348,10.491,-8.939
52.904,-49.068,2.029,8.426,5.564,-18.714,23.334,1.502,-9.57,-24.282,-9.518,-2.935
52.121,-39.346,32.491,11.48,33.912,-29.137,13.589,-15.576,-31.521,-11.833,23.374,4.145
50.32,-40.197,-31.555,50.444,-9.084,-25.148,-16.673,5.268,5.387,-13.802,-21.366,2.806
53.452,28.37,-16.402,-53.837,16.499,49.577,3.077,-3.52,-1.876,3.257,17.773,-20.042
56.457,11.045,-2.703,23.345,18.707,-37.715,2.513,-7.091,-6.21,3.576,-22.835,5.689
52.641,16.621,0.805,-55.291,-7.2,-15.426,16.305,-9.005,-6.741,-21.116,-8.144,16.126
53.556,20.147,12.109,-25.314,-15.609,-52.231,-35.5,34.168,-44.281,-0.428,-9.595,-1.073
53.508,55.613,17.187,-39.82,9.694,-29.511,-25.488,-10.019,-35.791,16.44,1.198,-18.411
55.604,40.882,4.787,-30.678,-12.997,-26.471,-1.983,10.902,-7.76,-2.385,-12.241,-8.363
56.661,26.669,21.547,-14.431,3.59,-2.37,-13.375,8.192,-6.582,2.708,-14.411,-19.262
55.105,23.265,5.416,-5.948,-30.543,-54.13,-4.164,12.574,-18.357,-8.072,-16.029,-11.109
53.239,43.705,22.611,1.257,-0.127,-23.027,-12.105,9.651,-5.778,-0.069,6.006,6.762
54.163,31.566,-2.854,15.109,-44.622,-36.964,5.549,18.374,-23.71,-21.077,-21.165,0.109
52.1,26.247,-17.975,3.959,-38.547,-13.535,-8.717,11.785,-17.588,18.151,26.911,-13.182
52.165,19.95,-11.949,-0.58,-47.148,-16.937,-7.88,2.463,-21.212,9.434,16.467,-10.54
54.852,32.006,-18.203,16.489,-12.795,-42.187,-18.59,-0.402,-14.904,2.051,-22.933,9.565
51.739,19.836,43.465,-78.147,-13.569,9.865,32.399,-15.974,-6.668,24.479,-23.275,12.027
54.368,48.014,-9.833,-20.898,-12.223,-29.987,-7.069,-1.634,2.311,2.459,-6.978,30.257
55.171,28.775,-11.26,-5.612,-23.961,-42.007,-12.467,-3.325,-37.496,-0.687,-24.804,8.712
53.696,-4.304,5.617,-14.382,-4.447,-17.222,-21.865,18.074,-33.782,5.463,16.961,1.727
53.547,58.335,15.789,-45.234,5.69,-27.058,-12.523,-23.876,-38.676,9.76,-11.978,-14.721
56.2,74.554,10.971,-12.061,-17.451,-40.375,-19.004,5.415,-21.67,-6.079,-4.938,-16.234
57.491,19.617,9.989,13.381,1.864,-39.535,-17.369,3.045,-13.004,-10.183,-11.61,-6.023
54.974,19.897,13.641,-1.278,-25.516,-47.676,-3.881,4.032,-13.282,-1.376,-0.87,-9.657
54.026,32.459,9.964,-1.917,-5.992,-35.702,1.578,10.207,-4.238,6.695,-4.754,4.592
53.91,25.122,-9.732,17.552,-41.158,-37.201,8.574,4.144,-22.874,-19.769,-20.688,5.975
52.323,4.507,-9.615,10.387,-60.628,-26.807,10.498,8.3,-32.731,-5.257,12.634,-6.481
50.577,38.062,-25.476,-27.589,-32.026,-40.97,-3.932,0.061,-18.762,7.608,0.228,15.67
51.789,-0.518,-7.889,5.406,-47.665,-36.415,10.603,16.957,-29.541,3.219,7.03,-1.963
54.314,44.015,-35.56,14.331,-10.776,-41.897,-15.853,18.191,-14.821,-14.567,-33.757,14.155
54.308,34.772,-18.888,-0.843,10.132,13.433,9.027,-12.565,-16.074,13.371,8.004,9.702
54.709,5.349,-6.746,-14.427,18.317,-12.181,-6.311,15.845,-11.223,0.375,-14.198,-24.898
52.959,32.462,-22.836,-31.641,34.691,-8.381,11.247,0.655,-26.405,9.964,-13.463,23.661
54.836,17.846,37.72,-2.405,77.042,-60.391,7.023,20.973,-5.361,-1.752,6.323,-0.503
53.807,48.543,-57.443,8.455,5.397,-59.169,-24.591,35.05,-26.305,-2.227,-10.737,-0.5
54.913,47.797,-13.196,-15.191,21.129,18.415,0.075,8.95,-25.072,22.149,-3.905,8.463
