0,1,2,3,4,5,6,7,8,9,10,11
0.106,168.972,5.756,-31.373,54.324,-50.43,17.382,3.443,-26.921,2.055,-11.792,-7.013
19.179,27.835,60.535,-272.553,26.01,83.036,66.151,-68.447,-50.22,72.22,-28.508,27.896
40.415,-2.777,19.385,29.803,12.435,-3.606,-20.855,-34.376,-25.059,12.959,4.301,23.08
39.674,-103.25,-59.405,44.251,-18.276,-63.79,19.388,-36.321,-16.531,22.014,-18.893,16.499
34.343,-84.813,-43.729,19.926,15.479,-75.987,21.181,-66.184,-21.513,26.556,-13.349,12.591
33.411,-66.485,-84.916,28.36,15.52,-94.171,13.26,-50.286,-17.315,35.926,-27.495,8.325
35.101,-93.074,25.29,-121.765,21.479,19.067,38.216,17.372,-16.162,-31.864,-27.945,14.882
37.202,-48.984,-36.345,21.852,16.533,-55.909,-9.671,-41.185,-3.025,2.922,-13.665,32.592
39.935,-52.819,-45.783,-24.383,6.788,17.712,30.547,-25.127,0.437,-6.59,-27.236,13.735
37.906,-32.892,-46.999,-13.738,-3.211,-44.812,-15.437,-14.21,12.416,-3.435,-11.788,6.256
34.701,-53.797,-69.359,23.765,11.342,-59.186,-1.151,-64.301,4.696,23.719,-15.617,-5.019
30.295,-116.554,-62.657,-1.621,25.92,-63.82,27.089,-45.71,12.101,19.241,-14.218,-14.161
33.405,-50.405,-83.855,24.839,44.02,-10.297,15.952,-70.138,16.495,-11.899,-31.167,-6.008
33.691,-60.308,-71.978,21.028,32.448,-64.822,2.635,-63.082,-11.235,26.915,-20.57,-7.08
39.238,16.152,-31.673,2.178,20.411,38.438,15.625,-22.269,1.932,-12.947,-24.2,19.689
36.464,-46.317,-61.784,5.877,28.959,-16.114,-15.232,-53.165,2.332,-13.993,2.457,-7.466
35.994,-80.54,-34.183,-0.222,-4.659,-3.929,14.343,-33.462,-7.322,4.871,9.021,21.443
36.905,-103.84,-90.71,34.118,5.597,11.044,32.556,-42.48,-1.941,-11.908,-11.669,-2.354
32.877,-109.455,-77.163,-12.087,16.224,15.101,55.446,-26.318,20.06,-70.351,-0.406,-1.372
32.917,-65.604,-96.379,36.159,15.15,-88.07,5.619,-58.284,-7.205,33.168,-26.329,14.663
33.371,-77.931,-52.721,-83.289,30.821,38.622,31.747,-21.941,18.611,-37.2,-44.966,19.031
36.078,-79.941,-109.349,26.293,-3.192,52.571,25.354,-34.729,8.753,-17.263,-25.144,9.751
31.426,-108.505,-96.89,-49.62,-11.827,-14.761,-4.583,-11.207,20.972,-5.319,1.743,-3.559
31.076,-43.328,-141.895,39.696,-16.44,-53.885,-1.435,-78.184,-12.204,5.783,-12.532,-0.631
27.678,-106.165,-126.004,-14.757,13.587,-63.619,-8.644,-48.797,-6.479,23.873,-27.489,-8.431
32.856,-43.571,-114.153,31.186,20.635,3.683,7.013,-52.326,-6.125,-4.327,-15.48,6.885
35.043,-18.3,-62.314,-11.354,-11.645,-23.396,15.595,-58.05,-29.619,26.121,-17.567,12.042
39.043,-16.146,5.976,-100.408,-5.527,36.978,42.026,-5.682,6.058,-54.692,-20.959,28.064
42.025,-34.753,-2.771,-68.516,24.696,-33.344,10.518,8.553,0.53,-11.646,7.378,10.828
44.33,-51.618,2.722,7.937,55.791,-15.551,-1.984,-38.722,12.193,13.196,-64.357,9.99
42.447,-100.423,-63.111,19.04,46.828,70.508,33.655,27.65,1.856,5.976,-33.048,15.863
43.174,153.242,-94.364,-82.537,21.664,-8.843,9.531,13.129,45.358,-41.67,29.577,11.538
45.592,-62.233,-30.128,29.396,50.01,-28.895,-10.424,16.141,-27.237,28.833,-65.001,-5.556
