0,1,2,3,4,5,6,7,8,9,10,11
12.193,131.19,87.271,-298.433,79.374,-34.314,45.637,-76.396,-39.3,46.999,43.005,0.352
52.859,-3.82,-45.039,15.874,41.133,-60.496,-10.337,-29.373,6.241,12.759,-23.708,-15.05
52.119,3.376,-35.722,31.908,48.87,-34.015,8.254,-35.282,13.944,19.359,-18.234,-7.163
51.267,50.214,39.524,14.288,53.144,-13.492,54.929,-9.333,19.046,14.78,-21.807,3.305
52.63,-5.914,-33.535,22.347,41.922,-65.878,-10.991,-25.397,-0.055,8.824,-35.701,-27.19
49.161,-13.376,-42.814,28.055,63.916,-70.538,7.301,-51.159,16.861,18.442,-34.5,-24.795
46.624,-79.261,-49.917,42.539,27.586,-93.631,17.905,-45.58,-7.937,9.985,-32.071,2.222
49.955,-59.703,-5.798,51.954,0.749,-73.2,1.446,-33.335,2.772,18.144,-26.189,-44.255
45.138,-119.315,10.478,25.885,46.139,-52.032,35.235,-32.757,2.099,15.819,-17.581,-17.879
53.443,26.345,-22.702,62.916,54.076,-58.364,12.357,0.329,1.617,14.556,-23.94,21.517
50.695,12.505,16.859,38.043,75.286,-8.26,30.803,-42.293,10.08,-16.427,4.095,-40.834
48.063,-42.176,10.338,12.015,90.683,-60.619,15.157,-26.126,3.146,12.637,-12.031,-13.331
52.453,5.203,-16.768,-15.0,73.732,-12.153,27.057,8.599,26.139,-3.02,48.373,-2.871
50.612,-55.113,-11.823,40.595,28.015,-71.672,-0.799,-2.511,-4.792,0.534,-32.198,-22.173
51.865,-7.417,-27.1,46.477,62.749,16.733,1.764,-25.559,4.821,0.084,19.692,-37.227
49.468,-0.327,0.94,31.678,74.284,-39.466,8.315,-48.147,29.043,9.523,-20.021,-32.958
52.14,-10.166,-42.065,22.306,68.504,-75.401,-8.145,-32.433,-0.175,9.733,-22.637,11.02
49.121,-8.451,-31.603,47.917,65.301,-62.93,24.723,-49.696,6.786,5.53,-20.173,8.798
47.982,-84.063,-39.441,45.467,36.395,-86.349,41.471,-48.412,-5.929,19.548,-22.768,8.637
