0,1,2,3,4,5,6,7,8,9,10,11
40.743,-0.283,107.298,-195.057,28.433,145.404,44.342,73.286,-10.393,38.837,43.76,-5.174
50.517,44.958,49.308,-12.36,2.918,-35.98,-49.978,-11.08,-13.655,-5.609,-0.732,-4.323
45.309,47.168,-12.161,166.211,2.994,17.054,-30.226,15.218,-0.409,-31.248,-87.15,23.025
50.632,39.963,-55.156,14.905,2.517,29.019,-9.757,31.55,-11.837,5.691,16.431,9.207
51.689,44.365,-53.213,18.904,-9.46,-24.178,-26.079,21.955,-4.467,-22.667,-48.897,8.085
51.876,56.762,-32.922,-15.201,-14.345,-69.255,-36.553,17.585,-7.69,-26.566,-11.227,5.802
52.327,28.492,-19.598,28.915,-23.122,-7.969,14.21,-12.341,-21.461,6.038,-30.708,26.962
47.705,-11.085,-58.088,42.928,-37.182,-12.104,0.604,-16.567,-19.054,18.101,-52.747,20.026
50.488,62.542,10.76,-122.538,-13.351,50.43,27.698,61.313,8.988,-19.351,11.077,3.589
53.998,112.199,11.678,-16.587,-19.504,-17.991,16.595,-9.14,-13.592,8.294,-22.382,18.345
53.971,70.534,-2.195,-17.016,-10.249,-27.316,-8.244,30.957,-18.325,16.022,-1.532,16.023
49.049,120.469,-17.69,-2.818,8.693,-38.288,-4.956,22.806,-6.842,21.561,-11.488,-1.759
51.766,118.263,32.499,-72.311,1.637,5.758,11.29,8.732,-23.875,25.95,-19.477,7.58
55.089,78.989,7.179,-18.648,-22.679,-39.84,0.294,24.6,-12.328,12.868,8.219,9.145
54.52,88.168,-1.497,-37.777,-22.707,-29.807,11.577,22.172,-17.396,-12.093,-21.171,7.449
53.59,41.103,-9.815,-24.714,-3.503,-53.777,-12.987,16.931,-14.82,-19.208,-14.742,6.839
51.818,100.589,-2.856,40.876,-22.883,-38.69,1.348,48.912,-14.977,1.921,-26.777,27.018
47.786,122.5,-60.79,-13.477,-24.426,-84.46,-9.087,37.248,-15.462,-31.606,-6.822,19.641
47.816,111.876,-61.947,2.658,-31.293,-87.508,-17.748,53.515,-17.458,-18.994,1.059,13.875
52.038,58.503,-30.125,-24.929,9.931,-64.292,-23.385,30.615,-4.299,-23.631,8.458,3.153
51.689,84.954,5.484,39.225,8.64,-46.066,-4.055,22.178,-22.672,-4.648,-22.694,1.888
50.919,117.112,-5.692,-13.769,21.797,-20.723,-19.797,25.957,-21.376,7.57,14.414,10.075
54.046,69.944,11.402,-13.493,-27.021,-34.86,18.777,1.335,-21.486,22.462,8.809,11.546
53.964,89.651,3.79,-15.087,-1.751,-35.169,19.445,-2.441,-15.225,4.09,-11.468,5.272
54.478,39.724,-4.128,-18.444,-13.638,-55.782,-4.03,9.459,-20.26,-1.775,-4.096,5.965
53.57,63.029,7.082,-3.416,-18.455,-24.628,7.662,12.475,-10.477,4.965,-30.374,32.373
52.483,47.911,-46.137,-22.323,-2.385,-55.074,-19.028,18.079,-14.187,-8.429,6.816,9.876
54.466,80.866,1.158,-45.078,-34.218,-31.077,8.567,26.241,-19.492,-3.427,7.704,13.2
55.722,129.888,-3.161,-12.125,-17.748,-35.525,23.485,-4.598,-36.778,0.33,-4.996,12.751
53.922,112.18,20.703,-26.138,-25.026,-30.4,23.139,9.791,-7.238,-5.699,-6.418,15.642
54.349,87.569,7.03,-22.53,-40.451,-53.366,16.776,29.368,-17.046,-2.214,2.197,19.396
54.77,107.263,4.285,-32.803,-30.269,-37.51,9.624,8.019,-13.801,9.884,-2.896,2.334
56.796,102.746,11.875,-10.522,-2.821,-28.612,-1.045,-4.154,-28.08,18.754,-11.037,-4.627
55.911,88.83,39.249,-32.472,-0.266,-42.047,-2.703,19.845,-34.364,20.357,10.52,-10.468
55.821,118.003,59.985,29.895,18.455,-16.552,-23.149,-22.781,-12.808,-6.429,-20.712,-4.055
54.223,82.862,58.573,-31.476,21.971,-24.159,-12.943,8.743,-27.735,-5.337,-9.317,7.371
51.096,34.857,61.357,-65.473,53.041,-2.482,-5.278,12.809,-8.674,-7.926,-13.474,35.312
50.328,13.966,46.286,-67.566,53.61,-6.041,-11.557,27.534,-29.901,-12.133,-7.293,11.518
52.115,50.547,26.235,-56.781,41.17,-3.767,-57.199,0.959,8.471,-0.36,-0.597,-6.954
50.841,67.454,6.279,-0.769,2.755,-33.506,-50.775,-5.294,12.608,13.717,12.65,-11.912
54.168,90.504,36.376,-3.63,-14.176,-23.092,5.189,17.54,-16.247,-16.442,6.473,12.447
52.846,86.058,65.425,-6.334,-16.049,-36.599,21.245,0.838,-16.902,1.287,3.669,27.38
51.245,20.396,10.599,1.168,-36.931,-71.587,-7.662,0.517,-20.46,1.348,-23.29,9.598
50.046,29.629,-17.667,57.625,-13.501,16.023,-19.999,19.395,-19.859,-12.97,-45.256,20.417
38.634,88.947,-16.463,-24.588,7.47,-23.77,-14.517,15.072,15.252,-15.105,17.6,-3.213
51.971,77.951,21.742,-22.34,-18.176,-17.293,6.854,20.449,-15.602,11.283,29.684,10.624
54.106,60.045,15.319,-6.072,-29.094,-44.577,-5.278,7.795,-20.777,-2.863,8.203,14.475
52.679,115.466,64.813,-26.977,8.056,-28.606,-10.005,12.747,-16.14,-4.085,-5.366,3.245
56.213,90.369,56.098,-9.343,44.648,-21.798,-46.474,-13.607,-35.822,-8.481,10.889,3.82
56.41,48.222,61.576,-10.504,20.747,-25.168,-11.346,13.918,-16.517,-7.631,-2.308,9.314
56.249,111.816,54.326,32.123,19.932,-25.385,-30.236,3.2,-10.258,-3.221,-9.138,8.724
55.804,77.51,67.955,-22.804,60.364,-22.895,3.408,-0.651,-21.242,9.117,-2.897,9.587
56.955,72.432,49.341,15.378,28.143,-29.044,25.57,22.962,-7.544,-10.718,-3.48,17.701
48.89,119.052,10.997,69.277,44.872,-69.471,-53.049,21.864,-30.896,2.743,3.895,-5.043
53.34,46.471,8.547,-44.016,19.184,-32.727,-8.678,1.987,-11.246,12.441,-24.044,3.765
54.075,47.265,37.7,25.549,38.569,-5.997,-18.551,-0.065,-22.607,10.094,-14.294,7.827
56.473,109.163,-5.266,-39.143,-5.618,-31.664,-68.199,17.698,31.611,-16.688,15.429,-12.099
55.576,115.221,6.995,9.117,4.443,-21.442,-77.336,-3.568,8.743,11.76,-10.064,6.082
54.482,95.9,-7.409,-27.356,1.271,-22.199,14.064,4.995,-34.85,-21.732,22.625,10.107
53.964,106.014,57.474,18.574,-9.95,-16.56,-6.542,-17.129,-4.395,-13.119,-14.415,11.574
52.197,48.715,33.814,23.747,-6.519,-23.175,-0.872,-8.168,0.97,-6.347,-20.445,-1.837
52.988,39.907,11.777,-26.872,1.212,-14.192,-12.495,20.559,-10.755,2.585,12.033,4.663
53.041,63.036,39.287,-20.994,-10.418,-29.133,0.877,10.683,-5.148,-11.011,-3.247,14.21
51.918,49.603,-35.336,-12.197,-5.367,-77.003,-32.757,16.832,-7.873,-29.228,-11.504,-1.88
52.46,42.817,-41.515,-18.43,-1.595,-56.479,-27.052,13.856,-7.799,-9.864,11.881,2.82
53.704,67.719,6.087,-44.131,-27.735,-35.886,9.229,34.465,-11.865,-3.301,16.449,5.586
55.339,111.088,18.542,-22.806,-15.702,-20.917,8.721,0.416,-23.492,4.498,-17.461,6.255
57.124,75.968,35.229,-25.49,-9.075,-30.97,17.123,43.466,-5.592,-12.099,2.26,9.077
56.275,139.19,56.22,29.849,13.492,-16.391,-6.723,-12.988,-7.272,6.314,-24.744,11.841
55.914,91.138,30.965,-35.437,20.581,-15.663,-27.359,26.997,-2.397,9.992,6.452,-25.522
56.45,106.124,36.727,-7.163,21.864,-20.755,-21.557,-19.366,-4.584,11.902,-23.565,4.166
54.525,45.531,51.057,-4.152,27.961,-17.599,-28.549,-16.07,-15.271,-0.321,-10.786,11.671
55.105,58.959,54.063,26.18,-12.468,-54.087,16.156,29.826,-32.354,-21.755,7.334,-10.759
55.048,62.641,22.633,-10.68,-31.747,-25.041,-6.658,10.513,-3.932,9.281,-22.919,-20.699
51.55,63.302,24.153,27.028,-4.531,24.323,-26.812,43.981,-24.901,-15.892,-41.81,-16.283
56.118,53.3,-5.629,-23.757,8.117,-16.107,-53.626,4.02,15.632,16.766,7.474,-34.354
