0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
42.488,66.331,38.537,-13.822,6.224,65.611,7.793,-9.57,-25.089,38.876,60.221,-18.397
44.119,44.319,45.291,-21.177,-6.797,3.115,-13.411,4.423,-10.451,-25.352,2.431,-9.019
41.265,19.598,-17.714,59.003,-22.424,1.045,-16.533,-10.592,-14.79,-11.439,-64.881,3.135
43.077,36.392,27.782,43.974,-30.353,-13.568,6.054,-21.209,-18.549,3.58,-11.71,2.104
42.828,33.974,19.895,-21.201,-25.49,18.683,8.68,4.569,-7.691,-23.551,-18.698,-2.741
44.436,66.628,43.471,-11.921,-22.482,-2.777,4.149,-2.511,-23.505,15.364,19.664,-1.358
45.079,74.719,25.88,-2.426,-28.672,-9.283,-4.009,-11.927,-28.457,-18.808,-14.525,8.211
42.78,41.64,16.62,3.919,-22.885,-3.151,-7.115,-11.168,-9.666,-9.953,-30.726,-9.431
44.501,70.796,45.95,-31.412,-22.461,-8.761,0.685,-3.056,-23.67,-12.193,0.942,-1.939
44.417,61.804,30.14,9.545,-11.153,-15.501,1.355,-21.062,-16.248,-14.907,-27.4,3.437
43.044,34.484,5.498,10.046,-12.773,9.117,-1.03,-4.929,-11.769,-26.306,-26.065,9.804
43.206,49.277,19.217,25.716,-25.053,-6.784,15.034,-13.577,-20.948,4.31,2.911,3.037
43.479,40.868,22.707,-4.294,-14.322,14.494,6.208,-0.918,-9.654,-17.888,-14.357,1.412
44.557,63.412,41.371,0.637,-22.249,-18.203,-0.366,-5.608,-22.585,6.682,13.481,-0.165
45.201,78.596,40.445,-14.094,-24.346,-26.955,-10.187,-7.964,-23.399,-1.875,-8.201,5.964
48.662,117.632,28.381,-14.012,-3.193,-27.945,-5.803,-14.587,-8.087,-13.796,2.276,12.613
48.215,98.985,38.843,14.898,15.514,-16.647,-8.272,-34.74,16.442,-18.847,-5.493,-7.266
